1Chr 1:1 man/mankind [שֵׁת] Enosh
1Chr 1:2 [קֵינָן] [מַהֲלַלְאֵל] [יָרֶד] | [KJV:] Kenan, Mahalaleel, Jered,
1Chr 1:3 [חֲנוֹךְ] [מְתוּשֶׁלַח] [לָמֶךְ] | [KJV:] Henoch, Methuselah, Lamech,
1Chr 1:4 Noah [שֵׁם] [חָם] [וָיֶָת] | [KJV:] Noah, Shem, Ham, and Japheth.
1Chr 1:5 [בְּנֵי] [יֶֶת] [גֹּמֶר] [וּמָגוֹג] [וּמָדַי] [וְיָוָן] [וְתֻבָל] [וּמֶשֶׁךְ] [וְתִירָ] | [KJV:] The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
1Chr 1:6 [וּבְנֵי] [גֹּמֶר] [אַשְׁכֲּנַז] [וְדִיַת] [וְתוֹגַרְמָה] | [KJV:] And the sons of Gomer; Ashchenaz, and Riphath, and Togarmah.
1Chr 1:7 [וּבְנֵי] [יָוָן] [אֱלִישָׁה] [וְתַרְשִׁישָׁה] [כִּתִּים] [וְרוֹדָנִים] | [KJV:] And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim.
1Chr 1:8 [בְּנֵי] [חָם] [כּוּשׁ] [וּמִצְרַיִם] [ּוּט] [וּכְנָעַן] | [KJV:] The sons of Ham; Cush, and Mizraim, Put, and Canaan.
1Chr 1:9 [וּבְנֵי] [כוּשׁ] [ְבָא] [וַחֲוִילָה] [וְַבְתָּא] [וְרַעְמָא] [וְַבְתְּכָא] [וּבְנֵי] [רַעְמָא] [שְׁבָא] [וּדְדָן] | [KJV:] And the sons of Cush; Seba, and Havilah, and Sabta, and Raamah, and Sabtecha. And the sons of Raamah; Sheba, and Dedan.
1Chr 1:10 [וְכוּשׁ] [he] begat [with] [נִמְרוֹד] he [הֵחֵל] [לִהְיוֹת] [גִּבּוֹר] [בָּאָרֶץ] | [KJV:] And Cush begat Nimrod: he began to be mighty upon the earth.
1Chr 1:11 [וּמִצְרַיִם] [he] begat [with] [לוּדִיִּים] and [with/acc] [עֲנָמִים] and [with/acc] [לְהָבִים] and [with/acc] [נְַתֻּחִים] | [KJV:] And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,
1Chr 1:12 and [with/acc] [ַּתְרִֻים] and [with/acc] [כְַּלֻחִים] [אֲשֶׁר] [יָצְאוּ] [מִשָּׁם] [ְּלִשְׁתִּים] and [with/acc] [כְַּתֹּרִים] | [KJV:] And Pathrusim, and Casluhim, (of whom came the Philistines,) and Caphthorim.
1Chr 1:13 [וּכְנַעַן] [he] begat [with] [צִידוֹן] [בְּכֹרוֹ] and [with/acc] [חֵת] | [KJV:] And Canaan begat Zidon his firstborn, and Heth,
1Chr 1:14 and [with/acc] [הַיְבוִּי] and [with/acc] the Amorite and [with/acc] [הַגִּרְגָּשִׁי]
1Chr 1:15 and [with/acc] [הַחִוִּי] and [with/acc] [הַעַרְקִי] and [with/acc] [הִַּינִי] | [KJV:] And the Hivite, and the Arkite, and the Sinite,
1Chr 1:16 and [with/acc] [הָאַרְוָדִי] and [with/acc] [הַצְּמָרִי] and [with/acc] [הַחֲמָתִי] | [KJV:] And the Arvadite, and the Zemarite, and the Hamathite.
1Chr 1:17 [בְּנֵי] [שֵׁם] [עֵילָם] [וְאַשּׁוּר] [וְאַרְַּכְשַׁד] [וְלוּד] [וַאֲרָם] [וְעוּץ] [וְחוּל] [וְגֶתֶר] [וָמֶשֶׁךְ] | [KJV:] The sons of Shem; Elam, and Asshur, and Arphaxad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech.
1Chr 1:18 [וְאַרְַּכְשַׁד] [he] begat [with] [שָׁלַח] [וְשֶׁלַח] [he] begat [with] [עֵבֶר] | [KJV:] And Arphaxad begat Shelah, and Shelah begat Eber.
1Chr 1:19 [וּלְעֵבֶר] [יֻלַּד] [שְׁנֵי] [בָנִים] [שֵׁם] the one [ֶּלֶג] [כִּי] [בְיָמָיו] [נְִלְגָה] the earth/land [וְשֵׁם] his brother [יָקְטָן] | [KJV:] And unto Eber were born two sons: the name of the one was Peleg; because in his days the earth was divided: and his brother's name was Joktan.
1Chr 1:20 [וְיָקְטָן] [he] begat [with] [אַלְמוֹדָד] and [with/acc] [שָׁלֶף] and [with/acc] [חֲצַרְמָוֶת] and [with/acc] [יָרַח] | [KJV:] And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,
1Chr 1:21 and [with/acc] [הֲדוֹרָם] and [with/acc] [אוּזָל] and [with/acc] [דִּקְלָה] | [KJV:] Hadoram also, and Uzal, and Diklah,
1Chr 1:22 and [with/acc] [עֵיבָל] and [with/acc] [אֲבִימָאֵל] and [with/acc] [שְׁבָא] | [KJV:] And Ebal, and Abimael, and Sheba,
1Chr 1:23 and [with/acc] [אוִֹיר] and [with/acc] [חֲוִילָה] and [with/acc] [יוֹבָב] [כָּל] [אֵלֶּה] [בְּנֵי] [יָקְטָן] | [KJV:] And Ophir, and Havilah, and Jobab. All these were the sons of Joktan.
1Chr 1:24 [שֵׁם] [אַרְַּכְשַׁד] [שָׁלַח] | [KJV:] Shem, Arphaxad, Shelah,
1Chr 1:25 [עֵבֶר] [ֶּלֶג] [רְעוּ] | [KJV:] Eber, Peleg, Reu,
1Chr 1:26 [שְׂרוּג] [נָחוֹר] [תָּרַח] | [KJV:] Serug, Nahor, Terah,
1Chr 1:27 Abram he Abraham
1Chr 1:28 [בְּנֵי] Abraham Isaac [וְיִשְׁמָעֵאל]
1Chr 1:29 [אֵלֶּה] [תֹּלְדוֹתָם] [בְּכוֹר] [יִשְׁמָעֵאל] [נְבָיוֹת] [וְקֵדָר] [וְאַדְבְּאֵל] [וּמִבְשָׂם] | [KJV:] These are their generations: The firstborn of Ishmael, Nebaioth; then Kedar, and Adbeel, and Mibsam,
1Chr 1:30 [מִשְׁמָע] [וְדוּמָה] [מַשָּׂא] [חֲדַד] [וְתֵימָא] | [KJV:] Mishma, and Dumah, Massa, Hadad, and Tema,
1Chr 1:31 [יְטוּר] [נִָישׁ] [וָקֵדְמָה] [אֵלֶּה] they [בְּנֵי] [יִשְׁמָעֵאל] | [KJV:] Jetur, Naphish, and Kedemah. These are the sons of Ishmael.
1Chr 1:32 [וּבְנֵי] [קְטוּרָה] [ִּילֶגֶשׁ] Abraham [יָלְדָה] [with] [זִמְרָן] [וְיָקְשָׁן] [וּמְדָן] [וּמִדְיָן] [וְיִשְׁבָּק] [וְשׁוּחַ] [וּבְנֵי] [יָקְשָׁן] [שְׁבָא] [וּדְדָן] | [KJV:] Now the sons of Keturah, Abraham's concubine: she bare Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. And the sons of Jokshan; Sheba, and Dedan.
