Hab 1:1 [הַמַּשָּׂא] [אֲשֶׁר] [חָזָה] [חֲבַקּוּק] [הַנָּבִיא] | [KJV:] The burden which Habakkuk the prophet did see.
Hab 1:2 until [אָנָה] YHWH/[the] LORD [שִׁוַּעְתִּי] and not [תִשְׁמָע] [אֶזְעַק] to you [חָמָ] and not [תוֹשִׁיעַ]
Hab 1:3 [לָמָּה] [תַרְאֵנִי] [אָוֶן] [וְעָמָל] [תַּבִּיט] [וְשֹׁד] [וְחָמָ] [לְנֶגְדִּי] and there was [רִיב] [וּמָדוֹן] [יִשָּׂא] | [KJV:] Why dost thou shew me iniquity, and cause me to behold grievance? for spoiling and violence are before me: and there are that raise up strife and contention.
Hab 1:4 upon [כֵּן] [תָּוּג] [תּוֹרָה] and not [יֵצֵא] [לָנֶצַח] [מִשְָּׁט] [כִּי] [רָשָׁע] [מַכְתִּיר] [with] [הַצַּדִּיק] upon [כֵּן] [יֵצֵא] [מִשְָּׁט] [מְעֻקָּל] | [KJV:] Therefore the law is slacked, and judgment doth never go forth: for the wicked doth compass about the righteous; therefore wrong judgment proceedeth.
Hab 1:5 [רְאוּ] [בַגּוֹיִם] [וְהַבִּיטוּ] [וְהִתַּמְּהוּ] [תְּמָהוּ] [כִּי] [ֹעַל] [ֹּעֵל] [בִּימֵיכֶם] not [תַאֲמִינוּ] [כִּי] [יְָֻּר] | [KJV:] Behold ye among the heathen, and regard, and wonder marvelously: for I will work a work in your days which ye will not believe, though it be told you.
Hab 1:6 [כִּי] [הִנְנִי] [מֵקִים] [with] [הַכַּשְׂדִּים] [הַגּוֹי] [הַמַּר] [וְהַנִּמְהָר] [הַהוֹלֵךְ] [לְמֶרְחֲבֵי] land [לָרֶשֶׁת] [מִשְׁכָּנוֹת] [לֹּא] to him | [KJV:] For, lo, I raise up the Chaldeans, that bitter and hasty nation, which shall march through the breadth of the land, to possess the dwellingplaces that are not their's.
Hab 1:7 [אָיֹם] [וְנוֹרָא] he [מִמֶּנּוּ] [מִשְָּׁטוֹ] [וּשְׂאֵתוֹ] [יֵצֵא] | [KJV:] They are terrible and dreadful: their judgment and their dignity shall proceed of themselves.
Hab 1:8 [וְקַלּוּ] [מִנְּמֵרִים] [וָּיו] [וְחַדּוּ] [מִזְּאֵבֵי] evening [וָּשׁוּ] [ָּרָשָׁיו] [וָּרָשָׁיו] [מֵרָחוֹק] [יָבֹאוּ] [יָעֻוּ] [כְּנֶשֶׁר] [חָשׁ] [לֶאֱכוֹל] | [KJV:] Their horses also are swifter than the leopards, and are more fierce than the evening wolves: and their horsemen shall spread themselves, and their horsemen shall come from far; they shall fly as the eagle that hasteth to eat.
Hab 1:9 [כֻּלֹּה] [לְחָמָ] [יָבוֹא] [מְגַמַּת] [ְּנֵיהֶם] [קָדִימָה] [וַיֶּאֱֹף] [כַּחוֹל] [שֶׁבִי] | [KJV:] They shall come all for violence: their faces shall sup up as the east wind, and they shall gather the captivity as the sand.
Hab 1:10 [וְהוּא] [בַּמְּלָכִים] [יִתְקַלָּ] [וְרֹזְנִים] [מִשְׂחָק] to him he to all [מִבְצָר] [יִשְׂחָק] [וַיִּצְבֹּר] [עָָר] [וַיִּלְכְּדָהּ] | [KJV:] And they shall scoff at the kings, and the princes shall be a scorn unto them: they shall deride every strong hold; for they shall heap dust, and take it.
Hab 1:11 then [חָלַף] spirit/wind [וַיַּעֲבֹר] [וְאָשֵׁם] [זוּ] [כֹחוֹ] [לֵאלֹהוֹ] | [KJV:] Then shall his mind change, and he shall pass over, and offend, imputing this his power unto his god.
