Nah 1:1 [מַשָּׂא] [נִינְוֵה] [ֵֶר] [חֲזוֹן] [נַחוּם] [הָאֶלְקֹשִׁי] | [KJV:] The burden of Nineveh. The book of the vision of Nahum the Elkoshite.
Nah 1:2 to/toward [God] [קַנּוֹא] [וְנֹקֵם] YHWH/[the] LORD [נֹקֵם] YHWH/[the] LORD [וּבַעַל] [חֵמָה] [נֹקֵם] YHWH/[the] LORD [לְצָרָיו] [וְנוֹטֵר] he [לְאֹיְבָיו] | [KJV:] God is jealous, and the Lord revengeth; the Lord revengeth, and is furious; the Lord will take vengeance on his adversaries, and he reserveth wrath for his enemies.
Nah 1:3 [יְהֹוָה] [אֶרֶךְ] [אַַּיִם] [וּגְדָול] [כֹּחַ] [וְנַקֵּה] not [יְנַקֶּה] YHWH/[the] LORD [בְּוָּה] [וּבִשְׂעָרָה] [דַּרְכּוֹ] [וְעָנָן] [אֲבַק] [רַגְלָיו] | [KJV:] The Lord is slow to anger, and great in power, and will not at all acquit the wicked: the Lord hath his way in the whirlwind and in the storm, and the clouds are the dust of his feet.
Nah 1:4 [גּוֹעֵר] [בַּיָּם] [וַיַּבְּשֵׁהוּ] and all [הַנְּהָרוֹת] [הֶחֱרִיב] [אֻמְלַל] [בָּשָׁן] [וְכַרְמֶל] [וֶּרַח] [לְבָנוֹן] [אֻמְלָל] | [KJV:] He rebuketh the sea, and maketh it dry, and drieth up all the rivers: Bashan languisheth, and Carmel, and the flower of Lebanon languisheth.
Nah 1:5 [הָרִים] [רָעֲשׁוּ] [מִמֶּנּוּ] [וְהַגְּבָעוֹת] [הִתְמֹגָגוּ] [וַתִּשָּׂא] the earth/land [מִָּנָיו] [וְתֵבֵל] and all [יֹשְׁבֵי] [בָהּ] | [KJV:] The mountains quake at him, and the hills melt, and the earth is burned at his presence, yea, the world, and all that dwell therein.
Nah 1:6 [לְִנֵי] [זַעְמוֹ] who [יַעֲמוֹד] [וּמִי] [יָקוּם] [בַּחֲרוֹן] [אַּוֹ] [חֲמָתוֹ] [נִתְּכָה] [כָאֵשׁ] [וְהַצֻּרִים] [נִתְּצוּ] [מִמֶּנּוּ] | [KJV:] Who can stand before his indignation? and who can abide in the fierceness of his anger? his fury is poured out like fire, and the rocks are thrown down by him.
Nah 1:7 good YHWH/[the] LORD [לְמָעוֹז] [בְּיוֹם] [צָרָה] [וְיֹדֵעַ] [חֵֹי] in him/it
Nah 1:8 [וּבְשֶׁטֶף] [עֹבֵר] [כָּלָה] [יַעֲשֶׂה] [מְקוֹמָהּ] [וְאֹיְבָיו] [יְרַדֶּף] [חֹשֶׁךְ] | [KJV:] But with an overrunning flood he will make an utter end of the place thereof, and darkness shall pursue his enemies.
Nah 1:9 what [תְּחַשְּׁבוּן] to/toward YHWH/[the] LORD [כָּלָה] he [עֹשֶׂה] not [תָקוּם] [ַּעֲמַיִם] [צָרָה]
Nah 1:10 [כִּי] until [ִירִים] [ְבֻכִים] [וּכְָבְאָם] [ְבוּאִים] [אֻכְּלוּ] [כְּקַשׁ] [יָבֵשׁ] [he] was full | [KJV:] For while they be folden together as thorns, and while they are drunken as drunkards, they shall be devoured as stubble fully dry.
Nah 1:11 [מִמֵּךְ] [he] went out [חֹשֵׁב] upon YHWH/[the] LORD [רָעָה] [יֹעֵץ] [בְּלִיָּעַל]
Nah 1:12 [כֹּה] [he] said YHWH/[the] LORD if [שְׁלֵמִים] [וְכֵן] [רַבִּים] [וְכֵן] [נָגֹזּוּ] [וְעָבָר] [וְעִנִּתִךְ] not [אֲעַנֵּךְ] still/yet | [KJV:] Thus saith the Lord; Though they be quiet, and likewise many, yet thus shall they be cut down, when he shall pass through. Though I have afflicted thee, I will afflict thee no more.
Nah 1:13 [וְעַתָּה] [אֶשְׁבֹּר] [מֹטֵהוּ] [מֵעָלָיִךְ] [וּמוְֹרֹתַיִךְ] [אֲנַתֵּק] | [KJV:] For now will I break his yoke from off thee, and will burst thy bonds in sunder.
Nah 1:14 [וְצִוָּה] upon you YHWH/[the] LORD not [יִזָּרַע] [מִשִּׁמְךָ] still/yet [מִבֵּית] your God [אַכְרִית] [ֶֶּל] [וּמֵַּכָה] [אָשִׂים] [קִבְרֶךָ] [כִּי] [קַלּוֹתָ] | [KJV:] And the Lord hath given a commandment concerning thee, that no more of thy name be sown: out of the house of thy gods will I cut off the graven image and the molten image: I will make thy grave; for thou art vile.
Nah 2:1 [הִנֵּה] upon [הֶהָרִים] [רַגְלֵי] [מְבַשֵּׂר] [מַשְׁמִיעַ] [שָׁלוֹם] [חָגִּי] Judah [חַגַּיִךְ] [שַׁלְּמִי] [נְדָרָיִךְ] [כִּי] not [יוִֹיף] still/yet [לַעֲבָור] [בָּךְ] [בְּלִיַּעַל] [כֻּלֹּה] [נִכְרָת] | [KJV:] He that dasheth in pieces is come up before thy face: keep the munition, watch the way, make thy loins strong, fortify thy power mightily.
Nah 2:2 [he] went up [מִֵיץ] upon [ָּנַיִךְ] [נָצוֹר] [מְצֻרָה] [צֵַּה] [דֶרֶךְ] [חַזֵּק] [מָתְנַיִם] [אַמֵּץ] [כֹּחַ] very | [KJV:] For the Lord hath turned away the excellency of Jacob, as the excellency of Israel: for the emptiers have emptied them out, and marred their vine branches.
Nah 2:3 [כִּי] [שָׁב] YHWH/[the] LORD [with] [גְּאוֹן] Jacob [כִּגְאוֹן] [יִשְׂרָאֵל] [כִּי] [בְקָקוּם] [בֹּקְקִים] [וּזְמֹרֵיהֶם] [שִׁחֵתוּ] | [KJV:] The shield of his mighty men is made red, the valiant men are in scarlet: the chariots shall be with flaming torches in the day of his preparation, and the fir trees shall be terribly shaken.
Nah 2:4 shield [גִּבֹּרֵיהוּ] [מְאָדָּם] [אַנְשֵׁי] [חַיִל] [מְתֻלָּעִים] [בְּאֵשׁ] [ְּלָדוֹת] [הָרֶכֶב] [בְּיוֹם] [הֲכִינוֹ] [וְהַבְּרֹשִׁים] [הָרְעָלוּ] | [KJV:] The chariots shall rage in the streets, they shall justle one against another in the broad ways: they shall seem like torches, they shall run like the lightnings.
Nah 2:5 [בַּחוּצוֹת] [יִתְהוֹלְלוּ] [הָרֶכֶב] [יִשְׁתַּקְשְׁקוּן] [בָּרְחֹבוֹת] [מַרְאֵיהֶן] [כַּלִַּּידִם] [כַּבְּרָקִים] [יְרוֹצֵצוּ] | [KJV:] He shall recount his worthies: they shall stumble in their walk; they shall make haste to the wall thereof, and the defence shall be prepared.
Nah 2:6 [יִזְכֹּר] [אַדִּירָיו] [יִכָּשְׁלוּ] [בַהֲלִכוֹתָם] [יְמַהֲרוּ] [חוֹמָתָהּ] [וְהֻכַן] [הַֹּכֵךְ] | [KJV:] The gates of the rivers shall be opened, and the palace shall be dissolved.
