Prov 1:1 [מִשְׁלֵי] [שְׁלֹמֹה] [בֶן] [דָּוִד] king [יִשְׂרָאֵל] | [KJV:] The proverbs of Solomon the son of David, king of Israel;
Prov 1:2 [לָדַעַת] [חָכְמָה] [וּמוָּר] [לְהָבִין] [אִמְרֵי] [בִינָה] | [KJV:] To know wisdom and instruction; to perceive the words of understanding;
Prov 1:3 [לָקַחַת] [מוַּר] [הַשְׂכֵּל] righteousness [וּמִשְָּׁט] [וּמֵישָׁרִים] | [KJV:] To receive the instruction of wisdom, justice, and judgment, and equity;
Prov 1:4 [לָתֵת] [לְִתָאיִם] [עָרְמָה] [לְנַעַר] [דַּעַת] [וּמְזִמָּה] | [KJV:] To give subtilty to the simple, to the young man knowledge and discretion.
Prov 1:5 [יִשְׁמַע] wise [וְיוֶֹף] [לֶקַח] [וְנָבוֹן] [תַּחְבֻּלוֹת] [יִקְנֶה] | [KJV:] A wise man will hear, and will increase learning; and a man of understanding shall attain unto wise counsels:
Prov 1:6 [לְהָבִין] [מָשָׁל] [וּמְלִיצָה] [דִּבְרֵי] [חֲכָמִים] [וְחִידֹתָם] | [KJV:] To understand a proverb, and the interpretation; the words of the wise, and their dark sayings.
Prov 1:7 [יִרְאַת] YHWH/[the] LORD [רֵאשִׁית] [דָּעַת] [חָכְמָה] [וּמוָּר] [אֱוִילִים] [בָּזוּ] | [KJV:] The fear of the Lord is the beginning of knowledge: but fools despise wisdom and instruction.
Prov 1:8 [שְׁמַע] [בְּנִי] [מוַּר] [אָבִיךָ] [וְאַל] [תִּטֹּשׁ] law of [אִמֶּךָ] | [KJV:] My son, hear the instruction of thy father, and forsake not the law of thy mother:
Prov 1:9 [כִּי] [לִוְיַת] grace they [לְרֹאשֶׁךָ] [וַעֲנָקִים] [לְגַרְגְּרֹתֶיךָ] | [KJV:] For they shall be an ornament of grace unto thy head, and chains about thy neck.
Prov 1:10 [בְּנִי] if [יְַתּוּךָ] [חַטָּאִים] not [imperative] [תֹּבֵא] | [KJV:] My son, if sinners entice thee, consent thou not.
Prov 1:11 if [יֹאמְרוּ] [לְכָה] [אִתָּנוּ] [נֶאֶרְבָה] [לְדָם] [נִצְְּנָה] [לְנָקִי] [חִנָּם] | [KJV:] If they say, Come with us, let us lay wait for blood, let us lurk privily for the innocent without cause:
Prov 1:12 [נִבְלָעֵם] [כִּשְׁאוֹל] [חַיִּים] [וּתְמִימִים] [כְּיוֹרְדֵי] [בוֹר] | [KJV:] Let us swallow them up alive as the grave; and whole, as those that go down into the pit:
Prov 1:13 [כָּל] [הוֹן] [יָקָר] [נִמְצָא] [נְמַלֵּא] [בָתֵּינוּ] [שָׁלָל] | [KJV:] We shall find all precious substance, we shall fill our houses with spoil:
Prov 1:14 [גּוֹרָלְךָ] [תִַּּיל] [בְּתוֹכֵנוּ] [כִּי] one he will be [לְכֻלָּנוּ] | [KJV:] Cast in thy lot among us; let us all have one purse:
Prov 1:15 [בְּנִי] not [imperative] [תֵּלֵךְ] [בְּדֶרֶךְ] [אִתָּם] [מְנַע] [רַגְלְךָ] [מִנְּתִיבָתָם] | [KJV:] My son, walk not thou in the way with them; refrain thy foot from their path:
Prov 1:16 [כִּי] [רַגְלֵיהֶם] [לָרַע] [יָרוּצוּ] [וִימַהֲרוּ] [לִשְָּׁךְ] [דָּם] | [KJV:] For their feet run to evil, and make haste to shed blood.
Prov 1:17 [כִּי] [חִנָּם] [מְזֹרָה] [הָרָשֶׁת] [בְּעֵינֵי] [כָל] [בַּעַל] [כָּנָף] | [KJV:] Surely in vain the net is spread in the sight of any bird.
Prov 1:18 [וְהֵם] [לְדָמָם] [יֶאֱרֹבוּ] [יִצְְּנוּ] [לְנְַשֹׁתָם] | [KJV:] And they lay wait for their own blood; they lurk privily for their own lives.
Prov 1:19 [כֵּן] [אָרְחוֹת] [כָּל] [בֹּצֵעַ] [בָּצַע] [with] [נֶֶשׁ] [בְּעָלָיו] [יִקָּח] | [KJV:] So are the ways of every one that is greedy of gain; which taketh away the life of the owners thereof.
Prov 1:20 [חָכְמוֹת] [בַּחוּץ] [תָּרֹנָּה] [בָּרְחֹבוֹת] [תִּתֵּן] [קוֹלָהּ] | [KJV:] Wisdom crieth without; she uttereth her voice in the streets:
Prov 1:21 [בְּרֹאשׁ] [הֹמִיּוֹת] [תִּקְרָא] [בְִּתְחֵי] [שְׁעָרִים] [בָּעִיר] [אֲמָרֶיהָ] [תֹאמֵר] | [KJV:] She crieth in the chief place of concourse, in the openings of the gates: in the city she uttereth her words, saying,
Prov 1:22 until [מָתַי] [ְּתָיִם] [תְּאֵהֲבוּ] [ֶתִי] [וְלֵצִים] [לָצוֹן] [חָמְדוּ] to them [וּכְִילִים] [יִשְׂנְאוּ] [דָעַת] | [KJV:] How long, ye simple ones, will ye love simplicity? and the scorners delight in their scorning, and fools hate knowledge?
Prov 1:23 [תָּשׁוּבוּ] [לְתוֹכַחְתִּי] [הִנֵּה] [אַבִּיעָה] to you [pl] [רוּחִי] [אוֹדִיעָה] [דְבָרַי] you [pl] | [KJV:] Turn you at my reproof: behold, I will pour out my spirit unto you, I will make known my words unto you.
Prov 1:24 [יַעַן] [קָרָאתִי] [וַתְּמָאֵנוּ] [נָטִיתִי] [יָדִי] [וְאֵין] [מַקְשִׁיב] | [KJV:] Because I have called, and ye refused; I have stretched out my hand, and no man regarded;
Prov 1:25 [וַתְִּרְעוּ] [כָל] [עֲצָתִי] [וְתוֹכַחְתִּי] not [אֲבִיתֶם] | [KJV:] But ye have set at nought all my counsel, and would none of my reproof:
Prov 1:26 [גַּם] I [בְּאֵידְכֶם] [אֶשְׂחָק] [אֶלְעַג] [בְּבֹא] [ַחְדְּכֶם] | [KJV:] I also will laugh at your calamity; I will mock when your fear cometh;
Prov 1:27 [בְּבֹא] [כְשַׁאֲוָה] [ַּחְדְּכֶם] [וְאֵידְכֶם] [כְּוָּה] [יֶאֱתֶה] [בְּבֹא] [עֲלֵיכֶם] [צָרָה] [וְצוּקָה] | [KJV:] When your fear cometh as desolation, and your destruction cometh as a whirlwind; when distress and anguish cometh upon you.
Prov 1:28 then [יִקְרָאֻנְנִי] and not [אֶעֱנֶה] [יְשַׁחֲרֻנְנִי] and not [יִמְצָאֻנְנִי]
Prov 1:29 [תַּחַת] [כִּי] [שָׂנְאוּ] [דָעַת] [וְיִרְאַת] [יְהֹוָה] not [בָחָרוּ] | [KJV:] For that they hated knowledge, and did not choose the fear of the Lord:
Prov 1:30 not [אָבוּ] [לַעֲצָתִי] [נָאֲצוּ] [כָּל] [תּוֹכַחְתִּי] | [KJV:] They would none of my counsel: they despised all my reproof.
Prov 1:31 [וְיֹאכְלוּ] [מְִּרִי] [דַרְכָּם] [וּמִמֹּעֲצֹתֵיהֶם] [יִשְׂבָּעוּ] | [KJV:] Therefore shall they eat of the fruit of their own way, and be filled with their own devices.
Prov 1:32 [כִּי] [מְשׁוּבַת] [ְּתָיִם] [תַּהַרְגֵם] [וְשַׁלְוַת] [כְִּילִים] [תְּאַבְּדֵם] | [KJV:] For the turning away of the simple shall slay them, and the prosperity of fools shall destroy them.
Prov 1:33 [וְשֹׁמֵעַ] to me [יִשְׁכָּן] [בֶּטַח] [וְשַׁאֲנַן] [מִַּחַד] [רָעָה] | [KJV:] But whoso hearkeneth unto me shall dwell safely, and shall be quiet from fear of evil.
Prov 2:1 [בְּנִי] if [תִּקַּח] [אֲמָרָי] [וּמִצְוֹתַי] [תִּצְֹּן] [אִתָּךְ] | [KJV:] My son, if thou wilt receive my words, and hide my commandments with thee;
Prov 2:2 [לְהַקְשִׁיב] [לַחָכְמָה] [אָזְנֶךָ] [תַּטֶּה] [לִבְּךָ] [לַתְּבוּנָה] | [KJV:] So that thou incline thine ear unto wisdom, and apply thine heart to understanding;
Prov 2:3 [כִּי] if [לַבִּינָה] [תִקְרָא] [לַתְּבוּנָה] [תִּתֵּן] [קוֹלֶךָ] | [KJV:] Yea, if thou criest after knowledge, and liftest up thy voice for understanding;
Prov 2:4 if [תְּבַקְשֶׁנָּה] [כַכֶָּף] [וְכַמַּטְמוֹנִים] [תַּחְְּשֶׂנָּה] | [KJV:] If thou seekest her as silver, and searchest for her as for hid treasures;
Prov 2:5 then [תָּבִין] [יִרְאַת] YHWH/[the] LORD [וְדַעַת] God [תִּמְצָא]
Prov 2:6 [כִּי] YHWH/[the] LORD [יִתֵּן] [חָכְמָה] [מִִּיו] [דַּעַת] [וּתְבוּנָה] | [KJV:] For the Lord giveth wisdom: out of his mouth cometh knowledge and understanding.
Prov 2:7 [וְצַָן] [לַיְשָׁרִים] [תּוּשִׁיָּה] shield [לְהֹלְכֵי] [תֹם] | [KJV:] He layeth up sound wisdom for the righteous: he is a buckler to them that walk uprightly.
Prov 2:8 [לִנְצֹר] [אָרְחוֹת] [מִשְָּׁט] [וְדֶרֶךְ] [חֲִידוֹ] [יִשְׁמֹר] | [KJV:] He keepeth the paths of judgment, and preserveth the way of his saints.
Prov 2:9 then [תָּבִין] righteousness [וּמִשְָּׁט] [וּמֵישָׁרִים] [כָּל] [מַעְגַּל] good | [KJV:] Then shalt thou understand righteousness, and judgment, and equity; yea, every good path.
