book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
2Chr	1	1	וַיִּתְחַזֵּק שְׁלֹמֹה בֶן־דָּוִיד עַל־מַלְכוּתוֹ וַיהוָה אֱלֹהָיו עִמּוֹ וַיְגַדְּלֵהוּ לְמָעְלָה ׃	ΚΑΙ ἐνίσχυσεν Σαλωμὼν υἱὸς Δαυεὶδ ἐπὶ τὴν βασιλείαν αὐτοῦ, καὶ Κύριος ὁ θεὸς αὐτοῦ μετʼ αὐτοῦ καὶ ἐμεγάλυνεν αὐτὸν εἰς ὕψος·	confortatus est ergo Salomon filius David in regno suo et Dominus erat cum eo et magnificavit eum in excelsum	Confortatus est ergo Salomon filius David in regno suo, et Dominus Deus ejus erat cum eo, et magnificavit eum in excelsum.		And Solomon the son of David was strengthened in his kingdom, and the Lord his God was with him, and magnified him exceedingly.
2Chr	1	2	וַיֹּאמֶר שְׁלֹמֹה לְכָל־יִשְׂרָאֵל לְשָׂרֵי הָאֲלָפִים וְהַמֵּאוֹת וְלַשֹּׁפְטִים וּלְכֹל נָשִׂיא לְכָל־יִשְׂרָאֵל רָאשֵׁי הָאָבוֹת ׃	καὶ εἶπεν Σαλωμὼν πρὸς πάντα Ἰσραήλ, τοῖς χιλιάρχοις καὶ τοῖς ἑκατοντάρχοις καὶ τοῖς κριταῖς καὶ πᾶσιν τοῖς ἄρχουσιν ἐναντίον Ἰσραήλ, τοῖς ἄρχουσι τῶν πατριῶν.	praecepitque Salomon universo Israheli tribunis et centurionibus et ducibus et iudicibus omnis Israhel et principibus familiarum	Prcepitque Salomon universo Israli, tribunis, et centurionibus, et ducibus, et judicibus omnis Isral, et principibus familiarum:		Then Solomon spake unto all Israel, to the captains of thousands and of hundreds, and to the judges, and to every governor in all Israel, the chief of the fathers.
2Chr	1	3	וַיֵּלְכוּ שְׁלֹמֹה וְכָל־הַקָּהָל עִמּוֹ לַבָּמָה אֲשֶׁר בְּגִבְעוֹן כִּי־שָׁם הָיָה אֹהֶל מוֹעֵד הָאֱלֹהִים אֲשֶׁר עָשָׂה מֹשֶׁה עֶבֶד־יְהוָה בַּמִּדְבָּר ׃	καὶ ἐπορεύθη Σαλωμὼν καὶ πᾶσα ἡ ἐκκλησία εἰς τὴν ὑψηλὴν τὴν ἐν Γαβαών, οὖ ἐκεῖ ἦν ἡ σκηνὴ τοῦ μαρτυρίου τοῦ θεοῦ ἣν ἐποίησεν Μωυσῆς παῖς Κυρίου ἐν τῇ ἐρήμῳ.	et abiit cum universa multitudine in excelsum Gabaon ubi erat tabernaculum foederis Dei quod fecit Moses famulus Dei in solitudine	et abiit cum universa multitudine in excelsum Gabaon, ubi erat tabernaculum fderis Dei, quod fecit Moyses famulus Dei in solitudine.		So Solomon, and all the congregation with him, went to the high place that was at Gibeon; for there was the tabernacle of the congregation of God, which Moses the servant of the Lord had made in the wilderness.
2Chr	1	4	אֲבָל אֲרוֹן הָאֱלֹהִים הֶעֱלָה דָוִיד מִקִּרְיַת יְעָרִים בַּהֵכִין לוֹ דָּוִיד כִּי נָטָה־לוֹ אֹהֶל בִּירוּשָׁלָםִ ׃	ἀλλὰ κιβωτὸν τοῦ θεοῦ ἀνήνεγκεν Δαυεὶδ ἐκ πόλεως Χάριαθιαρείμ, ὅτι ἡτοίμασεν αὐτῇ σκηνὴν εἰς Ἰερουσαλήμ.	arcam autem Dei adduxerat David de Cariathiarim in locum quem paraverat ei et ubi fixerat illi tabernaculum hoc est in Hierusalem	Arcam autem Dei adduxerat David de Cariathiarim in locum quem prparaverat ei, et ubi fixerat illi tabernaculum, hoc est, in Jerusalem.		But the ark of God had David brought up from Kirjathjearim to the place which David had prepared for it: for he had pitched a tent for it at Jerusalem.
2Chr	1	5	וּמִזְבַּח הַנְּחֹשֶׁת אֲשֶׁר עָשָׂה בְּצַלְאֵל בֶּן־אוּרִי בֶן־חוּר שָׂם לִפְנֵי מִשְׁכַּן יְהוָה וַיִּדְרְשֵׁהוּ שְׁלֹמֹה וְהַקָּהָל ׃	καὶ τὸ θυσιαστήριον τὸ χαλκοῦν ὁ ἐποίησεν Βεσελεὴλ υἱὸς Οὐρείου υἱοῦ Ὡρ ἐκεῖ ἦν ἔναντι τῆς σκηνῆς Κυρίου· καὶ ἐξεζήτησεν αὐτὸ Σαλωμὼν καὶ ἡ ἐκκλησία,	altare quoque aeneum quod fabricatus fuerat Beselehel filius Uri filii Ur ibi erat coram tabernaculo Domini quod et requisivit Salomon et omnis ecclesia	Altare quoque neum quod fabricatus fuerat Beseleel filius Uri filii Hur, ibi erat coram tabernaculo Domini: quod et requisivit Salomon, et omnis ecclesia.		Moreover the brasen altar, that Bezaleel the son of Uri, the son of Hur, had made, he put before the tabernacle of the Lord: and Solomon and the congregation sought unto it.
2Chr	1	6	וַיַּעַל שְׁלֹמֹה שָׁם עַל־מִזְבַּח הַנְּחֹשֶׁת לִפְנֵי יְהוָה אֲשֶׁר לְאֹהֶל מוֹעֵד וַיַּעַל עָלָיו עֹלוֹת אָלֶף ׃	καὶ ἤνεγκεν ἐκεῖ Σαλωμὼν ἐπὶ τὸ θυσιαστήριον τὸ χαλκοῦν ἐνώπιον Κυρίου τὸ ἐν τῇ σκηνῇ, καὶ ἤνεγκεν ἐπʼ αὐτὸ ὁλοκαύτωσιν χιλίαν.	ascenditque Salomon ad altare aeneum coram tabernaculo foederis Domini et obtulit in eo mille hostias	Ascenditque Salomon ad altare neum, coram tabernaculo fderis Domini, et obtulit in eo mille hostias.		And Solomon went up thither to the brasen altar before the Lord, which was at the tabernacle of the congregation, and offered a thousand burnt offerings upon it.
2Chr	1	7	בַּלַּיְלָה הַהוּא נִרְאָה אֱלֹהִים לִשְׁלֹמֹה וַיֹּאמֶר לוֹ שְׁאַל מָה אֶתֶּן־לָךְ ׃	Ἐν τῇ νυκτὶ ἐκείνῃ ὄφθη ὁ θεὸς τῷ Σαλωμὼν καὶ εἶπεν αὐτῷ Aἶτησαι τί σοι δῶλ.	ecce autem in ipsa nocte apparuit ei Deus dicens postula quod vis ut dem tibi	Ecce autem in ipsa nocte apparuit ei Deus, dicens: Postula quod vis, ut dem tibi.		In that night did God appear unto Solomon, and said unto him, Ask what I shall give thee.
2Chr	1	8	וַיֹּאמֶר שְׁלֹמֹה לֵאלֹהִים אַתָּה עָשִׂיתָ עִם־דָּוִיד אָבִי חֶסֶד גָּדוֹל וְהִמְלַכְתַּנִי תַּחְתָּיו ׃	καὶ εἶπεν Σαλωμὼν πρὸς τὸν θεόν ἐποίησας μετὰ Δαυεὶδ τοῦ πατρός μου ἔλεος μέγα, καὶ ἐβασίλευσάς με ἀντʼ αὐτοῦ.	dixitque Salomon Deo tu fecisti cum David patre meo misericordiam magnam et constituisti me regem pro eo	Dixitque Salomon Deo: Tu fecisti cum David patre meo misericordiam magnam, et constituisti me regem pro eo.		And Solomon said unto God, Thou hast shewed great mercy unto David my father, and hast made me to reign in his stead.
2Chr	1	9	עַתָּה יְהוָה אֱלֹהִים יֵאָמֵן דְּבָרְךָ עִם דָּוִיד אָבִי כִּי אַתָּה הִמְלַכְתַּנִי עַל־עַם רַב כַּעֲפַר הָאָרֶץ ׃	καὶ νῦν, Κύριε ὁ θεός, πιστωθήτω τὸ ὄνομά σου ἐπὶ Δαυεὶδ πατέρα μου, ὅτι σὺ ἐβασίλευσάς με ἐπὶ λαὸν πολὺν ὡς ὁ χνοῦς τῆς γῆς.	nunc igitur Domine Deus impleatur sermo tuus quem pollicitus es David patri meo tu enim fecisti me regem super populum tuum multum qui tam innumerabilis est quam pulvis terrae	Nunc ergo Domine Deus, impleatur sermo tuus quem pollicitus es David patri meo: tu enim me fecisti regem super populum tuum multum, qui tam innumerabilis est quam pulvis terr.		Now, O Lord God, let thy promise unto David my father be established: for thou hast made me king over a people like the dust of the earth in multitude.
2Chr	1	10	עַתָּה חָכְמָה וּמַדָּע תֶּן־לִי וְאֵצְאָה לִפְנֵי הָעָם־הַזֶּה וְאָבוֹאָה כִּי־מִי יִשְׁפֹּט אֶת־עַמְּךָ הַזֶּה הַגָּדוֹל ׃ ס	νῦν σοφίαν καὶ σύνεσιν δός μοι, καὶ ἐξελεύσομαι ἐνώπιον τοῦ λαοῦ τούτου καὶ εἰσελεύσομαι· ὅτι τίς κρινεῖ τὸν λαόν σου τὸν μέγαν τοῦτον;	da mihi sapientiam et intellegentiam ut egrediar coram populo tuo et ingrediar quis enim potest hunc populum tuum digne qui tam grandis est iudicare	Da mihi sapientiam et intelligentiam, ut ingrediar et egrediar coram populo tuo: quis enim potest hunc populum tuum digne, qui tam grandis est, judicare?		Give me now wisdom and knowledge, that I may go out and come in before this people: for who can judge this thy people, that is so great?
