book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
2Kgs	1	1	וַיִּפְשַׁע מוֹאָב בְּיִשְׂרָאֵל אַחֲרֵי מוֹת אַחְאָב ׃	ΚΑΙ ἠθέτησεν Μωὰβ ἐν Ἰσραὴλ μετὰ τὸ ἀποθανεῖν Ἀχαάβ.	praevaricatus est autem Moab in Israhel postquam mortuus est Ahab	Prævaricatus est autem Moab in Israël, postquam mortuus est Achab.		Then Moab rebelled against Israel after the death of Ahab.
2Kgs	1	2	וַיִּפֹּל אֲחַזְיָה בְּעַד הַשְּׂבָכָה בַּעֲלִיָּתוֹ אֲשֶׁר בְּשֹׁמְרוֹן וַיָּחַל וַיִּשְׁלַח מַלְאָכִים וַיֹּאמֶר אֲלֵהֶם לְכוּ דִרְשׁוּ בְּבַעַל זְבוּב אֱלֹהֵי עֶקְרוֹן אִם־אֶחְיֶה מֵחֳלִי זֶה ׃ ס	καὶ ἔπεσεν Ὀχοζειας διὰ τοῦ δικτυωτοῦ τοῦ ἐν τῷ ὑπερῴῳ αὐτοῦ τῷ ἐν Σαμαρείᾳ, καὶ ἠρρώστησεν· καὶ ἀπέστειλεν ἀγγέλους καὶ εἶπεν πρὸς αὐτούς Δεῦτε καὶ ἐπιζητήσατε ἐν τῷ Βάαλ μυῖαν θεὸν Ἀκκαρών, εἰ ζήσομαι ἐκ τῆς ἀρρωστίας μου ταύτης· καὶ ἐπορεύθησαν ἐπερωτῆσαι δι’ αὐτοῦ.	ceciditque Ohozias per cancellos cenaculi sui quod habebat in Samaria et aegrotavit misitque nuntios dicens ad eos ite consulite Beelzebub deum Accaron utrum vivere queam de infirmitate mea hac	Ceciditque Ochozias per cancellos cœnaculi sui, quod habebat in Samaria, et ægrotavit: misitque nuntios, dicens ad eos: Ite, consulite Beelzebub deum Accaron, utrum vivere queam de infirmitate mea hac.		And Ahaziah fell down through a lattice in his upper chamber that was in Samaria, and was sick: and he sent messengers, and said unto them, Go, enquire of Baalzebub the god of Ekron whether I shall recover of this disease.
2Kgs	1	3	וּמַלְאַךְ יְהוָה דִּבֶּר אֶל־אֵלִיָּה הַתִּשְׁבִּי קוּם עֲלֵה לִקְרַאת מַלְאֲכֵי מֶלֶךְ־שֹׁמְרוֹן וְדַבֵּר אֲלֵהֶם הַמִבְּלִי אֵין־אֱלֹהִים בְּיִשְׂרָאֵל אַתֶּם הֹלְכִים לִדְרֹשׁ בְּבַעַל זְבוּב אֱלֹהֵי עֶקְרוֹן ׃	καὶ ἄγγελος Κυρίου ἐκάλεσεν Ἠλειοὺ τὸν θεσβείτην λέγων Ἀναστὰς δεῦρο εἰς συνάντησιν τῶν ἀγγέλων Ὀχοζείου βασιλέως Σαμαρείας καὶ λαλήσεις πρὸς αὐτούς Εἰ παρὰ τὸ μὴ εἶναι θεὸν ἐν Ἰσραὴλ ὑμεῖς πορεύεσθε ἐπεζητῆσαι ἐν τῷ Βάαλ μυῖαν θεὸν Ἀκκαρών; καὶ οὐχ οὕτως·	angelus autem Domini locutus est ad Heliam Thesbiten surge ascende in occursum nuntiorum regis Samariae et dices ad eos numquid non est Deus in Israhel ut eatis ad consulendum Beelzebub deum Accaron	Angelus autem Domini locutus est ad Eliam Thesbiten, dicens: Surge, et ascende in occursum nuntiorum regis Samariæ, et dices ad eos: Numquid non est Deus in Israël, ut eatis ad consulendum Beelzebub deum Accaron?		But the angel of the Lord said to Elijah the Tishbite, Arise, go up to meet the messengers of the king of Samaria, and say unto them, Is it not because there is not a God in Israel, that ye go to enquire of Baalzebub the god of Ekron?
2Kgs	1	4	וְלָכֵן כֹּה־אָמַר יְהוָה הַמִּטָּה אֲשֶׁר־עָלִיתָ שָּׁם לֹא־תֵרֵד מִמֶּנָּה כִּי מוֹת תָּמוּת וַיֵּלֶךְ אֵלִיָּה ׃	ὅτι τάδε λέγει Κύριος Ἡ κλίνη ἐφ’ ἦς ἀνέβης ἐκεῖ οὐ καταβήσῃ ἀπ’ αὐτῆς, ὅτι θανάτῳ ἀποθανῇ. καὶ ἐπορεύθη Ἠλειοὺ καὶ εἶπεν πρὸς αὐτούς.	quam ob rem haec dicit Dominus de lectulo super quem ascendisti non descendes sed morte morieris et abiit Helias	Quam ob rem hæc dicit Dominus: De lectulo, super quem ascendisti, non descendes, sed morte morieris. Et abiit Elias.		Now therefore thus saith the Lord, Thou shalt not come down from that bed on which thou art gone up, but shalt surely die. And Elijah departed.
2Kgs	1	5	וַיָּשׁוּבוּ הַמַּלְאָכִים אֵלָיו וַיֹּאמֶר אֲלֵיהֶם מַה־זֶּה שַׁבְתֶּם ׃	καὶ ἐπεστράφησαν οἱ ἄγγελοι πρὸς αὐτόν, καὶ εἶπεν πρὸς αὐτούς Τί ὅτι ἐπεστρέψατε;	reversique sunt nuntii ad Ohoziam qui dixit eis quare reversi estis	Reversique sunt nuntii ad Ochoziam. Qui dixit eis: Quare reversi estis?		And when the messengers turned back unto him, he said unto them, Why are ye now turned back?
2Kgs	1	6	וַיֹּאמְרוּ אֵלָיו אִישׁ עָלָה לִקְרָאתֵנוּ וַיֹּאמֶר אֵלֵינוּ לְכוּ שׁוּבוּ אֶל־הַמֶּלֶךְ אֲשֶׁר־שָׁלַח אֶתְכֶם וְדִבַּרְתֶּם אֵלָיו כֹּה אָמַר יְהוָה הַמִבְּלִי אֵין־אֱלֹהִים בְּיִשְׂרָאֵל אַתָּה שֹׁלֵחַ לִדְרֹשׁ בְּבַעַל זְבוּב אֱלֹהֵי עֶקְרוֹן לָכֵן הַמִּטָּה אֲשֶׁר־עָלִיתָ שָּׁם לֹא־תֵרֵד מִמֶּנָּה כִּי־מוֹת תָּמוּת ׃	καὶ εἶπαν πρὸς αὐτόν Ἀνὴρ ἀνέβη εἰς συνάντησιν ἡμῶν καὶ εἶπεν πρὸς ἡμᾶς Δεῦτε ἐπιστράφητε πρὸς τὸν βασιλέα τὸν ἀποστείλαντα ὑμᾶς καὶ λαλήσατε πρὸς αὐτόν Τόδε λέηει Κύριος Εἰ παρὰ τὸ μὴ εἶναι θεὸν ἐν Ἰσραὴλ σὺ πορεύῃ ζητῆσαι ἐν τῇ Βάαλ μυῖαν θεὸν Ἀκκαρών ; οὐχ οὕτως· ἡ κλίνη ἐφ’ ἦς ἀνέβης ὅτι οὐ καταβήσῃ ἀπ’ αὐτῆς, ὅτι θανάτῳ ἀποθανῇ.	at illi responderunt ei vir occurrit nobis et dixit ad nos ite revertimini ad regem qui misit vos et dicetis ei haec dicit Dominus numquid quia non erat Deus in Israhel mittis ut consulatur Beelzebub deus Accaron idcirco de lectulo super quem ascendisti non descendes sed morte morieris	At illi responderunt ei: Vir occurrit nobis, et dixit ad nos: Ite, et revertimini ad regem qui misit vos, et dicetis ei: Hæc dicit Dominus: Numquid quia non erat Deus in Israël, mittis ut consulatur Beelzebub deus Accaron? idcirco de lectulo, super quem ascendisti, non descendes, sed morte morieris.		And they said unto him, There came a man up to meet us, and said unto us, Go, turn again unto the king that sent you, and say unto him, Thus saith the Lord, Is it not because there is not a God in Israel, that thou sendest to enquire of Baalzebub the god of Ekron? therefore thou shalt not come down from that bed on which thou art gone up, but shalt surely die.
2Kgs	1	7	וַיְדַבֵּר אֲלֵהֶם מֶה מִשְׁפַּט הָאִישׁ אֲשֶׁר עָלָה לִקְרַאתְכֶם וַיְדַבֵּר אֲלֵיכֶם אֶת־הַדְּבָרִים הָאֵלֶּה ׃	καὶ ἐλάλησεν πρὸς αὐτούς Τίς ἡ κρίσις τοῦ ἀνδρὸς τοῦ ἀναβάντος εἰς συνάντησιν ὑμῖν καὶ λαλήσαντος πρὸς ὑμᾶς τοὺς λόγους τούτους;	qui dixit eis cuius figurae et habitu est vir qui occurrit vobis et locutus est verba haec	Qui dixit eis: Cujus figuræ et habitus est vir ille, qui occurrit vobis, et locutus est verba hæc?		And he said unto them, What manner of man was he which came up to meet you, and told you these words?
2Kgs	1	8	וַיֹּאמְרוּ אֵלָיו אִישׁ בַּעַל שֵׂעָר וְאֵזוֹר עוֹר אָזוּר בְּמָתְנָיו וַיֹּאמַר אֵלִיָּה הַתִּשְׁבִּי הוּא ׃	καὶ εἶπον πρὸς αὐτόν Ἀνὴρ δασὺς καὶ ζώνην δερματίνην περιεζωσμένος τὴν ὀσφὺν αὐτοῦ· καὶ εἶπεν Ἠλειοὺ ὁ θεσβείτης οὖτός ἐστιν.	at illi dixerunt vir pilosus et zona pellicia accinctis renibus qui ait Helias Thesbites est	At illi dixerunt: Vir pilosus, et zona pellicea accinctus renibus. Qui ait: Elias Thesbites est.		And they answered him, He was an hairy man, and girt with a girdle of leather about his loins. And he said, It is Elijah the Tishbite.
2Kgs	1	9	וַיִּשְׁלַח אֵלָיו שַׂר־חֲמִשִּׁים וַחֲמִשָּׁיו וַיַּעַל אֵלָיו וְהִנֵּה יֹשֵׁב עַל־רֹאשׁ הָהָר וַיְדַבֵּר אֵלָיו אִישׁ הָאֱלֹהִים הַמֶּלֶךְ דִּבֶּר רֵדָה ׃	καὶ ἀπέστειλεν πρὸς αὐτὸν πεντηκόνταρχον καὶ τοὺς πεντήκοντα αὐτοῦ, καὶ ἀνέβη πρὸς αὐτόν· καὶ ἰδοὺ Ἠλειοὺ ἐκάθητο ἐπὶ τῆς κορυφῆς τοῦ ὄρους. καὶ ἐλάλησεν ὁ πεντηκόνταρχος πρὸς αὐτὸν καὶ εἶπεν Ἄνθρωπε τοῦ θεοῦ, ὁ βασιλεὺς ἐκάλεσέν σε, κατάβηθι.	misitque ad eum quinquagenarium principem et quinquaginta qui erant sub eo qui ascendit ad eum sedentique in vertice montis ait homo Dei rex praecepit ut descendas	Misitque ad eum quinquagenarium principem, et quinquaginta qui erant sub eo. Qui ascendit ad eum: sedentique in vertice montis, ait: Homo Dei, rex præcepit ut descendas.		Then the king sent unto him a captain of fifty with his fifty. And he went up to him: and, behold, he sat on the top of an hill. And he spake unto him, Thou man of God, the king hath said, Come down.
2Kgs	1	10	וַיַּעֲנֶה אֵלִיָּהוּ וַיְדַבֵּר אֶל־שַׂר הַחֲמִשִּׁים וְאִם־אִישׁ אֱלֹהִים אָנִי תֵּרֶד אֵשׁ מִן־הַשָּׁמַיִם וְתֹאכַל אֹתְךָ וְאֶת־חֲמִשֶּׁיךָ וַתֵּרֶד אֵשׁ מִן־הַשָּׁמַיִם וַתֹּאכַל אֹתוֹ וְאֶת־חֲמִשָּׁיו ׃	καὶ ἀπεκρίθη Ἠλειοὺ καὶ εἶπεν πρὸς τὸν πεντηκόνταρχον Καὶ εἰ ἄνθρωπος θεοῦ ἐγώ, καταβήσεται πῦρ ἐκ τοῦ οὐρανοῦ καὶ καταφάγεται σὲ καὶ τοὺς πεντήκοντά σου· καὶ κατέβη πῦρ ἐκ τοῦ οὐρανοῦ καὶ κατέφαγεν αὐτὸν καὶ τοὺς πεντήκοντα αὐτοῦ.	respondensque Helias dixit quinquagenario si homo Dei sum descendat ignis e caelo et devoret te et quinquaginta tuos descendit itaque ignis e caelo et devoravit eum et quinquaginta qui erant cum eo	Respondensque Elias, dixit quinquagenario: Si homo Dei sum, descendat ignis de cælo, et devoret te, et quinquaginta tuos. Descendit itaque ignis de cælo, et devoravit eum, et quinquaginta qui erant cum eo.		And Elijah answered and said to the captain of fifty, If I be a man of God, then let fire come down from heaven, and consume thee and thy fifty. And there came down fire from heaven, and consumed him and his fifty.
2Kgs	1	11	וַיָּשָׁב וַיִּשְׁלַח אֵלָיו שַׂר־חֲמִשִּׁים אַחֵר וַחֲמִשָּׁיו וַיַּעַן וַיְדַבֵּר אֵלָיו אִישׁ הָאֱלֹהִים כֹּה־אָמַר הַמֶּלֶךְ מְהֵרָה רֵדָה ׃	καὶ προςέθετο ὁ βασιλεὺς καὶ ἀπέστειλεν πρὸς αὐτὸν ἀλλον πεντηκόνταρχον καὶ τοὺς πεντήκοντα αὐτοῦ· καὶ ἐλάλησεν ὁ πεντηκόνταρχος πρὸς αὐτὸν καὶ εἶπεν Ἄνθρωπε τοῦ θεοῦ, τάδε λέγει ὁ βασιλεύς Ταχέως κατάβηθι.	rursum misit ad eum principem quinquagenarium alterum et quinquaginta cum eo qui locutus est illi homo Dei haec dicit rex festina descende	Rursumque misit ad eum principem quinquagenarium alterum, et quinquaginta cum eo. Qui locutus est illi: Homo Dei, hæc dicit rex: Festina, descende.		Again also he sent unto him another captain of fifty with his fifty. And he answered and said unto him, O man of God, thus hath the king said, Come down quickly.
2Kgs	1	12	וַיַּעַן אֵלִיָּה וַיְדַבֵּר אֲלֵיהֶם אִם־אִישׁ הָאֱלֹהִים אָנִי תֵּרֶד אֵשׁ מִן־הַשָּׁמַיִם וְתֹאכַל אֹתְךָ וְאֶת־חֲמִשֶּׁיךָ וַתֵּרֶד אֵשׁ־אֱלֹהִים מִן־הַשָּׁמַיִם וַתֹּאכַל אֹתוֹ וְאֶת־חֲמִשָּׁיו ׃	καὶ ἀπεκρίθη Ἠλειοὺ καὶ ἐλάλησεν πρὸς αὐτὸν καὶ εἶπεν Εἰ ἄνυρωπος θεοῦ ἐγώ, καταβήσεται τῦρ ἐκ τοῦ οὐρανοῦ καὶ καταφάγεταί σε καὶ τοὺς πεντήκοντά σου· καὶ κατέβη πῦρ ἐκ τοῦ οὐρανοῦ καὶ κατέφαυγεν αὐτὸν καὶ τοὺς πεντήκοντα αὐτοῦ.	respondens Helias ait si homo Dei ego sum descendat ignis e caelo et devoret te et quinquaginta tuos descendit ergo ignis Dei e caelo et devoravit illum et quinquaginta eius	Respondens Elias, ait: Si homo Dei ego sum, descendat ignis de cælo, et devoret te, et quinquaginta tuos. Descendit ergo ignis de cælo, et devoravit illum, et quinquaginta ejus.		And Elijah answered and said unto them, If I be a man of God, let fire come down from heaven, and consume thee and thy fifty. And the fire of God came down from heaven, and consumed him and his fifty.
