book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
2Pet	1	1			Simon Petrus servus et apostolus Iesu Christi his qui coaequalem nobis sortiti sunt fidem in iustitia Dei nostri et salvatoris Iesu Christi	Simon Petrus, servus et apostolus Jesu Christi, iis qui coqualem nobiscum sortiti sunt fidem in justitia Dei nostri, et Salvatoris Jesu Christi.	συμεων  σιμων  πετρος δουλος και αποστολος ιησου χριστου τοις ισοτιμον ημιν λαχουσιν πιστιν εν δικαιοσυνη του θεου ημων και σωτηρος  ημων  ιησου χριστου 	Simon Peter, a servant and an apostle of Jesus Christ, to them that have obtained like precious faith with us through the righteousness of God and our Saviour Jesus Christ:
2Pet	1	2			gratia vobis et pax adimpleatur in cognitione Domini nostri	Gratia vobis, et pax adimpleatur in cognitione Dei, et Christi Jesu Domini nostri:	χαρις υμιν και ειρηνη πληθυνθειη εν επιγνωσει του θεου και ιησου του κυριου ημων 	Grace and peace be multiplied unto you through the knowledge of God, and of Jesus our Lord,
2Pet	1	3			quomodo omnia nobis divinae virtutis suae quae ad vitam et pietatem donata est per cognitionem eius qui vocavit nos propria gloria et virtute	Quomodo omnia nobis divin virtutis su, qu ad vitam et pietatem donata sunt, per cognitionem ejus, qui vocavit nos propria gloria, et virtute,	ως παντα ημιν της θειας δυναμεως αυτου τα προς ζωην και ευσεβειαν δεδωρημενης δια της επιγνωσεως του καλεσαντος ημας δια δοξης και αρετης 	According as his divine power hath given unto us all things that pertain unto life and godliness, through the knowledge of him that hath called us to glory and virtue:
2Pet	1	4			per quae maxima et pretiosa nobis promissa donavit ut per haec efficiamini divinae consortes naturae fugientes eius quae in mundo est concupiscentiae corruptionem	per quem maxima, et pretiosa nobis promissa donavit: ut per hc efficiamini divin consortes natur: fugientes ejus, qu in mundo est, concupiscenti corruptionem.	δι ων τα μεγιστα ημιν και τιμια επαγγελματα δεδωρηται ινα δια τουτων γενησθε θειας κοινωνοι φυσεως αποφυγοντες της εν κοσμω εν επιθυμια φθορας 	Whereby are given unto us exceeding great and precious promises: that by these ye might be partakers of the divine nature, having escaped the corruption that is in the world through lust.
2Pet	1	5			vos autem curam omnem subinferentes ministrate in fide vestra virtutem in virtute autem scientiam	Vos autem curam omnem subinferentes, ministrate in fide vestra virtutem, in virtute autem scientiam,	και αυτο τουτο δε σπουδην πασαν παρεισενεγκαντες επιχορηγησατε εν τη πιστει υμων την αρετην εν δε τη αρετη την γνωσιν 	And beside this, giving all diligence, add to your faith virtue; and to virtue knowledge;
2Pet	1	6			in scientia autem abstinentiam in abstinentia autem patientiam in patientia autem pietatem	in scientia autem abstinentiam, in abstinentia autem patientiam, in patientia autem pietatem,	εν δε τη γνωσει την εγκρατειαν εν δε τη εγκρατεια την υπομονην εν δε τη υπομονη την ευσεβειαν 	And to knowledge temperance; and to temperance patience; and to patience godliness;
2Pet	1	7			in pietate autem amorem fraternitatis in amore autem fraternitatis caritatem	in pietate autem amorem fraternitatis, in amore autem fraternitatis caritatem.	εν δε τη ευσεβεια την φιλαδελφιαν εν δε τη φιλαδελφια την αγαπην 	And to godliness brotherly kindness; and to brotherly kindness charity.
2Pet	1	8			haec enim vobis cum adsint et superent non vacuos nec sine fructu vos constituent in Domini nostri Iesu Christi cognitione	Hc enim si vobiscum adsint, et superent, non vacuos nec sine fructu vos constituent in Domini nostri Jesu Christi cognitione.	ταυτα γαρ υμιν υπαρχοντα και πλεοναζοντα ουκ αργους ουδε ακαρπους καθιστησιν εις την του κυριου ημων ιησου χριστου επιγνωσιν 	For if these things be in you, and abound, they make you that ye shall neither be barren nor unfruitful in the knowledge of our Lord Jesus Christ.
2Pet	1	9			cui enim non praesto sunt haec caecus est et manu temptans oblivionem accipiens purgationis veterum suorum delictorum	Cui enim non prsto sunt hc, ccus est, et manu tentans, oblivionem accipiens purgationis veterum suorum delictorum.	ω γαρ μη παρεστιν ταυτα τυφλος εστιν μυωπαζων ληθην λαβων του καθαρισμου των παλαι αυτου αμαρτιων 	But he that lacketh these things is blind, and cannot see afar off, and hath forgotten that he was purged from his old sins.
2Pet	1	10			quapropter fratres magis satagite ut per bona opera certam vestram vocationem et electionem faciatis haec enim facientes non peccabitis aliquando	Quapropter fratres, magis satagite ut per bona opera certam vestram vocationem, et electionem faciatis: hc enim facientes, non peccabitis aliquando.	διο μαλλον αδελφοι σπουδασατε βεβαιαν υμων την κλησιν και εκλογην ποιεισθαι ταυτα γαρ ποιουντες ου μη πταισητε ποτε 	Wherefore the rather, brethren, give diligence to make your calling and election sure: for if ye do these things, ye shall never fall:
