book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
2Sam	1	1	וַיְהִי אַחֲרֵי מוֹת שָׁאוּל וְדָוִד שָׁב מֵהַכּוֹת אֶת־הָעֲמָלֵק וַיֵּשֶׁב דָּוִד בְּצִקְלָג יָמִים שְׁנָיִם ׃	ΚΑΙ ἐγένετο μετὰ τὸ ἀποθανεῖν Σαοὐλ, καὶ Δαυεὶδ ἀνέστρεψεν Β. τύπτων τὸν Ἀμαλήκ· καὶ ἐκάθισεν Δαυεὶδ ἐν Σεκ	factum est autem postquam mortuus est Saul ut David reverteretur a caede Amalech et maneret in Siceleg dies duos	Factum est autem, postquam mortuus est Saul, ut David reverteretur a cde Amalec, et maneret in Siceleg duos dies.		Now it came to pass after the death of Saul, when David was returned from the slaughter of the Amalekites, and David had abode two days in Ziklag;
2Sam	1	2	וַיְהִי בַּיּוֹם הַשְּׁלִישִׁי וְהִנֵּה אִישׁ בָּא מִן־הַמַּחֲנֶה מֵעִם שָׁאוּל וּבְגָדָיו קְרֻעִים וַאֲדָמָה עַל־רֹאשׁוֹ וַיְהִי בְּבֹאוֹ אֶל־דָּוִד וַיִּפֹּל אַרְצָה וַיִּשְׁתָּחוּ ׃	καὶ ἐγενήθη τῆ ἡμέρᾳ τῇ τρίτῃ καὶ ἰδοὺ ἀνὴρ ἦλθεν ἐκ τῆ ἐκ τοῦ λαοῦ Σαούλ, καὶ τὰ ἱμάτια αὐτοῦ διερρωγότα καὶ γῆ ἐπὶ τῆς κεφαλῆς αὐτοῦ· καὶ ἐγένετο ἐν τῷ εἰσελθεῖν αὐτὸν πρὸς Δαυεὶδ καὶ ἔπεσεν ἐπὶ τὴν γῆν καὶ προσεκύνησεν αὐτῷ.	in die autem tertia apparuit homo veniens de castris Saul veste conscissa et pulvere aspersus caput et ut venit ad David cecidit super faciem suam et adoravit	In die autem tertia apparuit homo veniens de castris Saul veste conscissa, et pulvere conspersus caput: et ut venit ad David, cecidit super faciem suam, et adoravit.		It came even to pass on the third day, that, behold, a man came out of the camp from Saul with his clothes rent, and earth upon his head: and so it was, when he came to David, that he fell to the earth, and did obeisance.
2Sam	1	3	וַיֹּאמֶר לוֹ דָּוִד אֵי מִזֶּה תָּבוֹא וַיֹּאמֶר אֵלָיו מִמַּחֲנֵה יִשְׂרָאֵל נִמְלָטְתִּי ׃	καὶ εἶπεν Δαυεὶδ Πόθεν σὺ παραγίνῃ ; καὶ εἶπεν πρὸς αὐτόν Ἐκ τῆς παρεμβολῆς· Ἰσραὴλ ἐγὼ διασέσωμαι.	dixitque ad eum David unde venis qui ait ad eum de castris Israhel fugi	Dixitque ad eum David: Unde venis? Qui ait ad eum: De castris Isral fugi.		And David said unto him, From whence comest thou? And he said unto him, Out of the camp of Israel am I escaped.
2Sam	1	4	וַיֹּאמֶר אֵלָיו דָּוִד מֶה־הָיָה הַדָּבָר הַגֶּד־נָא לִי וַיֹּאמֶר אֲשֶׁר־נָס הָעָם מִן־הַמִּלְחָמָה וְגַם־הַרְבֵּה נָפַל מִן־הָעָם וַיָּמֻתוּ וְגַם שָׁאוּל וִיהוֹנָתָן בְּנוֹ מֵתוּ ׃	καὶ εἶπεν αὐτῷ Δαυεὶδ τίς ὁ λόγος οὗτος ; ἀπάγγειλόν μοι. καὶ εἶπεν ὅτι Ἔφυγεν ὁ λαὸς ἐκ τοῦ πολέμου, καὶ πεπτώκασι πολλοὶ ἐκ τοῦ λαοῦ καὶ ἀπέθανον. καὶ ἀπέθανεν καὶ Σαοὐλ, κοὶ Ἰωναθὰν ὁ υἱὸς αὐτοῦ ἀπέθανεν.	et dixit ad eum David quod est verbum quod factum est indica mihi qui ait fugit populus e proelio et multi corruentes e populo mortui sunt sed et Saul et Ionathan filius eius interierunt	Et dixit ad eum David: Quod est verbum quod factum est? indica mihi. Qui ait: Fugit populus ex prlio, et multi corruentes e populo mortui sunt: sed et Saul et Jonathas filius ejus interierunt.		And David said unto him, How went the matter? I pray thee, tell me. And he answered, That the people are fled from the battle, and many of the people also are fallen and dead; and Saul and Jonathan his son are dead also.
2Sam	1	5	וַיֹּאמֶר דָּוִד אֶל־הַנַּעַר הַמַּגִּיד לוֹ אֵיךְ יָדַעְתָּ כִּי־מֵת שָׁאוּל וִיהוֹנָתָן בְּנוֹ ׃	καὶ εἶπεν Δαυεὶδ τῷ παιδαρίῳ τῷ ἀπαγγέλλοντι αὐτῷ Πῶς οἶδας ὅτι τέθνηκεν Σαοὐλ καὶ Ἰωναθὰν ὁ υἱὸς αὐτοῦ;	dixitque David ad adulescentem qui nuntiabat unde scis quia mortuus est Saul et Ionathan filius eius	Dixitque David ad adolescentem qui nuntiabat ei: Unde scis quia mortuus est Saul, et Jonathas filius ejus?		And David said unto the young man that told him, How knowest thou that Saul and Jonathan his son be dead?
2Sam	1	6	וַיֹּאמֶר הַנַּעַר הַמַּגִּיד לוֹ נִקְרֹא נִקְרֵיתִי בְּהַר הַגִּלְבֹּעַ וְהִנֵּה שָׁאוּל נִשְׁעָן עַל־חֲנִיתוֹ וְהִנֵּה הָרֶכֶב וּבַעֲלֵי הַפָּרָשִׁים הִדְבִּקֻהוּ ׃	καὶ εἶπεν τὸ παιδάριον τὸ αὐτῷ Περιπτώματι περιέπεσαν ἐν τῷ ὄρει τῷ Γελβοῦε, κοὶ ἰδοὺ Σαοὺλ ἐπεστήρικτο ἐπὶ τὸ δόρυ αὐτοῦ, καὶ ἰδοὺ τὰ ἅρματα καὶ οἱ ἱππάρχαι συνῆψαν αὐτῷ.	ait adulescens qui narrabat ei casu veni in montem Gelboe et Saul incumbebat super hastam suam porro currus et equites adpropinquabant ei	Et ait adolescens qui nuntiabat ei: Casu veni in montem Gelbo, et Saul incumbebat super hastam suam: porro currus et equites appropinquabant ei,		And the young man that told him said, As I happened by chance upon mount Gilboa, behold, Saul leaned upon his spear; and, lo, the chariots and horsemen followed hard after him.
2Sam	1	7	וַיִּפֶן אַחֲרָיו וַיִּרְאֵנִי וַיִּקְרָא אֵלָי וָאֹמַר הִנֵּנִי ׃	καὶ ἐπέβλεψεν ἐπὶ τὰ ὀπίσω αὐτοῦ, καὶ καὶ ἐκάλεσέν με, καὶ εἶπα Ἴδου ἐγώ.	et conversus post tergum suum vidensque me vocavit cui cum respondissem adsum	et conversus post tergum suum, vidensque me, vocavit. Cui cum respondissem: Adsum:		And when he looked behind him, he saw me, and called unto me. And I answered, Here am I.
2Sam	1	8	וַיֹּאמֶר לִי מִי־אָתָּה וַיֹּאמֶר אֵלָיו עֲמָלֵקִי אָנֹכִי ׃	καὶ εἰπέν μοι τίς εἰ σύ καὶ εἶπα Ἀμαληκείτης κε ἴτης ἐγώ εἰμι.	dixit mihi quisnam es tu et aio ad eum Amalechites sum	dixit mihi: Quisnam es tu? Et aio ad eum: Amalecites ego sum.		And he said unto me, Who art thou? And I answered him, I am an Amalekite.
2Sam	1	9	וַיֹּאמֶר אֵלַי עֲמָד־נָא עָלַי וּמֹתְתֵנִי כִּי אֲחָזַנִי הַשָּׁבָץ כִּי־כָל־עוֹד נַפְשִׁי בִּי ׃	καὶ εἶπεν πρὸς μέ Στῆθι δὴ μου καὶ θανάτωσόν με, ὄτι κατέσχεν με σκότος δεινόν, ὅτι πᾶσα ἡ ψυχή μου ἐν ἐμοί.	et locutus est mihi sta super me et interfice me quoniam tenent me angustiae et adhuc tota anima in me est	Et locutus est mihi: Sta super me, et interfice me: quoniam tenent me angusti, et adhuc tota anima mea in me est.		He said unto me again, Stand, I pray thee, upon me, and slay me: for anguish is come upon me, because my life is yet whole in me.
2Sam	1	10	וָאֶעֱמֹד עָלָיו וַאֲמֹתְתֵהוּ כִּי יָדַעְתִּי כִּי לֹא יִחְיֶה אַחֲרֵי נִפְלוֹ וָאֶקַּח הַנֵּזֶר אֲשֶׁר עַל־רֹאשׁוֹ וְאֶצְעָדָה אֲשֶׁר עַל־זְרֹעוֹ וָאֲבִיאֵם אֶל־אֲדֹנִי הֵנָּה ׃	καὶ ἐπέστην ἐπ’ αὐτὸν καὶ ἐθανάτωσα ὅτι ᾔδειν ὅτι οὐ ζήσεται μετὰ τὸ πεσεῖν αὐτόν· καὶ ἔλαβον τὸ βασίλειον τὸ ἐπὶ τὴν κεφαλὴν αὐτοῦ καὶ τὸν χλίδωνα τὸν ἐπὶ τοῦ αὐτοῦ, καὶ ἐνήνοχα αὐτὰ τῷ κυρίῳ μου ὧδε.	stansque super eum occidi illum sciebam enim quod vivere non poterat post ruinam et tuli diadema quod erat in capite eius et armillam de brachio illius et adtuli ad te dominum meum huc	Stansque super eum, occidi illum: sciebam enim quod vivere non poterat post ruinam: et tuli diadema quod erat in capite ejus, et armillam de brachio illius, et attuli ad te dominum meum huc.		So I stood upon him, and slew him, because I was sure that he could not live after that he was fallen: and I took the crown that was upon his head, and the bracelet that was on his arm, and have brought them hither unto my lord.
