book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
2Thess	1	1			Paulus et Silvanus et Timotheus ecclesiae Thessalonicensium in Deo Patre nostro et Domino Iesu Christo	Paulus, et Sylvanus, et Timotheus, ecclesi Thessalonicensium in Deo Patre nostro, et Domino Jesu Christo.	παυλος και σιλουανος και τιμοθεος τη εκκλησια θεσσαλονικεων εν θεω πατρι ημων και κυριω ιησου χριστω 	Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians in God our Father and the Lord Jesus Christ:
2Thess	1	2			gratia vobis et pax a Deo Patre nostro et Domino Iesu Christo	Gratia vobis, et pax a Deo Patre nostro, et Domino Jesu Christo.	χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου 	Grace unto you, and peace, from God our Father and the Lord Jesus Christ.
2Thess	1	3			gratias agere debemus Deo semper pro vobis fratres ita ut dignum est quoniam supercrescit fides vestra et abundat caritas uniuscuiusque omnium vestrum in invicem	Gratias agere debemus semper Deo pro vobis, fratres, ita ut dignum est, quoniam supercrescit fides vestra, et abundat caritas uniuscujusque vestrum in invicem:	ευχαριστειν οφειλομεν τω θεω παντοτε περι υμων αδελφοι καθως αξιον εστιν οτι υπεραυξανει η πιστις υμων και πλεοναζει η αγαπη ενος εκαστου παντων υμων εις αλληλους 	We are bound to thank God always for you, brethren, as it is meet, because that your faith groweth exceedingly, and the charity of every one of you all toward each other aboundeth;
2Thess	1	4			ita ut et nos ipsi in vobis gloriemur in ecclesiis Dei pro patientia vestra et fide in omnibus persecutionibus vestris et tribulationibus quas sustinetis	ita ut et nos ipsi in vobis gloriemur in ecclesiis Dei, pro patientia vestra, et fide, et in omnibus persecutionibus vestris, et tribulationibus, quas sustinetis	ωστε ημας αυτους εν υμιν καυχασθαι εν ταις εκκλησιαις του θεου υπερ της υπομονης υμων και πιστεως εν πασιν τοις διωγμοις υμων και ταις θλιψεσιν αις ανεχεσθε 	So that we ourselves glory in you in the churches of God for your patience and faith in all your persecutions and tribulations that ye endure:
2Thess	1	5			in exemplum iusti iudicii Dei ut digni habeamini regno Dei pro quo et patimini	in exemplum justi judicii Dei, ut digni habeamini in regno Dei, pro quo et patimini.	ενδειγμα της δικαιας κρισεως του θεου εις το καταξιωθηναι υμας της βασιλειας του θεου υπερ ης και πασχετε 	Which is a manifest token of the righteous judgment of God, that ye may be counted worthy of the kingdom of God, for which ye also suffer:
2Thess	1	6			si tamen iustum est apud Deum retribuere tribulationem his qui vos tribulant	Si tamen justum est apud Deum retribuere tribulationem iis qui vos tribulant:	ειπερ δικαιον παρα θεω ανταποδουναι τοις θλιβουσιν υμας θλιψιν 	Seeing it is a righteous thing with God to recompense tribulation to them that trouble you;
2Thess	1	7			et vobis qui tribulamini requiem nobiscum in revelatione Domini Iesu de caelo cum angelis virtutis eius	et vobis, qui tribulamini, requiem nobiscum in revelatione Domini Jesu de clo cum angelis virtutis ejus,	και υμιν τοις θλιβομενοις ανεσιν μεθ ημων εν τη αποκαλυψει του κυριου ιησου απ ουρανου μετ αγγελων δυναμεως αυτου 	And to you who are troubled rest with us, when the Lord Jesus shall be revealed from heaven with his mighty angels,
2Thess	1	8			in flamma ignis dantis vindictam his qui non noverunt Deum et qui non oboediunt evangelio Domini nostri Iesu	in flamma ignis dantis vindictam iis qui non noverunt Deum, et qui non obediunt Evangelio Domini nostri Jesu Christi,	εν πυρι φλογος διδοντος εκδικησιν τοις μη ειδοσιν θεον και τοις μη υπακουουσιν τω ευαγγελιω του κυριου ημων ιησου χριστου 	In flaming fire taking vengeance on them that know not God, and that obey not the gospel of our Lord Jesus Christ:
2Thess	1	9			qui poenas dabunt in interitu aeternas a facie Domini et a gloria virtutis eius	qui pnas dabunt in interitu ternas a facie Domini, et a gloria virtutis ejus:	οιτινες δικην τισουσιν ολεθρον αιωνιον απο προσωπου του κυριου και απο της δοξης της ισχυος αυτου 	Who shall be punished with everlasting destruction from the presence of the Lord, and from the glory of his power;
2Thess	1	10			cum venerit glorificari in sanctis suis et admirabilis fieri in omnibus qui crediderunt quia creditum est testimonium nostrum super vos in die illo	cum venerit glorificari in sanctis suis, et admirabilis fieri in omnibus, qui crediderunt, quia creditum est testimonium nostrum super vos in die illo.	οταν ελθη ενδοξασθηναι εν τοις αγιοις αυτου και θαυμασθηναι εν πασιν τοις πιστευουσιν οτι επιστευθη το μαρτυριον ημων εφ υμας εν τη ημερα εκεινη 	When he shall come to be glorified in his saints, and to be admired in all them that believe (because our testimony among you was believed) in that day.
