book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
2Tim	1	1			Paulus apostolus Christi Iesu per voluntatem Dei secundum promissionem vitae quae est in Christo Iesu	Paulus Apostolus Jesu Christi per voluntatem Dei, secundum promissionem vit, qu est in Christo Jesu,	παυλος αποστολος ιησου χριστου δια θεληματος θεου κατ επαγγελιαν ζωης της εν χριστω ιησου 	Paul, an apostle of Jesus Christ by the will of God, according to the promise of life which is in Christ Jesus,
2Tim	1	2			Timotheo carissimo filio gratia misericordia pax a Deo Patre et Christo Iesu Domino nostro	Timotheo carissimo filio: gratia, misericordia, pax a Deo Patre, et Christo Jesu Domino nostro.	τιμοθεω αγαπητω τεκνω χαρις ελεος ειρηνη απο θεου πατρος και χριστου ιησου του κυριου ημων 	To Timothy, my dearly beloved son: Grace, mercy, and peace, from God the Father and Christ Jesus our Lord.
2Tim	1	3			gratias ago Deo cui servio a progenitoribus in conscientia pura quam sine intermissione habeam tui memoriam in orationibus meis nocte ac die	Gratias ago Deo, cui servio a progenitoribus in conscientia pura, quod sine intermissione habeam tui memoriam in orationibus meis, nocte ac die	χαριν εχω τω θεω ω λατρευω απο προγονων εν καθαρα συνειδησει ως αδιαλειπτον εχω την περι σου μνειαν εν ταις δεησεσιν μου νυκτος και ημερας 	I thank God, whom I serve from my forefathers with pure conscience, that without ceasing I have remembrance of thee in my prayers night and day;
2Tim	1	4			desiderans te videre memor lacrimarum tuarum ut gaudio implear	desiderans te videre, memor lacrimarum tuarum, ut gaudio implear,	επιποθων σε ιδειν μεμνημενος σου των δακρυων ινα χαρας πληρωθω 	Greatly desiring to see thee, being mindful of thy tears, that I may be filled with joy;
2Tim	1	5			recordationem accipiens eius fidei quae est in te non ficta quae et habitavit primum in avia tua Loide et matre tua Eunice certus sum autem quod et in te	recordationem accipiens ejus fidei, qu est in te non ficta, qu et habitavit primum in avia tua Loide, et matre tua Eunice, certus sum autem quod et in te.	υπομνησιν λαμβανων της εν σοι ανυποκριτου πιστεως ητις ενωκησεν πρωτον εν τη μαμμη σου λωιδι και τη μητρι σου ευνεικη  ευνικη  πεπεισμαι δε οτι και εν σοι 	When I call to remembrance the unfeigned faith that is in thee, which dwelt first in thy grandmother Lois, and thy mother Eunice; and I am persuaded that in thee also.
2Tim	1	6			propter quam causam admoneo te ut resuscites gratiam Dei quae est in te per inpositionem manuum mearum	Propter quam causam admoneo te ut resuscites gratiam Dei, qu est in te per impositionem manuum mearum.	δι ην αιτιαν αναμιμνησκω σε αναζωπυρειν το χαρισμα του θεου ο εστιν εν σοι δια της επιθεσεως των χειρων μου 	Wherefore I put thee in remembrance that thou stir up the gift of God, which is in thee by the putting on of my hands.
2Tim	1	7			non enim dedit nobis Deus spiritum timoris sed virtutis et dilectionis et sobrietatis	Non enim dedit nobis Deus spiritum timoris: sed virtutis, et dilectionis, et sobrietatis.	ου γαρ εδωκεν ημιν ο θεος πνευμα δειλιας αλλα δυναμεως και αγαπης και σωφρονισμου 	For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind.
2Tim	1	8			noli itaque erubescere testimonium Domini nostri neque me vinctum eius sed conlabora evangelio secundum virtutem Dei	Noli itaque erubescere testimonium Domini nostri, neque me vinctum ejus: sed collabora Evangelio secundum virtutem Dei:	μη ουν επαισχυνθης το μαρτυριον του κυριου ημων μηδε εμε τον δεσμιον αυτου αλλα συγκακοπαθησον τω ευαγγελιω κατα δυναμιν θεου 	Be not thou therefore ashamed of the testimony of our Lord, nor of me his prisoner: but be thou partaker of the afflictions of the gospel according to the power of God;
2Tim	1	9			qui nos liberavit et vocavit vocatione sancta non secundum opera nostra sed secundum propositum suum et gratiam quae data est nobis in Christo Iesu ante tempora saecularia	qui nos liberavit, et vocavit vocatione sua sancta, non secundum opera nostra, sed secundum propositum suum, et gratiam, qu data est nobis in Christo Jesu ante tempora scularia.	του σωσαντος ημας και καλεσαντος κλησει αγια ου κατα τα εργα ημων αλλα κατ ιδιαν προθεσιν και χαριν την δοθεισαν ημιν εν χριστω ιησου προ χρονων αιωνιων 	Who hath saved us, and called us with an holy calling, not according to our works, but according to his own purpose and grace, which was given us in Christ Jesus before the world began,
2Tim	1	10			manifestata est autem nunc per inluminationem salvatoris nostri Iesu Christi qui destruxit quidem mortem inluminavit autem vitam et incorruptionem per evangelium	Manifestata est autem nunc per illuminationem Salvatoris nostri Jesu Christi, qui destruxit quidem mortem, illuminavit autem vitam, et incorruptionem per Evangelium:	φανερωθεισαν δε νυν δια της επιφανειας του σωτηρος ημων ιησου χριστου καταργησαντος μεν τον θανατον φωτισαντος δε ζωην και αφθαρσιαν δια του ευαγγελιου 	But is now made manifest by the appearing of our Saviour Jesus Christ, who hath abolished death, and hath brought life and immortality to light through the gospel:
