book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Acts	1	1			primum quidem sermonem feci de omnibus o Theophile quae coepit Iesus facere et docere	Primum quidem sermonem feci de omnibus, o Theophile, qu cpit Jesus facere et docere	τον μεν πρωτον λογον εποιησαμην περι παντων ω θεοφιλε ων ηρξατο ο ιησους ποιειν τε και διδασκειν 	The former treatise have I made, O Theophilus, of all that Jesus began both to do and teach,
Acts	1	2			usque in diem qua praecipiens apostolis per Spiritum Sanctum quos elegit adsumptus est	usque in diem qua prcipiens Apostolis per Spiritum Sanctum, quos elegit, assumptus est:	αχρι ης ημερας εντειλαμενος τοις αποστολοις δια πνευματος αγιου ους εξελεξατο ανεληφθη 	Until the day in which he was taken up, after that he through the Holy Ghost had given commandments unto the apostles whom he had chosen:
Acts	1	3			quibus et praebuit se ipsum vivum post passionem suam in multis argumentis per dies quadraginta apparens eis et loquens de regno Dei	quibus et prbuit seipsum vivum post passionem suam in multis argumentis, per dies quadraginta apparens eis, et loquens de regno Dei.	οις και παρεστησεν εαυτον ζωντα μετα το παθειν αυτον εν πολλοις τεκμηριοις δι ημερων τεσσαρακοντα οπτανομενος αυτοις και λεγων τα περι της βασιλειας του θεου 	To whom also he shewed himself alive after his passion by many infallible proofs, being seen of them forty days, and speaking of the things pertaining to the kingdom of God:
Acts	1	4			et convescens praecepit eis ab Hierosolymis ne discederent sed expectarent promissionem Patris quam audistis per os meum	Et convescens, prcepit eis ab Jerosolymis ne discederent, sed exspectarent promissionem Patris, quam audistis (inquit) per os meum:	και συναλιζομενος  μετ αυτων  παρηγγειλεν αυτοις απο ιεροσολυμων μη χωριζεσθαι αλλα περιμενειν την επαγγελιαν του πατρος ην ηκουσατε μου 	And, being assembled together with them, commanded them that they should not depart from Jerusalem, but wait for the promise of the Father, which, saith he, ye have heard of me.
Acts	1	5			quia Iohannes quidem baptizavit aqua vos autem baptizabimini Spiritu Sancto non post multos hos dies	quia Joannes quidem baptizavit aqua, vos autem baptizabimini Spiritu Sancto non post multos hos dies.	οτι ιωαννης μεν εβαπτισεν υδατι υμεις δε βαπτισθησεσθε εν πνευματι αγιω ου μετα πολλας ταυτας ημερας 	For John truly baptized with water; but ye shall be baptized with the Holy Ghost not many days hence.
Acts	1	6			igitur qui convenerant interrogabant eum dicentes Domine si in tempore hoc restitues regnum Israhel	Igitur qui convenerant, interrogabant eum, dicentes: Domine, si in tempore hoc restitues regnum Isral?	οι μεν ουν συνελθοντες επηρωτων αυτον λεγοντες κυριε ει εν τω χρονω τουτω αποκαθιστανεις την βασιλειαν τω ισραηλ 	When they therefore were come together, they asked of him, saying, Lord, wilt thou at this time restore again the kingdom to Israel?
Acts	1	7			dixit autem eis non est vestrum nosse tempora vel momenta quae Pater posuit in sua potestate	Dixit autem eis: Non est vestrum nosse tempora vel momenta qu Pater posuit in sua potestate:	ειπεν δε προς αυτους ουχ υμων εστιν γνωναι χρονους η καιρους ους ο πατηρ εθετο εν τη ιδια εξουσια 	And he said unto them, It is not for you to know the times or the seasons, which the Father hath put in his own power.
Acts	1	8			sed accipietis virtutem supervenientis Spiritus Sancti in vos et eritis mihi testes in Hierusalem et in omni Iudaea et Samaria et usque ad ultimum terrae	sed accipietis virtutem supervenientis Spiritus Sancti in vos, et eritis mihi testes in Jerusalem, et in omni Juda, et Samaria, et usque ad ultimum terr.	αλλα ληψεσθε δυναμιν επελθοντος του αγιου πνευματος εφ υμας και εσεσθε μοι μαρτυρες εν τε ιερουσαλημ και εν παση τη ιουδαια και σαμαρεια και εως εσχατου της γης 	But ye shall receive power, after that the Holy Ghost is come upon you: and ye shall be witnesses unto me both in Jerusalem, and in all Judaea, and in Samaria, and unto the uttermost part of the earth.
Acts	1	9			et cum haec dixisset videntibus illis elevatus est et nubes suscepit eum ab oculis eorum	Et cum hc dixisset, videntibus illis, elevatus est: et nubes suscepit eum ab oculis eorum.	και ταυτα ειπων βλεποντων αυτων επηρθη και νεφελη υπελαβεν αυτον απο των οφθαλμων αυτων 	And when he had spoken these things, while they beheld, he was taken up; and a cloud received him out of their sight.
Acts	1	10			cumque intuerentur in caelum eunte illo ecce duo viri adstiterunt iuxta illos in vestibus albis	Cumque intuerentur in clum euntem illum, ecce duo viri astiterunt juxta illos in vestibus albis,	και ως ατενιζοντες ησαν εις τον ουρανον πορευομενου αυτου και ιδου ανδρες δυο παρειστηκεισαν αυτοις εν εσθητι λευκη 	And while they looked stedfastly toward heaven as he went up, behold, two men stood by them in white apparel;
Acts	1	11			qui et dixerunt viri galilaei quid statis aspicientes in caelum hic Iesus qui adsumptus est a vobis in caelum sic veniet quemadmodum vidistis eum euntem in caelum	qui et dixerunt: Viri Galili, quid statis aspicientes in clum? Hic Jesus, qui assumptus est a vobis in clum, sic veniet quemadmodum vidistis eum euntem in clum.	οι και ειπον ανδρες γαλιλαιοι τι εστηκατε εμβλεποντες εις τον ουρανον ουτος ο ιησους ο αναληφθεις αφ υμων εις τον ουρανον ουτως ελευσεται ον τροπον εθεασασθε αυτον πορευομενον εις τον ουρανον 	Which also said, Ye men of Galilee, why stand ye gazing up into heaven? this same Jesus, which is taken up from you into heaven, shall so come in like manner as ye have seen him go into heaven.
Acts	1	12			tunc reversi sunt Hierosolymam a monte qui vocatur Oliveti qui est iuxta Hierusalem sabbati habens iter	Tunc reversi sunt Jerosolymam a monte qui vocatur Oliveti, qui est juxta Jerusalem, sabbati habens iter.	τοτε υπεστρεψαν εις ιερουσαλημ απο ορους του καλουμενου ελαιωνος ο εστιν εγγυς ιερουσαλημ σαββατου εχον οδον 	Then returned they unto Jerusalem from the mount called Olivet, which is from Jerusalem a sabbath day's journey.
