book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Amos	1	1	דִּבְרֵי עָמוֹס אֲשֶׁר־הָיָה בַנֹּקְדִים מִתְּקוֹעַ אֲשֶׁר חָזָה עַל־יִשְׂרָאֵל בִּימֵי עֻזִּיָּה מֶלֶךְ־יְהוּדָה וּבִימֵי יָרָבְעָם בֶּן־יוֹאָשׁ מֶלֶךְ יִשְׂרָאֵל שְׁנָתַיִם לִפְנֵי הָרָעַשׁ ׃	ΛΟΓΟΙ Ἀμὼς οἱ ἐγένοντο ἐν Ἀκκαρεὶμ ἐν Θεκοῦε, οὓς εἶδεν ὑπέρ Ἰερουσαλὴμ ἐν ἡμέραις Οζείου βασιλέως Ἰούδα καὶ ἐν ἡμέραις Ἰεροβοὰμ τοῦ Ἰωὰς βασιλέως Ἰσραήλ, πρὸ δύο ἐτῶν τοῦ σεισμοῦ.	verba Amos qui fuit in pastoralibus de Thecuae quae vidit super Israhel in diebus Oziae regis Iuda et in diebus Hieroboam filii Ioas regis Israhel ante duos annos terraemotus	Verba Amos, qui fuit in pastoribus de Thecue, qu vidit super Isral in diebus Ozi, regis Juda, et in diebus Jeroboam, filii Joas, regis Isral, ante duos annos terrmotus.		The words of Amos, who was among the herdmen of Tekoa, which he saw concerning Israel in the days of Uzziah king of Judah, and in the days of Jeroboam the son of Joash king of Israel, two years before the earthquake.
Amos	1	2	וַיֹּאמַר יְהוָה מִצִּיּוֹן יִשְׁאָג וּמִירוּשָׁלִַם יִתֵּן קוֹלוֹ וְאָבְלוּ נְאוֹת הָרֹעִים וְיָבֵשׁ רֹאשׁ הַכַּרְמֶל ׃ פ	Καὶ εἶπεν Κύριος ἐκ Σιὼν ἐφθέγξατο, καὶ ἐξ Ἰερουσαλήμ ἔδωκεν φωνὴν αὐτοῦ, καὶ ἐπένθησαν αἱ νομαὶ τῶν ποιμένων, καὶ ἐξηράνθη ἡ κορυφὴ τοῦ Καρμήλου.	et dixit Dominus de Sion rugiet et de Hierusalem dabit vocem suam et luxerunt speciosa pastorum et exsiccatus est vertex Carmeli	Et dixit: [Dominus de Sion rugiet, et de Jerusalem dabit vocem suam; et luxerunt speciosa pastorum, et exsiccatus est vertex Carmeli.		And he said, The Lord will roar from Zion, and utter his voice from Jerusalem; and the habitations of the shepherds shall mourn, and the top of Carmel shall wither.
Amos	1	3	כֹּה אָמַר יְהוָה עַל־שְׁלֹשָׁה פִּשְׁעֵי דַמֶּשֶׂק וְעַל־אַרְבָּעָה לֹא אֲשִׁיבֶנּוּ עַל־דּוּשָׁם בַּחֲרֻצוֹת הַבַּרְזֶל אֶת־הַגִּלְעָד ׃	Καὶ εἶπεν Κύριος Ἐπὶ ταῖς τρισὶν ἀσεβείαις Δαμασκοῦ καὶ ἐπὶ ταῖς τέσσαρσιν οὐκ ἀποστραφήσομαι αὐτόν, ἀνθʼ ὧν ἔπριζον πρίοσιν σιδηροῖς τὰς ἐν γαστρὶ ἐχούσας τῶν ἐν Γαλαάδ·	haec dicit Dominus super tribus sceleribus Damasci et super quattuor non convertam eum eo quod trituraverint in plaustris ferreis Galaad	Hc dicit Dominus: Super tribus sceleribus Damasci, et super quatuor non convertam eum, eo quod trituraverint in plaustris ferreis Galaad.		Thus saith the Lord; For three transgressions of Damascus, and for four, I will not turn away the punishment thereof; because they have threshed Gilead with threshing instruments of iron:
Amos	1	4	וְשִׁלַּחְתִּי אֵשׁ בְּבֵית חֲזָאֵל וְאָכְלָה אַרְמְנוֹת בֶּן־הֲדָד ׃	καὶ ἐξαποστελῶ πῦρ εἰς τὸν οἶκον Ἁζαήλ, καὶ καταφάγεται θεμέλια υἱοῦ Ἁδέρ·	et mittam ignem in domum Azahel et devorabit domos Benadad	Et mittam ignem in domum Azal, et devorabit domos Benadad.		But I will send a fire into the house of Hazael, which shall devour the palaces of Benhadad.
Amos	1	5	וְשָׁבַרְתִּי בְּרִיחַ דַּמֶּשֶׂק וְהִכְרַתִּי יוֹשֵׁב מִבִּקְעַת־אָוֶן וְתוֹמֵךְ שֵׁבֶט מִבֵּית עֶדֶן וְגָלוּ עַם־אֲרָם קִירָה אָמַר יְהוָה ׃ פ	καὶ συντρίψω μοχλοὺς Δαμασκοῦ, καὶ ἐξολεθρεύσω κατοικοῦντας ἐκ πεδίου Ὤν, καὶ κατακόψω φυλὴν ἐξ ἀνδρῶν Χάρράν, καὶ αἰχμαλωτευθήσεται λαὸς Συρίας ἐπίκλητος, λέγει Κύριος.	et conteram vectem Damasci et disperdam habitatorem de campo Idoli et tenentem sceptrum de domo Voluptatis et transferetur populus Syriae Cyrenen dicit Dominus	Et conteram vectem Damasci: et disperdam habitatorem de campo idoli, et tenentem sceptrum de domo voluptatis: et transferetur populus Syri Cyrenen, dicit Dominus.		I will break also the bar of Damascus, and cut off the inhabitant from the plain of Aven, and him that holdeth the sceptre from the house of Eden: and the people of Syria shall go into captivity unto Kir, saith the Lord.
Amos	1	6	כֹּה אָמַר יְהוָה עַל־שְׁלֹשָׁה פִּשְׁעֵי עַזָּה וְעַל־אַרְבָּעָה לֹא אֲשִׁיבֶנּוּ עַל־הַגְלוֹתָם גָּלוּת שְׁלֵמָה לְהַסְגִּיר לֶאֱדוֹם ׃	Τάδε λέγει Κύριος Ἐπὶ ταῖς τρισὶν ἀσεβείαις Γάζης καὶ ἐπὶ ταῖς τέσσαρσιν οὐκ ἀποστραφήσομαι αὐτούς, ἕνεκεν τοῦ αἰχμαλωτεῦσαι αὐτοὺς αἰχμαλωσίαν τοῦ Σαλωμών, τοῦ συγκλεῖσαι εἰς τὴν Ἰδουμαίαν·	haec dicit Dominus super tribus sceleribus Gazae et super quattuor non convertam eum eo quod transtulerit captivitatem perfectam ut concluderet eam in Idumea	Hc dicit Dominus: Super tribus sceleribus Gaz, et super quatuor non convertam eum, eo quod transtulerint captivitatem perfectam, ut concluderent eam in Iduma.		Thus saith the Lord; For three transgressions of Gaza, and for four, I will not turn away the punishment thereof; because they carried away captive the whole captivity, to deliver them up to Edom:
Amos	1	7	וְשִׁלַּחְתִּי אֵשׁ בְּחוֹמַת עַזָּה וְאָכְלָה אַרְמְנֹתֶיהָ ׃	καὶ ἐξαποστελῶ πῦρ ἐπὶ τὰ τείχη Γάζης, καὶ καταφάγεται θεμέλια αὐτῆς.	et mittam ignem in murum Gazae et devorabit aedes eius	Et mittam ignem in murum Gaz, et devorabit des ejus.		But I will send a fire on the wall of Gaza, which shall devour the palaces thereof:
Amos	1	8	וְהִכְרַתִּי יוֹשֵׁב מֵאַשְׁדּוֹד וְתוֹמֵךְ שֵׁבֶט מֵאַשְׁקְלוֹן וַהֲשִׁיבוֹתִי יָדִי עַל־עֶקְרוֹן וְאָבְדוּ שְׁאֵרִית פְּלִשְׁתִּים אָמַר אֲדֹנָי יְהוִה ׃ פ	καὶ ἐξολεθρεύσω κατοικοῦντας ἐξ Ἀζώτου, καὶ ἐξαρθήσεται φυλὴ ἐξ Ἀσκάλωνος, καὶ ἐπάξω τὴν χεῖρά μου ἐπὶ Ἀκκαρών, καὶ ἀπολοῦνται οἱ κατάλοιποι τῶν ἀλλοφύλων, λέγει Κύριος.	et disperdam habitatorem de Azoto et tenentem sceptrum de Ascalone et convertam manum meam super Accaron et peribunt reliqui Philisthinorum dicit Dominus Deus	Et disperdam habitatorem de Azoto, et tenentem sceptrum de Ascalone: et convertam manum meam super Accaron, et peribunt reliqui Philisthinorum, dicit Dominus Deus.		And I will cut off the inhabitant from Ashdod, and him that holdeth the sceptre from Ashkelon, and I will turn mine hand against Ekron: and the remnant of the Philistines shall perish, saith the Lord God.
Amos	1	9	כֹּה אָמַר יְהוָה עַל־שְׁלֹשָׁה פִּשְׁעֵי־צֹר וְעַל־אַרְבָּעָה לֹא אֲשִׁיבֶנּוּ עַל־הַסְגִּירָם גָּלוּת שְׁלֵמָה לֶאֱדוֹם וְלֹא זָכְרוּ בְּרִית אַחִים ׃	Τάδε λέγει Κύριος Ἐπὶ ταῖς τρισὶν ἀσεβείαις Γύρου καὶ ἐπὶ ταῖς τέσσαρσιν οὐκ ἀποστραφήσομαι αὐτήν, ἀνθʼ ὧν συνέκλεισαν αἰχμαλωσίαν τοῦ Σαλωμὼν εἰς τὴν Ἰδουμαίαν, καὶ οὐκ ἐμνήσθησαν διαθήκης ἀδελφῶν·	haec dicit Dominus super tribus sceleribus Tyri et super quattuor non convertam eum eo quod concluserint captivitatem perfectam in Idumea et non sint recordati foederis fratrum	Hc dicit Dominus: Super tribus sceleribus Tyri, et super quatuor non convertam eum, eo quod concluserint captivitatem perfectam in Iduma, et non sint recordati fderis fratrum.		Thus saith the Lord; For three transgressions of Tyrus, and for four, I will not turn away the punishment thereof; because they delivered up the whole captivity to Edom, and remembered not the brotherly covenant:
Amos	1	10	וְשִׁלַּחְתִּי אֵשׁ בְּחוֹמַת צֹר וְאָכְלָה אַרְמְנֹתֶיהָ ׃ פ	καὶ ἐξαποστελῶ πῦρ ἐπὶ τὰ τείχη Τύρου, καὶ καταφάγεται τὰ θεμέλια αὐτῆς.	et emittam ignem in murum Tyri et devorabit aedes eius	Et mittam ignem in murum Tyri, et devorabit des ejus.		But I will send a fire on the wall of Tyrus, which shall devour the palaces thereof.
