book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Col	1	1			Paulus apostolus Christi Iesu per voluntatem Dei et Timotheus frater	Paulus Apostolus Jesu Christi per voluntatem Dei, et Timotheus frater:	παυλος αποστολος ιησου χριστου δια θεληματος θεου και τιμοθεος ο αδελφος 	Paul, an apostle of Jesus Christ by the will of God, and Timotheus our brother,
Col	1	2			his qui sunt Colossis sanctis et fidelibus fratribus in Christo Iesu gratia vobis et pax a Deo Patre nostro	eis, qui sunt Colossis, sanctis, et fidelibus fratribus in Christo Jesu.	τοις εν κολασσαις  κολοσσαις   αγιοις και πιστοις αδελφοις εν χριστω χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου 	To the saints and faithful brethren in Christ which are at Colosse: Grace be unto you, and peace, from God our Father and the Lord Jesus Christ.
Col	1	3			gratias agimus Deo et Patri Domini nostri Iesu Christi semper pro vobis orantes	Gratia vobis, et pax a Deo Patre nostro, et Domino Jesu Christo. Gratias agimus Deo, et Patri Domini nostri Jesu Christi semper pro vobis orantes:	ευχαριστουμεν τω θεω και πατρι του κυριου ημων ιησου χριστου παντοτε περι υμων προσευχομενοι 	We give thanks to God and the Father of our Lord Jesus Christ, praying always for you,
Col	1	4			audientes fidem vestram in Christo Iesu et dilectionem quam habetis in sanctos omnes	audientes fidem vestram in Christo Jesu, et dilectionem quam habetis in sanctos omnes	ακουσαντες την πιστιν υμων εν χριστω ιησου και την αγαπην την εις παντας τους αγιους 	Since we heard of your faith in Christ Jesus, and of the love which ye have to all the saints,
Col	1	5			propter spem quae reposita est vobis in caelis quam audistis in verbo veritatis evangelii	propter spem, qu reposita est vobis in clis: quam audistis in verbo veritatis Evangelii:	δια την ελπιδα την αποκειμενην υμιν εν τοις ουρανοις ην προηκουσατε εν τω λογω της αληθειας του ευαγγελιου 	For the hope which is laid up for you in heaven, whereof ye heard before in the word of the truth of the gospel;
Col	1	6			quod pervenit ad vos sicut et in universo mundo est et fructificat et crescit sicut in vobis ex ea die qua audistis et cognovistis gratiam Dei in veritate	quod pervenit ad vos, sicut et in universo mundo est, et fructificat, et crescit sicut in vobis, ex ea die, qua audistis, et cognovistis gratiam Dei in veritate,	του παροντος εις υμας καθως και εν παντι τω κοσμω και εστιν καρποφορουμενον καθως και εν υμιν αφ ης ημερας ηκουσατε και επεγνωτε την χαριν του θεου εν αληθεια 	Which is come unto you, as it is in all the world; and bringeth forth fruit, as it doth also in you, since the day ye heard of it, and knew the grace of God in truth:
Col	1	7			sicut didicistis ab Epaphra carissimo conservo nostro qui est fidelis pro vobis minister Christi Iesu	sicut didicistis ab Epaphra carissimo conservo nostro, qui est fidelis pro vobis minister Christi Jesu,	καθως και εμαθετε απο επαφρα του αγαπητου συνδουλου ημων ος εστιν πιστος υπερ υμων διακονος του χριστου 	As ye also learned of Epaphras our dear fellowservant, who is for you a faithful minister of Christ;
Col	1	8			qui etiam manifestavit nobis dilectionem vestram in Spiritu	qui etiam manifestavit nobis dilectionem vestram in spiritu.	ο και δηλωσας ημιν την υμων αγαπην εν πνευματι 	Who also declared unto us your love in the Spirit.
Col	1	9			ideo et nos ex qua die audivimus non cessamus pro vobis orantes et postulantes ut impleamini agnitione voluntatis eius in omni sapientia et intellectu spiritali	Ideo et nos ex qua die audivimus, non cessamus pro vobis orantes, et postulantes ut impleamini agnitione voluntatis ejus, in omni sapientia et intellectu spiritali:	δια τουτο και ημεις αφ ης ημερας ηκουσαμεν ου παυομεθα υπερ υμων προσευχομενοι και αιτουμενοι ινα πληρωθητε την επιγνωσιν του θεληματος αυτου εν παση σοφια και συνεσει πνευματικη 	For this cause we also, since the day we heard it, do not cease to pray for you, and to desire that ye might be filled with the knowledge of his will in all wisdom and spiritual understanding;
Col	1	10			ut ambuletis digne Deo per omnia placentes in omni opere bono fructificantes et crescentes in scientia Dei	ut ambuletis digne Deo per omnia placentes: in omni opere bono fructificantes, et crescentes in scientia Dei:	περιπατησαι υμας αξιως του κυριου εις πασαν αρεσκειαν εν παντι εργω αγαθω καρποφορουντες και αυξανομενοι εις την επιγνωσιν του θεου 	That ye might walk worthy of the Lord unto all pleasing, being fruitful in every good work, and increasing in the knowledge of God;
Col	1	11			in omni virtute confortati secundum potentiam claritatis eius in omni patientia et longanimitate cum gaudio	in omni virtute confortati secundum potentiam claritatis ejus, in omni patientia et longanimitate cum gaudio,	εν παση δυναμει δυναμουμενοι κατα το κρατος της δοξης αυτου εις πασαν υπομονην και μακροθυμιαν μετα χαρας 	Strengthened with all might, according to his glorious power, unto all patience and longsuffering with joyfulness;
Col	1	12			gratias agentes Patri qui dignos nos fecit in partem sortis sanctorum in lumine	gratias agentes Deo Patri, qui dignos nos fecit in partem sortis sanctorum in lumine:	ευχαριστουντες τω πατρι τω ικανωσαντι ημας εις την μεριδα του κληρου των αγιων εν τω φωτι 	Giving thanks unto the Father, which hath made us meet to be partakers of the inheritance of the saints in light:
