book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Dan	1	1	בִּשְׁנַת שָׁלוֹשׁ לְמַלְכוּת יְהוֹיָקִים מֶלֶךְ־יְהוּדָה בָּא נְבוּכַדְנֶאצַּר מֶלֶךְ־בָּבֶל יְרוּשָׁלַםִ וַיָּצַר עָלֶיהָ ׃		anno tertio regni Ioachim regis Iuda venit Nabuchodonosor rex Babylonis Hierusalem et obsedit eam	Anno tertio regni Joakim regis Juda, venit Nabuchodonosor, rex Babylonis, in Jerusalem, et obsedit eam:		In the third year of the reign of Jehoiakim king of Judah came Nebuchadnezzar king of Babylon unto Jerusalem, and besieged it.
Dan	1	2	וַיִּתֵּן אֲדֹנָי בְּיָדוֹ אֶת־יְהוֹיָקִים מֶלֶךְ־יְהוּדָה וּמִקְצָת כְּלֵי בֵית־הָאֱלֹהִים וַיְבִיאֵם אֶרֶץ־שִׁנְעָר בֵּית אֱלֹהָיו וְאֶת־הַכֵּלִים הֵבִיא בֵּית אוֹצַר אֱלֹהָיו ׃		et tradidit Dominus in manu eius Ioachim regem Iudae et partem vasorum domus Dei et asportavit ea in terram Sennaar in domum dei sui et vasa intulit in domum thesauri dei sui	et tradidit Dominus in manu ejus Joakim, regem Juda, et partem vasorum domus Dei: et asportavit ea in terram Sennaar in domum dei sui, et vasa intulit in domum thesauri dei sui.		And the Lord gave Jehoiakim king of Judah into his hand, with part of the vessels of the house of God: which he carried into the land of Shinar to the house of his god; and he brought the vessels into the treasure house of his god.
Dan	1	3	וַיֹּאמֶר הַמֶּלֶךְ לְאַשְׁפְּנַז רַב סָרִיסָיו לְהָבִיא מִבְּנֵי יִשְׂרָאֵל וּמִזֶּרַע הַמְּלוּכָה וּמִן־הַפַּרְתְּמִים ׃		et ait rex Asfanaz praeposito eunuchorum suorum ut introduceret de filiis Israhel et de semine regio et tyrannorum	Et ait rex Asphenez prposito eunuchorum ut introduceret de filiis Isral, et de semine regio et tyrannorum,		And the king spake unto Ashpenaz the master of his eunuchs, that he should bring certain of the children of Israel, and of the king's seed, and of the princes;
Dan	1	4	יְלָדִים אֲשֶׁר אֵין־בָּהֶם כָּל־מְאוּם וְטוֹבֵי מַרְאֶה וּמַשְׂכִּילִים בְּכָל־חָכְמָה וְיֹדְעֵי דַעַת וּמְבִינֵי מַדָּע וַאֲשֶׁר כֹּחַ בָּהֶם לַעֲמֹד בְּהֵיכַל הַמֶּלֶךְ וּלֲלַמְּדָם סֵפֶר וּלְשׁוֹן כַּשְׂדִּים ׃		pueros in quibus nulla esset macula decoros forma et eruditos omni sapientia cautos scientia et doctos disciplina et qui possent stare in palatio regis ut doceret eos litteras et linguam Chaldeorum	pueros in quibus nulla esset macula, decoros forma, et eruditos omni sapientia, cautos scientia, et doctos disciplina, et qui possent stare in palatio regis, ut doceret eos litteras et linguam Chaldorum.		Children in whom was no blemish, but well favoured, and skilful in all wisdom, and cunning in knowledge, and understanding science, and such as had ability in them to stand in the king's palace, and whom they might teach the learning and the tongue of the Chaldeans.
Dan	1	5	וַיְמַן לָהֶם הַמֶּלֶךְ דְּבַר־יוֹם בְּיוֹמוֹ מִפַּת־בַּג הַמֶּלֶךְ וּמִיֵּין מִשְׁתָּיו וּלְגַדְּלָם שָׁנִים שָׁלוֹשׁ וּמִקְצָתָם יַעַמְדוּ לִפְנֵי הַמֶּלֶךְ ׃		et constituit eis rex annonam per singulos dies de cibis suis et de vino unde bibebat ipse ut enutriti tribus annis postea starent in conspectu regis	Et constituit eis rex annonam per singulos dies de cibis suis, et de vino unde bibebat ipse, ut enutriti tribus annis, postea starent in conspectu regis.		And the king appointed them a daily provision of the king's meat, and of the wine which he drank: so nourishing them three years, that at the end thereof they might stand before the king.
Dan	1	6	וַיְהִי בָהֶם מִבְּנֵי יְהוּדָה דָּנִיֵּאל חֲנַנְיָה מִישָׁאֵל וַעֲזַרְיָה ׃		fuerunt ergo inter eos de filiis Iuda Danihel Ananias Misahel et Azarias	Fuerunt ergo inter eos de filiis Juda, Daniel, Ananias, Misal, et Azarias.		Now among these were of the children of Judah, Daniel, Hananiah, Mishael, and Azariah:
Dan	1	7	וַיָּשֶׂם לָהֶם שַׂר הַסָּרִיסִים שֵׁמוֹת וַיָּשֶׂם לְדָנִיֵּאל בֵּלְטְשַׁאצַּר וְלַחֲנַנְיָה שַׁדְרַךְ וּלְמִישָׁאֵל מֵישַׁךְ וְלַעֲזַרְיָה עֲבֵד נְגוֹ ׃		et inposuit eis praepositus eunuchorum nomina Daniheli Balthasar et Ananiae Sedrac Misaheli Misac et Azariae Abdenago	Et imposuit eis prpositus eunuchorum nomina: Danieli, Baltassar; Anani, Sidrach; Misali, Misach; et Azari, Abdenago.		Unto whom the prince of the eunuchs gave names: for he gave unto Daniel the name of Belteshazzar; and to Hananiah, of Shadrach; and to Mishael, of Meshach; and to Azariah, of Abednego.
Dan	1	8	וַיָּשֶׂם דָּנִיֵּאל עַל־לִבּוֹ אֲשֶׁר לֹא־יִתְגָּאַל בְּפַתְבַּג הַמֶּלֶךְ וּבְיֵין מִשְׁתָּיו וַיְבַקֵּשׁ מִשַּׂר הַסָּרִיסִים אֲשֶׁר לֹא יִתְגָּאָל ׃		proposuit autem Danihel in corde suo ne pollueretur de mensa regis neque de vino potus eius et rogavit eunuchorum praepositum ne contaminaretur	Proposuit autem Daniel in corde suo ne pollueretur de mensa regis, neque de vino potus ejus: et rogavit eunuchorum prpositum ne contaminaretur.		But Daniel purposed in his heart that he would not defile himself with the portion of the king's meat, nor with the wine which he drank: therefore he requested of the prince of the eunuchs that he might not defile himself.
Dan	1	9	וַיִּתֵּן הָאֱלֹהִים אֶת־דָּנִיֵּאל לְחֶסֶד וּלְרַחֲמִים לִפְנֵי שַׂר הַסָּרִיסִים ׃		dedit autem Deus Daniheli gratiam et misericordiam in conspectu principis eunuchorum	Dedit autem Deus Danieli gratiam et misericordiam in conspectu principis eunuchorum.		Now God had brought Daniel into favour and tender love with the prince of the eunuchs.
Dan	1	10	וַיֹּאמֶר שַׂר הַסָּרִיסִים לְדָנִיֵּאל יָרֵא אֲנִי אֶת־אֲדֹנִי הַמֶּלֶךְ אֲשֶׁר מִנָּה אֶת־מַאֲכַלְכֶם וְאֶת־מִשְׁתֵּיכֶם אֲשֶׁר לָמָּה יִרְאֶה אֶת־פְּנֵיכֶם זֹעֲפִים מִן־הַיְלָדִים אֲשֶׁר כְּגִילְכֶם וְחִיַּבְתֶּם אֶת־רֹאשִׁי לַמֶּלֶךְ ׃		et ait princeps eunuchorum ad Danihel timeo ego dominum meum regem qui constituit vobis cibum et potum qui si viderit vultus vestros macilentiores prae ceteris adulescentibus coaevis vestris condemnabitis caput meum regi	Et ait princeps eunuchorum ad Danielem: Timeo ego dominum meum regem, qui constituit vobis cibum et potum: qui si viderit vultus vestros macilentiores pr ceteris adolescentibus covis vestris, condemnabitis caput meum regi.		And the prince of the eunuchs said unto Daniel, I fear my lord the king, who hath appointed your meat and your drink: for why should he see your faces worse liking than the children which are of your sort? then shall ye make me endanger my head to the king.
