book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
DanOG	1	1		ΕΙΙΙ βασιλέως Ἰωακεὶμ τῆς Ἰουδαίας ἔτους τρίτου παραγενόμένος Ναβουχοδονοσὸρ βασιλεὺς Βαβυλῶνος εἰς Ἰερουσαλὴμ ἐπολιόρκει αὐτήν.				
DanOG	1	2		καὶ παρέδωκεν αὐτὴν Κύριος εἰς χεῖρας αὐτοῦ καὶ Ἰωακεὶμ τὸν βασιλέα τῆς Ἰουδαίας καὶ μέρος τι τῶν ἱερῶν σκευῶν τοῦ κνρίου. καὶ ἀπήνεγκεν αὐτὰ εἰς Βαβυλῶνα εἴς γῆν Σεναὰρ εἰς οἶκον τοῦ θεοῦ αὐτοῦ, καὶ τὰ σκεύη· καὶ ἀπηρείσατο αὐτὰ ἐν τῷ εἰδωλείῳ αὐτοῦ.				
DanOG	1	3		καὶ εἶπεν ὁ βασιλεὺς Ἀβιεσδρὶ τῷ ἑαυτοῦ ἀρχιευνούχῳ ἀγαγεῖν αὐτῷ ἐκ τῶν υἱῶν τῶν μεγιστάνων τοῦ Ἰσραὴλ καὶ ἐκ τοῦ βασιλικοῦ γένους καὶ ἐκ τῶν ἐπιλέκτων,				
DanOG	1	4		νεανίσκους ἀμώμους καὶ εὐειδεῖς καὶ ἐπιστήμονας ἐν πάσῃ σοφίᾳ καὶ γραμματικοὺς καὶ συνετοὺς καὶ σοφούς, καὶ ἰσχύοντας ὥστε εἶναι ἐν τῷ οἴκῳ τοῦ βασιλέως, καὶ διδάξαι αὐτοὺς γράμματα καὶ διάλεκτον Χαλδαικήν				
DanOG	1	5		καὶ δίδοσθαι αὐτοῖς ἔκθεσιν ἐκ τοῦ οἵκου τοῦ βασιλέως καθʼ ἑκάστην ἡμέραν καὶ ἀπὸ τῆς βασιλικῆς τραπέζης καὶ ἀπὸ τοῦ οἴνου οὗ πίνει ὁ βασιλεύς, καὶ ἐκπαιδεῦσαι αὐτοὺς ἔτη τρία, καὶ ἐκ τούτων στῆσαι ἔμπροσθεν τοῦ βασιλέως.				
DanOG	1	6		καὶ ἦσαν ἐκ τοῦ γένους τῶν υἱῶν Ἰσραὴλ τῶν ἀπὸ τῆς Ἰουδαίας Δανιὴλ, Ἀνανίας, Μισαήλ, Ἀζαρίας.				
DanOG	1	7		καὶ ἐπέθηκεν αὐτοῖς ὁ ἀρχιευνοῦχος ὀνόματα, τῷ μέν Δανιὴλ Βαλτασάρ, τῷ δὲ Ἀνανίᾳ Σεδράχ. καὶ τῷ Μισαὴλ Μισάχ, καὶ τῷ Ἀζαρίᾳ Ἀβδεναγώ.				
DanOG	1	8		καὶ ἐνεθυμήθη Δανιὴλ ἐν τῇ καρδίᾳ ὅπως μὴ ἀλισγηθῇ ἐν τῷ δείπνῳ τοῦ βασιλέως καὶ ἐν ᾧ πίνει οἵνῳ, καὶ ἠξίωσεν τὸν ἀρχιευνοῦχον ἴνα μὴ συμμολυνθῇ.				
DanOG	1	9		καὶ ἔδωκε Κύριος τῷ Δανιὴλ τιμὴν καὶ χάριν ἐναντίον τοῦ ἀρχιευνούχου.				
DanOG	1	10		καὶ εἶπεν ὁ ἀρχιευνοῖχος τῷ Δανιὴλ Ἀγωνιῶ τὸν κύριόν μου τὸν βασιλέα τὸν ἐκτάξαντα τὴν βρῶσιν ὑμῶν καὶ τὴν πόσιν ὑμῶν, ἴνα μὴ ἴδῃ τὰ πρόσωπα ὑμῶν διατετραμμένα καὶ ἀσθενῆ παρὰ τοὺς συντρεφομένους ὑμῖν νεανίας τῶν ἀλλογενῶν, καὶ κινδυνεύσω τῷ ἰδίῳ τραχήλῳ.				
DanOG	1	11		καὶ εἶπεν Δανιὴλ Ἀβιεσδρὶ τῷ ἀναδειχθέντι ἀρχιευνούχῳ ἐπὶ τὸν Δανιήλ, Ἀνανίαν, Μισαήλ, Ἀζαρίαν				
