book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Deut	1	1	אֵלֶּה הַדְּבָרִים אֲשֶׁר דִּבֶּר מֹשֶׁה אֶל־כָּל־יִשְׂרָאֵל בְּעֵבֶר הַיַּרְדֵּן בַּמִּדְבָּר בָּעֲרָבָה מוֹל סוּף בֵּין־פָּארָן וּבֵין־תֹּפֶל וְלָבָן וַחֲצֵרֹת וְדִי זָהָב ׃	OYTOI οἱ λόγοι οὓς ἐλάλησεν Μωυσῆς παντὶ Ἰσραὴλ πέραν τοῦ Ἰορδάνου ἐν τῇ ἐρήμῳ πρὸς δυσμαῖς πλησίον τῆς ἐρυθρᾶς ἀνὰ Φαρᾶν Τόφολ καὶ λοβὸν καὶ Αὐλῶν’ καὶ Καταχρύσεα·	haec sunt verba quae locutus est Moses ad omnem Israhel trans Iordanem in solitudine campestri contra mare Rubrum inter Pharan et Thophel et Laban et Aseroth ubi auri est plurimum	Hc sunt verba qu locutus est Moyses ad omnem Isral trans Jordanem in solitudine campestri, contra mare Rubrum, inter Pharan et Tophel et Laban et Haseroth, ubi auri est plurimum:		These be the words which Moses spake unto all Israel on this side Jordan in the wilderness, in the plain over against the Red sea, between Paran, and Tophel, and Laban, and Hazeroth, and Dizahab.
Deut	1	2	אַחַד עָשָׂר יוֹם מֵחֹרֵב דֶּרֶךְ הַר־שֵׂעִיר עַד קָדֵשׁ בַּרְנֵעַ ׃	ἕνδεκα ἡμερῶν ἐν Χωρὴβ ὁδὸς ἐπ’ ὄρος Σηεὶρ ἕως Καδὴς Βαρνή.	undecim diebus de Horeb per viam montis Seir usque Cadesbarne	undecim diebus de Horeb per viam montis Seir usque ad Cadesbarne.		(There are eleven days' journey from Horeb by the way of mount Seir unto Kadeshbarnea.)
Deut	1	3	וַיְהִי בְּאַרְבָּעִים שָׁנָה בְּעַשְׁתֵּי־עָשָׂר חֹדֶשׁ בְּאֶחָד לַחֹדֶשׁ דִּבֶּר מֹשֶׁה אֶל־בְּנֵי יִשְׂרָאֵל כְּכֹל אֲשֶׁר צִוָּה יְהוָה אֹתוֹ אֲלֵהֶם ׃	καὶ ἐγενήθη ἐν τῷ τεσσερακοστῷ ἔτει, ἐν τῷ ἑνδεκάτῳ μηνὶ μιᾷ τοῦ μηνός, ἐλάλησεν Μωυσῆς πρὸς πάντας υἱοὺς Ἰσραὴλ κατὰ πάντα ὅσα ἐνετείλατο κύριος αὐτῷ πρὸς αὐτούς,	quadragesimo anno undecimo mense prima die mensis locutus est Moses ad filios Israhel omnia quae praeceperat illi Dominus ut diceret eis	Quadragesimo anno, undecimo mense, prima die mensis, locutus est Moyses ad filios Isral omnia qu prceperat illi Dominus, ut diceret eis,		And it came to pass in the fortieth year, in the eleventh month, on the first day of the month, that Moses spake unto the children of Israel, according unto all that the Lord had given him in commandment unto them;
Deut	1	4	אַחֲרֵי הַכֹּתוֹ אֵת סִיחֹן מֶלֶךְ הָאֱמֹרִי אֲשֶׁר יוֹשֵׁב בְּחֶשְׁבּוֹן וְאֵת עוֹג מֶלֶךְ הַבָּשָׁן אֲשֶׁר־יוֹשֵׁב בְּעַשְׁתָּרֹת בְּאֶדְרֶעִי ׃	μετὰ τὸ πατάξαι Σηὼν βασιλέα Ἀμορραίων τὸν κατοικήσαντα ἐν Ἑσεβὼν καὶὪγ βασιλέα τῆς βασᾶν τὸν κατοικήσαντα ἐν Ἀσταρὼθ καὶ ἐν Ἐδράειν,	postquam percussit Seon regem Amorreorum qui habitavit in Esebon et Og regem Basan qui mansit in Aseroth et in Edrai	postquam percussit Sehon regem Amorrhorum, qui habitabat in Hesebon, et Og regem Basan, qui mansit in Astaroth, et in Edrai,		After he had slain Sihon the king of the Amorites, which dwelt in Heshbon, and Og the king of Bashan, which dwelt at Astaroth in Edrei:
Deut	1	5	בְּעֵבֶר הַיַּרְדֵּן בְּאֶרֶץ מוֹאָב הוֹאִיל מֹשֶׁה בֵּאֵר אֶת־הַתּוֹרָה הַזֹּאת לֵאמֹר ׃	ἐν τῷ πέραν τοῦ Ἰορδάνου ἐν γῇ Μωὰβ ἤρξατο Μωυσῆς διασαφῆσαι τὸν νόμον τοῦτον λέγων	trans Iordanem in terra Moab coepitque Moses explanare legem et dicere	trans Jordanem in terra Moab. Cpitque Moyses explanare legem, et dicere:		On this side Jordan, in the land of Moab, began Moses to declare this law, saying,
Deut	1	6	יְהוָה אֱלֹהֵינוּ דִּבֶּר אֵלֵינוּ בְּחֹרֵב לֵאמֹר רַב־לָכֶם שֶׁבֶת בָּהָר הַזֶּה ׃	κύριος ὁ θεὸς ἡμῶν ἐλάλησεν ἡμῖν ἐν Χωρὴβ λέγων Ἱκανούσθω ὑμῖν κατοικεῖν ἐν τῶ ὄρει τούτῳ·	Dominus Deus noster locutus est ad nos in Horeb dicens sufficit vobis quod in hoc monte mansistis	Dominus Deus noster locutus est ad nos in Horeb, dicens: Sufficit vobis quod in hoc monte mansistis:		The Lord our God spake unto us in Horeb, saying, Ye have dwelt long enough in this mount:
Deut	1	7	פְּנוּ וּסְעוּ לָכֶם וּבֹאוּ הַר הָאֱמֹרִי וְאֶל־כָּל־שְׁכֵנָיו בָּעֲרָבָה בָהָר וּבַשְּׁפֵלָה וּבַנֶּגֶב וּבְחוֹף הַיָּם אֶרֶץ הַכְּנַעֲנִי וְהַלְּבָנוֹן עַד־הַנָּהָר הַגָּדֹל נְהַר־פְּרָת ׃	ἐπιστράφητε καὶ ἀπάρατε ὑμεῖς καὶ εἰσπορεύεσθε εἰς ὄρος Αμορραίων καὶ πρὸς πάντας τοὺς περιοίκους Ἄραβά, εἰς ὄρος καὶ πεδίον, καὶ πρὸς λίβα καὶ παραλίαν γῆν χαναναίων καὶ Ἀντιλίβανον, ἕως τοῦ ποταμοῦ τοῦ μεγάλου Εὐφράτου.	revertimini et venite ad montem Amorreorum et ad cetera quae ei proxima sunt campestria atque montana et humiliora loca contra meridiem et iuxta litus maris terram Chananeorum et Libani usque ad flumen magnum Eufraten	revertimini, et venite ad montem Amorrhorum, et ad cetera qu ei proxima sunt campestria atque montana et humiliora loca contra meridiem, et juxta littus maris, terram Chananorum, et Libani usque ad flumen magnum Euphraten.		Turn you, and take your journey, and go to the mount of the Amorites, and unto all the places nigh thereunto, in the plain, in the hills, and in the vale, and in the south, and by the sea side, to the land of the Canaanites, and unto Lebanon, unto the great river, the river Euphrates.
Deut	1	8	רְאֵה נָתַתִּי לִפְנֵיכֶם אֶת־הָאָרֶץ בֹּאוּ וּרְשׁוּ אֶת־הָאָרֶץ אֲשֶׁר נִשְׁבַּע יְהוָה לַאֲבֹתֵיכֶם לְאַבְרָהָם לְיִצְחָק וּלְיַעֲקֹב לָתֵת לָהֶם וּלְזַרְעָם אַחֲרֵיהֶם ׃	ἴδετε παραδέδωκεν ἐνώπιον ὑμῶν τὴν γῆν· εἰσπορευθέντες κληρονομήσατε τὴν γῆν ἣν ὤμοσα τοῖς πατράσιν ὑμῶν, τῷ Ἀβραὰμ καὶ Ἰσαὰκ καὶ Ἰακώβ, δοῦναι αὐτοῖς καὶ τῷ σπέρματι αὐτῶν μετ’ αὐτούς.	en inquit tradidi vobis ingredimini et possidete eam super qua iuravit Dominus patribus vestris Abraham et Isaac et Iacob ut daret illam eis et semini eorum post eos	En, inquit, tradidi vobis: ingredimini et possidete eam, super qua juravit Dominus patribus vestris Abraham, Isaac, et Jacob, ut daret illam eis, et semini eorum post eos.		Behold, I have set the land before you: go in and possess the land which the Lord sware unto your fathers, Abraham, Isaac, and Jacob, to give unto them and to their seed after them.
Deut	1	9	וָאֹמַר אֲלֵכֶם בָּעֵת הַהִוא לֵאמֹר לֹא־אוּכַל לְבַדִּי שְׂאֵת אֶתְכֶם ׃	καὶ εἶπα πρὸς ὑμᾶς ἐν τῷ καίρῳ ἐκείνῳ λέγων Οὐ δυνήσομαι μόνος φέρειν ὑμᾶς.	dixique vobis illo in tempore	Dixique vobis illo in tempore:		And I spake unto you at that time, saying, I am not able to bear you myself alone:
Deut	1	10	יְהוָה אֱלֹהֵיכֶם הִרְבָּה אֶתְכֶם וְהִנְּכֶם הַיּוֹם כְּכוֹכְבֵי הַשָּׁמַיִם לָרֹב ׃	Κύριος ὁ θεὸς ὑμῶν ἐπλήθυνεν ὑμᾶς, καὶ ἰδού ἐστε σήμερον ὡσεὶ τὰ ἄστρα τοῦ οὐρανοῦ τῷ πλήθει·	non possum solus sustinere vos quia Dominus Deus vester multiplicavit vos et estis hodie sicut stellae caeli plurimae	Non possum solus sustinere vos: quia Dominus Deus vester multiplicavit vos, et estis hodie sicut stell cli, plurimi.		The Lord your God hath multiplied you, and, behold, ye are this day as the stars of heaven for multitude.
