book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Eccl	1	1	אָמַרְתִּי אֲנִי בְּלִבִּי לְכָה־נָּא אֲנַסְּכָה בְשִׂמְחָה וּרְאֵה בְטוֹב וְהִנֵּה גַם־הוּא הָבֶל ׃		verba Ecclesiastes filii David regis Hierusalem	Verba Ecclesiast, filii David, regis Jerusalem.		The words of the Preacher, the son of David, king in Jerusalem.
Eccl	1	2	לִשְׂחוֹק אָמַרְתִּי מְהוֹלָל וּלְשִׂמְחָה מַה־זֹּה עֹשָׂה ׃		vanitas vanitatum dixit Ecclesiastes vanitas vanitatum omnia vanitas	[Vanitas vanitatum, dixit Ecclesiastes; vanitas vanitatum, et omnia vanitas.		Vanity of vanities, saith the Preacher, vanity of vanities; all is vanity.
Eccl	1	3	תַּרְתִּי בְלִבִּי לִמְשׁוֹךְ בַּיַּיִן אֶת־בְּשָׂרִי וְלִבִּי נֹהֵג בַּחָכְמָה וְלֶאֱחֹז בְּסִכְלוּת עַד אֲשֶׁר־אֶרְאֶה אֵי־זֶה טוֹב לִבְנֵי הָאָדָם אֲשֶׁר יַעֲשׂוּ תַּחַת הַשָּׁמַיִם מִסְפַּר יְמֵי חַיֵּיהֶם ׃		quid habet amplius homo de universo labore suo quod laborat sub sole	Quid habet amplius homo de universo labore suo quo laborat sub sole?]		What profit hath a man of all his labour which he taketh under the sun?
Eccl	1	4	הִגְדַּלְתִּי מַעֲשָׂי בָּנִיתִי לִי בָּתִּים נָטַעְתִּי לִי כְּרָמִים ׃		generatio praeterit et generatio advenit terra vero in aeternum stat	[Generatio prterit, et generatio advenit; terra autem in ternum stat.		One generation passeth away, and another generation cometh: but the earth abideth for ever.
Eccl	1	5	עָשִׂיתִי לִי גַּנּוֹת וּפַרְדֵּסִים וְנָטַעְתִּי בָהֶם עֵץ כָּל־פֶּרִי ׃		oritur sol et occidit et ad locum suum revertitur ibique renascens	Oritur sol et occidit, et ad locum suum revertitur; ibique renascens,		The sun also ariseth, and the sun goeth down, and hasteth to his place where he arose.
Eccl	1	6	עָשִׂיתִי לִי בְּרֵכוֹת מָיִם לְהַשְׁקוֹת מֵהֶם יַעַר צוֹמֵחַ עֵצִים ׃		gyrat per meridiem et flectitur ad aquilonem lustrans universa circuitu pergit spiritus et in circulos suos regreditur	gyrat per meridiem, et flectitur ad aquilonem. Lustrans universa in circuitu pergit spiritus, et in circulos suos revertitur.		The wind goeth toward the south, and turneth about unto the north; it whirleth about continually, and the wind returneth again according to his circuits.
Eccl	1	7	קָנִיתִי עֲבָדִים וּשְׁפָחוֹת וּבְנֵי־בַיִת הָיָה לִי גַּם מִקְנֶה בָקָר וָצֹאן הַרְבֵּה הָיָה לִי מִכֹּל שֶׁהָיוּ לְפָנַי בִּירוּשָׁלָםִ ׃		omnia flumina intrant mare et mare non redundat ad locum unde exeunt flumina revertuntur ut iterum fluant	Omnia flumina intrant in mare, et mare non redundat; ad locum unde exeunt flumina revertuntur ut iterum fluant.		All the rivers run into the sea; yet the sea is not full; unto the place from whence the rivers come, thither they return again.
Eccl	1	8	כָּנַסְתִּי לִי גַּם־כֶּסֶף וְזָהָב וּסְגֻלַּת מְלָכִים וְהַמְּדִינוֹת עָשִׂיתִי לִי שָׁרִים וְשָׁרוֹת וְתַעֲנוּגֹת בְּנֵי הָאָדָם שִׁדָּה וְשִׁדּוֹת ׃		cunctae res difficiles non potest eas homo explicare sermone non saturatur oculus visu nec auris impletur auditu	Cunct res difficiles; non potest eas homo explicare sermone. Non saturatur oculus visu, nec auris auditu impletur.		All things are full of labour; man cannot utter it: the eye is not satisfied with seeing, nor the ear filled with hearing.
Eccl	1	9	וְגָדַלְתִּי וְהוֹסַפְתִּי מִכֹּל שֶׁהָיָה לְפָנַי בִּירוּשָׁלָםִ אַף חָכְמָתִי עָמְדָה לִּי ׃		quid est quod fuit ipsum quod futurum est quid est quod factum est ipsum quod fiendum est	Quid est quod fuit? Ipsum quod futurum est. Quid est quod factum est? Ipsum quod faciendum est.		The thing that hath been, it is that which shall be; and that which is done is that which shall be done: and there is no new thing under the sun.
Eccl	1	10	וְכֹל אֲשֶׁר שָׁאֲלוּ עֵינַי לֹא אָצַלְתִּי מֵהֶם לֹא־מָנַעְתִּי אֶת־לִבִּי מִכָּל־שִׂמְחָה כִּי־לִבִּי שָׂמֵחַ מִכָּל־עֲמָלִי וְזֶה־הָיָה חֶלְקִי מִכָּל־עֲמָלִי ׃		nihil sub sole novum nec valet quisquam dicere ecce hoc recens est iam enim praecessit in saeculis quae fuerunt ante nos	Nihil sub sole novum, nec valet quisquam dicere: Ecce hoc recens est: jam enim prcessit in sculis qu fuerunt ante nos.		Is there any thing whereof it may be said, See, this is new? it hath been already of old time, which was before us.
Eccl	1	11	וּפָנִיתִי אֲנִי בְּכָל־מַעֲשַׂי שֶׁעָשׂוּ יָדַי וּבֶעָמָל שֶׁעָמַלְתִּי לַעֲשׂוֹת וְהִנֵּה הַכֹּל הֶבֶל וּרְעוּת רוּחַ וְאֵין יִתְרוֹן תַּחַת הַשָּׁמֶשׁ ׃		non est priorum memoria sed nec eorum quidem quae postea futura sunt erit recordatio apud eos qui futuri sunt in novissimo	Non est priorum memoria; sed nec eorum quidem qu postea futura sunt erit recordatio apud eos qui futuri sunt in novissimo.]		There is no remembrance of former things; neither shall there be any remembrance of things that are to come with those that shall come after.
Eccl	1	12	וּפָנִיתִי אֲנִי לִרְאוֹת חָכְמָה וְהוֹלֵלוֹת וְסִכְלוּת כִּי מֶה הָאָדָם שֶׁיָּבוֹא אַחֲרֵי הַמֶּלֶךְ אֵת אֲשֶׁר־כְּבָר עָשׂוּהוּ ׃		ego Ecclesiastes fui rex Israhel in Hierusalem	[Ego Ecclesiastes fui rex Isral in Jerusalem;		I the Preacher was king over Israel in Jerusalem.
Eccl	1	13	וְרָאִיתִי אָנִי שֶׁיֵּשׁ יִתְרוֹן לַחָכְמָה מִן־הַסִּכְלוּת כִּיתְרוֹן הָאוֹר מִן־הַחֹשֶׁךְ ׃		et proposui in animo meo quaerere et investigare sapienter de omnibus quae fiunt sub sole hanc occupationem pessimam dedit Deus filiis hominum ut occuparentur in ea	et proposui in animo meo qurere et investigare sapienter de omnibus qu fiunt sub sole. Hanc occupationem pessimam dedit Deus filiis hominum, ut occuparentur in ea.		And I gave my heart to seek and search out by wisdom concerning all things that are done under heaven: this sore travail hath God given to the sons of man to be exercised therewith.
Eccl	1	14	הֶחָכָם עֵינָיו בְּרֹאשׁוֹ וְהַכְּסִיל בַּחֹשֶׁךְ הוֹלֵךְ וְיָדַעְתִּי גַם־אָנִי שֶׁמִּקְרֶה אֶחָד יִקְרֶה אֶת־כֻּלָּם ׃		vidi quae fiunt cuncta sub sole et ecce universa vanitas et adflictio spiritus	Vidi cuncta qu fiunt sub sole, et ecce universa vanitas et afflictio spiritus.		I have seen all the works that are done under the sun; and, behold, all is vanity and vexation of spirit.
Eccl	1	15	וְאָמַרְתִּי אֲנִי בְּלִבִּי כְּמִקְרֵה הַכְּסִיל גַּם־אֲנִי יִקְרֵנִי וְלָמָּה חָכַמְתִּי אֲנִי אָז יוֹתֵר וְדִבַּרְתִּי בְלִבִּי שֶׁגַּם־זֶה הָבֶל ׃		perversi difficile corriguntur et stultorum infinitus est numerus	Perversi difficile corriguntur, et stultorum infinitus est numerus.		That which is crooked cannot be made straight: and that which is wanting cannot be numbered.
Eccl	1	16	כִּי אֵין זִכְרוֹן לֶחָכָם עִם־הַכְּסִיל לְעוֹלָם בְּשֶׁכְּבָר הַיָּמִים הַבָּאִים הַכֹּל נִשְׁכָּח וְאֵיךְ יָמוּת הֶחָכָם עִם־הַכְּסִיל ׃		locutus sum in corde meo dicens ecce magnus effectus sum et praecessi sapientia omnes qui fuerunt ante me in Hierusalem et mens mea contemplata est multa sapienter et didicit	Locutus sum in corde meo, dicens: Ecce magnus effectus sum, et prcessi omnes sapientia qui fuerunt ante me in Jerusalem; et mens mea contemplata est multa sapienter, et didici.		I communed with mine own heart, saying, Lo, I am come to great estate, and have gotten more wisdom than all they that have been before me in Jerusalem: yea, my heart had great experience of wisdom and knowledge.
Eccl	1	17	וְשָׂנֵאתִי אֶת־הַחַיִּים כִּי רַע עָלַי הַמַּעֲשֶׂה שֶׁנַּעֲשָׂה תַּחַת הַשָּׁמֶשׁ כִּי־הַכֹּל הֶבֶל וּרְעוּת רוּחַ ׃		dedique cor meum ut scirem prudentiam atque doctrinam erroresque et stultitiam et agnovi quod in his quoque esset labor et adflictio spiritus	Dedique cor meum ut scirem prudentiam atque doctrinam, erroresque et stultitiam; et agnovi quod in his quoque esset labor et afflictio spiritus:		And I gave my heart to know wisdom, and to know madness and folly: I perceived that this also is vexation of spirit.
Eccl	1	18	וְשָׂנֵאתִי אֲנִי אֶת־כָּל־עֲמָלִי שֶׁאֲנִי עָמֵל תַּחַת הַשָּׁמֶשׁ שֶׁאַנִּיחֶנּוּ לָאָדָם שֶׁיִּהְיֶה אַחֲרָי ׃		eo quod in multa sapientia multa sit indignatio et qui addit scientiam addat et laborem	eo quod in multa sapientia multa sit indignatio; et qui addit scientiam, addit et laborem.]		For in much wisdom is much grief: and he that increaseth knowledge increaseth sorrow.
Eccl	1	19	וּמִי יוֹדֵעַ הֶחָכָם יִהְיֶה אוֹ סָכָל וְיִשְׁלַט בְּכָל־עֲמָלִי שֶׁעָמַלְתִּי וְשֶׁחָכַמְתִּי תַּחַת הַשָּׁמֶשׁ גַּם־זֶה הָבֶל ׃					
Eccl	1	20	וְסַבּוֹתִי אֲנִי לְיַאֵשׁ אֶת־לִבִּי עַל כָּל־הֶעָמָל שֶׁעָמַלְתִּי תַּחַת הַשָּׁמֶשׁ ׃					
Eccl	1	21	כִּי־יֵשׁ אָדָם שֶׁעֲמָלוֹ בְּחָכְמָה וּבְדַעַת וּבְכִשְׁרוֹן וּלְאָדָם שֶׁלֹּא עָמַל־בּוֹ יִתְּנֶנּוּ חֶלְקוֹ גַּם־זֶה הֶבֶל וְרָעָה רַבָּה ׃					
Eccl	1	22	כִּי מֶה־הוֶֹה לָאָדָם בְּכָל־עֲמָלוֹ וּבְרַעְיוֹן לִבּוֹ שֶׁהוּא עָמֵל תַּחַת הַשָּׁמֶשׁ ׃					
Eccl	1	23	כִּי כָל־יָמָיו מַכְאֹבִים וָכַעַס עִנְיָנוֹ גַּם־בַּלַּיְלָה לֹא־שָׁכַב לִבּוֹ גַּם־זֶה הֶבֶל הוּא ׃					
Eccl	1	24	אֵין־טוֹב בָּאָדָם שֶׁיֹּאכַל וְשָׁתָה וְהֶרְאָה אֶת־נַפְשׁוֹ טוֹב בַּעֲמָלוֹ גַּם־זֹה רָאִיתִי אָנִי כִּי מִיַּד הָאֱלֹהִים הִיא ׃					
Eccl	1	25	כִּי מִי יֹאכַל וּמִי יָחוּשׁ חוּץ מִמֶּנִּי ׃					
