book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
EpJer	0	0		ANΤΙΓΡΑΦΟΝ ἐπιστολῆς ἧς ἀπέστειλεν Ἱερεμίας πρὸς τοὺς ἁχόησομένους αἰχμαλώτους εἰς Βαβυλῶνα ὑπὸ τοῦ βασιλέως τῶν Βαβυλωνίων, ἀναγγεῖλαι αὐτοῖς καθότι ἐπετάγη αὐτῷ ὑπὸ τοῦ θεοῦ.				
EpJer	0	1		Διὰ τὰς ἁμαρτίας ὑμῶν ἄς ἡμαρτήκατε ἐναντίον τοῦ θεοῦ ἀχθήσεσθε εἰς Βαβυλῶνα αἰχμάλωτοι ὑπὸ Ναβουχοδονοσὸρ βασιλέως τῶν Βαβυλωνίων.				
EpJer	0	2		εἰσελθόντες οὗν εἰς Βαβυλῶνα ἔσεσθε ἐκεῖ ἔτη πλείονα καὶ χρόνον μακρὸν ἕως γενεῶν ἑπτά· μετὰ τοῦτο δὲ ἐξάξω ὑμᾶς ἐκεῖθεν μετʼ εἰρήνης.				
EpJer	0	3		νυνὶ δὲ ὄψεσθε ἐν Βαβυλῶνι θεοὺς ἀργυροῦς καὶ χρυσοῦς καὶ ξυλίνους ἐπʼ ὠμοις αἰρομένους, δεικνύντας φόβον τοῖς ἔθνεσιν.				
EpJer	0	4		εὐλαβήθητε οὗν μὴ καὶ ὑμεῖς ἀφομοιωθέντες τοῖς ἀλλοφύλοις ἀφομοιωθῆτε, καὶ φόβος ὑμᾶς λάβῃ ἐπʼ αὐτοῖς,				
EpJer	0	5		ἰδόντας ὄχλον ἔμπροσθεν καὶ ὄπισθεν αὐτῶν προσκυνοῦντας αὐτά· εἶπατε δὲ τῇ διανοίᾳ Σοὶ δεῖ προσκυνεῖν, Δἐσποτα.				
EpJer	0	6		ό γὰρ ἄγγελός μου μεθʼ ὑμῶν ἐστίν, αὐτός τε ἐκζητῶν τὰς ψυχὰς ὑμῶν.				
EpJer	0	7		Γλῶσσα γὰρ αὐτῶν ἐστὶν κατεξυσμένη ὑπὸ τέκτονος, αὐτά τε περίχρυσα καὶ περιάργυρα, ψευδῆ δʼ ἐστὶν καὶ οὐ δύνανται λαλεῖν.				
EpJer	0	8		καὶ ὥσπερ παρθένῳ φιλοκόσμῳ λαμβάνοντες χρυσίον				
EpJer	0	9		κατασκευἀζουσιν στεφάνους ἐπὶ τὰς κεφαλὰς τῶν θεῶν αὐτῶν· ἔστι δέ καὶ ὅτε ὑφαιρούμενοι οἱ ἱερεῖς ἀπὸ τῶν θεῶν αὐτῶν χρυσίον καὶ ἀργύριον εἰς ἑαυτοὺς καταναλοῦσιν,				
EpJer	0	10		δώσουσιν δὲ ἀπ αὐτῶν καὶ ταῖς ἐπὶ τοῦ στέγους πόρναις. κοσμοῦσί τε αὐτοὺς ὡς ἀνθρώπους τοῖς ἐνδύμασιν, θεοὺς ἀργυροῦς καὶ θεοὺς χρυσοῦς καὶ ξυλίνους.				
EpJer	0	11		οὗτοι δὲ οὐ διασώζονται ἀπὸ ἰοῦ καὶ βρωμάτων, περιβεβλημένων αὐτῶν ἱματισμὸν πορφυροῦν.				
EpJer	0	12		ἐκμάσσονται τὸ πρόσωπον αὐτῶν διὰ τὸν ἐκ τῆς οἰκίας κονιορτόν, ὅς ἐστιν πλείω ἐπʼ αὐτοῖς.				
EpJer	0	13		καὶ σκῆπτρον ἔχει ὁὡς ἄνθρωπος κριτὴς χώρας, ὸς τὸν εἰς αὐτὸν ἁμαρτάνοντα οὐκ ἀνελεῖ.				
EpJer	0	14		ἔχει δὲ ἐνχειρίδιον δεξιῷ καὶ πέλεκυν, ἑαυτὸν δὲ ἐκ πολέμου καὶ λῃστῶν οὐκ ἐξελεῖται. ὅθεν γνώριμοί εἰσιν οὐκ ὄντες θεοί μὴ οὗν φοβηθῆτε αὐτούς.				
EpJer	0	15		Ὥσπερ γὰρ σκεῦος ἀνθρώπου συντριβὲν ἀχρεῖον γίνεται,				
EpJer	0	16		τοιοῦτοι ὑπάρχουσιν οἱ θεοὶ αὐτῶν, καθιδρυμένων αὐτῶν ἐν τοῖς οἴκοις. οἱ ὀφθαλμοὶ αὐτῶν πλήρεις εἰσὶν κονιορτοῦ ἀπὸ τῶν ποδῶν τῶν εἰσπορευομένων.				
EpJer	0	17		καὶ ὥσπερ τινὶ ἠδικηκότι βασιλέα περιπεφραγμέναι εἰσὶν αἱ αὐλαί, ὡς ἐπὶ θανάτῳ ἀπηγμένῳ, τοὺς οἴκους αὐτῶν ὐχυροῦσιν οἱ ἱερεῖς θυρώμασίν τε καὶ κλείθροις καὶ μοχλοῖς, ὅπως ὑπὸ τῶν λῃστῶν μὴ συληθῶσι				
EpJer	0	18		λύχνους καίουσιν καὶ πλείους ἑαυτοῖς, ὧν οὐδένα δύνανται ἰδεῖν.				
EpJer	0	19		ἔστιν μέν ὥσπερ δοκὸς τῶν ἐκ τῆς οἰκίας, τὰς δέ καρδίας αὐτῶν φασὶν ἐκλείχεσθαιʼ τῶν ἀπὸ τῆς γῆς ἑρπετῶν κατεσθόντων αὐτοὺς τε καὶ τὸν ἱματισμὸν αὐτῶν οὐκ αἰσθάνονται.				
EpJer	0	20		μεμελανωμένοι τὸ πρόσωπον αὐτῶν ἀπὸ τοῦ καπνοῦ τοῦ ἐκ τῆς οἰκίας.				
EpJer	0	21		ἐπ ὶ τὸ σώμα αὐτῶν καὶ ἐπὶ τὴν κεφαλὴν ἐφίπτανται νυκτερίδες, χελιδόνες καὶ τὰ ὄρνεα, ὡσαύτως δὲ καὶ οἱ αἵλουροι.				
EpJer	0	22		ἰθεν γνώσεσθε ὅτι οὐκ εἰσὶν θεοί μὴ οὗν φοβεῖσθε αὐτά.				
EpJer	0	23		Τὸ γὰρ χρυσίον ὁ περίκεινται εἰς κάλλος, ἐὰν μή τις ἐκμάξῃ τὸν ἰόν, οὐ μὴ στίλψωσιν· οὐδὲ γὰρ ὅτε ἐχωνεύοντο ἠσθάνοντο.				
EpJer	0	24		ἐκ πάσης τιμῆς ἠγορασμένα ἐστίν, ἐν οἷς οὐκ ἔστιν πνεῦμα.				
EpJer	0	25		ἄνευ ποδῶν ἐπʼ ὀμοις φέρονται ἐνδεικνύμενοι τὴν ἑαυτῶν ἀτιμίαν τοῖς ἀνθρώποις, αἰσχύνονταί τε καὶ οἱ θεραπεύοντες αὐτά,				
EpJer	0	26		διὰ τό, μὴ ποτε ἐπὶ τὴν γῆν πέσῃ, δι᾿ αὐτῶν ἀνίστασθαι· μήτε ἐάν τις αὐτὸ ὀρθὸν στήσῃ, δι᾿ ἑαυτοῦ κινηθήσεται, μήτε ἐὰν κλιθῇ, οὐ μὴ ὀρθωθῇ, ἀλλʼ ἶσπερ νεκροῖς τὰ δώρα αὐτοῖς παρατίθεται.				
EpJer	0	27		τὰς δὲ θυσίας αὐτῶν ἀποδόμενοι οἱ ἱερεῖς αὐτῶν καταχρῶνται· ὡσαύτως δὲ καὶ αἱ γυναῖκες ἀπʼ αὐτῶν ταριχεύουσαι οὕτε πτωχῷ οὕτε ἀδυνάτῳ μὴ μεταδώσιν·				
EpJer	0	28		τῶυ θυσιῶν αὐτῶν ἀποκαθημένη καὶ λεχὼς ἄπτονται. γνόντες οὗν ἀπὸ τούτων ὅτι οὐκ εἰσὶν θεοί, μὴ φοβηθῆτε αὐτοὺς.				
EpJer	0	29		Πόθεν γὰρ κληθείησαν θεοί; ὅτι γυναῖκες παρατιθέασιν θεοῖς ἀργυροῖς καὶ χρυσοῖς καὶ ξυλίνοις·				
EpJer	0	30		καὶ ἐν τοῖς οἴκοις αὐτῶν οἱ ἱερεῖς διφρεύουσιν, ἔχοντες τοὺς χιτῶνας διερραωγότας καὶ τὰς κεφαλὰς καὶ τοὺς πώγωνας ἐξυρημένους, ὧν αἱ κεφαλαὶ ἀκάλυπτοί εἰσιν,				
EpJer	0	31		ὠρύονται δέ βοώντες ἐναντίον τῶν θεῶν αὐτῶν ώσπερ τινές ἐν περιδείπνῳ νεκροῦ.				
EpJer	0	32		ἀπὸ τοῦ ἱματισμοῦ αὐτῶν ἀφελόμενοι οἱ ἱερεῖς ἐνδύσουσιν τὰς γυναίκας αὐτῶν καὶ τὰ παιδία·				
EpJer	0	33		οδτε ἐὰν κακὸν πάθωσιν ὑπό τινος οὕτε ἐὰν ἀγαθόν, δυνήσονται ἀνταποδοῦναι· οὕτε καταστῆσαι βασιλέα δύνανται οὕτε ἀφελέσθαι.				
EpJer	0	34		ὁὡσαύτως οὕτε πλοῦτον οὐτε χαλκὸν οὐ μὴ δύνωνται διδόναι· ἐάν τις αὐτοῖς εὐχὴν εὐξάμενος μὴ ἀποδῷ, οὐ μὴ ἐπιζητήσωσιν·				
EpJer	0	35		ἐκ θανάτου ἄνθρωπον οὐ μὴ όύσωνται, οὐτε ἥττονα ἀπὸ ἰσχυροῦ μὴ ἐξέλωνται·				
EpJer	0	36		Μνθρωπον τυφλὸυ εἰς ὄρασιν οὐ μὴ περιστήσωσιν, ἐν ἀνάγκῃ ἄνθρωπον ὄντα οὐ μὴ ἐξέλωνται·				
EpJer	0	37		χήραν οὐ μὴ ἐλεήσωσιν, οὕτε ὀρφανὸν εὗ ποιήσουσιν.				
EpJer	0	38		τοῖς ἀπὸ τοῦ ὄρους λίθοις ὡμοιωμένοι εἰσὶν τὰ ξύλινα καὶ τὰ περίχρυσα καὶ τὰ περιάργυρα, οἱ δῆ θεραπεύοντες αὐτὰ καταισχυνθήσονται.				
EpJer	0	39		πώς οὗν νομιστέον ἤ κλητέον αὐτοὺς ὑπάρχειν θεούς;				
EpJer	0	40		Ἐτι δὲ καὶ αὐτῶν τῶν Χαλδαίων ἀτιμαζόντων αὐτά, oζ ὅταν ἴδωσιν ἐνεὸν οὐ δυνάμενον λαλῆσαι, προσενεγκάμενοι τὸν Βῆλον ἀξιοῦσιν φωνῆσαι, ὡς δυνατοῦ ὄντος αὐτοῦ αἰσθέσθαι,				
EpJer	0	41		καὶ οὐ δύνανται αὐτοὶ νοήσαντες καταλιπεῖν αὐτά, αἵσθησιν γὰρ οὐκ ἔχουσιν.				
EpJer	0	42		αἱ δὲ γυναῖκες περιθέμεναι σχοινία ἐν ταῖς οδοῖς ενκαθηνται, θυμιῶσαι τὰ πίτυρα·				
EpJer	0	43		ὅταν δέ τις αὐτῶν ἐφελκυσθεῖσα ὑπό τινος τῶν παραπορευομένων κοιμηθῇ, τὴν πλησίον ὀνειδίζει, ὅτι οὐκ ἠξίωται ὥσπερ καὶ αὐτὴ οὕτε τὸ σχοινίον αὐτῆς διερράγη.				
EpJer	0	44		πάντα τὰ γενόμενα αὐτοῖς ἐστὶν ψευδῆ. πῶς οὗν νομιστέον ἡ κλητέον ὡς θεοὺς αὐτοὺς ὑπάρχειν				
EpJer	0	45		Ὑπὸ τεκτόνων καὶ χρυσοχόων κατασκευασμένα εἰσίν· οὐθὲν ἄλλο μὴ γένηται ἤ ὃ βούλονται οἱ τεχνῖται αὐτὰ γενέσθαι.				
