book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Eph	1	1			Paulus apostolus Christi Iesu per voluntatem Dei sanctis omnibus qui sunt Ephesi et fidelibus in Christo Iesu	Paulus Apostolus Jesu Christi per voluntatem Dei, omnibus sanctis qui sunt Ephesi, et fidelibus in Christo Jesu.	παυλος αποστολος ιησου χριστου δια θεληματος θεου τοις αγιοις τοις ουσιν εν εφεσω και πιστοις εν χριστω ιησου 	Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus:
Eph	1	2			gratia vobis et pax a Deo Patre nostro et Domino Iesu Christo	Gratia vobis, et pax a Deo Patre nostro, et Domino Jesu Christo.	χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου 	Grace be to you, and peace, from God our Father, and from the Lord Jesus Christ.
Eph	1	3			benedictus Deus et Pater Domini nostri Iesu Christi qui benedixit nos in omni benedictione spiritali in caelestibus in Christo	Benedictus Deus et Pater Domini nostri Jesu Christi, qui benedixit nos in omni benedictione spirituali in clestibus in Christo,	ευλογητος ο θεος και πατηρ του κυριου ημων ιησου χριστου ο ευλογησας ημας εν παση ευλογια πνευματικη εν τοις επουρανιοις  εν  χριστω 	Blessed be the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly places in Christ:
Eph	1	4			sicut elegit nos in ipso ante mundi constitutionem ut essemus sancti et inmaculati in conspectu eius in caritate	sicut elegit nos in ipso ante mundi constitutionem, ut essemus sancti et immaculati in conspectu ejus in caritate.	καθως εξελεξατο ημας εν αυτω προ καταβολης κοσμου ειναι ημας αγιους και αμωμους κατενωπιον αυτου εν αγαπη 	According as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love:
Eph	1	5			qui praedestinavit nos in adoptionem filiorum per Iesum Christum in ipsum secundum propositum voluntatis suae	Qui prdestinavit nos in adoptionem filiorum per Jesum Christum in ipsum: secundum propositum voluntatis su,	προορισας ημας εις υιοθεσιαν δια ιησου χριστου εις αυτον κατα την ευδοκιαν του θεληματος αυτου 	Having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will,
Eph	1	6			in laudem gloriae gratiae suae in qua gratificavit nos in dilecto	in laudem glori grati su, in qua gratificavit nos in dilecto Filio suo.	εις επαινον δοξης της χαριτος αυτου εν η εχαριτωσεν ημας εν τω ηγαπημενω 	To the praise of the glory of his grace, wherein he hath made us accepted in the beloved.
Eph	1	7			in quo habemus redemptionem per sanguinem eius remissionem peccatorum secundum divitias gratiae eius	In quo habemus redemptionem per sanguinem ejus, remissionem peccatorum secundum divitias grati ejus,	εν ω εχομεν την απολυτρωσιν δια του αιματος αυτου την αφεσιν των παραπτωματων κατα τον πλουτον της χαριτος αυτου 	In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace;
Eph	1	8			quae superabundavit in nobis in omni sapientia et prudentia	qu superabundavit in nobis in omni sapientia et prudentia:	ης επερισσευσεν εις ημας εν παση σοφια και φρονησει 	Wherein he hath abounded toward us in all wisdom and prudence;
Eph	1	9			ut notum faceret nobis sacramentum voluntatis suae secundum bonum placitum eius quod proposuit in eo	ut notum faceret nobis sacramentum voluntatis su, secundum beneplacitum ejus, quod proposuit in eo,	γνωρισας ημιν το μυστηριον του θεληματος αυτου κατα την ευδοκιαν αυτου ην προεθετο εν αυτω 	Having made known unto us the mystery of his will, according to his good pleasure which he hath purposed in himself:
Eph	1	10			in dispensationem plenitudinis temporum instaurare omnia in Christo quae in caelis et quae in terra sunt in ipso	in dispensatione plenitudinis temporum, instaurare omnia in Christo, qu in clis et qu in terra sunt, in ipso;	εις οικονομιαν του πληρωματος των καιρων ανακεφαλαιωσασθαι τα παντα εν τω χριστω τα τε εν τοις ουρανοις και τα επι της γης 	That in the dispensation of the fulness of times he might gather together in one all things in Christ, both which are in heaven, and which are on earth; even in him:
Eph	1	11			in quo etiam sorte vocati sumus praedestinati secundum propositum eius qui omnia operatur secundum consilium voluntatis suae	in quo etiam et nos sorte vocati sumus prdestinati secundum propositum ejus qui operatur omnia secundum consilium voluntatis su:	εν αυτω εν ω και εκληρωθημεν προορισθεντες κατα προθεσιν του τα παντα ενεργουντος κατα την βουλην του θεληματος αυτου 	In whom also we have obtained an inheritance, being predestinated according to the purpose of him who worketh all things after the counsel of his own will:
Eph	1	12			ut simus in laudem gloriae eius qui ante speravimus in Christo	ut simus in laudem glori ejus nos, qui ante speravimus in Christo;	εις το ειναι ημας εις επαινον της δοξης αυτου τους προηλπικοτας εν τω χριστω 	That we should be to the praise of his glory, who first trusted in Christ.
Eph	1	13			in quo et vos cum audissetis verbum veritatis evangelium salutis vestrae in quo et credentes signati estis Spiritu promissionis Sancto	in quo et vos, cum audissetis verbum veritatis, Evangelium salutis vestr, in quo et credentes signati estis Spiritu promissionis Sancto,	εν ω και υμεις ακουσαντες τον λογον της αληθειας το ευαγγελιον της σωτηριας υμων εν ω και πιστευσαντες εσφραγισθητε τω πνευματι της επαγγελιας τω αγιω 	In whom ye also trusted, after that ye heard the word of truth, the gospel of your salvation: in whom also after that ye believed, ye were sealed with that holy Spirit of promise,
Eph	1	14			qui est pignus hereditatis nostrae in redemptionem adquisitionis in laudem gloriae ipsius	qui est pignus hreditatis nostr, in redemptionem acquisitionis, in laudem glori ipsius.	ος εστιν αρραβων της κληρονομιας ημων εις απολυτρωσιν της περιποιησεως εις επαινον της δοξης αυτου 	Which is the earnest of our inheritance until the redemption of the purchased possession, unto the praise of his glory.
Eph	1	15			propterea et ego audiens fidem vestram quae est in Domino Iesu et dilectionem in omnes sanctos	Propterea et ego audiens fidem vestram, qu est in Domino Jesu, et dilectionem in omnes sanctos,	δια τουτο καγω ακουσας την καθ υμας πιστιν εν τω κυριω ιησου και την αγαπην την εις παντας τους αγιους 	Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints,
Eph	1	16			non cesso gratias agens pro vobis memoriam vestri faciens in orationibus meis	non cesso gratias agens pro vobis, memoriam vestri faciens in orationibus meis:	ου παυομαι ευχαριστων υπερ υμων μνειαν υμων ποιουμενος επι των προσευχων μου 	Cease not to give thanks for you, making mention of you in my prayers;
Eph	1	17			ut Deus Domini nostri Iesu Christi Pater gloriae det vobis spiritum sapientiae et revelationis in agnitione eius	ut Deus Domini nostri Jesu Christi, Pater glori, det vobis spiritum sapienti et revelationis in agnitione ejus,	ινα ο θεος του κυριου ημων ιησου χριστου ο πατηρ της δοξης δωη υμιν πνευμα σοφιας και αποκαλυψεως εν επιγνωσει αυτου 	That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him:
Eph	1	18			inluminatos oculos cordis vestri ut sciatis quae sit spes vocationis eius quae divitiae gloriae hereditatis eius in sanctis	illuminatos oculos cordis vestri, ut sciatis qu sit spes vocationis ejus, et qu diviti glori hreditatis ejus in sanctis,	πεφωτισμενους τους οφθαλμους της διανοιας υμων εις το ειδεναι υμας τις εστιν η ελπις της κλησεως αυτου και τις ο πλουτος της δοξης της κληρονομιας αυτου εν τοις αγιοις 	The eyes of your understanding being enlightened; that ye may know what is the hope of his calling, and what the riches of the glory of his inheritance in the saints,
Eph	1	19			et quae sit supereminens magnitudo virtutis eius in nos qui credidimus secundum operationem potentiae virtutis eius	et qu sit supereminens magnitudo virtutis ejus in nos, qui credimus secundum operationem potenti virtutis ejus,	και τι το υπερβαλλον μεγεθος της δυναμεως αυτου εις ημας τους πιστευοντας κατα την ενεργειαν του κρατους της ισχυος αυτου 	And what is the exceeding greatness of his power to us-ward who believe, according to the working of his mighty power,
Eph	1	20			quam operatus est in Christo suscitans illum a mortuis et constituens ad dexteram suam in caelestibus	quam operatus est in Christo, suscitans illum a mortuis, et constituens ad dexteram suam in clestibus:	ην ενηργησεν εν τω χριστω εγειρας αυτον εκ νεκρων και εκαθισεν εν δεξια αυτου εν τοις επουρανιοις 	Which he wrought in Christ, when he raised him from the dead, and set him at his own right hand in the heavenly places,
Eph	1	21			supra omnem principatum et potestatem et virtutem et dominationem et omne nomen quod nominatur non solum in hoc saeculo sed et in futuro	supra omnem principatum, et potestatem, et virtutem, et dominationem, et omne nomen, quod nominatur non solum in hoc sculo, sed etiam in futuro.	υπερανω πασης αρχης και εξουσιας και δυναμεως και κυριοτητος και παντος ονοματος ονομαζομενου ου μονον εν τω αιωνι τουτω αλλα και εν τω μελλοντι 	Far above all principality, and power, and might, and dominion, and every name that is named, not only in this world, but also in that which is to come:
Eph	1	22			et omnia subiecit sub pedibus eius et ipsum dedit caput supra omnia ecclesiae	Et omnia subjecit sub pedibus ejus: et ipsum dedit caput supra omnem ecclesiam,	και παντα υπεταξεν υπο τους ποδας αυτου και αυτον εδωκεν κεφαλην υπερ παντα τη εκκλησια 	And hath put all things under his feet, and gave him to be the head over all things to the church,
Eph	1	23			quae est corpus ipsius plenitudo eius qui omnia in omnibus adimpletur	qu est corpus ipsius, et plenitudo ejus, qui omnia in omnibus adimpletur.	ητις εστιν το σωμα αυτου το πληρωμα του παντα εν πασιν πληρουμενου   	Which is his body, the fulness of him that filleth all in all.
Eph	2	1			et vos cum essetis mortui delictis et peccatis vestris	Et vos, cum essetis mortui delictis et peccatis vestris,	και υμας οντας νεκρους τοις παραπτωμασιν και ταις αμαρτιαις 	And you hath he quickened, who were dead in trespasses and sins;
