book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Exod	1	1	וְאֵלֶּה שְׁמוֹת בְּנֵי יִשְׂרָאֵל הַבָּאִים מִצְרָיְמָה אֵת יַעֲקֹב אִישׁ וּבֵיתוֹ בָּאוּ ׃	ταῦτα τὰ ὀνόματα τῶν υἱῶν Ἰσραὴλ τῶν εἰσπεπορευμένων εἰς Αἴγυπτον ἅμα Ἰακὼβ τῷ πατρὶ αὐτῶν· ἕκαστος πανοικὶ αὐτῶν εἰσήλθοσαν·	haec sunt nomina filiorum Israhel qui ingressi sunt Aegyptum cum Iacob singuli cum domibus suis introierunt	Hc sunt nomina filiorum Isral qui ingressi sunt in gyptum cum Jacob: singuli cum domibus suis introierunt:		Now these are the names of the children of Israel, which came into Egypt; every man and his household came with Jacob.
Exod	1	2	רְאוּבֵן שִׁמְעוֹן לֵוִי וִיהוּדָה ׃	Ῥουβήν, Συμεών, Λευεί, Ἰούδας,	Ruben Symeon Levi Iuda	Ruben, Simeon, Levi, Judas,		Reuben, Simeon, Levi, and Judah,
Exod	1	3	יִשָּׂשכָר זְבוּלֻן וּבִנְיָמִן ׃	Ἰσσαχάρ, Ζαβουλὼν καὶ Βενιαμείν,	Isachar Zabulon et Beniamin	Issachar, Zabulon et Benjamin,		Issachar, Zebulun, and Benjamin,
Exod	1	4	דָּן וְנַפְתָּלִי גָּד וְאָשֵׁר ׃	Δὰν καὶ Νεφθαλεί, Γὰδ καὶ Ἀσήρ.	Dan et Nepthalim Gad et Aser	Dan et Nephthali, Gad et Aser.		Dan, and Naphtali, Gad, and Asher.
Exod	1	5	וַיְהִי כָּל־נֶפֶשׁ יֹצְאֵי יֶרֶךְ־יַעֲקֹב שִׁבְעִים נָפֶשׁ וְיוֹסֵף הָיָה בְמִצְרָיִם ׃	Ἰωσὴφ δὲ ἦν ἐν Αἰγύπτῳ· ἦσαν δὲ πᾶσαι ψυχαὶ ἐξ Ἰακὼβ πέντε καὶ ἑβδομήκοντα.	erant igitur omnes animae eorum qui egressi sunt de femore Iacob septuaginta Ioseph autem in Aegypto erat	Erant igitur omnes anim eorum qui egressi sunt de femore Jacob, septuaginta: Joseph autem in gypto erat.		And all the souls that came out of the loins of Jacob were seventy souls: for Joseph was in Egypt already.
Exod	1	6	וַיָּמָת יוֹסֵף וְכָל־אֶחָיו וְכֹל הַדּוֹר הַהוּא ׃	Ἐτελεύτησεν δὲ Ἰωσὴφ κοὶ πάντες οἱ ἀδελφοὶ αὐτοῦ καὶ πᾶσα ἡ γενεὰ ἐκείνη.	quo mortuo et universis fratribus eius omnique cognatione illa	Quo mortuo, et universis fratribus ejus, omnique cognatione illa,		And Joseph died, and all his brethren, and all that generation.
Exod	1	7	וּבְנֵי יִשְׂרָאֵל פָּרוּ וַיִּשְׁרְצוּ וַיִּרְבּוּ וַיַּעַצְמוּ בִּמְאֹד מְאֹד וַתִּמָּלֵא הָאָרֶץ אֹתָם ׃ פ	οἱ δὲ υἱοὶ ’lσραὴλ ηὐξήθησαν καὶ ἐπληθύνθη’σαν καὶ χυδαῖοι ἐγένοντο καὶ κατίσχυον σφόδρα σφόδρα· ἐπήλυθεν δὲ ἡ γῆ αὐτούς.	filii Israhel creverunt et quasi germinantes multiplicati sunt ac roborati nimis impleverunt terram	filii Isral creverunt, et quasi germinantes multiplicati sunt: ac roborati nimis, impleverunt terram.		And the children of Israel were fruitful, and increased abundantly, and multiplied, and waxed exceeding mighty; and the land was filled with them.
Exod	1	8	וַיָּקָם מֶלֶךְ־חָדָשׁ עַל־מִצְרָיִם אֲשֶׁר לֹא־יָדַע אֶת־יוֹסֵף ׃	Ἀνέστη δὲ βασιλεὺς ἕτερος ἐπ’ Αἴγυπτον, ὃς οὐκ ᾔδει τὸν Ἰωσήφ.	surrexit interea rex novus super Aegyptum qui ignorabat Ioseph	Surrexit interea rex novus super gyptum, qui ignorabat Joseph.		Now there arose up a new king over Egypt, which knew not Joseph.
Exod	1	9	וַיֹּאמֶר אֶל־עַמּוֹ הִנֵּה עַם בְּנֵי יִשְׂרָאֵל רַב וְעָצוּם מִמֶּנּוּ ׃	εἶπεν δὲ τῷ ἔθνει αὐτοῦ Ἰδοὺ τὸ γένος τῶν υἱῶν Ἰσραὴλ μέγα πλῆθος, καὶ ἰσχύει ὑπὲρ ἡμᾶς·	et ait ad populum suum ecce populus filiorum Israhel multus et fortior nobis	Et ait ad populum suum: Ecce, populus filiorum Isral multus, et fortior nobis est.		And he said unto his people, Behold, the people of the children of Israel are more and mightier than we:
Exod	1	10	הָבָה נִתְחַכְּמָה לוֹ פֶּן־יִרְבֶּה וְהָיָה כִּי־תִקְרֶאנָה מִלְחָמָה וְנוֹסַף גַּם־הוּא עַל־שֹׂנְאֵינוּ וְנִלְחַם־בָּנוּ וְעָלָה מִן־הָאָרֶץ ׃	δεῦτε οὖν κατασοφισώμεθα αὐτούς, μή ποτε πληθυνθῇ, καὶ ἡνίκα ἅλ’ συμβῇ ἡμῖν πόλεμος προστεθήσονται καὶ οὗτοι πρὸς τοὺς ὑπεναντίους, καὶ ἐκπολεμήσαντες ἡμᾶς ἐξελεύσονται ἐκ τῆς	venite sapienter opprimamus eum ne forte multiplicetur et si ingruerit contra nos bellum addatur inimicis nostris expugnatisque nobis egrediatur e terra	Venite, sapienter opprimamus eum, ne forte multiplicetur: et si ingruerit contra nos bellum, addatur inimicis nostris, expugnatisque nobis egrediatur de terra.		Come on, let us deal wisely with them; lest they multiply, and it come to pass, that, when there falleth out any war, they join also unto our enemies, and fight against us, and so get them up out of the land.
