book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Ezek	1	1	וַיְהִי בִּשְׁלֹשִׁים שָׁנָה בָּרְבִיעִי בַּחֲמִשָּׁה לַחֹדֶשׁ וַאֲנִי בְתוֹךְ־הַגּוֹלָה עַל־נְהַר־כְּבָר נִפְתְּחוּ הַשָּׁמַיִם וָאֶרְאֶה מַרְאוֹת אֱלֹהִים ׃	ΚΑΙ ἐγένετο ἐν τῷ τριακοστῷ ἔτει τετάρτῳ μηνὶ πέμπτη τοῦ μηνὸς καὶ ἐγὼ ἤμην ἐν μέσῳ τῆς αἰχμαλωσίας ἐπὶ τοῦ ποταμοῦ τοῦ Κοβάρ, καὶ ἠνοίχθησαν οἱ οὐρανοί, καὶ εἶδον ὁράσεις θεοῦ.	et factum est in tricesimo anno in quarto mense in quinta mensis cum essem in medio captivorum iuxta fluvium Chobar aperti sunt caeli et vidi visiones Dei	Et factum est in trigesimo anno, in quarto, in quinta mensis, cum essem in medio captivorum juxta fluvium Chobar, aperti sunt cli, et vidi visiones Dei.		Now it came to pass in the thirtieth year, in the fourth month, in the fifth day of the month, as I was among the captives by the river of Chebar, that the heavens were opened, and I saw visions of God.
Ezek	1	2	בַּחֲמִשָּׁה לַחֹדֶשׁ הִיא הַשָּׁנָה הַחֲמִישִׁית לְגָלוּת הַמֶּלֶךְ יוֹיָכִין ׃	πέμπτῃ τοῦ μηνός, τοῦτο τὸ ἔτος τὸ πέμπτον τῆς αἰχμαλωσίας τοῦ βασιλέως Ἰωακείμ, (3)καὶ ἐγένετο λόγος Κυρίου πρὸς Ἰεζεκιὴλ υἱὸν Βουζεὶ τὸν ἱερέα ἐν γῇ Χαλδαίων ἐπὶ τοῦ ποταμοῦ τοῦ Κοβάρ.	in quinta mensis ipse est annus quintus transmigrationis regis Ioachin	In quinta mensis, ipse est annus quintus transmigrationis regis Joachim,		In the fifth day of the month, which was the fifth year of king Jehoiachin's captivity,
Ezek	1	3	הָיֹה הָיָה דְבַר־יְהוָה אֶל־יְחֶזְקֵאל בֶּן־בּוּזִי הַכֹּהֵן בְּאֶרֶץ כַּשְׂדִּים עַל־נְהַר־כְּבָר וַתְּהִי עָלָיו שָׁם יַד־יְהוָה ׃	καὶ ἐγένετο ἐπʼ ἐμέ χεὶρ Κυρίου,	factum est verbum Domini ad Hiezecihel filium Buzi sacerdotem in terra Chaldeorum secus flumen Chobar et facta est super eum ibi manus Domini	factum est verbum Domini ad Ezechielem filium Buzi sacerdotem, in terra Chaldorum, secus flumen Chobar: et facta est super eum ibi manus Domini.		The word of the Lord came expressly unto Ezekiel the priest, the son of Buzi, in the land of the Chaldeans by the river Chebar; and the hand of the Lord was there upon him.
Ezek	1	4	וָאֵרֶא וְהִנֵּה רוּחַ סְעָרָה בָּאָה מִן־הַצָּפוֹן עָנָן גָּדוֹל וְאֵשׁ מִתְלַקַּחַת וְנֹגַהּ לוֹ סָבִיב וּמִתּוֹכָהּ כְּעֵין הַחַשְׁמַל מִתּוֹךְ הָאֵשׁ ׃	καὶ ἴδον, καὶ ἰδοὺ πνεῦμα ἐξαῖρον ἤρχετο ἀπὸ βορᾶ, καὶ νεφέλη μεγάλη ἐν αὐτῷ, καὶ φέγγος κύκλῳ αὐτοῦ καὶ πῦρ ἐξαστράπτον, καὶ ἐν τῷ μέσῳ αὐτοῦ ὡς ὄρασις ἠλέκτρου ἐν μέσα τοῦ πυρὸς καὶ φέγγος ἐν αὐτῷ.	et vidi et ecce ventus turbinis veniebat ab aquilone et nubes magna et ignis involvens et splendor in circuitu eius et de medio eius quasi species electri id est de medio ignis	Et vidi, et ecce ventus turbinis veniebat ab aquilone, et nubes magna, et ignis involvens, et splendor in circuitu ejus: et de medio ejus, quasi species electri, id est, de medio ignis:		And I looked, and, behold, a whirlwind came out of the north, a great cloud, and a fire infolding itself, and a brightness was about it, and out of the midst thereof as the colour of amber, out of the midst of the fire.
Ezek	1	5	וּמִתּוֹכָהּ דְּמוּת אַרְבַּע חַיּוֹת וְזֶה מַרְאֵיהֶן דְּמוּת אָדָם לָהֵנָּה ׃	καὶ ἐν τῷ μέσῳ ὡς ὁμοίωμα τεσσάρων ζώων· καὶ αὕτη ἡ ὅρασις αὐτῶν· ὁμοίωμα ἀνθρώπου ἐπʼ αὐτοῖς.	et ex medio eorum similitudo quattuor animalium et hic aspectus eorum similitudo hominis in eis	et in medio ejus similitudo quatuor animalium. Et hic aspectus eorum, similitudo hominis in eis.		Also out of the midst thereof came the likeness of four living creatures. And this was their appearance; they had the likeness of a man.
Ezek	1	6	וְאַרְבָּעָה פָנִים לְאֶחָת וְאַרְבַּע כְּנָפַיִם לְאַחַת לָהֶם ׃	καὶ τέσσαρα πρόσωπα τῷ ἑνί, καὶ τέσσαρες πτέρυγες τῷ ἑνί	et quattuor facies uni et quattuor pinnae uni	Quatuor facies uni, et quatuor penn uni.		And every one had four faces, and every one had four wings.
Ezek	1	7	וְרַגְלֵיהֶם רֶגֶל יְשָׁרָה וְכַף רַגְלֵיהֶם כְּכַף רֶגֶל עֵגֶל וְנֹצְצִים כְּעֵין נְחֹשֶׁת קָלָל ׃	καὶ τὰ σκέλη αὐτῶν ὀρθά, καὶ πτερωτοὶ οἱ πόδες αὐτῶν, καὶ σπινθῆρες ὡς ἐξαστράπτων χαλκός· καὶ ἐλαφραὶ αἱ πτέρυγες αὐτῶν,	et pedes eorum pedes recti et planta pedis eorum quasi planta pedis vituli et scintillae quasi aspectus aeris candentis	Pedes eorum, pedes recti, et planta pedis eorum quasi planta pedis vituli: et scintill quasi aspectus ris candentis.		And their feet were straight feet; and the sole of their feet was like the sole of a calf's foot: and they sparkled like the colour of burnished brass.
Ezek	1	8	וְיָדוֹ אָדָם מִתַּחַת כַּנְפֵיהֶם עַל אַרְבַּעַת רִבְעֵיהֶם וּפְנֵיהֶם וְכַנְפֵיהֶם לְאַרְבַּעְתָּם ׃	καὶ χεὶρ ἀνθρώπου ὑποκάτωθεν τῶν πτερύγων αὐτῶν ἐπὶ τὰ τέσσαρα μέρη αὐτῶν· καὶ τὰ πρόσωπα αὐτῶυ τῶν τεσσάρων	et manus hominis sub pinnis eorum in quattuor partibus et facies et pinnas per quattuor partes habebant	Et manus hominis sub pennis eorum, in quatuor partibus: et facies et pennas per quatuor partes habebant.		And they had the hands of a man under their wings on their four sides; and they four had their faces and their wings.
Ezek	1	9	חֹבְרֹת אִשָּׁה אֶל־אֲחוֹתָהּ כַּנְפֵיהֶם לֹא־יִסַּבּוּ בְלֶכְתָּן אִישׁ אֶל־עֵבֶר פָּנָיו יֵלֵכוּ ׃	οὺκ ἐπεστρέφοντο ἐν τῷ βαδίζειν αὐτά, ἕκαστον ἀπέναντι τοῦ προσώπου αὐτῶν ἐπορεύοντο.	iunctaeque erant pinnae eorum alterius ad alterum non revertebantur cum incederent sed unumquodque ante faciem suam gradiebatur	Junctque erant penn eorum alterius ad alterum: non revertebantur cum incederent, sed unumquodque ante faciem suam gradiebatur.		Their wings were joined one to another; they turned not when they went; they went every one straight forward.
Ezek	1	10	וּדְמוּת פְּנֵיהֶם פְּנֵי אָדָם וּפְנֵי אַרְיֵה אֶל־הַיָּמִין לְאַרְבַּעְתָּם וּפְנֵי־שׁוֹר מֵהַשְּׂמֹאול לְאַרְבַּעְתָּן וּפְנֵי־נֶשֶׁר לְאַרְבַּעְתָּן ׃	καὶ ὁμοίωσις τῶν προσώπων αὐτῶν· πρόσωπον ἀνθρώπου καὶ πρόσωπον λέοντος ἐκ δεξιῶυ τοῖς τέσσαρσιν, καὶ πρόσωπον μόσχου ἐξ ἀριστερῶν τοῖς τέσσαρσιν, καὶ πρόσωπον ἀετοῦ τοῖς τέσσαρσιν,	similitudo autem vultus eorum facies hominis et facies leonis a dextris ipsorum quattuor facies autem bovis a sinistris ipsorum quattuor et facies aquilae ipsorum quattuor	Similitudo autem vultus eorum, facies hominis et facies leonis a dextris ipsorum quatuor, facies autem bovis a sinistris ipsorum quatuor, et facies aquil desuper ipsorum quatuor.		As for the likeness of their faces, they four had the face of a man, and the face of a lion, on the right side: and they four had the face of an ox on the left side; they four also had the face of an eagle.
