book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Ezra	1	1	וּבִשְׁנַת אַחַת לְכוֹרֶשׁ מֶלֶךְ פָּרַס לִכְלוֹת דְּבַר־יְהוָה מִפִּי יִרְמְיָה הֵעִיר יְהוָה אֶת־רוּחַ כֹּרֶשׁ מֶלֶךְ־פָּרַס וַיַּעֲבֶר־קוֹל בְּכָל־מַלְכוּתוֹ וְגַם־בְּמִכְתָּב לֵאמֹר ׃	ΚΑΙ ἤγαγεν Ἰωσείας τὸ πάσχα ἐν Ἰερουσαλὴμ τῷ κυρίῳ αὐτοῦ, καὶ ἔθυσαν τὸ πάσχα τῇ τεσσαρεσκαιδεκάτῃ ἡμέρᾳ τοῦ μηνὸς τοῦ πρώτου,	in anno primo Cyri regis Persarum ut conpleretur verbum Domini ex ore Hieremiae suscitavit Dominus spiritum Cyri regis Persarum et transduxit vocem in universo regno suo etiam per scripturam dicens	In anno primo Cyri regis Persarum, ut compleretur verbum Domini ex ore Jeremi, suscitavit Dominus spiritum Cyri regis Persarum: et traduxit vocem in omni regno suo, etiam per scripturam, dicens:		Now in the first year of Cyrus king of Persia, that the word of the Lord by the mouth of Jeremiah might be fulfilled, the Lord stirred up the spirit of Cyrus king of Persia, that he made a proclamation throughout all his kingdom, and put it also in writing, saying,
Ezra	1	2	כֹּה אָמַר כֹּרֶשׁ מֶלֶךְ פָּרַס כֹּל מַמְלְכוֹת הָאָרֶץ נָתַן לִי יְהוָה אֱלֹהֵי הַשָּׁמָיִם וְהוּא־פָקַד עָלַי לִבְנוֹת־לוֹ בַיִת בִּירוּשָׁלַםִ אֲשֶׁר בִּיהוּדָה ׃	στήσας τοὺς ἱερεῖς κατʼ ἐφημερίας ἐστολισμένους ἐν τῷ ἱερῷ τοῦ κυρίου.	haec dicit Cyrus rex Persarum omnia regna terrae dedit mihi Dominus Deus caeli et ipse praecepit mihi ut aedificarem ei domum in Hierusalem quae est in Iudaea	Hc dicit Cyrus rex Persarum: Omnia regna terr dedit mihi Dominus Deus cli, et ipse prcepit mihi ut dificarem ei domum in Jerusalem, qu est in Juda.		Thus saith Cyrus king of Persia, The Lord God of heaven hath given me all the kingdoms of the earth; and he hath charged me to build him an house at Jerusalem, which is in Judah.
Ezra	1	3	מִי־בָכֶם מִכָּל־עַמּוֹ יְהִי אֱלֹהָיו עִמּוֹ וְיַעַל לִירוּשָׁלִַם אֲשֶׁר בִּיהוּדָה וְיִבֶן אֶת־בֵּית יְהוָה אֱלֹהֵי יִשְׂרָאֵל הוּא הָאֱלֹהִים אֲשֶׁר בִּירוּשָׁלָםִ ׃	καὶ εἶπεν τοῖς Λευείταις, ἱεροδούλοις τοῦ Ἰσραήλ, ἁγιάσαι αὐτοὺς τῷ κυρίῳ ἐν τῇ θέσει τῆς ἁγίας κιβωτοῦ τοῦ κυρίου ἐν τῷ οἴκῳ ᾧ ᾠκοδόμησεν Σαλωμὼν ὁ τοῦ Δαυεὶδ ὁ βασιλεύς·	quis est in vobis de universo populo eius sit Deus illius cum ipso ascendat Hierusalem quae est in Iudaea et aedificet domum Domini Dei Israhel ipse est Deus qui est in Hierusalem	Quis est in vobis de universo populo ejus? Sit Deus illius cum ipso. Ascendat in Jerusalem, qu est in Juda, et dificet domum Domini Dei Isral: ipse est Deus qui est in Jerusalem.		Who is there among you of all his people? his God be with him, and let him go up to Jerusalem, which is in Judah, and build the house of the Lord God of Israel, (he is the God,) which is in Jerusalem.
Ezra	1	4	וְכָל־הַנִּשְׁאָר מִכָּל־הַמְּקֹמוֹת אֲשֶׁר הוּא גָר־שָׁם יְנַשְּׂאוּהוּ אַנְשֵׁי מְקֹמוֹ בְּכֶסֶף וּבְזָהָב וּבִרְכוּשׁ וּבִבְהֵמָה עִם־הַנְּדָבָה לְבֵית הָאֱלֹהִים אֲשֶׁר בִּירוּשָׁלָםִ ׃	Οὐκ ἔσται ὑμῖν ἄραι ἐπʼ ὤμῶν αὐτήν· καὶ νῦν λατρεύετε τῷ κυρίῳ θεῷ ὑμῶν, καὶ θεραπεύετε τὸ ἔθνος αὐτοῦ Ἰσραήλ, καὶ ἑτοιμάσατε κατὰ τὰς πατριὰς καὶ τὰς φυλὰς ὑμῶυ )(⁵)κατὰ τὴν γραφὴν Δαυεὶδ βασιλέως Ἰσραὴλ καὶ κατὰ τὴν μεγαλειότητα Σαλωμὼν τοῦ υἱοῦ αὐτοῦ·	et omnes reliqui in cunctis locis ubicumque habitant adiuvent eum viri de loco suo argento et auro et substantia et pecoribus excepto quod voluntarie offerunt templo Dei quod est in Hierusalem	Et omnes reliqui in cunctis locis ubicumque habitant, adjuvent eum viri de loco suo argento et auro, et substantia, et pecoribus, excepto quod voluntarie offerunt templo Dei, quod est in Jerusalem.		And whosoever remaineth in any place where he sojourneth, let the men of his place help him with silver, and with gold, and with goods, and with beasts, beside the freewill offering for the house of God that is in Jerusalem.
Ezra	1	5	וַיָּקוּמוּ רָאשֵׁי הָאָבוֹת לִיהוּדָה וּבִנְיָמִן וְהַכֹּהֲנִים וְהַלְוִיִּם לְכֹל הֵעִיר הָאֱלֹהִים אֶת־רוּחוֹ לַעֲלוֹת לִבְנוֹת אֶת־בֵּית יְהוָה אֲשֶׁר בִּירוּשָׁלָםִ ׃	καὶ στάντες ἐν τῷ ἁγίῳ κατὰ τὴν μεριδαρχίαν τὴν πατρικὴν ὑμῶν τῶν Λευειτῶν τῶν ἔμπροσθεν τῶν ἀδελφῶν ὑμῶν υἱῶν Ἰσραὴλ	et surrexerunt principes patrum de Iuda et Beniamin et sacerdotes et Levitae omnis cuius suscitavit Deus spiritum ut ascenderent ad aedificandum templum Domini quod erat in Hierusalem	Et surrexerunt principes patrum de Juda et Benjamin, et sacerdotes, et Levit, et omnis cujus Deus suscitavit spiritum, ut ascenderent ad dificandum templum Domini, quod erat in Jerusalem.		Then rose up the chief of the fathers of Judah and Benjamin, and the priests, and the Levites, with all them whose spirit God had raised, to go up to build the house of the Lord which is in Jerusalem.
Ezra	1	6	וְכָל־סְבִיבֹתֵיהֶם חִזְּקוּ בִידֵיהֶם בִּכְלֵי־כֶסֶף בַּזָּהָב בָּרְכוּשׁ וּבַבְּהֵמָה וּבַמִּגְדָּנוֹת לְבַד עַל־כָּל־הִתְנַדֵּב ׃ ס	ἐν τάξει, (5) θύσατε τὸ πάσχα, καὶ τὰς θυσίας ἑτοιμάσατε τοῖς ἀδελφοῖς ὑμῶν, καὶ ποιήσατε τὸ πάσχα κατὰ τὸ πρόσταγμα τοῦ κυρίου τὸ δοθὲν τῷ Μωυσῆ.	universique qui erant in circuitu adiuverunt manus eorum in vasis argenteis et aureis in substantia in iumentis in supellectili exceptis his quae sponte obtulerunt	Universique qui erant in circuitu, adjuverunt manus eorum in vasis argenteis et aureis, in substantia et jumentis, in supellectili, exceptis his qu sponte obtulerant.		And all they that were about them strengthened their hands with vessels of silver, with gold, with goods, and with beasts, and with precious things, beside all that was willingly offered.
Ezra	1	7	וְהַמֶּלֶךְ כּוֹרֶשׁ הוֹצִיא אֶת־כְּלֵי בֵית־יְהוָה אֲשֶׁר הוֹצִיא נְבוּכַדְנֶצַּר מִירוּשָׁלִַם וַיִּתְּנֵם בְּבֵית אֱלֹהָיו ׃	καὶ ἐδωρήσατο Ἰωσείας τῷ λαῷ τῷ εὑρεθέντι ἀρνῶν καὶ ἐρίφων τριάκοντα χιλιάδας, μόσχ χους τρισχιλίους· (8) ταῦτα ἐκ τῶν βασιλικῶν ἐδόθη κατʼ ἐπαγγελίαν τῷ λαῷ καὶ τοῖς ἱερεῦσιν καὶ Λευείταις.	rex quoque Cyrus protulit vasa templi Domini quae tulerat Nabuchodonosor de Hierusalem et posuerat ea in templo dei sui	Rex quoque Cyrus protulit vasa templi Domini, qu tulerat Nabuchodonosor de Jerusalem, et posuerat ea in templo dei sui.		Also Cyrus the king brought forth the vessels of the house of the Lord, which Nebuchadnezzar had brought forth out of Jerusalem, and had put them in the house of his gods;
Ezra	1	8	וַיּוֹצִיאֵם כּוֹרֶשׁ מֶלֶךְ פָּרַס עַל־יַד מִתְרְדָת הַגִּזְבָּר וַיִּסְפְּרֵם לְשֵׁשְׁבַּצַּר הַנָּשִׂיא לִיהוּדָה ׃	καὶ ἔδωκεν Κελκείας καὶ Ζαχαρίας καὶ Ἠσύηλος οἱ ἐπιστάται τοῦ ἱεροῦ τοῖς ἱερεῦσιν εἰς πάσχα πρόβατα δισχίλια ἑξακόσια, μόσχους τριακοσίους.	protulit autem ea Cyrus rex Persarum per manum Mitridatis filii Gazabar et adnumeravit ea Sasabassar principi Iudae	Protulit autem ea Cyrus rex Persarum per manum Mithridatis filii Gazabar, et annumeravit ea Sassabasar principi Juda.		Even those did Cyrus king of Persia bring forth by the hand of Mithredath the treasurer, and numbered them unto Sheshbazzar, the prince of Judah.
Ezra	1	9	וְאֵלֶּה מִסְפָּרָם אֲגַרְטְלֵי זָהָב שְׁלֹשִׁים אֲגַרְטְלֵי־כֶסֶף אָלֶף מַחֲלָפִים תִּשְׁעָה וְעֶשְׂרִים ׃ ס	καὶ Ἰεχονίας καὶ Σαμαίας καὶ Ναθαναὴλ ὁ ἀδελφὸς καὶ Σαβίας καὶ Οχίηλος καὶ Ἰωρὰμ χιλίαρχοι ἔδωκαν τοῖς Λευείταις εἰς πάσχα πρόβατα χίλια, μόσχους ἑπτακοσίους.	et hic est numerus eorum fialae aureae triginta fialae argenteae mille cultri viginti novem scyphi aurei triginta	Et hic est numerus eorum: phial aure triginta, phial argente mille, cultri viginti novem, scyphi aurei triginta,		And this is the number of them: thirty chargers of gold, a thousand chargers of silver, nine and twenty knives,
Ezra	1	10	כְּפוֹרֵי זָהָב שְׁלֹשִׁים כְּפוֹרֵי כֶסֶף מִשְׁנִים אַרְבַּע מֵאוֹת וַעֲשָׂרָה כֵּלִים אֲחֵרִים אָלֶף ׃ ס	καὶ ταῦτα τὰ γενόμενα· εὐπρεπῶς ἔστησαν οἱ ἱερεῖς καὶ οἱ Λευεῖται, ἔχοντες τὰ ἄζυμα, κατὰ τὰς φυλὰς (¹¹)καὶ κατὰ τὰς μεριδαρχίας τῶν πατέρων ἔμπροσθεν τοῦ λαοῦ, προσενεγκεῖν τῷ κυρίῳ κατὰ τὰ γεγραμμένα ἐν βιβλίῳ Μωυσῆ· καὶ οὕτω τὸ πρωινόν.	scyphi argentei secundi quadringenti decem vasa alia mille	scyphi argentei secundi quadringenti decem, vasa alia mille.		Thirty basons of gold, silver basons of a second sort four hundred and ten, and other vessels a thousand.
