book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Gal	1	1			Paulus apostolus non ab hominibus neque per hominem sed per Iesum Christum et Deum Patrem qui suscitavit eum a mortuis	Paulus, Apostolus non ab hominibus, neque per hominem, sed per Jesum Christum, et Deum Patrem, qui suscitavit eum a mortuis:	παυλος αποστολος ουκ απ ανθρωπων ουδε δι ανθρωπου αλλα δια ιησου χριστου και θεου πατρος του εγειραντος αυτον εκ νεκρων 	Paul, an apostle, (not of men, neither by man, but by Jesus Christ, and God the Father, who raised him from the dead;)
Gal	1	2			et qui mecum sunt omnes fratres ecclesiis Galatiae	et qui mecum sunt omnes fratres, ecclesiis Galati.	και οι συν εμοι παντες αδελφοι ταις εκκλησιαις της γαλατιας 	And all the brethren which are with me, unto the churches of Galatia:
Gal	1	3			gratia vobis et pax a Deo Patre et Domino nostro Iesu Christo	Gratia vobis, et pax a Deo Patre, et Domino nostro Jesu Christo,	χαρις υμιν και ειρηνη απο θεου πατρος και κυριου ημων ιησου χριστου 	Grace be to you and peace from God the Father, and from our Lord Jesus Christ,
Gal	1	4			qui dedit semet ipsum pro peccatis nostris ut eriperet nos de praesenti saeculo nequam secundum voluntatem Dei et Patris nostri	qui dedit semetipsum pro peccatis nostris, ut eriperet nos de prsenti sculo nequam, secundum voluntatem Dei et Patris nostri,	του δοντος εαυτον υπερ των αμαρτιων ημων οπως εξεληται ημας εκ του ενεστωτος αιωνος πονηρου κατα το θελημα του θεου και πατρος ημων 	Who gave himself for our sins, that he might deliver us from this present evil world, according to the will of God and our Father:
Gal	1	5			cui est gloria in saecula saeculorum amen	cui est gloria in scula sculorum. Amen.	ω η δοξα εις τους αιωνας των αιωνων αμην 	To whom be glory for ever and ever. Amen.
Gal	1	6			miror quod sic tam cito transferimini ab eo qui vos vocavit in gratiam Christi in aliud evangelium	Miror quod sic tam cito transferimini ab eo qui vos vocavit in gratiam Christi in aliud Evangelium:	θαυμαζω οτι ουτως ταχεως μετατιθεσθε απο του καλεσαντος υμας εν χαριτι χριστου εις ετερον ευαγγελιον 	I marvel that ye are so soon removed from him that called you into the grace of Christ unto another gospel:
Gal	1	7			quod non est aliud nisi sunt aliqui qui vos conturbant et volunt convertere evangelium Christi	quod non est aliud, nisi sunt aliqui qui vos conturbant, et volunt convertere Evangelium Christi.	ο ουκ εστιν αλλο ει μη τινες εισιν οι ταρασσοντες υμας και θελοντες μεταστρεψαι το ευαγγελιον του χριστου 	Which is not another; but there be some that trouble you, and would pervert the gospel of Christ.
Gal	1	8			sed licet nos aut angelus de caelo evangelizet vobis praeterquam quod evangelizavimus vobis anathema sit	Sed licet nos aut angelus de clo evangelizet vobis prterquam quod evangelizavimus vobis, anathema sit.	αλλα και εαν ημεις η αγγελος εξ ουρανου ευαγγελιζηται υμιν παρ ο ευηγγελισαμεθα υμιν αναθεμα εστω 	But though we, or an angel from heaven, preach any other gospel unto you than that which we have preached unto you, let him be accursed.
Gal	1	9			sicut praediximus et nunc iterum dico si quis vobis evangelizaverit praeter id quod accepistis anathema sit	Sicut prdiximus, et nunc iterum dico: si quis vobis evangelizaverit prter id quod accepistis, anathema sit.	ως προειρηκαμεν και αρτι παλιν λεγω ει τις υμας ευαγγελιζεται παρ ο παρελαβετε αναθεμα εστω 	As we said before, so say I now again, if any man preach any other gospel unto you than that ye have received, let him be accursed.
Gal	1	10			modo enim hominibus suadeo aut Deo aut quaero hominibus placere si adhuc hominibus placerem Christi servus non essem	Modo enim hominibus suadeo, an Deo? an quro hominibus placere? si adhuc hominibus placerem, Christi servus non essem.	αρτι γαρ ανθρωπους πειθω η τον θεον η ζητω ανθρωποις αρεσκειν ει γαρ ετι ανθρωποις ηρεσκον χριστου δουλος ουκ αν ημην 	For do I now persuade men, or God? or do I seek to please men? for if I yet pleased men, I should not be the servant of Christ.
Gal	1	11			notum enim vobis facio fratres evangelium quod evangelizatum est a me quia non est secundum hominem	Notum enim vobis facio, fratres, Evangelium, quod evangelizatum est a me, quia non est secundum hominem:	γνωριζω δε υμιν αδελφοι το ευαγγελιον το ευαγγελισθεν υπ εμου οτι ουκ εστιν κατα ανθρωπον 	But I certify you, brethren, that the gospel which was preached of me is not after man.
Gal	1	12			neque enim ego ab homine accepi illud neque didici sed per revelationem Iesu Christi	neque enim ego ab homine accepi illud, neque didici, sed per revelationem Jesu Christi.	ουδε γαρ εγω παρα ανθρωπου παρελαβον αυτο ουτε εδιδαχθην αλλα δι αποκαλυψεως ιησου χριστου 	For I neither received it of man, neither was I taught it, but by the revelation of Jesus Christ.
Gal	1	13			audistis enim conversationem meam aliquando in iudaismo quoniam supra modum persequebar ecclesiam Dei et expugnabam illam	Audistis enim conversationem meam aliquando in Judaismo: quoniam supra modum persequebar Ecclesiam Dei, et expugnabam illam,	ηκουσατε γαρ την εμην αναστροφην ποτε εν τω ιουδαισμω οτι καθ υπερβολην εδιωκον την εκκλησιαν του θεου και επορθουν αυτην 	For ye have heard of my conversation in time past in the Jews' religion, how that beyond measure I persecuted the church of God, and wasted it:
