book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Hab	1	1	הַמַּשָּׂא אֲשֶׁר חָזָה חֲבַקּוּק הַנָּבִיא ׃	Τ0 λῆμμα ὃ εἶδεν Ἁμβακοὺμ ὁ προφήτης.	onus quod vidit Abacuc propheta	Onus quod vidit Habacuc propheta.		The burden which Habakkuk the prophet did see.
Hab	1	2	עַד־אָנָה יְהוָה שִׁוַּעְתִּי וְלֹא תִשְׁמָע אֶזְעַק אֵלֶיךָ חָמָס וְלֹא תוֹשִׁיעַ ׃	Ἕως τίνος, Κύριε, κράξομαι, καὶ οὐ μὴ εἰσακούσῃς ; βοήσομαι πρὸς σὲ ἀδικούμενος, καὶ οὐ σώσεις;	usquequo Domine clamabo et non exaudies vociferabor ad te vim patiens et non salvabis	[Usquequo, Domine, clamabo, et non exaudies? vociferabor ad te, vim patiens, et non salvabis?		O Lord, how long shall I cry, and thou wilt not hear! even cry out unto thee of violence, and thou wilt not save!
Hab	1	3	לָמָּה תַרְאֵנִי אָוֶן וְעָמָל תַּבִּיט וְשֹׁד וְחָמָס לְנֶגְדִּי וַיְהִי רִיב וּמָדוֹן יִשָּׂא ׃	ἵνα τί ἔδειξάς μοι κόπους καὶ πόνους ἐπιβλέπειν, ταλαιπαωρίαν καὶ ἀσέβειαυ ; ἐξ ἐναντίας μου γέγονεν κρίσις, καὶ ὁ κριτὴς λαμβάνει·	quare ostendisti mihi iniquitatem et laborem videre praeda et iniustitia contra me et factum est iudicium et contradictio potentior	Quare ostendisti mihi iniquitatem et laborem, videre prdam et injustitiam contra me? Et factum est judicium, et contradictio potentior.		Why dost thou shew me iniquity, and cause me to behold grievance? for spoiling and violence are before me: and there are that raise up strife and contention.
Hab	1	4	עַל־כֵּן תָּפוּג תּוֹרָה וְלֹא־יֵצֵא לָנֶצַח מִשְׁפָּט כִּי רָשָׁע מַכְתִּיר אֶת־הַצַּדִּיק עַל־כֵּן יֵצֵא מִשְׁפָּט מְעֻקָּל ׃	διὰ τοῦτο διεσκέδασται νόμος, καὶ οὐ διεξάγεται εἰς τέλος κρίμα, ὅτι ἀσεβὴς καταδυναστεύει τὸν δίκαιον· ἕνεκεν τούτου ἐξελεύσεται τὸ κρίμα διεστραμμένον.	propter hoc lacerata est lex et non pervenit usque ad finem iudicium quia impius praevalet adversus iustum propterea egreditur iudicium perversum	Propter hoc lacerata est lex, et non pervenit usque ad finem judicium; quia impius prvalet adversus justum, propterea egreditur judicium perversum.		Therefore the law is slacked, and judgment doth never go forth: for the wicked doth compass about the righteous; therefore wrong judgment proceedeth.
Hab	1	5	רְאוּ בַגּוֹיִם וְהַבִּיטוּ וְהִתַּמְּהוּ תְּמָהוּ כִּי־פֹעַל פֹּעֵל בִּימֵיכֶם לֹא תַאֲמִינוּ כִּי יְסֻפָּר ׃	ἴδετε, οἱ καταφρονηταί, καὶ ἐπιβλέψατε, καὶ θαυμάσατε θαυμάσια καὶ ἀφανίσθητε·διότιδιότι ἔργον ἐγὼ ἐργάζομαι ἐν ταῖς ἡμέραις ὑμῶν ὃ οὐ μὴ πιστεύσητε ἐάν τις ἐκδιηγῆται.	aspicite in gentibus et videte et admiramini et obstupescite quia opus factum est in diebus vestris quod nemo credet cum narrabitur	Aspicite in gentibus, et videte; admiramini, et obstupescite: quia opus factum est in diebus vestris, quod nemo credet cum narrabitur.		Behold ye among the heathen, and regard, and wonder marvelously: for I will work a work in your days which ye will not believe, though it be told you.
Hab	1	6	כִּי־הִנְנִי מֵקִים אֶת־הַכַּשְׂדִּים הַגּוֹי הַמַּר וְהַנִּמְהָר הַהוֹלֵךְ לְמֶרְחֲבֵי־אֶרֶץ לָרֶשֶׁת מִשְׁכָּנוֹת לֹּא־לוֹ ׃	διότι ἰδοὺ ἐγὼ ἐξεγείρω τοὺς Χαλδαίους, τὸ ἔθνος τὸ πικρὸν καὶ τὸ ταχινόν, τὸ πορευόμενον ἐπὶ τὰ πλάτη τῆς γῆς τοῦ κατακληρονομῆσαι σκηνώματα οὐκ αὐτοῦ·	quia ecce ego suscitabo Chaldeos gentem amaram et velocem ambulantem super latitudinem terrae ut possideat tabernacula non sua	Quia ecce ego suscitabo Chaldos, gentem amaram et velocem, ambulantem super latitudinem terr, ut possideat tabernacula non sua.		For, lo, I raise up the Chaldeans, that bitter and hasty nation, which shall march through the breadth of the land, to possess the dwellingplaces that are not their's.
Hab	1	7	אָיֹם וְנוֹרָא הוּא מִמֶּנּוּ מִשְׁפָּטוֹ וּשְׂאֵתוֹ יֵצֵא ׃	φοβερὸς καὶ ἐπιφανής ἐστιν, ἐξ αὐτοῦ τὸ κρίμα αὐτοῦ ἔσται, καὶ τὸ λῆμμα αὐτοῦ ἐξ αὐτοῦ ἐξελεύσεται·	horribilis et terribilis est ex semet ipsa iudicium et onus eius egredietur	Horribilis et terribilis est: ex semetipsa judicium et onus ejus egredietur.		They are terrible and dreadful: their judgment and their dignity shall proceed of themselves.
Hab	1	8	וְקַלּוּ מִנְּמֵרִים סוּסָיו וְחַדּוּ מִזְּאֵבֵי עֶרֶב וּפָשׁוּ פָּרָשָׁיו וּפָרָשָׁיו מֵרָחוֹק יָבֹאוּ יָעֻפוּ כְּנֶשֶׁר חָשׁ לֶאֱכוֹל ׃	καὶ ἐξαλοῦνται ὑπὲρ παρδάλεις οἱ ἵπποι αὐτοῦ, καὶ ὀξύτεροι ὑπὲρ τοὺς λύκους τῆς Ἀραβίας· καὶ ἐξιππάσονται οἱ ἱππεῖς αὐτοῦ καὶ ὁρμήσουσιν μακρόθεν, καὶ πετασθήσονται ὡς ἀετὸς πρόθυμος εἰς τὸ φαγεῖν.	leviores pardis equi eius et velociores lupis vespertinis et diffundentur equites eius equites namque eius de longe venient volabunt quasi aquila festinans ad comedendum	Leviores pardis equi ejus, et velociores lupis vespertinis: et diffundentur equites ejus: equites namque ejus de longe venient; volabunt quasi aquila festinans ad comedendum.		Their horses also are swifter than the leopards, and are more fierce than the evening wolves: and their horsemen shall spread themselves, and their horsemen shall come from far; they shall fly as the eagle that hasteth to eat.
Hab	1	9	כֻּלֹּה לְחָמָס יָבוֹא מְגַמַּת פְּנֵיהֶם קָדִימָה וַיֶּאֱסֹף כַּחוֹל שֶׁבִי ׃	συντέλεια εἰς ἀσεβεῖς ἥξει, ἀνθεστηκότας προσώποις αὐτῶν ἐξ ἐναντίας, καὶ συνάξει ὡς ἄμμον αἰχμαλωσίαν.	omnes ad praedam venient facies eorum ventus urens et congregabit quasi harenam captivitatem	Omnes ad prdam venient, facies eorum ventus urens; et congregabit quasi arenam captivitatem.		They shall come all for violence: their faces shall sup up as the east wind, and they shall gather the captivity as the sand.
Hab	1	10	וְהוּא בַּמְּלָכִים יִתְקַלָּס וְרֹזְנִים מִשְׂחָק לוֹ הוּא לְכָל־מִבְצָר יִשְׂחָק וַיִּצְבֹּר עָפָר וַיִּלְכְּדָהּ ׃	καὶ αὐτὸς ἐν βασιλεῦσιν ἐντρυφήσει καὶ τύραννοι παίγνια αὐτοῦ, καὶ αὐτὸς εἰς πᾶν ὀχύρωμα ἐμπαίξεται, καὶ βαλεῖ χῶμα καὶ κρατήσει αὐτοῦ.	et ipse de regibus triumphabit et tyranni ridiculi eius erunt ipse super omnem munitionem ridebit et conportabit aggerem et capiet eam	Et ipse de regibus triumphabit, et tyranni ridiculi ejus erunt; ipse super omnem munitionem ridebit, et comportabit aggerem, et capiet eam.		And they shall scoff at the kings, and the princes shall be a scorn unto them: they shall deride every strong hold; for they shall heap dust, and take it.
