book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Hag	1	1	בִּשְׁנַת שְׁתַּיִם לְדָרְיָוֶשׁ הַמֶּלֶךְ בַּחֹדֶשׁ הַשִּׁשִּׁי בְּיוֹם אֶחָד לַחֹדֶשׁ הָיָה דְבַר־יְהוָה בְּיַד־חַגַּי הַנָּבִיא אֶל־זְרֻבָּבֶל בֶּן־שְׁאַלְתִּיאֵל פַּחַת יְהוּדָה וְאֶל־יְהוֹשֻׁעַ בֶּן־יְהוֹצָדָק הַכֹּהֵן הַגָּדוֹל לֵאמֹר ׃	ΕΝ τῷ δευτέρῳ ἔτει ἐπὶ Δαρίου τοῦ βασιλέως ἐν τῷ μηνὶ τῷ ἕκτῳ μιᾷ τοῦ μηνὸς ἐγένετο λόγος Κυρίου ἐν χειρὶ Ἀγγαίου τοῦ προφήτου λέγων Εἰπὸν πρὸς Ζοροβάβελ τὸν τοῦ Σαλαθιὴλ ἐκ φυλῆς Ἰούδα καὶ πρὸς Ἰησοῦν τὸν τοῦ Ἰωσεδὲκ τὸν ἱερέα τὸν μέγαν λέγων	in anno secundo Darii regis in mense sexto in die una mensis factum est verbum Domini in manu Aggei prophetae ad Zorobabel filium Salathihel ducem Iuda et ad Iesum filium Iosedech sacerdotem magnum dicens	In anno secundo Darii regis, in mense sexto, in die una mensis, factum est verbum Domini in manu Aggi prophet, ad Zorobabel, filium Salathiel, ducem Juda, et ad Jesum, filium Josedec, sacerdotem magnum, dicens:		In the second year of Darius the king, in the sixth month, in the first day of the month, came the word of the Lord by Haggai the prophet unto Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Josedech, the high priest, saying,
Hag	1	2	כֹּה אָמַר יְהוָה צְבָאוֹת לֵאמֹר הָעָם הַזֶּה אָמְרוּ לֹא עֶת־בֹּא עֶת־בֵּית יְהוָה לְהִבָּנוֹת ׃ פ	Τάδε λέγει Κύριος Παντοκράτωρ λέγων Ὁ λαὸς οὗτος λέγουσιν Οὐχ ἤκει ὁ καιρὸς τοῦ οἰκοδομῆσαι τὸν οἶκον Κυρίου.	haec ait Dominus exercituum dicens populus iste dicit nondum venit tempus domus Domini aedificandae	Hc ait Dominus exercituum, dicens: Populus iste dicit: Nondum venit tempus domus Domini dificand.		Thus speaketh the Lord of hosts, saying, This people say, The time is not come, the time that the Lord's house should be built.
Hag	1	3	וַיְהִי דְּבַר־יְהוָה בְּיַד־חַגַּי הַנָּבִיא לֵאמֹר ׃	καὶ ἐγένετο λόγος Κυρίου ἐν χειρὶ Ἀγγαίου τοῦ προφήτου λέγων	et factum est verbum Domini in manu Aggei prophetae dicens	Et factum est verbum Domini in manu Aggi prophet, dicens:		Then came the word of the Lord by Haggai the prophet, saying,
Hag	1	4	הַעֵת לָכֶם אַתֶּם לָשֶׁבֶת בְּבָתֵּיכֶם סְפוּנִים וְהַבַּיִת הַזֶּה חָרֵב ׃	Εἰ καιρὸς μέν ὑμῖν ἐστιν τοῦ οἰκεῖν ἐν οἴκοις ὑμῶν κοιλοστάθμοις, ὁ δὲ οἶκος ὑμῶν ἐξηρήμωται;	numquid tempus vobis est ut habitetis in domibus laqueatis et domus ista deserta	[Numquid tempus vobis est ut habitetis in domibus laqueatis, et domus ista deserta?		Is it time for you, O ye, to dwell in your cieled houses, and this house lie waste?
Hag	1	5	וְעַתָּה כֹּה אָמַר יְהוָה צְבָאוֹת שִׂימוּ לְבַבְכֶם עַל־דַּרְכֵיכֶם ׃	καὶ νῦν τάδε λέγει Κύριος Παντοκράτωρ Τάξατε δὴ τὰς καρδίας ὑμῶν εἰς τὰς ὁδοὺς ὑμῶν·	et nunc haec dicit Dominus exercituum ponite corda vestra super vias vestras	Et nunc hc dicit Dominus exercituum: Ponite corda vestra super vias vestras.		Now therefore thus saith the Lord of hosts; Consider your ways.
Hag	1	6	זְרַעְתֶּם הַרְבֵּה וְהָבֵא מְעָט אָכוֹל וְאֵין־לְשָׂבְעָה שָׁתוֹ וְאֵין־לְשָׁכְרָה לָבוֹשׁ וְאֵין־לְחֹם לוֹ וְהַמִּשְׂתַּכֵּר מִשְׂתַּכֵּר אֶל־צְרוֹר נָקוּב ׃ פ	ἐσπείρατε πολλὰ καὶ εἰσηνέγκατε ὀλίγα, ἐφάγετε καὶ οὐκ εἰς πλησμονήν, ἐπίετε καὶ οὐκ εἰς μέθην, περιεβάλεσθε καὶ οὐκ ἐθερμάνθητε ἐν αὐτοῖς, καὶ ὁ τοὺς μισθοὺς συνάγων συνήγαγεν εἰς δεσμὸν τετρυπημένον.	seminastis multum et intulistis parum comedistis et non estis satiati bibistis et non estis inebriati operuistis vos et non estis calefacti et qui mercedes congregavit misit eas in sacculum pertusum	Seminastis multum, et intulistis parum; comedistis, et non estis satiati; bibistis, et non estis inebriati; operuistis vos, et non estis calefacti; et qui mercedes congregavit, misit eas in sacculum pertusum.		Ye have sown much, and bring in little; ye eat, but ye have not enough; ye drink, but ye are not filled with drink; ye clothe you, but there is none warm; and he that earneth wages earneth wages to put it into a bag with holes.
Hag	1	7	כֹּה אָמַר יְהוָה צְבָאוֹת שִׂימוּ לְבַבְכֶם עַל־דַּרְכֵיכֶם ׃	τάδε λέγει Κύριος Παντοκράτωρ Θέσθε τὰς καρδίας ὑμῶν εἰς τὰς ὁδοὺς ὑμῶν·	haec dicit Dominus exercituum ponite corda vestra super vias vestras	Hc dicit Dominus exercituum: Ponite corda vestra super vias vestras;		Thus saith the Lord of hosts; Consider your ways.
Hag	1	8	עֲלוּ הָהָר וַהֲבֵאתֶם עֵץ וּבְנוּ הַבָּיִת וְאֶרְצֶה־בּוֹ וְאֶכָּבֵד אָמַר יְהוָה ׃	ἀνάβητε εἰς τὸ ὄρος καὶ κόψατε ξύλα καὶ οἰκοδομήσατε τὸν οἶκον, καὶ εὐδοκήσω ἐν αὐτῷ καὶ ἐνδοξασθήσομαι, εἶπεν Κύριος.	ascendite in montem portate lignum et aedificate domum et acceptabilis mihi erit et glorificabor dicit Dominus	ascendite in montem, portate ligna, et dificate domum: et acceptabilis mihi erit, et glorificabor, dicit Dominus.		Go up to the mountain, and bring wood, and build the house; and I will take pleasure in it, and I will be glorified, saith the Lord.
Hag	1	9	פָּנֹה אֶל־הַרְבֵּה וְהִנֵּה לִמְעָט וַהֲבֵאתֶם הַבַּיִת וְנָפַחְתִּי בוֹ יַעַן מֶה נְאֻם יְהוָה צְבָאוֹת יַעַן בֵּיתִי אֲשֶׁר־הוּא חָרֵב וְאַתֶּם רָצִים אִישׁ לְבֵיתוֹ ׃	ἐπεβλέψατε εἰς πολλὰ καὶ ἐγένετο ὀλίγα, καὶ εἰσηνέχθη εἰς τὸν οἶκον καὶ ἐξεφύσησα αὐτά. διὰ τοῦτο τάδε λέγει Κύριος Παντοκράτωρ Ανθʼ ὧν ὁ οἶκός μού ἐστιν ἔρημος. ὑμεῖς δὲ διώκετε ἕκαστος εἰς τὸν οἶκον αὐτοῦ,	respexistis ad amplius et ecce factum est minus et intulistis in domum et exsuflavi illud quam ob causam dicit Dominus exercituum quia domus mea deserta est et vos festinatis unusquisque in domum suam	Respexistis ad amplius, et ecce factum est minus; et intulistis in domum, et exsufflavi illud: quam ob causam? dicit Dominus exercituum: quia domus mea deserta est, et vos festinatis unusquisque in domum suam.		Ye looked for much, and, lo it came to little; and when ye brought it home, I did blow upon it. Why? saith the Lord of hosts. Because of mine house that is waste, and ye run every man unto his own house.
Hag	1	10	עַל־כֵּן עֲלֵיכֶם כָּלְאוּ שָׁמַיִם מִטָּל וְהָאָרֶץ כָּלְאָה יְבוּלָהּ ׃	διὰ τοῦτο ἀνέξει ὁ οὐρανὸς ἀπὸ δρόσου, καὶ ἡ γῆ ὑποστελεῖται τὰ ἐκφόρια αὐτῆς·	propter hoc super vos prohibiti sunt caeli ne darent rorem et terra prohibita est ne daret germen suum	Propter hoc super vos prohibiti sunt cli ne darent rorem, et terra prohibita est ne daret germen suum:		Therefore the heaven over you is stayed from dew, and the earth is stayed from her fruit.
