book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Hos	1	1	דְּבַר־יְהוָה אֲשֶׁר הָיָה אֶל־הוֹשֵׁעַ בֶּן־בְּאֵרִי בִּימֵי עֻזִּיָּה יוֹתָם אָחָז יְחִזְקִיָּה מַלְכֵי יְהוּדָה וּבִימֵי יָרָבְעָם בֶּן־יוֹאָשׁ מֶלֶךְ יִשְׂרָאֵל ׃	ΛΟΓΟΣ Κυρίου ὃς ἐγενήθη πρὸς Ὡσῆε τὸν τοῦ Βεηρεὶ ἐν ἡμέραις Ὀζείου καὶ Ἰωαθὰμ καὶ Ἀχὰς καὶ Ἑζεκίου βασιλέων Ἰούδα καὶ ἐν ἡμέραις Ἰεροβοὰμ υἱοῦ Ἰωὰς βασιλέως Ἰσραήλ.	verbum Domini quod factum est ad Osee filium Beeri in diebus Oziae Ioatham Ahaz Ezechiae regum Iuda et in diebus Hieroboam filii Ioas regis Israhel	Verbum Domini, quod factum est ad Osee, filium Beeri, in diebus Ozi, Joathan, Achaz, Ezechi, regum Juda; et in diebus Jeroboam, filii Joas, regis Isral.		The word of the Lord that came unto Hosea, the son of Beeri, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah, and in the days of Jeroboam the son of Joash, king of Israel.
Hos	1	2	תְּחִלַּת דִּבֶּר־יְהוָה בְּהוֹשֵׁעַ פ וַיֹּאמֶר יְהוָה אֶל־הוֹשֵׁעַ לֵךְ קַח־לְךָ אֵשֶׁת זְנוּנִים וְיַלְדֵי זְנוּנִים כִּי־זָנֹה תִזְנֶה הָאָרֶץ מֵאַחֲרֵי יְהוָה ׃	Ἀρχὴ λόγου Κυρίου ἐν Ὡσκῆε. καὶ εἶπεν Κύριος πρὸς Ὡσηέ Βάδιζε λάβε σεαυτῷ γυναῖκα πορνείας καὶ τέκνα πορνείας, διότι ἐκπορνεύουσα ἐκπορνεύσει ἡ γῆ ἀπὸ ὄπισθεν τοῦ κυρίου.	principium loquendi Dominum in Osee et dixit Dominus ad Osee vade sume tibi uxorem fornicationum et filios fornicationum quia fornicans fornicabitur terra a Domino	Principium loquendi Domino in Osee. Et dixit Dominus ad Osee: Vade, sume tibi uxorem fornicationum, et fac tibi filios fornicationum, quia fornicans fornicabitur terra a Domino.		The beginning of the word of the Lord by Hosea. And the Lord said to Hosea, Go, take unto thee a wife of whoredoms and children of whoredoms: for the land hath committed great whoredom, departing from the Lord.
Hos	1	3	וַיֵּלֶךְ וַיִּקַּח אֶת־גֹּמֶר בַּת־דִּבְלָיִם וַתַּהַר וַתֵּלֶד־לוֹ בֵּן ׃	καὶ ἐπορεύθη καὶ ἔλαβεν τὴν Γόμερ θυγατέρα Δεβηλάιμ, καὶ συνέλαβεν καὶ ἔτεκεν αὐτῷ υἱόν.	et abiit et accepit Gomer filiam Debelaim et concepit et peperit filium	Et abiit, et accepit Gomer, filiam Debelaim: et concepit, et peperit ei filium.		So he went and took Gomer the daughter of Diblaim; which conceived, and bare him a son.
Hos	1	4	וַיֹּאמֶר יְהוָה אֵלָיו קְרָא שְׁמוֹ יִזְרְעֶאל כִּי־עוֹד מְעַט וּפָקַדְתִּי אֶת־דְּמֵי יִזְרְעֶאל עַל־בֵּית יֵהוּא וְהִשְׁבַּתִּי מַמְלְכוּת בֵּית יִשְׂרָאֵל ׃	καὶ εἶπεν Κύριος πρὸς αὐτόν Κάλεσον τὸ ὄνομα αὐτοῦ Ἰεζραέλ, διότι ἔτι μικρὸν καὶ ἐκδικήσω τὸ αἷμα τοῦ Ἰεζραὲλ ἐπὶ τὸν οἶκον Ἰούδα, καὶ καταπαύσω βασιλείαν οἴκου Ἰσραήλ·	et dixit Dominus ad eum voca nomen eius Hiezrahel quoniam adhuc modicum et visitabo sanguinem Hiezrahel super domum Hieu et quiescere faciam regnum domus Israhel	Et dixit Dominus ad eum: Voca nomen ejus Jezrahel, quoniam adhuc modicum, et visitabo sanguinem Jezrahel super domum Jehu, et quiescere faciam regnum domus Isral.		And the Lord said unto him, Call his name Jezreel; for yet a little while, and I will avenge the blood of Jezreel upon the house of Jehu, and will cause to cease the kingdom of the house of Israel.
Hos	1	5	וְהָיָה בַּיּוֹם הַהוּא וְשָׁבַרְתִּי אֶת־קֶשֶׁת יִשְׂרָאֵל בְּעֵמֶק יִזְרְעֶאל ׃	καὶ ἔσται ἐν τῇ ἡμέρᾳ ἐκείνῃ συντρίψω τὸ τόξον τοῦ Ἰσραὴλ ἐν κοιλάδι τοῦ Ἰεζραέλ.	et in illa die conteram arcum Israhel in valle Hiezrahel	Et in illa die conteram arcum Isral in valle Jezrahel.		And it shall come to pass at that day, that I will break the bow of Israel, in the valley of Jezreel.
Hos	1	6	וַתַּהַר עוֹד וַתֵּלֶד בַּת וַיֹּאמֶר לוֹ קְרָא שְׁמָהּ לֹא רֻחָמָה כִּי לֹא אוֹסִיף עוֹד אֲרַחֵם אֶת־בֵּית יִשְׂרָאֵל כִּי־נָשֹׂא אֶשָּׂא לָהֶם ׃	καὶ συνέλαβεν ἔτι καὶ ἔτεκεν θυγατέρα. καὶ εἶπεν αὐτῷ Κάλεσον τὸ ὄνομα αὐτῆς Οὐκ ἠλεημένη, διότι οὐ μὴ προσθήσω ἔτι ἐλεῆσαι τὸν οἶκον Ἰσραήλ, ἀλλʼ ἢ ἀντιτασσόμενος ἀντιτάξομαι αὐτοῖς.	et concepit adhuc et peperit filiam et dixit ei voca nomen eius Absque misericordia quia non addam ultra misereri domui Israhel sed oblivione obliviscar eorum	Et concepit adhuc, et peperit filiam. Et dixit ei: Voca nomen ejus, Absque misericordia, quia non addam ultra misereri domui Isral, sed oblivione obliviscar eorum.		And she conceived again, and bare a daughter. And God said unto him, Call her name Loruhamah: for I will no more have mercy upon the house of Israel; but I will utterly take them away.
Hos	1	7	וְאֶת־בֵּית יְהוּדָה אֲרַחֵם וְהוֹשַׁעְתִּים בַּיהוָה אֱלֹהֵיהֶם וְלֹא אוֹשִׁיעֵם בְּקֶשֶׁת וּבְחֶרֶב וּבְמִלְחָמָה בְּסוּסִים וּבְפָרָשִׁים ׃	τοὺς δὲ υἱοὺς ἐλεήσω καὶ σώσω αὐτοὺς ἐν Κυρίῳ θεῷ αὐτῶν, καὶ οὐ σώσω αὐτοὺς ἐν τόξῳ οὐδὲ ἐν ῥομφαίᾳ οὐδὲ ἐν πολέμῳ οὐδὲ ἐν ἵπποις οὐδὲ ἐν ἱππεῦσιν.	et domui Iuda miserebor et salvabo eos in Domino Deo suo et non salvabo eos in arcu et gladio et in bello et in equis et in equitibus	Et domui Juda miserebor, et salvabo eos in Domino Deo suo; et non salvabo eos in arcu et gladio, et in bello, et in equis, et in equitibus.		But I will have mercy upon the house of Judah, and will save them by the Lord their God, and will not save them by bow, nor by sword, nor by battle, by horses, nor by horsemen.
Hos	1	8	וַתִּגְמֹל אֶת־לֹא רֻחָמָה וַתַּהַר וַתֵּלֶד בֵּן ׃	καὶ ἀπεγαλάκτισεν τὴν Οὐκ ἠλεημένην, καὶ συνέλαβεν ἔτι καὶ ἔτεκεν υἱόν.	et ablactavit eam quae erat absque misericordia et concepit et peperit filium	Et ablactavit eam qu erat Absque misericordia. Et concepit, et peperit filium.		Now when she had weaned Loruhamah, she conceived, and bare a son.
Hos	1	9	וַיֹּאמֶר קְרָא שְׁמוֹ לֹא עַמִּי כִּי אַתֶּם לֹא עַמִּי וְאָנֹכִי לֹא־אֶהְיֶה לָכֶם ׃ ס	καὶ εἶπεν Κάλεσον τὸ ὄνομα αὐτοῦ Οὐ λαός μου, διότι ὑμεῖς οὐ λαός μου καὶ ἐγὼ οὐκ εἰμι ὑμῶν.	et dixit voca nomen eius Non populus meus quia vos non populus meus et ego non ero vester	Et dixit: Voca nomen ejus, Non populus meus, quia vos non populus meus, et ego non ero vester.		Then said God, Call his name Loammi: for ye are not my people, and I will not be your God.
Hos	1	10		Καὶ ἦν ὁ ἀριθμὸς τῶν υἱῶν Ἰσραὴλ ὡς ἡ ἄμμος τῆς θαλάσσης, ἣ οὐκ ἐκμετρηθήσεται οὐδὲ ἐξαριθμηθήσεται καὶ ἔσται ἐν τῷ τόπῳ οὗ ἐρρέθη αὐτοῖς Οὐ λαός μου ὑμεῖς, κληθήσονται καὶ αὐτοὶ υἱοὶ θεοῦ ζῶντος.	et erit numerus filiorum Israhel quasi harena maris quae sine mensura est et non numerabitur et erit in loco ubi dicetur eis non populus meus vos dicetur eis filii Dei viventis	Et erit numerus filiorum Isral quasi arena maris, qu sine mensura est, et non numerabitur. Et erit in loco ubi dicetur eis: Non populus meus vos: dicetur eis: Filii Dei viventis.		Yet the number of the children of Israel shall be as the sand of the sea, which cannot be measured nor numbered; and it shall come to pass, that in the place where it was said unto them, Ye are not my people, there it shall be said unto them, Ye are the sons of the living God.
