book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Isa	1	0		προφήτης ιγ΄				
Isa	1	1	חֲזוֹן יְשַׁעְיָהוּ בֶן־אָמוֹץ אֲשֶׁר חָזָה עַל־יְהוּדָה וִירוּשָׁלִָם בִּימֵי עֻזִּיָּהוּ יוֹתָם אָחָז יְחִזְקִיָּהוּ מַלְכֵי יְהוּדָה ׃	Ὅρασις ἥν εἶδεν Ἠσαίας υἱὸς Ἀμώς, ἥν εἶδεν κατὰ τῆς Ἰουδαίας καὶ κατὰ Ἰερουσαλήμ, ἐν βασιλείᾳ Ὀζίου καὶ Ἰωαθὰμ καὶ Ἀχὰς καὶ Ἐζεκίου οἳ ἐβασίλευσαν τῆς Ἰουδαίας.	visio Isaiae filii Amos quam vidit super Iudam et Hierusalem in diebus Oziae Ioatham Ahaz Ezechiae regum Iuda	Visio Isai, filii Amos, quam vidit super Judam et Jerusalem, in diebus Ozi, Joathan, Achaz, et Ezechi, regum Juda.		The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.
Isa	1	2	שִׁמְעוּ שָׁמַיִם וְהַאֲזִינִי אֶרֶץ כִּי יְהוָה דִּבֵּר בָּנִים גִּדַּלְתִּי וְרוֹמַמְתִּי וְהֵם פָּשְׁעוּ בִי ׃	Ἄκουε, οὐρανέ, καὶ ἐνωτίζου, γῆ, ὅτι Κύριος ἐλάλησεν. υἱοὺς ἐγέννησα καὶ ὕψωσα, αὐτοὶ δέ με ἠθέτησαν.	audite caeli et auribus percipe terra quoniam Dominus locutus est filios enutrivi et exaltavi ipsi autem spreverunt me	[Audite, cli, et auribus percipe, terra, quoniam Dominus locutus est. Filios enutrivi, et exaltavi; ipsi autem spreverunt me.		Hear, O heavens, and give ear, O earth: for the Lord hath spoken, I have nourished and brought up children, and they have rebelled against me.
Isa	1	3	יָדַע שׁוֹר קֹנֵהוּ וַחֲמוֹר אֵבוּס בְּעָלָיו יִשְׂרָאֵל לֹא יָדַע עַמִּי לֹא הִתְבּוֹנָן ׃	ἔγνω βοῦς τὸν κτησάμενον καὶ ὄνος τὴν φάτνην τοῦ κυρίου αὑτοῦ· Ἰσραὴλ δέ με οὐκ ἔγνω, καὶ ὃ λαός με οὗ συνῆκεν.	cognovit bos possessorem suum et asinus praesepe domini sui Israhel non cognovit populus meus non intellexit	Cognovit bos possessorem suum, et asinus prsepe domini sui; Isral autem me non cognovit, et populus meus non intellexit.		The ox knoweth his owner, and the ass his master's crib: but Israel doth not know, my people doth not consider.
Isa	1	4	הוֹי גּוֹי חֹטֵא עַם כֶּבֶד עָוֹן זֶרַע מְרֵעִים בָּנִים מַשְׁחִיתִים עָזְבוּ אֶת־יְהוָה נִאֲצוּ אֶת־קְדוֹשׁ יִשְׂרָאֵל נָזֹרוּ אָחוֹר ׃	οὐαὶ ἔθνος ἁμαρτωλόν, λαὸς πλήρης ἁμαρτιῶν, σπέρμα πονηρόν, υἱοὶ ἄνομοι. ἐγκατελίπετε τὸν κύριον καὶ παρωργίσατε τὸν ἅγιον τοῦ Ἰσραήλ.	vae genti peccatrici populo gravi iniquitate semini nequam filiis sceleratis dereliquerunt Dominum blasphemaverunt Sanctum Israhel abalienati sunt retrorsum	V genti peccatrici, populo gravi iniquitate, semini nequam, filiis sceleratis! dereliquerunt Dominum; blasphemaverunt Sanctum Isral; abalienati sunt retrorsum.		Ah sinful nation, a people laden with iniquity, a seed of evildoers, children that are corrupters: they have forsaken the Lord, they have provoked the Holy One of Israel unto anger, they are gone away backward.
Isa	1	5	עַל מֶה תֻכּוּ עוֹד תּוֹסִיפוּ סָרָה כָּל־רֹאשׁ לָחֳלִי וְכָל־לֵבָב דַּוָּי ׃	τί ἔτι πληγῆτε προστιθέντες ἀνομίαν ; πᾶσα κεφαλὴ εἷς πόνον καὶ πᾶσα καρδία εἷς λύπην.	super quo percutiam vos ultra addentes praevaricationem omne caput languidum et omne cor maerens	Super quo percutiam vos ultra, addentes prvaricationem? omne caput languidum, et omne cor mrens.		Why should ye be stricken any more? ye will revolt more and more: the whole head is sick, and the whole heart faint.
Isa	1	6	מִכַּף־רֶגֶל וְעַד־רֹאשׁ אֵין־בּוֹ מְתֹם פֶּצַע וְחַבּוּרָה וּמַכָּה טְרִיָּה לֹא־זֹרוּ וְלֹא חֻבָּשׁוּ וְלֹא רֻכְּכָה בַּשָּׁמֶן ׃	ἀπὸ ποδῶν ἔως κεφαλῆς, οὔτε τραῦμα οὔτε μώλωψ οὔτε πληγὴ φλεγμαίνουσα, οὐκ ἔστιν μάλαγμα ἐπιθεῖναι οὔτε ἔλαιον οὔτε καταδέσμους.	a planta pedis usque ad verticem non est in eo sanitas vulnus et livor et plaga tumens non est circumligata nec curata medicamine neque fota oleo	A planta pedis usque ad verticem, non est in eo sanitas; vulnus, et livor, et plaga tumens, non est circumligata, nec curata medicamine, neque fota oleo.		From the sole of the foot even unto the head there is no soundness in it; but wounds, and bruises, and putrifying sores: they have not been closed, neither bound up, neither mollified with ointment.
Isa	1	7	אַרְצְכֶם שְׁמָמָה עָרֵיכֶם שְׂרֻפוֹת אֵשׁ אַדְמַתְכֶם לְנֶגְדְּכֶם זָרִים אֹכְלִים אֹתָהּ וּשְׁמָמָה כְּמַהְפֵּכַת זָרִים ׃	ἡ γῆ ὑμῶν ἕρημος, αἶ πόλεις ὑμῶν πυρίκαυστον τὴν χώραν ὑμῶν ἐνώπιον ὑμῶν ἀλλότριοι κατεσθίουσιν αὐτήν, καὶ ἠρήμωται κατεστραμμένη ὑπὸ λαῶν ἀλλοτρίων.	terra vestra deserta civitates vestrae succensae igni regionem vestram coram vobis alieni devorant et desolabitur sicut in vastitate hostili	Terra vestra deserta; civitates vestr succens igni: regionem vestram coram vobis alieni devorant, et desolabitur sicut in vastitate hostili.		Your country is desolate, your cities are burned with fire: your land, strangers devour it in your presence, and it is desolate, as overthrown by strangers.
Isa	1	8	וְנוֹתְרָה בַת־צִיּוֹן כְּסֻכָּה בְכָרֶם כִּמְלוּנָה בְמִקְשָׁה כְּעִיר נְצוּרָה ׃	ἐγκαταλειφθήσεται ἦ θυγάτηρ Σιὼν ὡς σκηνὴ ἐν ἀμπελῶνι, καὶ ὡς ὀπωροφυλάκιον ἐν σικυηράτῳ, ὥς πόλις πολιορκουμένη·	et derelinquetur filia Sion ut umbraculum in vinea et sicut tugurium in cucumerario sicut civitas quae vastatur	Et derelinquetur filia Sion ut umbraculum in vinea, et sicut tugurium in cucumerario, et sicut civitas qu vastatur.		And the daughter of Zion is left as a cottage in a vineyard, as a lodge in a garden of cucumbers, as a besieged city.
Isa	1	9	לוּלֵי יְהוָה צְבָאוֹת הוֹתִיר לָנוּ שָׂרִיד כִּמְעָט כִּסְדֹם הָיִינוּ לַעֲמֹרָה דָּמִינוּ ׃ ס	καὶ εἶ μὴ Κύριος σαβαὼθ ἐγκατέλιπεν ἡμῖν σπέρμα, ὡς Σόδομα ἂν ἐγενήθημεν, καὶ ὡς Γόμορρα ἂν ὡμοιώθημεν.	nisi Dominus exercituum reliquisset nobis semen quasi Sodoma fuissemus et quasi Gomorra similes essemus	Nisi Dominus exercituum reliquisset nobis semen, quasi Sodoma fuissemus, et quasi Gomorrha similes essemus.		Except the Lord of hosts had left unto us a very small remnant, we should have been as Sodom, and we should have been like unto Gomorrah.
