book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Job	1	1	אִישׁ הָיָה בְאֶרֶץ־עוּץ אִיּוֹב שְׁמוֹ וְהָיָה הָאִישׁ הַהוּא תָּם וְיָשָׁר וִירֵא אֱלֹהִים וְסָר מֵרָע ׃	ΑΝΘΡΩΠΟΣ τις ἦν ἐν χῶρᾳ τῇ Αὐσίτιδι ᾧ ὄνομα Ἰὼβ· καὶ ἣν ὁ ἄνθρωπος ἐκεῖνος ἀληθινός, ἄμεμπτος, δίκαιος. θεοσεβής, ἀπεχόμενος ἀπὸ παντὸς πονηροῦ πράγματος.	vir erat in terra Hus nomine Iob et erat vir ille simplex et rectus ac timens Deum et recedens a malo	Vir erat in terra Hus, nomine Job: et erat vir ille simplex, et rectus, ac timens Deum, et recedens a malo.		There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and eschewed evil.
Job	1	2	וַיִּוָּלְדוּ לוֹ שִׁבְעָה בָנִים וְשָׁלוֹשׁ בָּנוֹת ׃	ἐγένοντο δὲ αὐτῷ υἱοὶ ἑπτὰ καὶ θυγατέρες τρεῖς.	natique sunt ei septem filii et tres filiae	Natique sunt ei septem filii, et tres fili.		And there were born unto him seven sons and three daughters.
Job	1	3	וַיְהִי מִקְנֵהוּ שִׁבְעַת אַלְפֵי־צֹאן וּשְׁלֹשֶׁת אַלְפֵי גְמַלִּים וַחֲמֵשׁ מֵאוֹת צֶמֶד־בָּקָר וַחֲמֵשׁ מֵאוֹת אֲתוֹנוֹת וַעֲבֻדָּה רַבָּה מְאֹד וַיְהִי הָאִישׁ הַהוּא גָּדוֹל מִכָּל־בְּנֵי־קֶדֶם ׃	καὶ ἣν τὰ κτήνη αὐτοῦ πρόβατα ἑπτακισχίλια, κάμηλοι τρισχίλιαι, ζεύγη βοῶν πεντακόσια, ὄνοι θήλειαι νομάδες πεντακόσιαι. καὶ ὑπηρεσία πολλὴ σφόδρα καὶ ἔργα μεγάλα ἦν αὐτῷ ἐπὶ τῆς γῆς· καὶ ἦν ὁ ἄνθρωπος ἐκεῖνος εὐγενὴς τῶν ἀφʼ ἡλίου ἀνατολῶν.	et fuit possessio eius septem milia ovium et tria milia camelorum quingenta quoque iuga boum et quingentae asinae ac familia multa nimis eratque vir ille magnus inter omnes Orientales	Et fuit possessio ejus septem millia ovium, et tria millia camelorum, quingenta quoque juga boum, et quingent asin, ac familia multa nimis: eratque vir ille magnus inter omnes orientales.		His substance also was seven thousand sheep, and three thousand camels, and five hundred yoke of oxen, and five hundred she asses, and a very great household; so that this man was the greatest of all the men of the east.
Job	1	4	וְהָלְכוּ בָנָיו וְעָשׂוּ מִשְׁתֶּה בֵּית אִישׁ יוֹמוֹ וְשָׁלְחוּ וְקָרְאוּ לִשְׁלֹשֶׁת אַחְיֹתֵיהֶם לֶאֱכֹל וְלִשְׁתּוֹת עִמָּהֶם ׃	συμπορευόμενοι δὲ οἱ υἱοὶ αὐτοῦ πρὸς ἀλλήλους ἐποιοῦσαν πότον καθʼ ἑκάστην ἡμέραν, συμπαραλαμβάνοντες ἅμα καὶ τὰς τρεῖς ἀδελφὰς αὐτῶν ἐσθίειν καὶ πίνειν μετʼ αὐτῶν.	et ibant filii eius et faciebant convivium per domos unusquisque in die suo et mittentes vocabant tres sorores suas ut comederent et biberent cum eis	Et ibant filii ejus, et faciebant convivium per domos, unusquisque in die suo. Et mittentes vocabant tres sorores suas, ut comederent et biberent cum eis.		And his sons went and feasted in their houses, every one his day; and sent and called for their three sisters to eat and to drink with them.
Job	1	5	וַיְהִי כִּי הִקִּיפוּ יְמֵי הַמִּשְׁתֶּה וַיִּשְׁלַח אִיּוֹב וַיְקַדְּשֵׁם וְהִשְׁכִּים בַּבֹּקֶר וְהֶעֱלָה עֹלוֹת מִסְפַּר כֻּלָּם כִּי אָמַר אִיּוֹב אוּלַי חָטְאוּ בָנַי וּבֵרֲכוּ אֱלֹהִים בִּלְבָבָם כָּכָה יַעֲשֶׂה אִיּוֹב כָּל־הַיָּמִים ׃ פ	καὶ ὡς ἂν συνετελέσθησαν αἱ ἡμέραι τοῦ πότου, ἀπέστελλεν Ἰὼ καὶ ἐκαθάριζεν αὐτοὺς ἀνιστάμενος τὸ πρωί, καὶ προσέφερεν περὶ αὐτῶν θυσίαν κατὰ τὸν ἀριθμὸν αὐτῶν καὶ μόσχον ἕνα περὶ ἁμαρτίας περὶ τῶν ψυχῶν αὐτῶν· ἔλεγεν γὰρ Ἰώβ Μή ποτε οἱ υἱοί μου ἐν τῇ διανοίᾳ αὐτῶν κακὰ ἐνενόησαν πρὸς θεόν. οὕτως οὖν ἐποίει Ἰὼβ πάσας τὰς ἡμέρας.	cumque in orbem transissent dies convivii mittebat ad eos Iob et sanctificabat illos consurgensque diluculo offerebat holocausta per singulos dicebat enim ne forte peccaverint filii mei et benedixerint Deo in cordibus suis sic faciebat Iob cunctis diebus	Cumque in orbem transissent dies convivii, mittebat ad eos Job, et sanctificabat illos: consurgensque diluculo, offerebat holocausta pro singulis. Dicebat enim: Ne forte peccaverint filii mei, et benedixerint Deo in cordibus suis. Sic faciebat Job cunctis diebus.		And it was so, when the days of their feasting were gone about, that Job sent and sanctified them, and rose up early in the morning, and offered burnt offerings according to the number of them all: for Job said, It may be that my sons have sinned, and cursed God in their hearts. Thus did Job continually.
Job	1	6	וַיְהִי הַיּוֹם וַיָּבֹאוּ בְּנֵי הָאֱלֹהִים לְהִתְיַצֵּב עַל־יְהוָה וַיָּבוֹא גַם־הַשָּׂטָן בְּתוֹכָם ׃	Καὶ ὡς ἐγένετο ἡ ἡμέρα αὕτη, καὶ ἰδοὺ ἦλθον οἱ ἄγγελοι τοῦ θεοῦ παραστῆναι ἐνώπιον τοῦ κυρίου, καὶ ὁ διάβολος ἦλθεν μετʼ αὐτῶν.	quadam autem die cum venissent filii Dei ut adsisterent coram Domino adfuit inter eos etiam Satan	Quadam autem die, cum venissent filii Dei ut assisterent coram Domino, affuit inter eos etiam Satan.		Now there was a day when the sons of God came to present themselves before the Lord, and Satan came also among them.
Job	1	7	וַיֹּאמֶר יְהוָה אֶל־הַשָּׂטָן מֵאַיִן תָּבֹא וַיַּעַן הַשָּׂטָן אֶת־יְהוָה וַיֹּאמַר מִשּׁוּט בָּאָרֶץ וּמֵהִתְהַלֵּךְ בָּהּ ׃	καὶ εἶπεν ὁ κύριος τῷ διαβόλῳ Πόθεν παραγέγονας ; καὶ ἀποκριθεὶς ὁ διάβολος τῷ κυρίῳ εἶπεν Περιελθὼν τὴν γῆν καὶ ἐμπεριπατήσας τὴν ὑπʼ οὐρανὸν πάρεμι.	cui dixit Dominus unde venis qui respondens ait circuivi terram et perambulavi eam	Cui dixit Dominus: Unde venis? Qui respondens, ait: Circuivi terram, et perambulavi eam.		And the Lord said unto Satan, Whence comest thou? Then Satan answered the Lord, and said, From going to and fro in the earth, and from walking up and down in it.
Job	1	8	וַיֹּאמֶר יְהוָה אֶל־הַשָּׂטָן הֲשַׂמְתָּ לִבְּךָ עַל־עַבְדִּי אִיּוֹב כִּי אֵין כָּמֹהוּ בָּאָרֶץ אִישׁ תָּם וְיָשָׁר יְרֵא אֱלֹהִים וְסָר מֵרָע ׃	καὶ εἶπεν αὐτῷ ὁ κύριος Προσέσχες τῇ δανοίᾳ σου κατὰ τοῦ παιδός μου Ἰὼβ; ὅτι οὐκ ἔστιν κατʼ αὐτὸν τῶν ἐπὶ τῆς γῆς, ἄνθρωπος ἄμεμπτος, ἀληθινός, θεοσεβής, ἀπεχόμενος ἀπὸ παντὸς πονηροῦ πράγματος.	dixitque Dominus ad eum numquid considerasti servum meum Iob quod non sit ei similis in terra homo simplex et rectus et timens Deum ac recedens a malo	Dixitque Dominus ad eum: Numquid considerasti servum meum Job, quod non sit ei similis in terra, homo simplex et rectus, ac timens Deum, et recedens a malo?		And the Lord said unto Satan, Hast thou considered my servant Job, that there is none like him in the earth, a perfect and an upright man, one that feareth God, and escheweth evil?
Job	1	9	וַיַּעַן הַשָּׂטָן אֶת־יְהוָה וַיֹּאמַר הַחִנָּם יָרֵא אִיּוֹב אֱלֹהִים ׃	ἀπεκρίθη δὲ ὁ διάβολος καὶ εἶπεν ἐναντίον τοῦ κυρίρυ Μὴ δωρεὰν σέβεται Ἰὼβ τὸν κύριον;	cui respondens Satan ait numquid frustra timet Iob Deum	Cui respondens Satan, ait: Numquid Job frustra timet Deum?		Then Satan answered the Lord, and said, Doth Job fear God for nought?
Job	1	10	הֲלֹא־אַתְּ שַׂכְתָּ בַעֲדוֹ וּבְעַד־בֵּיתוֹ וּבְעַד כָּל־אֲשֶׁר־לוֹ מִסָּבִיב מַעֲשֵׂה יָדָיו בֵּרַכְתָּ וּמִקְנֵהוּ פָּרַץ בָּאָרֶץ ׃	οὐ σὺ περιἐφραξας τὰ ἔξω αὐτοῦ καὶ τὰ ἕσαν τῆς οἰκἰας αὐτοῦ καὶ τὰ ἔξω πάντων τῶν ὄντων αὐτῷ κύκλῳ; τὰ ἔργα τῶν χειρῶν αὐτοῦ εὐλόγησας, καὶ τὰ κτήνη αὐτοῦ πολλὰ ἐποίησας ἐπὶ τῆς γῆς.	nonne tu vallasti eum ac domum eius universamque substantiam per circuitum operibus manuum eius benedixisti et possessio illius crevit in terra	nonne tu vallasti eum, ac domum ejus, universamque substantiam per circuitum; operibus manuum ejus benedixisti, et possessio ejus crevit in terra?		Hast not thou made an hedge about him, and about his house, and about all that he hath on every side? thou hast blessed the work of his hands, and his substance is increased in the land.
