book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Jonah	1	1	וַיְהִי דְּבַר־יְהוָה אֶל־יוֹנָה בֶן־אֲמִתַּי לֵאמֹר ׃	ΚΑΙ ἐγένετο λόγος Κυρίου πρὸς Ἰωνᾶν τὸν τοῦ Ἀμαθεὶ λέγων,	et factum est verbum Domini ad Ionam filium Amathi dicens	Et factum est verbum Domini ad Jonam, filium Amathi, dicens:		Now the word of the Lord came unto Jonah the son of Amittai, saying,
Jonah	1	2	קוּם לֵךְ אֶל־נִינְוֵה הָעִיר הַגְּדוֹלָה וּקְרָא עָלֶיהָ כִּי־עָלְתָה רָעָתָם לְפָנָי ׃	ʼἈνάστηθι καὶ πορεύθητι εἰς Νινευὴ τὴν πόλιν τὴν μεγάλην καὶ κήρυξον ἐν αὐτῇ, ὅτι ἀνέβη ἡ κραυγὴ τῆς κακίας αὐτῆς πρὸς μέ.	surge vade in Nineven civitatem grandem et praedica in ea quia ascendit malitia eius coram me	Surge, et vade in Niniven, civitatem grandem, et prdica in ea, quia ascendit malitia ejus coram me.		Arise, go to Nineveh, that great city, and cry against it; for their wickedness is come up before me.
Jonah	1	3	וַיָּקָם יוֹנָה לִבְרֹחַ תַּרְשִׁישָׁה מִלִּפְנֵי יְהוָה וַיֵּרֶד יָפוֹ וַיִּמְצָא אֳנִיָּה בָּאָה תַרְשִׁישׁ וַיִּתֵּן שְׂכָרָהּ וַיֵּרֶד בָּהּ לָבוֹא עִמָּהֶם תַּרְשִׁישָׁה מִלִּפְנֵי יְהוָה ׃	καὶ ἀνέστη Ἰωνᾶς τοῦ φυγεῖν εἰς Θαρσεὶς ἐκ προσώπου Κυρίου, καὶ κατέβη εἰς Ἰόππην· καὶ εὗρεν πλοῖον βαδίζον εἰς Θαρσείς, καὶ ἔδωκεν τὸ ναῦλον αὐτοῦ καὶ ἐνέβη εἰς αὐτὸ τοῦ πλεῦσαι μετʼ αὐτῶν εἰς Θαρσεὶς ἐκ προσώπου Κυρίου.	et surrexit Iona ut fugeret in Tharsis a facie Domini et descendit Ioppen et invenit navem euntem in Tharsis et dedit naulum eius et descendit in eam ut iret cum eis in Tharsis a facie Domini	Et surrexit Jonas, ut fugeret in Tharsis a facie Domini, et descendit in Joppen: et invenit navem euntem in Tharsis, et dedit naulum ejus, et descendit in eam ut iret cum eis in Tharsis a facie Domini.		But Jonah rose up to flee unto Tarshish from the presence of the Lord, and went down to Joppa; and he found a ship going to Tarshish: so he paid the fare thereof, and went down into it, to go with them unto Tarshish from the presence of the Lord.
Jonah	1	4	וַיהוָה הֵטִיל רוּחַ־גְּדוֹלָה אֶל־הַיָּם וַיְהִי סַעַר־גָּדוֹל בַּיָּם וְהָאֳנִיָּה חִשְּׁבָה לְהִשָּׁבֵר ׃	Καὶ Κύριος ἐξήγειρεν πνεῦμα ἐπὶ τὴν θάλασσαν, καὶ ἐγένετο κλύδων μέγας ἐν τῇ θαλάσσῃ, καὶ τὸ πλοῖον ἐκινδύνευεν συντριβῆναι.	Dominus autem misit ventum magnum in mari et facta est tempestas magna in mari et navis periclitabatur conteri	Dominus autem misit ventum magnum in mare: et facta est tempestas magna in mari, et navis periclitabatur conteri.		But the Lord sent out a great wind into the sea, and there was a mighty tempest in the sea, so that the ship was like to be broken.
Jonah	1	5	וַיִּירְאוּ הַמַּלָּחִים וַיִּזְעֲקוּ אִישׁ אֶל־אֱלֹהָיו וַיָּטִלוּ אֶת־הַכֵּלִים אֲשֶׁר בָּאֳנִיָּה אֶל־הַיָּם לְהָקֵל מֵעֲלֵיהֶם וְיוֹנָה יָרַד אֶל־יַרְכְּתֵי הַסְּפִינָה וַיִּשְׁכַּב וַיֵּרָדַם ׃	καὶ ἐφοβήθησαν οἱ ναυτικοὶ καὶ ἀνεβόησαν ἕκαστος πρὸς τὸν θεὸν αὐτοῦ, καὶ ἐκβολὴν ἐποιήσαντο τῶν σκευῶν τῶν ἐν τῷ πλοίῳ εἰς τὴν θάλασσαν, τοῦ κουφισθῆναι ἀπʼ αὐτῶν· Ἰωνᾶς δὲ κατέβη εἰς τὴν κοίλην τοῦ πλοίου, καὶ ἐκάθευδεν καὶ ἔρεγχεν.	et timuerunt nautae et clamaverunt viri ad deum suum et miserunt vasa quae erant in navi in mare ut adleviaretur ab eis et Iona descendit ad interiora navis et dormiebat sopore gravi	Et timuerunt naut, et clamaverunt viri ad deum suum, et miserunt vasa qu erant in navi, in mare, ut alleviaretur ab eis; et Jonas descendit ad interiora navis, et dormiebat sopore gravi.		Then the mariners were afraid, and cried every man unto his god, and cast forth the wares that were in the ship into the sea, to lighten it of them. But Jonah was gone down into the sides of the ship; and he lay, and was fast asleep.
Jonah	1	6	וַיִּקְרַב אֵלָיו רַב הַחֹבֵל וַיֹּאמֶר לוֹ מַה־לְּךָ נִרְדָּם קוּם קְרָא אֶל־אֱלֹהֶיךָ אוּלַי יִתְעַשֵּׁת הָאֱלֹהִים לָנוּ וְלֹא נֹאבֵד ׃	καὶ προσῆλθεν πρὸς αὐτὸν ὁ πρωρεὺς καὶ εἶπεν αὐτῷ Τί σὺ ῥέγχεις; ἀνάστα καὶ ἐπικαλοῦ τὸν θεόν σου, ὅπως διασώσῃ ὁ θεὸς ἡμᾶς καὶ μὴ ἀπολώμεθα.	et accessit ad eum gubernator et dixit ei quid tu sopore deprimeris surge invoca Deum tuum si forte recogitet Deus de nobis et non pereamus	Et accessit ad eum gubernator, et dixit ei: Quid tu sopore deprimeris? surge, invoca Deum tuum, si forte recogitet Deus de nobis, et non pereamus.		So the shipmaster came to him, and said unto him, What meanest thou, O sleeper? arise, call upon thy God, if so be that God will think upon us, that we perish not.
Jonah	1	7	וַיֹּאמְרוּ אִישׁ אֶל־רֵעֵהוּ לְכוּ וְנַפִּילָה גוֹרָלוֹת וְנֵדְעָה בְּשֶׁלְּמִי הָרָעָה הַזֹּאת לָנוּ וַיַּפִּלוּ גּוֹרָלוֹת וַיִּפֹּל הַגּוֹרָל עַל־יוֹנָה ׃	καὶ εἶπευ ἕκαστος πρὸς τὸν πλησίον αὐτοῦ Δεῦτε βάλωμεν κλήρους καὶ ἐπιγνῶμεν τίνος ἕνεκεν ἡ κακία αὕτη ἐστὶν ἐν ἡμῖν. καὶ ἔβαλον κλήρους. καὶ ἔπεσεν ὁ κλῆρος ἐπὶ Ἰωνᾶν.	et dixit vir ad collegam suum venite et mittamus sortes et sciamus quare hoc malum sit nobis et miserunt sortes et cecidit sors super Ionam	Et dixit vir ad collegam suum: Venite et mittamus sortes, et sciamus quare hoc malum sit nobis. Et miserunt sortes, et cecidit sors super Jonam.		And they said every one to his fellow, Come, and let us cast lots, that we may know for whose cause this evil is upon us. So they cast lots, and the lot fell upon Jonah.
Jonah	1	8	וַיֹּאמְרוּ אֵלָיו הַגִּידָה־נָּא לָנוּ בַּאֲשֶׁר לְמִי־הָרָעָה הַזֹּאת לָנוּ מַה־מְּלַאכְתְּךָ וּמֵאַיִן תָּבוֹא מָה אַרְצֶךָ וְאֵי־מִזֶּה עַם אָתָּה ׃	καὶ εἶπον πρὸς αὐτόν Ἀπάγγειλον ἡμῖν τίς σου ἡ ἐργασία ἐστίν, καὶ πόθεν ἔρχῃ. καὶ ἐκ ποίας χώρας καὶ ἐκ ποίου λαοῦ εἶ σύ;	et dixerunt ad eum indica nobis cuius causa malum istud sit nobis quod est opus tuum quae terra tua et quo vel ex quo populo es tu	Et dixerunt ad eum: Indica nobis cujus causa malum istud sit nobis: quod est opus tuum? qu terra tua, et quo vadis? vel ex quo populo es tu?		Then said they unto him, Tell us, we pray thee, for whose cause this evil is upon us; What is thine occupation? and whence comest thou? what is thy country? and of what people art thou?
Jonah	1	9	וַיֹּאמֶר אֲלֵיהֶם עִבְרִי אָנֹכִי וְאֶת־יְהוָה אֱלֹהֵי הַשָּׁמַיִם אֲנִי יָרֵא אֲשֶׁר־עָשָׂה אֶת־הַיָּם וְאֶת־הַיַּבָּשָׁה ׃	καὶ εἶπεν πρὸς αὐτούς Δοῦλος Κυρίου ἐγὼ εἰμι, καὶ τὸν κύριον θεὸν τοῦ οὐρανοῦ ἐγῶ σέβομαι, ὃς ἐποίησεν τὴν θάλασσαν καὶ τὴν ξηράν.	et dixit ad eos Hebraeus ego sum et Dominum Deum caeli ego timeo qui fecit mare et aridam	Et dixit ad eos: Hebrus ego sum, et Dominum Deum cli ego timeo, qui fecit mare et aridam.		And he said unto them, I am an Hebrew; and I fear the Lord, the God of heaven, which hath made the sea and the dry land.
Jonah	1	10	וַיִּירְאוּ הָאֲנָשִׁים יִרְאָה גְדוֹלָה וַיֹּאמְרוּ אֵלָיו מַה־זֹּאת עָשִׂיתָ כִּי־יָדְעוּ הָאֲנָשִׁים כִּי־מִלִּפְנֵי יְהוָה הוּא בֹרֵחַ כִּי הִגִּיד לָהֶם ׃	καὶ ἐφοβήθησαν οἱ ἄνδρες φόβον μέγαν καὶ εἶπαν πρὸς αὐτόν Τί τοῦτο ἐποίησας; διότι ἔγνωσαν οἱ ἄνδρες ὅτι ἐκ προσώπου Κυρίου ἦν φεύγων, ὅτι ἀπήγγειλεν αὐτοῖς.	et timuerunt viri timore magno et dixerunt ad eum quid hoc fecisti cognoverunt enim viri quod a facie Domini fugeret quia indicaverat eis	Et timuerunt viri timore magno, et dixerunt ad eum: Quid hoc fecisti? cognoverunt enim viri quod a facie Domini fugeret, quia indicaverat eis.		Then were the men exceedingly afraid, and said unto him. Why hast thou done this? For the men knew that he fled from the presence of the Lord, because he had told them.
