book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Jude	1	1			Iudas Iesu Christi servus frater autem Iacobi his qui in Deo Patre dilectis et Iesu Christo conservatis vocatis	Judas Jesu Christi servus, frater autem Jacobi, his qui sunt in Deo Patre dilectis, et Christo Jesu conservatis, et vocatis.	ιουδας ιησου χριστου δουλος αδελφος δε ιακωβου τοις εν θεω πατρι ηγιασμενοις και ιησου χριστω τετηρημενοις κλητοις 	Jude, the servant of Jesus Christ, and brother of James, to them that are sanctified by God the Father, and preserved in Jesus Christ, and called:
Jude	1	2			misericordia vobis et pax et caritas adimpleatur	Misericordia vobis, et pax, et caritas adimpleatur.	ελεος υμιν και ειρηνη και αγαπη πληθυνθειη 	Mercy unto you, and peace, and love, be multiplied.
Jude	1	3			carissimi omnem sollicitudinem faciens scribendi vobis de communi vestra salute necesse habui scribere vobis deprecans supercertari semel traditae sanctis fidei	Carissimi, omnem sollicitudinem faciens scribendi vobis de communi vestra salute, necesse habui scribere vobis: deprecans supercertari semel tradit sanctis fidei.	αγαπητοι πασαν σπουδην ποιουμενος γραφειν υμιν περι της κοινης σωτηριας αναγκην εσχον γραψαι υμιν παρακαλων επαγωνιζεσθαι τη απαξ παραδοθειση τοις αγιοις πιστει 	Beloved, when I gave all diligence to write unto you of the common salvation, it was needful for me to write unto you, and exhort you that ye should earnestly contend for the faith which was once delivered unto the saints.
Jude	1	4			subintroierunt enim quidam homines qui olim praescripti sunt in hoc iudicium impii Dei nostri gratiam transferentes in luxuriam et solum Dominatorem et Dominum nostrum Iesum Christum negantes	Subintroierunt enim quidam homines (qui olim prscripti sunt in hoc judicium) impii, Dei nostri gratiam transferentes in luxuriam, et solum Dominatorem, et Dominum nostrum Jesum Christum negantes.	παρεισεδυσαν γαρ τινες ανθρωποι οι παλαι προγεγραμμενοι εις τουτο το κριμα ασεβεις την του θεου ημων χαριν μετατιθεντες εις ασελγειαν και τον μονον δεσποτην θεον και κυριον ημων ιησουν χριστον αρνουμενοι 	For there are certain men crept in unawares, who were before of old ordained to this condemnation, ungodly men, turning the grace of our God into lasciviousness, and denying the only Lord God, and our Lord Jesus Christ.
Jude	1	5			commonere autem vos volo scientes semel omnia quoniam Iesus populum de terra Aegypti salvans secundo eos qui non crediderunt perdidit	Commonere autem vos volo, scientes semel omnia, quoniam Jesus populum de terra gypti salvans, secundo eos, qui non crediderunt, perdidit:	υπομνησαι δε υμας βουλομαι ειδοτας υμας απαξ τουτο οτι ο κυριος λαον εκ γης αιγυπτου σωσας το δευτερον τους μη πιστευσαντας απωλεσεν 	I will therefore put you in remembrance, though ye once knew this, how that the Lord, having saved the people out of the land of Egypt, afterward destroyed them that believed not.
Jude	1	6			angelos vero qui non servaverunt suum principatum sed dereliquerunt suum domicilium in iudicium magni diei vinculis aeternis sub caligine reservavit	angelos vero, qui non servaverunt suum principatum, sed dereliquerunt suum domicilium, in judicium magni diei, vinculis ternis sub caligine reservavit.	αγγελους τε τους μη τηρησαντας την εαυτων αρχην αλλα απολιποντας το ιδιον οικητηριον εις κρισιν μεγαλης ημερας δεσμοις αιδιοις υπο ζοφον τετηρηκεν 	And the angels which kept not their first estate, but left their own habitation, he hath reserved in everlasting chains under darkness unto the judgment of the great day.
Jude	1	7			sicut Sodoma et Gomorra et finitimae civitates simili modo exfornicatae et abeuntes post carnem alteram factae sunt exemplum ignis aeterni poenam sustinentes	Sicut Sodoma, et Gomorrha, et finitim civitates simili modo exfornicat, et abeuntes post carnem alteram, fact sunt exemplum, ignis terni pnam sustinentes.	ως σοδομα και γομορρα και αι περι αυτας πολεις τον ομοιον τουτοις τροπον εκπορνευσασαι και απελθουσαι οπισω σαρκος ετερας προκεινται δειγμα πυρος αιωνιου δικην υπεχουσαι 	Even as Sodom and Gomorrha, and the cities about them in like manner, giving themselves over to fornication, and going after strange flesh, are set forth for an example, suffering the vengeance of eternal fire.
Jude	1	8			similiter et hii carnem quidem maculant dominationem autem spernunt maiestates autem blasphemant	Similiter et hi carnem quidem maculant, dominationem autem spernunt, majestatem autem blasphemant.	ομοιως μεντοι και ουτοι ενυπνιαζομενοι σαρκα μεν μιαινουσιν κυριοτητα δε αθετουσιν δοξας δε βλασφημουσιν 	Likewise also these filthy dreamers defile the flesh, despise dominion, and speak evil of dignities.
Jude	1	9			cum Michahel archangelus cum diabolo disputans altercaretur de Mosi corpore non est ausus iudicium inferre blasphemiae sed dixit imperet tibi Dominus	Cum Michal Archangelus cum diabolo disputans altercaretur de Moysi corpore, non est ausus judicium inferre blasphemi: sed dixit: Imperet tibi Dominus.	ο δε μιχαηλ ο αρχαγγελος οτε τω διαβολω διακρινομενος διελεγετο περι του μωσεως σωματος ουκ ετολμησεν κρισιν επενεγκειν βλασφημιας αλλ ειπεν επιτιμησαι σοι κυριος 	Yet Michael the archangel, when contending with the devil he disputed about the body of Moses, durst not bring against him a railing accusation, but said, The Lord rebuke thee.
Jude	1	10			hii autem quaecumque quidem ignorant blasphemant quaecumque autem naturaliter tamquam muta animalia norunt in his corrumpuntur	Hi autem qucumque quidem ignorant, blasphemant: qucumque autem naturaliter, tamquam muta animalia, norunt, in his corrumpuntur.	ουτοι δε οσα μεν ουκ οιδασιν βλασφημουσιν οσα δε φυσικως ως τα αλογα ζωα επιστανται εν τουτοις φθειρονται 	But these speak evil of those things which they know not: but what they know naturally, as brute beasts, in those things they corrupt themselves.
