book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Judg	1	1	וַיְהִי אַחֲרֵי מוֹת יְהוֹשֻׁעַ וַיִּשְׁאֲלוּ בְּנֵי יִשְׂרָאֵל בַּיהוָה לֵאמֹר מִי יַעֲלֶה־לָּנוּ אֶל־הַכְּנַעֲנִי בַּתְּחִלָּה לְהִלָּחֶם בּוֹ ׃	ΚΑΙ ἐγένετο μετὰ τὴν τελευτὴν Ἰησοῦ καὶ ἐπηρώτων οἱ υἱοὶ Ἰσραὴλ διὰ τοῦ κυρίου λέγοντες τίς ἀναβήσεται ἡμῖν πρὸς τοὺς Χαναναίους ἀφηγούμενος τοῦ πολεμῆσαι πρὸς αὐτούς ;	post mortem Iosue consuluerunt filii Israhel Dominum dicentes quis ascendet ante nos contra Chananeum et erit dux belli	Post mortem Josue, consuluerunt filii Isral Dominum, dicentes: Quis ascendet ante nos contra Chananum, et erit dux belli?		Now after the death of Joshua it came to pass, that the children of Israel asked the Lord, saying, Who shall go up for us against the Canaanites first, to fight against them?
Judg	1	2	וַיֹּאמֶר יְהוָה יְהוּדָה יַעֲלֶה הִנֵּה נָתַתִּי אֶת־הָאָרֶץ בְּיָדוֹ ׃	καὶ εἶπεν Κύριος Ἰούδας ἀναβήσεται, ἰδοὺ δέδωκα τὴν γῆν ἐν τῇ χερὶ αὐτοῦ.	dixitque Dominus Iudas ascendet ecce tradidi terram in manus eius	Dixitque Dominus: Judas ascendet: ecce tradidi terram in manus ejus.		And the Lord said, Judah shall go up: behold, I have delivered the land into his hand.
Judg	1	3	וַיֹּאמֶר יְהוּדָה לְשִׁמְעוֹן אָחִיו עֲלֵה אִתִּי בְגוֹרָלִי וְנִלָּחֲמָה בַּכְּנַעֲנִי וְהָלַכְתִּי גַם־אֲנִי אִתְּךָ בְּגוֹרָלֶךָ וַיֵּלֶךְ אִתּוֹ שִׁמְעוֹן ׃	καὶ εἶπεν Ἰούδας τῷ Συμεὼν ἀδελφῷ αὐτοῦ Ἀνάβηθι μετ’ ἐμοῦ ἐν τῷ κλήρῳ μου, καὶ παραταξώμεθα πρὸς τοὺς Χαναναίους, καὶ πορεύσομαι κἀγὼ μετὰ σοῦ ἐν τῷ κλήρῳ μου. καὶ ἐπορεύθη μετ’ αὐτοῦ Συμεών.	et ait Iudas Symeoni fratri suo ascende mecum in sorte mea et pugna contra Chananeum ut et ego pergam tecum in sorte tua et abiit cum eo Symeon	Et ait Judas Simeoni fratri suo: Ascende mecum in sortem meam, et pugna contra Chananum, ut et ego pergam tecum in sortem tuam. Et abiit cum eo Simeon.		And Judah said unto Simeon his brother, Come up with me into my lot, that we may fight against the Canaanites; and I likewise will go with thee into thy lot. So Simeon went with him.
Judg	1	4	וַיַּעַל יְהוּדָה וַיִּתֵּן יְהוָה אֶת־הַכְּנַעֲנִי וְהַפְּרִזִּי בְּיָדָם וַיַּכּוּם בְּבֶזֶק עֲשֶׂרֶת אֲלָפִים אִישׁ ׃	καὶ ἀνέβη Ἰούδας· καὶ παρέδωκεν κύριος τὸν Χαναναῖον καὶ τὸν Φερεζαῖον εἰς τὰς χεῖρας αὐτῶν, καὶ ἔκοψαν αὐτοὺς ἐν Βέ χιλιάδας ἀνδρῶν,	ascenditque Iudas et tradidit Dominus Chananeum ac Ferezeum in manus eorum et percusserunt in Bezec decem milia virorum	Ascenditque Judas, et tradidit Dominus Chananum ac Pherezum in manus eorum: et percusserunt in Bezec decem millia virorum.		And Judah went up; and the Lord delivered the Canaanites and the Perizzites into their hand: and they slew of them in Bezek ten thousand men.
Judg	1	5	וַיִּמְצְאוּ אֶת־אֲדֹנִי בֶזֶק בְּבֶזֶק וַיִּלָּחֲמוּ בּוֹ וַיַּכּוּ אֶת־הַכְּנַעֲנִי וְאֶת־הַפְּרִזִּי ׃	καὶ κατέλαβον τὸν Ἀδωνιβέζεκ ἐν τῇ παρετάξαντο πρὸς αὐτόν· καὶ ἔκοψαν τὸν Χαναναῖον καὶ	inveneruntque Adonibezec in Bezec et pugnaverunt contra eum ac percusserunt Chananeum et Ferezeum	Inveneruntque Adonibezec in Bezec, et pugnaverunt contra eum, ac percusserunt Chananum et Pherezum.		And they found Adonibezek in Bezek: and they fought against him, and they slew the Canaanites and the Perizzites.
Judg	1	6	וַיָּנָס אֲדֹנִי בֶזֶק וַיִּרְדְּפוּ אַחֲרָיו וַיֹּאחֲזוּ אֹתוֹ וַיְקַצְּצוּ אֶת־בְּהֹנוֹת יָדָיו וְרַגְלָיו ׃	καὶ ἔφυγεν Ἀδωνιβέζεκ· καὶ κατέδραμον ὀπίσω αὐτοῦ καὶ κατελάβοσαν αὐτόν, καὶ ἀπέκοψαν τὰ ἄκρα τῶν χειρῶν αὐτοῦ καὶ τὰ ἄκρα τῶν ποδῶν αὐτοῦ.	fugit autem Adonibezec quem secuti conprehenderunt caesis summitatibus manuum eius ac pedum	Fugit autem Adonibezec: quem persecuti comprehenderunt, csis summitatibus manuum ejus ac pedum.		But Adonibezek fled; and they pursued after him, and caught him, and cut off his thumbs and his great toes.
Judg	1	7	וַיֹּאמֶר אֲדֹנִי־בֶזֶק שִׁבְעִים מְלָכִים בְּהֹנוֹת יְדֵיהֶם וְרַגְלֵיהֶם מְקֻצָּצִים הָיוּ מְלַקְּטִים תַּחַת שֻׁלְחָנִי כַּאֲשֶׁר עָשִׂיתִי כֵּן שִׁלַּם־לִי אֱלֹהִים וַיְבִיאֻהוּ יְרוּשָׁלַםִ וַיָּמָת שָׁם ׃ פ	καὶ εἶπεν Ἀδωνιβέζεκ Ἑβδομηκοντα βασιλεῖς τὰ ἄκρα τῶν χειρῶν αὐτῶν καὶ τὰ ἄκρα τῶν ποδῶν αὐτῶν ἀποκεκομμένοι ἦσαν συλλέγοντες τὰ ὑποκάτω τῆς τραπέζης μου· καθὼς οὖν ἐποίησα, ἀνταπέδωκέν μοι ὁ θεός. καὶ ἄγουσιν αὐτὸν εἰς καὶ ἀπέθανεν ἐκεῖ.	dixitque Adonibezec septuaginta reges amputatis manuum ac pedum summitatibus colligebant sub mensa mea ciborum reliquias sicut feci ita reddidit mihi Deus adduxeruntque eum in Hierusalem et ibi mortuus est	Dixitque Adonibezec: Septuaginta reges amputatis manuum ac pedum summitatibus colligebant sub mensa mea ciborum reliquias: sicut feci, ita reddidit mihi Deus. Adduxeruntque eum in Jerusalem, et ibi mortuus est.		And Adonibezek said, Threescore and ten kings, having their thumbs and their great toes cut off, gathered their meat under my table: as I have done, so God hath requited me. And they brought him to Jerusalem, and there he died.
Judg	1	8	וַיִּלָּחֲמוּ בְנֵי־יְהוּדָה בִּירוּשָׁלַםִ וַיִּלְכְּדוּ אוֹתָהּ וַיַּכּוּהָ לְפִי־חָרֶב וְאֶת־הָעִיר שִׁלְּחוּ בָאֵשׁ ׃	Καὶ ἐπολέμουν οἱ υἱοὶ Ἰούδα τήν Ἰερουσαλήμ, καὶ κατελάβοντο αὐτὴν καὶ ἐπάταξαν αὐτὴν ἐν στόματι ῥομφαίας, καὶ τὴν πόλιν ἐνέπρησαν ἐν πυρί.	obpugnantes ergo filii Iuda Hierusalem ceperunt eam et percusserunt in ore gladii tradentes cunctam incendio civitatem	Oppugnantes ergo filii Juda Jerusalem, ceperunt eam, et percusserunt in ore gladii, tradentes cunctam incendio civitatem.		Now the children of Judah had fought against Jerusalem, and had taken it, and smitten it with the edge of the sword, and set the city on fire.
Judg	1	9	וְאַחַר יָרְדוּ בְּנֵי יְהוּדָה לְהִלָּחֵם בַּכְּנַעֲנִי יוֹשֵׁב הָהָר וְהַנֶּגֶב וְהַשְּׁפֵלָה ׃	καὶ μετὰ ταῦτα κατέβησαν οἱ υἱοὶ Ἰούδα τοῦ πολεμῆσαι πρὸς τὸν Χαναναῖον τὸν κατοικοῦντα τὴν ὀρεινὴν καὶ τὸν νότον καὶ τὴν πεδινήν.	et postea descendentes pugnaverunt contra Chananeum qui habitabat in montanis et ad meridiem et in campestribus	Et postea descendentes pugnaverunt contra Chananum, qui habitabat in montanis, et ad meridiem, et in campestribus.		And afterward the children of Judah went down to fight against the Canaanites, that dwelt in the mountain, and in the south, and in the valley.
Judg	1	10	וַיֵּלֶךְ יְהוּדָה אֶל־הַכְּנַעֲנִי הַיּוֹשֵׁב בְּחֶבְרוֹן וְשֵׁם־חֶבְרוֹן לְפָנִים קִרְיַת אַרְבַּע וַיַּכּוּ אֶת־שֵׁשַׁי וְאֶת־אֲחִימַן וְאֶת־תַּלְמָי ׃	καὶ ἐπορεύθη Ἰούδας πρὸς τὸν Χαναναῖον τὸν κατοικοῦντα ἐν Χεβρών, καὶ ἐξῆλθεν Χεβρὼν ἐξ ἐναντίας· καὶ τὸ ὄνομα ἦν Χεβρὼν τὸ πρότερον Καριαρβοξέφερ· καὶ ἐπάταξαν τὸν Σεσσεὶ καὶ Ἀχιναὰν καὶ Θολμείν, γεννήματα τοῦ	pergensque Iudas contra Chananeum qui habitabat in Hebron cui nomen fuit antiquitus Cariatharbe percussit Sisai et Ahiman et Tholmai	Pergensque Judas contra Chananum, qui habitabat in Hebron (cujus nomen fuit antiquitus Cariath Arbe), percussit Sesai, et Ahiman, et Tholmai:		And Judah went against the Canaanites that dwelt in Hebron: (now the name of Hebron before was Kirjatharba:) and they slew Sheshai, and Ahiman, and Talmai.
