book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Mal	1	1	וְעַתָּה אֲלֵיכֶם הַמִּצְוָה הַזֹּאת הַכֹּהֲנִים ׃	ΛΗΜΜΑ λόγου Κυρίου ἐπὶ τὸν Ἰσραὴλ ἐν χειρὶ ἀγγέλου θέσθε δὴ ἐπὶ τὰς καρδίας ὑμῶν.	onus verbi Domini ad Israhel in manu Malachi	Onus verbi Domini ad Isral in manu Malachi.		The burden of the word of the Lord to Israel by Malachi.
Mal	1	2	אִם־לֹא תִשְׁמְעוּ וְאִם־לֹא תָשִׂימוּ עַל־לֵב לָתֵת כָּבוֹד לִשְׁמִי אָמַר יְהוָה צְבָאוֹת וְשִׁלַּחְתִּי בָכֶם אֶת־הַמְּאֵרָה וְאָרוֹתִי אֶת־בִּרְכוֹתֵיכֶם וְגַם אָרוֹתִיהָ כִּי אֵינְכֶם שָׂמִים עַל־לֵב ׃	Ἠγάπησα ὑμᾶς, λέγει Κύριος· καὶ εἴπατε Ἐν τίνι ἠγάπησας ἡμᾶς; οὐκ ἀδελφὸς ἦν Ἠσαὺ τοῦ Ἰακώβ; λέγει Κύριος· καὶ ἠγάπησα τὸν Ἰακώβ,	dilexi vos dicit Dominus et dixistis in quo dilexisti nos nonne frater erat Esau Iacob dicit Dominus et dilexi Iacob	Dilexi vos, dicit Dominus, et dixistis: In quo dilexisti nos? Nonne frater erat Esau Jacob? dicit Dominus: et dilexi Jacob,		I have loved you, saith the Lord. Yet ye say, Wherein hast thou loved us? Was not Esau Jacob's brother? saith the Lord: yet I loved Jacob,
Mal	1	3	הִנְנִי גֹעֵר לָכֶם אֶת־הַזֶּרַע וְזֵרִיתִי פֶרֶשׁ עַל־פְּנֵיכֶם פֶּרֶשׁ חַגֵּיכֶם וְנָשָׂא אֶתְכֶם אֵלָיו ׃	τὸν δὲ Ἠσαὺ ἐμίσησα, καὶ ἔταξα τὰ ὅρια αὐτοῦ εἰς ἀφανισμὸν καὶ τὴν κληρονομίαν αὐτοῦ εἰς δόματα ἐρήμου.	Esau autem odio habui et posui montes eius in solitudinem et hereditatem eius in dracones deserti	Esau autem odio habui, et posui montes ejus in solitudinem, et hreditatem ejus in dracones deserti.		And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.
Mal	1	4	וִידַעְתֶּם כִּי שִׁלַּחְתִּי אֲלֵיכֶם אֵת הַמִּצְוָה הַזֹּאת לִהְיוֹת בְּרִיתִי אֶת־לֵוִי אָמַר יְהוָה צְבָאוֹת ׃	διότι ἐρεῖ Ἡ Ἰδουμαία κατέστραπται, καὶ ἐπιστρέψωμεν καὶ ἀνοικοδομήσωμεν τὰς ἐρήμους. τάδε λέγει Κύριος Παντοκράτωρ Αὐτοὶ οἰκοδομήσουσιν καὶ ἐγὼ καταστρέψω· καὶ ἐπικληθήσεται αὐτοῖς ὅρια ἀνομίας, καὶ λαὸς ἐφʼ ὃν παρατέτακται Κύριος ἕως αἰῶνος.	quod si dixerit Idumea destructi sumus sed revertentes aedificabimus quae deserta sunt haec dicit Dominus exercituum isti aedificabunt et ego destruam et vocabuntur Termini impietatis et Populus cui iratus est Dominus usque in aeternum	Quod si dixerit Iduma: Destructi sumus, sed revertentes dificabimus qu destructa sunt: hc dicit Dominus exercituum: Isti dificabunt, et ego destruam: et vocabuntur termini impietatis, et populus cui iratus est Dominus usque in ternum.		Whereas Edom saith, We are impoverished, but we will return and build the desolate places; thus saith the Lord of hosts, They shall build, but I will throw down; and they shall call them, The border of wickedness, and, The people against whom the Lord hath indignation for ever.
Mal	1	5	בְּרִיתִי הָיְתָה אִתּוֹ הַחַיִּים וְהַשָּׁלוֹם וָאֶתְּנֵם־לוֹ מוֹרָא וַיִּירָאֵנִי וּמִפְּנֵי שְׁמִי נִחַת הוּא ׃	καὶ ὀφθαλμοὶ ὑμῶν ὄψονται, καὶ ὑμεῖς ἐρεῖτε Ἐμεγαλύνθη Κύριος ὑπεράνω τῶν ὁρίων τοῦ Ἰσραήλ.	et oculi vestri videbunt et vos dicetis magnificetur Dominus super terminum Israhel	Et oculi vestri videbunt, et vos dicetis: Magnificetur Dominus super terminum Isral.		And your eyes shall see, and ye shall say, The Lord will be magnified from the border of Israel.
Mal	1	6	תּוֹרַת אֱמֶת הָיְתָה בְּפִיהוּ וְעַוְלָה לֹא־נִמְצָא בִשְׂפָתָיו בְּשָׁלוֹם וּבְמִישׁוֹר הָלַךְ אִתִּי וְרַבִּים הֵשִׁיב מֵעָוֹן ׃	Υἱὸς δοξάζει πατέρα, καὶ δοῦλος τὸν κύριον αὐτοῦ. καὶ εἰ πατήρ εἰμι ἐγώ, ποῦ ἐστιν ἡ δόξα μου; καὶ εἰ κύριός εἰμι ἐγὼ, ποῦ ἐστιν ὁ φόβος μου; λέγει Κύριος Παντοκράτωρ. ὑμεῖς οἱ ἱερεῖς οἱ φαυλίζοντες τὸ ὄνομά μου, καὶ εἴπατε Ἐν τίνι ἐφαυλίσαμεν τὸ ὄνομά σου;	filius honorat patrem et servus dominum suum si ergo pater ego sum ubi est honor meus et si dominus ego sum ubi est timor meus dicit Dominus exercituum ad vos o sacerdotes qui despicitis nomen meum et dixistis in quo despeximus nomen tuum	Filius honorat patrem, et servus dominum suum. Si ergo pater ego sum, ubi est honor meus? et si Dominus ego sum, ubi est timor meus? dicit Dominus exercituum. Ad vos, o sacerdotes, qui despicitis nomen meum, et dixistis: In quo despeximus nomen tuum?		A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the Lord of hosts unto you, O priests, that despise my name. And ye say, Wherein have we despised thy name?
Mal	1	7	כִּי־שִׂפְתֵי כֹהֵן יִשְׁמְרוּ־דַעַת וְתוֹרָה יְבַקְשׁוּ מִפִּיהוּ כִּי מַלְאַךְ יְהוָה־צְבָאוֹת הוּא ׃	προσάγοντες πρὸς τὸ θυσιαστήριόν μου ἄρτους ἠλισγημένους. καὶ εἴπατε Ἐν τίνι ἠλισγήσαμεν αὐτούς; ἐν τῷ λέγειν ὑμᾶς Τράπεζα Κυρίου ἠλισγημένη ἐστίν, καὶ τὰ ἐπιτιθέμενα ἐξουδενώσατε.	offertis super altare meum panem pollutum et dicitis in quo polluimus te in eo quod dicitis mensa Domini despecta est	Offertis super altare meum panem pollutum, et dicitis: In quo polluimus te? in eo quod dicitis: Mensa Domini despecta est.		Ye offer polluted bread upon mine altar; and ye say, Wherein have we polluted thee? In that ye say, The table of the Lord is contemptible.
Mal	1	8	וְאַתֶּם סַרְתֶּם מִן־הַדֶּרֶךְ הִכְשַׁלְתֶּם רַבִּים בַּתּוֹרָה שִׁחַתֶּם בְּרִית הַלֵּוִי אָמַר יְהוָה צְבָאוֹת ׃	διότι ἐὰν προσαγάγητε τυφλὸν εἰς θυσίαν, οὐ κακόν; καὶ ἐὰν προσαγάγητε χωλὸν ἤ ἄρρωστον, οὐ κακόν ; προσάγαγε δὴ αὐτὸ τῷ ἡγουμένῳ σου, εἰ προσδέξεταί σε, εἰ λήμψεται πρόσωπόν σου, λέγει Κύριος Παντοκράτωρ.	si offeratis caecum ad immolandum nonne malum est et si offeratis claudum et languidum nonne malum est offer illud duci tuo si placuerit ei aut si susceperit faciem tuam dicit Dominus exercituum	Si afferatis ccum ad immolandum, nonne malum est? et si offeratis claudum et languidum, nonne malum est? offer illud duci tuo, si placuerit ei, aut si susceperit faciem tuam, dicit Dominus exercituum.		And if ye offer the blind for sacrifice, is it not evil? and if ye offer the lame and sick, is it not evil? offer it now unto thy governor; will he be pleased with thee, or accept thy person? saith the Lord of hosts.
Mal	1	9	וְגַם־אֲנִי נָתַתִּי אֶתְכֶם נִבְזִים וּשְׁפָלִים לְכָל־הָעָם כְּפִי אֲשֶׁר אֵינְכֶם שֹׁמְרִים אֶת־דְּרָכַי וְנֹשְׂאִים פָּנִים בַּתּוֹרָה ׃ פ	καὶ νῦν ἐξιλάσκεσθε τὸ πρόσαωπον τοῦ θεοῦ ὑμῶν καὶ δεήθητε αὐτοῦ· ἐν χερσὶν ὑμῶν γέγονεν ταῦτα· εἰ λήμψομαι ἐξ ὑμῶν πρόσωπα ὑμῶν; λέγει Κύριος Παντοκράτωρ.	et nunc deprecamini vultum Dei ut misereatur vestri de manu enim vestra factum est hoc si quo modo suscipiat facies vestras dicit Dominus exercituum	Et nunc deprecamini vultum Dei ut misereatur vestri (de manu enim vestra factum est hoc), si quomodo suscipiat facies vestras, dicit Dominus exercituum.		And now, I pray you, beseech God that he will be gracious unto us: this hath been by your means: will he regard your persons? saith the Lord of hosts.
Mal	1	10	הֲלוֹא אָב אֶחָד לְכֻלָּנוּ הֲלוֹא אֵל אֶחָד בְּרָאָנוּ מַדּוּעַ נִבְגַּד אִישׁ בְּאָחִיו לְחַלֵּל בְּרִית אֲבֹתֵינוּ ׃	διότι καὶ ἐν ὑμῖν συνκλεισθήσονται θύραι, καὶ οὐκ ἀνάψεται τὸ θυσιαστήριόν μου δωρεάν· οὐκ ἔστιν μου θέλημα ἐν ὑμῖν, λέγει Κύριος Παντοκράτωρ, καὶ θυσίαν οὐ προσδέξομαι ἐκ τῶν χειρῶν ὑμῶν.	quis est in vobis qui claudat ostia et incendat altare meum gratuito non est mihi voluntas in vobis dicit Dominus exercituum et munus non suscipiam de manu vestra	Quis est in vobis qui claudat ostia, et incendat altare meum gratuito? non est mihi voluntas in vobis, dicit Dominus exercituum, et munus non suscipiam de manu vestra.		Who is there even among you that would shut the doors for nought? neither do ye kindle fire on mine altar for nought. I have no pleasure in you, saith the Lord of hosts, neither will I accept an offering at your hand.
