book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Mark	1	1			initium evangelii Iesu Christi Filii Dei	Initium Evangelii Jesu Christi, Filii Dei.	αρχη του ευαγγελιου ιησου χριστου υιου του θεου 	The beginning of the gospel of Jesus Christ, the Son of God;
Mark	1	2			sicut scriptum est in Esaia propheta ecce mitto angelum meum ante faciem tuam qui praeparabit viam tuam	Sicut scriptum est in Isaia propheta: [Ecce ego mitto angelum meum ante faciem tuam, qui prparabit viam tuam ante te.	ως γεγραπται εν τοις προφηταις ιδου εγω αποστελλω τον αγγελον μου προ προσωπου σου ος κατασκευασει την οδον σου εμπροσθεν σου 	As it is written in the prophets, Behold, I send my messenger before thy face, which shall prepare thy way before thee.
Mark	1	3			vox clamantis in deserto parate viam Domini rectas facite semitas eius	Vox clamantis in deserto: Parate viam Domini, rectas facite semitas ejus.]	φωνη βοωντος εν τη ερημω ετοιμασατε την οδον κυριου ευθειας ποιειτε τας τριβους αυτου 	The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.
Mark	1	4			fuit Iohannes in deserto baptizans et praedicans baptismum paenitentiae in remissionem peccatorum	Fuit Joannes in deserto baptizans, et prdicans baptismum pnitenti in remissionem peccatorum.	εγενετο ιωαννης βαπτιζων εν τη ερημω και κηρυσσων βαπτισμα μετανοιας εις αφεσιν αμαρτιων 	John did baptize in the wilderness, and preach the baptism of repentance for the remission of sins.
Mark	1	5			et egrediebatur ad illum omnis Iudaeae regio et Hierosolymitae universi et baptizabantur ab illo in Iordane flumine confitentes peccata sua	Et egrediebatur ad eum omnis Jud regio, et Jerosolymit universi, et baptizabantur ab illo in Jordanis flumine, confitentes peccata sua.	και εξεπορευετο προς αυτον πασα η ιουδαια χωρα και οι ιεροσολυμιται και εβαπτιζοντο παντες εν τω ιορδανη ποταμω υπ αυτου εξομολογουμενοι τας αμαρτιας αυτων 	And there went out unto him all the land of Judaea, and they of Jerusalem, and were all baptized of him in the river of Jordan, confessing their sins.
Mark	1	6			et erat Iohannes vestitus pilis cameli et zona pellicia circa lumbos eius et lucustas et mel silvestre edebat	Et erat Joannes vestitus pilis cameli, et zona pellicea circa lumbos ejus, et locustas et mel silvestre edebat.	ην δε ιωαννης ενδεδυμενος τριχας καμηλου και ζωνην δερματινην περι την οσφυν αυτου και εσθιων ακριδας και μελι αγριον 	And John was clothed with camel's hair, and with a girdle of a skin about his loins; and he did eat locusts and wild honey;
Mark	1	7			et praedicabat dicens venit fortior me post me cuius non sum dignus procumbens solvere corrigiam calciamentorum eius	Et prdicabat dicens: Venit fortior post me, cujus non sum dignus procumbens solvere corrigiam calceamentorum ejus.	και εκηρυσσεν λεγων ερχεται ο ισχυροτερος μου οπισω μου ου ουκ ειμι ικανος κυψας λυσαι τον ιμαντα των υποδηματων αυτου 	And preached, saying, There cometh one mightier than I after me, the latchet of whose shoes I am not worthy to stoop down and unloose.
Mark	1	8			ego baptizavi vos aqua ille vero baptizabit vos Spiritu Sancto	Ego baptizavi vos aqua, ille vero baptizabit vos Spiritu Sancto.	εγω μεν εβαπτισα υμας εν υδατι αυτος δε βαπτισει υμας εν πνευματι αγιω 	I indeed have baptized you with water: but he shall baptize you with the Holy Ghost.
Mark	1	9			et factum est in diebus illis venit Iesus a Nazareth Galilaeae et baptizatus est in Iordane ab Iohanne	Et factum est: in diebus illis venit Jesus a Nazareth Galil: et baptizatus est a Joanne in Jordane.	και εγενετο εν εκειναις ταις ημεραις ηλθεν  ιησους απο ναζαρετ  ναζαρεθ  της γαλιλαιας και εβαπτισθη υπο ιωαννου εις τον ιορδανην 	And it came to pass in those days, that Jesus came from Nazareth of Galilee, and was baptized of John in Jordan.
Mark	1	10			et statim ascendens de aqua vidit apertos caelos et Spiritum tamquam columbam descendentem et manentem in ipso	Et statim ascendens de aqua, vidit clos apertos, et Spiritum tamquam columbam descendentem, et manentem in ipso.	και ευθεως αναβαινων απο του υδατος ειδεν σχιζομενους τους ουρανους και το πνευμα ωσει περιστεραν καταβαινον επ αυτον 	And straightway coming up out of the water, he saw the heavens opened, and the Spirit like a dove descending upon him:
