book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Matt	1	1			liber generationis Iesu Christi filii David filii Abraham	Liber generationis Jesu Christi filii David, filii Abraham.	βιβλος γενεσεως ιησου χριστου υιου δαβιδ υιου αβρααμ 	The book of the generation of Jesus Christ, the son of David, the son of Abraham.
Matt	1	2			Abraham genuit Isaac Isaac autem genuit Iacob Iacob autem genuit Iudam et fratres eius	Abraham genuit Isaac. Isaac autem genuit Jacob. Jacob autem genuit Judam, et fratres ejus.	αβρααμ εγεννησεν τον ισαακ ισαακ δε εγεννησεν τον ιακωβ ιακωβ δε εγεννησεν τον ιουδαν και τους αδελφους αυτου 	Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;
Matt	1	3			Iudas autem genuit Phares et Zara de Thamar Phares autem genuit Esrom Esrom autem genuit Aram	Judas autem genuit Phares, et Zaram de Thamar. Phares autem genuit Esron. Esron autem genuit Aram.	ιουδας δε εγεννησεν τον φαρες και τον ζαρα εκ της θαμαρ φαρες δε εγεννησεν τον εσρωμ εσρωμ δε εγεννησεν τον αραμ 	And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;
Matt	1	4			Aram autem genuit Aminadab Aminadab autem genuit Naasson Naasson autem genuit Salmon	Aram autem genuit Aminadab. Aminadab autem genuit Naasson. Naasson autem genuit Salmon.	αραμ δε εγεννησεν τον αμιναδαβ αμιναδαβ δε εγεννησεν τον ναασσων ναασσων δε εγεννησεν τον σαλμων 	And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;
Matt	1	5			Salmon autem genuit Booz de Rachab Booz autem genuit Obed ex Ruth Obed autem genuit Iesse Iesse autem genuit David regem	Salmon autem genuit Booz de Rahab. Booz autem genuit Obed ex Ruth. Obed autem genuit Jesse. Jesse autem genuit David regem.	σαλμων δε εγεννησεν τον βοοζ εκ της ραχαβ βοοζ δε εγεννησεν τον ωβηδ εκ της ρουθ ωβηδ δε εγεννησεν τον ιεσσαι 	And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;
Matt	1	6			David autem rex genuit Salomonem ex ea quae fuit Uriae	David autem rex genuit Salomonem ex ea qu fuit Uri.	ιεσσαι δε εγεννησεν τον δαβιδ τον βασιλεα δαβιδ δε ο βασιλευς εγεννησεν τον σολομωντα εκ της του ουριου 	And Jesse begat David the king; and David the king begat Solomon of her that had been the wife of Urias;
Matt	1	7			Salomon autem genuit Roboam Roboam autem genuit Abiam Abia autem genuit Asa	Salomon autem genuit Roboam. Roboam autem genuit Abiam. Abias autem genuit Asa.	σολομων δε εγεννησεν τον ροβοαμ ροβοαμ δε εγεννησεν τον αβια αβια δε εγεννησεν τον ασα 	And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;
Matt	1	8			Asa autem genuit Iosaphat Iosaphat autem genuit Ioram Ioram autem genuit Oziam	Asa autem genuit Josophat. Josophat autem genuit Joram. Joram autem genuit Oziam.	ασα δε εγεννησεν τον ιωσαφατ ιωσαφατ δε εγεννησεν τον ιωραμ ιωραμ δε εγεννησεν τον οζιαν 	And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;
Matt	1	9			Ozias autem genuit Ioatham Ioatham autem genuit Achaz Achaz autem genuit Ezechiam	Ozias autem genuit Joatham. Joatham autem genuit Achaz. Achaz autem genuit Ezechiam.	οζιας δε εγεννησεν τον ιωαθαμ ιωαθαμ δε εγεννησεν τον αχαζ αχαζ δε εγεννησεν τον εζεκιαν 	And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;
Matt	1	10			Ezechias autem genuit Manassen Manasses autem genuit Amon Amon autem genuit Iosiam	Ezechias autem genuit Manassen. Manasses autem genuit Amon. Amon autem genuit Josiam.	εζεκιας δε εγεννησεν τον μανασση μανασσης δε εγεννησεν τον αμων αμων δε εγεννησεν τον ιωσιαν 	And Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;
