book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Mic	1	1	דְּבַר־יְהוָה אֲשֶׁר הָיָה אֶל־מִיכָה הַמֹּרַשְׁתִּי בִּימֵי יוֹתָם אָחָז יְחִזְקִיָּה מַלְכֵי יְהוּדָה אֲשֶׁר־חָזָה עַל־שֹׁמְרוֹן וִירוּשָׁלִָם ׃	ΚAI ἐγένετο λόγος Κυρίου πρὸς Μειχαίαν τὸν τοῦ Μωρασθεὶ ἐν ἡμέραις Ἰωαθὰμ καὶ Ἀχὰζ καὶ Ἐζεκίου βασιλέων Ἰούδα, ὑπέρ ὧν εἶδεν περὶ Σαμαρείας καὶ περὶ Ἰερουσαλήμ.	verbum Domini quod factum est ad Micham Morasthiten in diebus Ioatham Ahaz Ezechiae regum Iuda quod vidit super Samariam et Hierusalem	Verbum Domini, quod factum est ad Micham Morasthitea, in diebus Joathan, Achaz, et Ezechi, regum Juda, quod vidit super Samariam et Jerusalem.		The word of the Lord that came to Micah the Morasthite in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.
Mic	1	2	שִׁמְעוּ עַמִּים כֻּלָּם הַקְשִׁיבִי אֶרֶץ וּמְלֹאָהּ וִיהִי אֲדֹנָי יְהוִה בָּכֶם לְעֵד אֲדֹנָי מֵהֵיכַל קָדְשׁוֹ ׃	Ἀκούσατε, λαοί, λόγους, καὶ προσεχέτω ἡ γῆ καὶ πάντες οἱ ἐν αὐτῇ, καὶ ἔσται κύριος Κύριος ἐν ὑμῖν εἰς μαρτύριον, Κύριος ἐξ οἴκου ἁγίου αὐτοῦ.	audite populi omnes et adtendat terra et plenitudo eius et sit Dominus Deus vobis in testem Dominus de templo sancto suo	[Audite, populi omnes, et attendat terra, et plenitudo ejus: et sit Dominus Deus vobis in testem, Dominus de templo sancto suo.		Hear, all ye people; hearken, O earth, and all that therein is: and let the Lord God be witness against you, the Lord from his holy temple.
Mic	1	3	כִּי־הִנֵּה יְהוָה יֹצֵא מִמְּקוֹמוֹ וְיָרַד וְדָרַךְ עַל־בָּמוֹתֵי אָרֶץ ׃	διότι ἰδοὺ Κύριος ἐκπορεύεται ἐκ τοῦ τόπου αὐτοῦ, καὶ καταβήσεται ἐπὶ τὰ ὕψη τῆς γῆς,	quia ecce Dominus egreditur de loco suo et descendet et calcabit super excelsa terrae	Quia ecce Dominus egredietur de loco suo, et descendet, et calcabit super excelsa terr.		For, behold, the Lord cometh forth out of his place, and will come down, and tread upon the high places of the earth.
Mic	1	4	וְנָמַסּוּ הֶהָרִים תַּחְתָּיו וְהָעֲמָקִים יִתְבַּקָּעוּ כַּדּוֹנַג מִפְּנֵי הָאֵשׁ כְּמַיִם מֻגָּרִים בְּמוֹרָד ׃	καὶ σαλευθήσεται τὰ ὄρη ὑποκάτωθεν αὐτοῦ, καὶ αἱ κοιλάδες τακήσονται ὡς κηρὸς ἀπὸ προσώπου πυρός, καὶ ὡς ὕδωρ καταφερόμενον ἐν καταβάσει.	et consumentur montes subtus eum et valles scindentur sicut cera a facie ignis sicut aquae quae decurrunt in praeceps	Et consumentur montes subtus eum, et valles scindentur sicut cera a facie ignis, et sicut aqu qu decurrunt in prceps.		And the mountains shall be molten under him, and the valleys shall be cleft, as wax before the fire, and as the waters that are poured down a steep place.
Mic	1	5	בְּפֶשַׁע יַעֲקֹב כָּל־זֹאת וּבְחַטֹּאות בֵּית יִשְׂרָאֵל מִי־פֶשַׁע יַעֲקֹב הֲלוֹא שֹׁמְרוֹן וּמִי בָּמוֹת יְהוּדָה הֲלוֹא יְרוּשָׁלִָם ׃	διὰ ἀσέβειαν Ἰακὼβ πάντα ταῦτα, καὶ διὰ ἁμαρτίαν οἴκου Ἰσραήλ. τίς ἡ ἀσέβεια τοῦ Ἰακώβ, οὐ Σαμάρεια καὶ τίς ἡ ἁμαρτία οἵκου Ἰούδα, οὐχὶ Ἰερουσαλήμ;	in scelere Iacob omne istud et in peccatis domus Israhel quod scelus Iacob nonne Samaria et quae excelsa Iudae nonne Hierusalem	In scelere Jacob omne istud, et in peccatis domus Isral. Quod scelus Jacob? nonne Samaria? et qu excelsa Jud? nonne Jerusalem?		For the transgression of Jacob is all this, and for the sins of the house of Israel. What is the transgression of Jacob? is it not Samaria? and what are the high places of Judah? are they not Jerusalem?
Mic	1	6	וְשַׂמְתִּי שֹׁמְרוֹן לְעִי הַשָּׂדֶה לְמַטָּעֵי כָרֶם וְהִגַּרְתִּי לַגַּי אֲבָנֶיהָ וִיסֹדֶיהָ אֲגַלֶּה ׃	καὶ θήσομαι Σαμάρειαν εἰς ὀπωροφυλάκιον ἀγροῦ καὶ εἰς φυτίαν ἀμπελῶνος, καὶ κατασπάσω εἰς χάος τοὺς λίθους αὐτῆς, καὶ τὰ θεμέλια αὐτῆς ἀποκαλύψω·	et ponam Samariam quasi acervum lapidum in agro cum plantatur vinea et detraham in vallem lapides eius et fundamenta eius revelabo	Et ponam Samariam quasi acervum lapidum in agro, cum plantatur vinea; et detraham in vallem lapides ejus, et fundamenta ejus revelabo.		Therefore I will make Samaria as an heap of the field, and as plantings of a vineyard: and I will pour down the stones thereof into the valley, and I will discover the foundations thereof.
Mic	1	7	וְכָל־פְּסִילֶיהָ יֻכַּתּוּ וְכָל־אֶתְנַנֶּיהָ יִשָּׂרְפוּ בָאֵשׁ וְכָל־עֲצַבֶּיהָ אָשִׂים שְׁמָמָה כִּי מֵאֶתְנַן זוֹנָה קִבָּצָה וְעַד־אֶתְנַן זוֹנָה יָשׁוּבוּ ׃	καὶ πάντα τὰ γλυπτὰ αὐτῆς κατακόψουσιν, καὶ πάντα τὰ μισθώματα αὐτῆς ἐμπρήσουσιν ἐν πυρί, καὶ πάντα τὰ εἴδωλα αὐτῆς θήσομαι εἰς ἀφανισμόν· διότι ἐκ μισθωμάτων πορνείας συνήγαγεν, καὶ ἐκ μισθωμάτων πορνείας συνέστρεψεν.	et omnia sculptilia eius concidentur et omnes mercedes eius conburentur igni et omnia idola eius ponam in perditionem quia de mercedibus meretricis congregata sunt et usque ad mercedem meretricis revertentur	Et omnia sculptilia ejus concidentur, et omnes mercedes ejus comburentur igne, et omnia idola ejus ponam in perditionem, quia de mercedibus meretricis congregata sunt, et usque ad mercedem meretricis revertentur.		And all the graven images thereof shall be beaten to pieces, and all the hires thereof shall be burned with the fire, and all the idols thereof will I lay desolate: for she gathered it of the hire of an harlot, and they shall return to the hire of an harlot.
Mic	1	8	עַל־זֹאת אֶסְפְּדָה וְאֵילִילָה אֵילְכָה שִׁילַל וְעָרוֹם אֶעֱשֶׂה מִסְפֵּד כַּתַּנִּים וְאֵבֶל כִּבְנוֹת יַעֲנָה ׃	ἔυεκεν τούτου κόψεται καὶ θρηνήσει, πορεύσεται ἀνυπόδετος καὶ γυμνή, ποιήσεται κοπετὸν ὡς δρακόντων καὶ πένθος ὡς θυγατέρων σειρήνων·	super hoc plangam et ululabo vadam spoliatus et nudus faciam planctum velut draconum et luctum quasi strutionum	Super hoc plangam, et ululabo; vadam spoliatus, et nudus; faciam planctum velut draconum, et luctum quasi struthionum:		Therefore I will wail and howl, I will go stripped and naked: I will make a wailing like the dragons, and mourning as the owls.
Mic	1	9	כִּי אֲנוּשָׁה מַכּוֹתֶיהָ כִּי־בָאָה עַד־יְהוּדָה נָגַע עַד־שַׁעַר עַמִּי עַד־יְרוּשָׁלִָם ׃	ὅτι κατεκράτησεν ἡ πληγὴ αὐτῆς, διότι ἥλθεν ἕως Ἰούδα καὶ ἥψατο ἕως πύλης λαοῦ μου, ἕως Ἰερουσαλήμ.	quia desperata est plaga eius quia venit usque ad Iudam tetigit portam populi mei usque ad Hierusalem	quia desperata est plaga ejus, quia venit usque ad Judam; tetigit portam populi mei usque ad Jerusalem.		For her wound is incurable; for it is come unto Judah; he is come unto the gate of my people, even to Jerusalem.
Mic	1	10	בְּגַת אַל־תַּגִּידוּ בָּכוֹ אַל־תִּבְכּוּ בְּבֵית לְעַפְרָה עָפָר הִתְפַּלָּשְׁתִּי ׃	Οἱ ἐν Γέθ, μὴ μεγαλύνεσθε, οἱ ἐν Ἀκείμ, μὴ ἀνοικοδομεῖτε ἐξ οἴκου καταγέλωτα· γῆν καταπάσασθε καταγέλωτα ὑμῶν·	in Geth nolite adnuntiare lacrimis ne ploretis in domo Pulveris pulvere vos conspergite	In Geth nolite annuntiare; lacrimis ne ploretis; in domo pulveris pulvere vos conspergite.		Declare ye it not at Gath, weep ye not at all: in the house of Aphrah roll thyself in the dust.
