book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Nah	1	1	מַשָּׂא נִינְוֵה סֵפֶר חֲזוֹן נַחוּם הָאֶלְקֹשִׁי ׃	ΑΗΜΜA Νινευή, βιβλίον ὁράσεως Ναοὺμ τοῦ Ἐλκεσαίου.	onus Nineve liber visionis Naum Helcesei	Onus Ninive. Liber visionis Nahum Elcesi.		The burden of Nineveh. The book of the vision of Nahum the Elkoshite.
Nah	1	2	אֵל קַנּוֹא וְנֹקֵם יְהוָה נֹקֵם יְהוָה וּבַעַל חֵמָה נֹקֵם יְהוָה לְצָרָיו וְנוֹטֵר הוּא לְאֹיְבָיו ׃	Θεὸς ζηλωτὴς καὶ ἐκδικῶν Κύριος μετὰ θυμοῦ, ἐκδικῶν Κύριος τοὺς ὑπεναντίους αὐτοῦ, καὶ ἐξαίρων αὐτὸς τοὺς ἐχθροὺς αὐτοῦ.	Deus aemulator et ulciscens Dominus ulciscens Dominus et habens furorem ulciscens Dominus in hostes suos et irascens ipse inimicis suis	[Deus mulator, et ulciscens Dominus: ulciscens Dominus, et habens furorem: ulciscens Dominus in hostes suos, et irascens ipse inimicis suis.		God is jealous, and the Lord revengeth; the Lord revengeth, and is furious; the Lord will take vengeance on his adversaries, and he reserveth wrath for his enemies.
Nah	1	3	יְהֹוָה אֶרֶךְ אַפַּיִם וּגְדָול־כֹּחַ וְנַקֵּה לֹא יְנַקֶּה יְהוָה בְּסוּפָה וּבִשְׂעָרָה דַּרְכּוֹ וְעָנָן אֲבַק רַגְלָיו ׃	Κύριος μακρόθυμος. καὶ μεγάλη ἡ ἰσχὺς αὐτοῦ, καὶ ἀθῷον οὐκ ἀθῳώσει Κύριος· ἐν συντελείᾳ καὶ ἐν συνσεισμῷ ἡ ὁδὸς αὐτοῦ, καὶ νεφέλαι κονιορτὸς ποδῶν αὐτοῦ·	Dominus patiens et magnus fortitudine et mundans non faciet innocentem Dominus in tempestate et turbine viae eius et nebulae pulvis pedum eius	Dominus patiens, et magnus fortitudine, et mundans non faciet innocentem. Dominus in tempestate et turbine vi ejus, et nebul pulvis pedum ejus.		The Lord is slow to anger, and great in power, and will not at all acquit the wicked: the Lord hath his way in the whirlwind and in the storm, and the clouds are the dust of his feet.
Nah	1	4	גּוֹעֵר בַּיָּם וַיַּבְּשֵׁהוּ וְכָל־הַנְּהָרוֹת הֶחֱרִיב אֻמְלַל בָּשָׁן וְכַרְמֶל וּפֶרַח לְבָנוֹן אֻמְלָל ׃	ἀπειλῶν θαλάσσῃ καὶ ξηραίνων αὐτήν, καὶ πάντας τοὺς ποταμοὺς ἐξερημῶν. ὀλιγώθη ἡ Βασανῖτις καὶ ὁ Κάρμηλος, καὶ τὰ ἐξανθοῦντα τοῦ Λιβάνου ἐξέλιπεν·	increpans mare et exsiccans illud et omnia flumina ad desertum deducens infirmatus est Basan et Carmelus et flos Libani elanguit	Increpans mare, et exsiccans illud, et omnia flumina ad desertum deducens. Infirmatus est Basan et Carmelus, et flos Libani elanguit.		He rebuketh the sea, and maketh it dry, and drieth up all the rivers: Bashan languisheth, and Carmel, and the flower of Lebanon languisheth.
Nah	1	5	הָרִים רָעֲשׁוּ מִמֶּנּוּ וְהַגְּבָעוֹת הִתְמֹגָגוּ וַתִּשָּׂא הָאָרֶץ מִפָּנָיו וְתֵבֵל וְכָל־יֹשְׁבֵי בָהּ ׃	τὰ ὄρη ἐσείσθησαν ἀπʼ αὐτοῦ, καὶ οἱ βουνοὶ ἐσαλεύθησαν· καὶ ἀνεστάλη ἡ γῆ ἀπὸ προσώπου αὐτοῦ ἡ σύμπασα, καὶ πάντες οἱ κατοικοῦντες ἐν αὐτῇ.	montes commoti sunt ab eo et colles adsolati sunt et contremuit terra a facie eius et orbis et omnes habitantes in eo	Montes commoti sunt ab eo, et colles desolati sunt: et contremuit terra a facie ejus, et orbis, et omnes habitatores in eo.		The mountains quake at him, and the hills melt, and the earth is burned at his presence, yea, the world, and all that dwell therein.
Nah	1	6	לִפְנֵי זַעְמוֹ מִי יַעֲמוֹד וּמִי יָקוּם בַּחֲרוֹן אַפּוֹ חֲמָתוֹ נִתְּכָה כָאֵשׁ וְהַצֻּרִים נִתְּצוּ מִמֶּנּוּ ׃	ἀπὸ προσώπου ἀργῆς αὐτοῦ τίς ὑποστήσεται; καὶ τίς ἀντιστήσεται ἐν ὀργῇ θυμοῦ αὐτοῦ; ὁ θυμὸς αὐτοῦ τήκει ἀρχάς, καὶ αἱ πέτραι διεθρύβησαν ἀπʼ αὐτοῦ.	ante faciem indignationis eius quis stabit et quis resistet in ira furoris eius indignatio eius effusa est ut ignis et petrae dissolutae sunt ab eo	Ante faciem indignationis ejus quis stabit? et quis resistet in ira furoris ejus? Indignatio ejus effusa est ut ignis, et petr dissolut sunt ab eo.		Who can stand before his indignation? and who can abide in the fierceness of his anger? his fury is poured out like fire, and the rocks are thrown down by him.
Nah	1	7	טוֹב יְהוָה לְמָעוֹז בְּיוֹם צָרָה וְיֹדֵעַ חֹסֵי בוֹ ׃	χρηστὸς Κύριος τοῖς ὑπομένουσιν αὐτὸν ἐν ἡμέρᾳ θλίψεως, καὶ γινώσκων τοὺς εὐλαβουμένους αὐτόν.	bonus Dominus et confortans in die tribulationis et sciens sperantes in se	Bonus Dominus, et confortans in die tribulationis, et sciens sperantes in se.		The Lord is good, a strong hold in the day of trouble; and he knoweth them that trust in him.
Nah	1	8	וּבְשֶׁטֶף עֹבֵר כָּלָה יַעֲשֶׂה מְקוֹמָהּ וְאֹיְבָיו יְרַדֶּף־חֹשֶׁךְ ׃	καὶ ἐν κατακλυσμῷ πορείας συντέλειαν ποιήσεται, τοὺς ἐπεγειρομένους καὶ τοὺς ἐχθροὺς αὐτοῦ διώξεται σκότος.	et in diluvio praetereunte consummationem faciet loci eius et inimicos eius persequentur tenebrae	Et in diluvio prtereunte consummationem faciet loci ejus, et inimicos ejus persequentur tenebr.		But with an overrunning flood he will make an utter end of the place thereof, and darkness shall pursue his enemies.
Nah	1	9	מַה־תְּחַשְּׁבוּן אֶל־יְהוָה כָּלָה הוּא עֹשֶׂה לֹא־תָקוּם פַּעֲמַיִם צָרָה ׃	τί λογίζεσθε ἐπὶ τὸν κύριον; συντέλειαν αὐτὸς ποιήσεται, οὐκ ἐκδικήσει δὶς ἐπὶ τὸ αὐτὸ ἐν θλίψει·	quid cogitatis contra Dominum consummationem ipse faciet non consurget duplex tribulatio	Quid cogitatis contra Dominum? Consummationem ipse faciet: non consurget duplex tribulatio,		What do ye imagine against the Lord? he will make an utter end: affliction shall not rise up the second time.
Nah	1	10	כִּי עַד־סִירִים סְבֻכִים וּכְסָבְאָם סְבוּאִים אֻכְּלוּ כְּקַשׁ יָבֵשׁ מָלֵא ׃	ὅτι ἕως θεμελίου αὐτοῦ χερσωθήσεται, καὶ ὡς σμῖλαξ περιπλεκομένη βρωθήσεται, καὶ ὡς καλάμη ξηρασίας μεστή.	quia sicut spinae se invicem conplectuntur sic convivium eorum pariter potantium consumentur quasi stipula ariditate plena	quia sicut spin se invicem complectuntur, sic convivium eorum pariter potantium; consumentur quasi stipula ariditate plena.		For while they be folden together as thorns, and while they are drunken as drunkards, they shall be devoured as stubble fully dry.
