book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Num	1	1	וַיְדַבֵּר יְהוָה אֶל־מֹשֶׁה בְּמִדְבַּר סִינַי בְּאֹהֶל מוֹעֵד בְּאֶחָד לַחֹדֶשׁ הַשֵּׁנִי בַּשָּׁנָה הַשֵּׁנִית לְצֵאתָם מֵאֶרֶץ מִצְרַיִם לֵאמֹר ׃	KAI ἐλάλησεν κύριος πρὸς Μωυσῆν ἐν τῇ ἐρήμῳ τῇ Σεινά, ἐν ῇ τοῦ μαρτυρίου, ἐν μιᾷ τοῦ μηνὸς τοῦ δευτέρου ἔτους δευτέρου ἐξελθόντων αὐτῶν ἐκ γῆς Αἰγύπτου, λέγων	locutusque est Dominus ad Mosen in deserto Sinai in tabernaculo foederis prima die mensis secundi anno altero egressionis eorum ex Aegypto dicens	Locutusque est Dominus ad Moysen in deserto Sinai in tabernaculo fderis, prima die mensis secundi, anno altero egressionis eorum ex gypto, dicens:		And the Lord spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,
Num	1	2	שְׂאוּ אֶת־רֹאשׁ כָּל־עֲדַת בְּנֵי־יִשְׂרָאֵל לְמִשְׁפְּחֹתָם לְבֵית אֲבֹתָם בְּמִסְפַּר שֵׁמוֹת כָּל־זָכָר לְגֻלְגְּלֹתָם ׃	Λάβετε ἀρχὴν πάσης συναγωγῆς Ἰσραὴλ κατὰ συγγενίας, κατ’ οἴκους πατριῶν, κατὰ ἀριθμὸν ἐξ ὀνόματος, κατὰ κεφαλὴν αὐτῶν·	tollite summam universae congregationis filiorum Israhel per cognationes et domos suas et nomina singulorum quicquid sexus est masculini	Tollite summam univers congregationis filiorum Isral per cognationes et domos suas, et nomina singulorum, quidquid sexus est masculini		Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of their names, every male by their polls;
Num	1	3	מִבֶּן עֶשְׂרִים שָׁנָה וָמַעְלָה כָּל־יֹצֵא צָבָא בְּיִשְׂרָאֵל תִּפְקְדוּ אֹתָם לְצִבְאֹתָם אַתָּה וְאַהֲרֹן ׃	πᾶς ἄρσην ἀπὸ εἰκοσαετοῦς καὶ ἐπάνω, πᾶς ὁ ἐκπορευόμενος ἐν δυνάμει Ἰσραήλ, ἐπισκέψασθε αὐτοὺς σὺν δυνάμει αὐτῶν· σὺ καὶ Ἀαρὼν ἐπισκέψασθε αὐτούς.	a vicesimo anno et supra omnium virorum fortium ex Israhel et numerabitis eos per turmas suas tu et Aaron	a vigesimo anno et supra, omnium virorum fortium ex Isral, et numerabitis eos per turmas suas, tu et Aaron.		From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.
Num	1	4	וְאִתְּכֶם יִהְיוּ אִישׁ אִישׁ לַמַּטֶּה אִישׁ רֹאשׁ לְבֵית־אֲבֹתָיו הוּא ׃	καὶ μεθ’ ὑμῶν ἔσονται ἕκαστος κατὰ φυλὴν ἑκάστου ἀρχόντων· καὶ κατ’ οἴκους πατριῶν ἔσονται.	eruntque vobiscum principes tribuum ac domorum in cognationibus suis	Eruntque vobiscum principes tribuum ac domorum in cognationibus suis,		And with you there shall be a man of every tribe; every one head of the house of his fathers.
Num	1	5	וְאֵלֶּה שְׁמוֹת הָאֲנָשִׁים אֲשֶׁר יַעַמְדוּ אִתְּכֶם לִרְאוּבֵן אֱלִיצוּר בֶּן־שְׁדֵיאוּר ׃	καὶ ταῦτα τὰ ὀνόματα τῶν ἀνδρῶν οἵτινες παραστήσονται μεθ’ ὑμῶν· τῶν υἱῶν Ῥουβὴν Ἐλεισοὺρ υἱὸς Σεδιούρ·	quorum ista sunt nomina de Ruben Elisur filius Sedeur	quorum ista sunt nomina: de Ruben, Elisur, filius Sedeur;		And these are the names of the men that shall stand with you: of the tribe of Reuben; Elizur the son of Shedeur.
Num	1	6	לְשִׁמְעוֹן שְׁלֻמִיאֵל בֶּן־צוּרִישַׁדָּי ׃	τῶν Συμεὼν Σαλαμιὴλ υἱὸς Σουρεισαδαί·	de Symeon Salamihel filius Surisaddai	de Simeon, Salamiel filius Surisaddai;		Of Simeon; Shelumiel the son of Zurishaddai.
Num	1	7	לִיהוּדָה נַחְשׁוֹן בֶּן־עַמִּינָדָב ׃	τῶν Ἰούδα Νασσὼν υἱὸς Ἀμειναδάβ·	de Iuda Naasson filius Aminadab	de Juda, Nahasson filius Aminadab;		Of Judah; Nahshon the son of Amminadab.
Num	1	8	לְיִשָּׂשכָר נְתַנְאֵל בֶּן־צוּעָר ׃	τῶν Ἰσσαχὰρ Ναθαναὴλ υἱὸς Σωγάρ ·	de Isachar Nathanahel filius Suar	de Issachar, Nathanal filius Suar;		Of Issachar; Nethaneel the son of Zuar.
Num	1	9	לִזְבוּלֻן אֱלִיאָב בֶּן־חֵלֹן ׃	τῶν Ζαβουλὼν Ἐλιὰβ υἱὸς Χαιλών· τῶν υἱῶν Ἰωσήφ, τῶν Ἐφράιμ Ἐλεισαμὰ υἱὸς Ἐμιούδ,	de Zabulon Heliab filius Helon	de Zabulon, Eliab filius Helon;		Of Zebulun; Eliab the son of Helon.
Num	1	10	לִבְנֵי יוֹסֵף לְאֶפְרַיִם אֱלִישָׁמָע בֶּן־עַמִּיהוּד לִמְנַשֶּׁה גַּמְלִיאֵל בֶּן־פְּדָהצוּר ׃	τῶν Μανασσὴ Γαμαλιὴλ υἱὸς Φαδασούρ·	filiorum autem Ioseph de Ephraim Helisama filius Ammiud de Manasse Gamalihel filius Phadassur	filiorum autem Joseph, de Ephraim, Elisama filius Ammiud; de Manasse, Gamaliel filius Phadassur;		Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.
Num	1	11	לְבִנְיָמִן אֲבִידָן בֶּן־גִּדְעֹנִי ׃	τῶν Βενιαμεὶν Ἀβειδὰν υἱὸς Γεδεωνεί·	de Beniamin Abidan filius Gedeonis	de Benjamin, Abidan filius Gedeonis;		Of Benjamin; Abidan the son of Gideoni.
