book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Obad	1	0		ΡΑΣΙΣ Ὀβδειού.				
Obad	1	1	חֲזוֹן עֹבַדְיָה כֹּה־אָמַר אֲדֹנָי יְהוִה לֶאֱדוֹם שְׁמוּעָה שָׁמַעְנוּ מֵאֵת יְהוָה וְצִיר בַּגּוֹיִם שֻׁלָּח קוּמוּ וְנָקוּמָה עָלֶיהָ לַמִּלְחָמָה ׃	Τάδε λέγει Κύριος ὁ θεὸς τῇ Ἰδουμαίᾳ Ἀκοὴν ἤκουσα παρὰ Κυρίου, καὶ περιοχὴν εἰς τὰ ἔθνη ἐξαπέστειλεν Ἀνάστητε καὶ ἐξαναστῶμεν ἐπʼ αὐτὴν εἰς πόλεμον.	visio Abdiae haec dicit Dominus Deus ad Edom auditum audivimus a Domino et legatum ad gentes misit surgite et consurgamus adversum eum in proelium	Visio Abdi. [Hc dicit Dominus Deus ad Edom: Auditum audivimus a Domino, et legatum ad gentes misit: surgite, et consurgamus adversus eum in prlium.		The vision of Obadiah. Thus saith the Lord God concerning Edom; We have heard a rumour from the Lord, and an ambassador is sent among the heathen, Arise ye, and let us rise up against her in battle.
Obad	1	2	הִנֵּה קָטֹן נְתַתִּיךָ בַּגּוֹיִם בָּזוּי אַתָּה מְאֹד ׃	ἰδοὺ ὀλιγοστὸν δέδωκά σε ἐν τοῖς ἔθνεσιν, ἠτιμωμένος σὺ εἶ σφόδρα·	ecce parvulum te dedi in gentibus contemptibilis tu es valde	Ecce parvulum dedi te in gentibus: contemptibilis tu es valde.		Behold, I have made thee small among the heathen: thou art greatly despised.
Obad	1	3	זְדוֹן לִבְּךָ הִשִּׁיאֶךָ שֹׁכְנִי בְחַגְוֵי־סֶּלַע מְרוֹם שִׁבְתּוֹ אֹמֵר בְּלִבּוֹ מִי יוֹרִדֵנִי אָרֶץ ׃	ὑπερηφανία τῆς καρδίας σου ἐπῆρέν σε κατασκηνοῦντα ἐν ταῖς ὀπαῖς τῶν πετρῶν· ὑψῶν κατοικίαν αὐτοῦ, λέγων ἐν καρδίᾳ αὐτοῦ Τίς με κατάξει ἐπὶ τὴν γῆν ;	superbia cordis tui extulit te habitantem in scissuris petrae exaltantem solium suum qui dicit in corde suo quis detrahet me in terram	Superbia cordis tui extulit te, habitantem in scissuris petrarum, exaltantem solium tuum; qui dicis in corde tuo: Quis detrahet me in terram?		The pride of thine heart hath deceived thee, thou that dwellest in the clefts of the rock, whose habitation is high; that saith in his heart, Who shall bring me down to the ground?
Obad	1	4	אִם־תַּגְבִּיהַּ כַּנֶּשֶׁר וְאִם־בֵּין כּוֹכָבִים שִׂים קִנֶּךָ מִשָּׁם אוֹרִידְךָ נְאֻם־יְהוָה ׃	ἐὰν μετεωρισθῇς ὡς ἀετός, καὶ ἐὰν ἀνὰ μέσον τῶν ἄστρων θῇς νοσσιάν σου, ἐκεῖθεν κατάξω σε, λέγει Κύριος.	si exaltatus fueris ut aquila et si inter sidera posueris nidum tuum inde detraham te dicit Dominus	Si exaltatus fueris ut aquila, et si inter sidera posueris nidum tuum, inde detraham te, dicit Dominus.		Though thou exalt thyself as the eagle, and though thou set thy nest among the stars, thence will I bring thee down, saith the Lord.
Obad	1	5	אִם־גַּנָּבִים בָּאוּ־לְךָ אִם־שׁוֹדְדֵי לַיְלָה אֵיךְ נִדְמֵיתָה הֲלוֹא יִגְנְבוּ דַּיָּם אִם־בֹּצְרִים בָּאוּ לָךְ הֲלוֹא יַשְׁאִירוּ עֹלֵלוֹת ׃	εἰ κλέπται εἰσῆλθον πρὸς σὲ ἢ λῃσταὶ νυκτός, ποῦ ἂν ἀπερρίφης; οὐκ ἂν ἔκλεψαν τὰ ἱκανὰ ἑαυτοῖς; καὶ εἰ τρυγηταὶ εἰσῆλθον πρὸς σέ, οὐκ ἂν ὑπελίποντο ἐπιφυλλίδας;	si fures introissent ad te si latrones per noctem quomodo conticuisses nonne furati essent sufficientia sibi si vindemiatores introissent ad te numquid saltim racemos reliquissent tibi	Si fures introissent ad te, si latrones per noctem, quomodo conticuisses? nonne furati essent sufficientia sibi? Si vindemiatores introissent ad te, numquid saltem racemum reliquissent tibi?		If thieves came to thee, if robbers by night, (how art thou cut off!) would they not have stolen till they had enough? if the grapegatherers came to thee, would they not leave some grapes?
Obad	1	6	אֵיךְ נֶחְפְּשׂוּ עֵשָׂו נִבְעוּ מַצְפֻּנָיו ׃	πῶς ἐξηρευνήθη Ἠσοὺ καὶ κατελήμφθη αὐτοῦ τὰ κεκριυμμένα.	quomodo scrutati sunt Esau investigaverunt abscondita eius	Quomodo scrutati sunt Esau; investigaverunt abscondita ejus?		How are the things of Esau searched out! how are his hidden things sought up!
Obad	1	7	עַד־הַגְּבוּל שִׁלְּחוּךָ כֹּל אַנְשֵׁי בְרִיתֶךָ הִשִּׁיאוּךָ יָכְלוּ לְךָ אַנְשֵׁי שְׁלֹמֶךָ לַחְמְךָ יָשִׂימוּ מָזוֹר תַּחְתֶּיךָ אֵין תְּבוּנָה בּוֹ ׃	ἕως τῶν ὁρίων ἐξαπέστειλάν σε· πάντες οἱ ἄνδρες τῆς διαθήκης σου ἀντέστησάν σοι, ἡδυνάσθησαν πρὸς σὲ ἄνδρες εἰρηνικοί σου, ἔθηκαν ἔνεδρα ὑποκάτω σου, οὐκ ἔστιν σύνεσις αὐτοῖς.	usque ad terminum emiserunt te omnes viri foederis tui inluserunt tibi invaluerunt adversum te viri pacis tuae qui comedunt tecum ponent insidias subter te non est prudentia in eo	Usque ad terminum emiserunt te: omnes viri fderis tui illuserunt tibi: invaluerunt adversum te viri pacis tu, qui comedunt tecum, ponent insidias subter te; non est prudentia in eo.		All the men of thy confederacy have brought thee even to the border: the men that were at peace with thee have deceived thee, and prevailed against thee; they that eat thy bread have laid a wound under thee: there is none understanding in him.
Obad	1	8	הֲלוֹא בַּיּוֹם הַהוּא נְאֻם־יְהוָה וְהַאֲבַדְתִּי חֲכָמִים מֵאֱדוֹם וּתְבוּנָה מֵהַר עֵשָׂו ׃	ἐν ἐκείνῃ τῇ ἡμέρᾳ, λέγει Κύριος, ἀπολῶ σοφοὺς ἐκ τῆς Ἰδουμαίας καὶ σύνεσιν ἐξ ὄρους Ἠσού·	numquid non in die illa dicit Dominus perdam sapientes de Idumea et prudentiam de monte Esau	Numquid non in die illa, dicit Dominus, perdam sapientes de Iduma, et prudentiam de monte Esau?		Shall I not in that day, saith the Lord, even destroy the wise men out of Edom, and understanding out of the mount of Esau?
Obad	1	9	וְחַתּוּ גִבּוֹרֶיךָ תֵּימָן לְמַעַן יִכָּרֶת־אִישׁ מֵהַר עֵשָׂו מִקָּטֶל ׃	καὶ πτοηθήσονται οἱ μαχηταί σου οἱ ἐκ Θαιμάν, ὅπαως ἐξαρθῇ ἄνθρωπος ἐξ ὄρους Ἠσαύ·	et timebunt fortes tui a meridie ut intereat vir de monte Esau	Et timebunt fortes tui a meridie, ut intereat vir de monte Esau.		And thy mighty men, O Teman, shall be dismayed, to the end that every one of the mount of Esau may be cut off by slaughter.
