book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Phil	1	1			Paulus et Timotheus servi Iesu Christi omnibus sanctis in Christo Iesu qui sunt Philippis cum episcopis et diaconis	Paulus et Timotheus, servi Jesu Christi, omnibus sanctis in Christo Jesu, qui sunt Philippis, cum episcopis et diaconibus.	παυλος και τιμοθεος δουλοι ιησου χριστου πασιν τοις αγιοις εν χριστω ιησου τοις ουσιν εν φιλιπποις συν επισκοποις και διακονοις 	Paul and Timotheus, the servants of Jesus Christ, to all the saints in Christ Jesus which are at Philippi, with the bishops and deacons:
Phil	1	2			gratia vobis et pax a Deo Patre nostro et Domino Iesu Christo	Gratia vobis, et pax a Deo Patre nostro, et Domino Jesu Christo.	χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου 	Grace be unto you, and peace, from God our Father, and from the Lord Jesus Christ.
Phil	1	3			gratias ago Deo meo in omni memoria vestri	Gratias ago Deo meo in omni memoria vestri,	ευχαριστω τω θεω μου επι παση τη μνεια υμων 	I thank my God upon every remembrance of you,
Phil	1	4			semper in cunctis orationibus meis pro omnibus vobis cum gaudio deprecationem faciens	semper in cunctis orationibus meis pro omnibus vobis, cum gaudio deprecationem faciens,	παντοτε εν παση δεησει μου υπερ παντων υμων μετα χαρας την δεησιν ποιουμενος 	Always in every prayer of mine for you all making request with joy,
Phil	1	5			super communicatione vestra in evangelio a prima die usque nunc	super communicatione vestra in Evangelio Christi a prima die usque nunc.	επι τη κοινωνια υμων εις το ευαγγελιον απο πρωτης ημερας αχρι του νυν 	For your fellowship in the gospel from the first day until now;
Phil	1	6			confidens hoc ipsum quia qui coepit in vobis opus bonum perficiet usque in diem Christi Iesu	Confidens hoc ipsum, quia qui cpit in vobis opus bonum, perficiet usque in diem Christi Jesu:	πεποιθως αυτο τουτο οτι ο εναρξαμενος εν υμιν εργον αγαθον επιτελεσει αχρις ημερας ιησου χριστου 	Being confident of this very thing, that he which hath begun a good work in you will perform it until the day of Jesus Christ:
Phil	1	7			sicut est mihi iustum hoc sentire pro omnibus vobis eo quod habeam in corde vos et in vinculis meis et in defensione et confirmatione evangelii socios gaudii mei omnes vos esse	sicut est mihi justum hoc sentire pro omnibus vobis: eo quod habeam vos in corde, et in vinculis meis, et in defensione, et confirmatione Evangelii, socios gaudii mei omnes vos esse.	καθως εστιν δικαιον εμοι τουτο φρονειν υπερ παντων υμων δια το εχειν με εν τη καρδια υμας εν τε τοις δεσμοις μου και τη απολογια και βεβαιωσει του ευαγγελιου συγκοινωνους μου της χαριτος παντας υμας οντας 	Even as it is meet for me to think this of you all, because I have you in my heart; inasmuch as both in my bonds, and in the defence and confirmation of the gospel, ye all are partakers of my grace.
Phil	1	8			testis enim mihi est Deus quomodo cupiam omnes vos in visceribus Christi Iesu	Testis enim mihi est Deus, quomodo cupiam omnes vos in visceribus Jesu Christi.	μαρτυς γαρ μου εστιν ο θεος ως επιποθω παντας υμας εν σπλαγχνοις ιησου χριστου 	For God is my record, how greatly I long after you all in the bowels of Jesus Christ.
Phil	1	9			et hoc oro ut caritas vestra magis ac magis abundet in scientia et omni sensu	Et hoc oro, ut caritas vestra magis ac magis abundet in scientia, et in omni sensu:	και τουτο προσευχομαι ινα η αγαπη υμων ετι μαλλον και μαλλον περισσευη εν επιγνωσει και παση αισθησει 	And this I pray, that your love may abound yet more and more in knowledge and in all judgment;
Phil	1	10			ut probetis potiora ut sitis sinceres et sine offensa in diem Christi	ut probetis potiora, ut sitis sinceri, et sine offensa in diem Christi,	εις το δοκιμαζειν υμας τα διαφεροντα ινα ητε ειλικρινεις και απροσκοποι εις ημεραν χριστου 	That ye may approve things that are excellent; that ye may be sincere and without offence till the day of Christ.
Phil	1	11			repleti fructu iustitiae per Christum Iesum in gloriam et laudem Dei	repleti fructu justiti per Jesum Christum, in gloriam et laudem Dei.	πεπληρωμενοι καρπων δικαιοσυνης των δια ιησου χριστου εις δοξαν και επαινον θεου 	Being filled with the fruits of righteousness, which are by Jesus Christ, unto the glory and praise of God.
Phil	1	12			scire autem vos volo fratres quia quae circa me sunt magis ad profectum venerunt evangelii	Scire autem vos volo fratres, quia qu circa me sunt, magis ad profectum venerunt Evangelii:	γινωσκειν δε υμας βουλομαι αδελφοι οτι τα κατ εμε μαλλον εις προκοπην του ευαγγελιου εληλυθεν 	But I would ye should understand, brethren, that the things which happened unto me have fallen out rather unto the furtherance of the gospel;
Phil	1	13			ita ut vincula mea manifesta fierent in Christo in omni praetorio et in ceteris omnibus	ita ut vincula mea manifesta fierent in Christo in omni prtorio, et in ceteris omnibus,	ωστε τους δεσμους μου φανερους εν χριστω γενεσθαι εν ολω τω πραιτωριω και τοις λοιποις πασιν 	So that my bonds in Christ are manifest in all the palace, and in all other places;
Phil	1	14			et plures e fratribus in Domino confidentes vinculis meis abundantius audere sine timore verbum Dei loqui	et plures e fratribus in Domino confidentes vinculis meis, abundantius auderent sine timore verbum Dei loqui.	και τους πλειονας των αδελφων εν κυριω πεποιθοτας τοις δεσμοις μου περισσοτερως τολμαν αφοβως τον λογον λαλειν 	And many of the brethren in the Lord, waxing confident by my bonds, are much more bold to speak the word without fear.
Phil	1	15			quidam quidem et propter invidiam et contentionem quidam autem et propter bonam voluntatem Christum praedicant	Quidam quidem et propter invidiam et contentionem: quidam autem et propter bonam voluntatem Christum prdicant:	τινες μεν και δια φθονον και εριν τινες δε και δι ευδοκιαν τον χριστον κηρυσσουσιν 	Some indeed preach Christ even of envy and strife; and some also of good will:
