book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Phlm	1	1			Paulus vinctus Iesu Christi et Timotheus frater Philemoni dilecto et adiutori nostro	Paulus vinctus Christi Jesu, et Timotheus frater, Philemoni dilecto, et adjutori nostro,	παυλος δεσμιος χριστου ιησου και τιμοθεος ο αδελφος φιλημονι τω αγαπητω και συνεργω ημων 	Paul, a prisoner of Jesus Christ, and Timothy our brother, unto Philemon our dearly beloved, and fellowlabourer,
Phlm	1	2			et Appiae sorori et Archippo commilitoni nostro et ecclesiae quae in domo tua est	et Appi sorori carissim, et Archippo commilitoni nostro, et ecclesi, qu in domo tua est.	και απφια τη αγαπητη και αρχιππω τω συστρατιωτη ημων και τη κατ οικον σου εκκλησια 	And to our beloved Apphia, and Archippus our fellowsoldier, and to the church in thy house:
Phlm	1	3			gratia vobis et pax a Deo Patre nostro et Domino Iesu Christo	Gratia vobis, et pax a Deo Patre nostro, et Domino Jesu Christo.	χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου 	Grace to you, and peace, from God our Father and the Lord Jesus Christ.
Phlm	1	4			gratias ago Deo meo semper memoriam tui faciens in orationibus meis	Gratias ago Deo meo, semper memoriam tui faciens in orationibus meis,	ευχαριστω τω θεω μου παντοτε μνειαν σου ποιουμενος επι των προσευχων μου 	I thank my God, making mention of thee always in my prayers,
Phlm	1	5			audiens caritatem tuam et fidem quam habes in Domino Iesu et in omnes sanctos	audiens caritatem tuam, et fidem, quam habes in Domino Jesu, et in omnes sanctos:	ακουων σου την αγαπην και την πιστιν ην εχεις προς τον κυριον ιησουν και εις παντας τους αγιους 	Hearing of thy love and faith, which thou hast toward the Lord Jesus, and toward all saints;
Phlm	1	6			ut communicatio fidei tuae evidens fiat in agnitione omnis boni in nobis in Christo Iesu	ut communicatio fidei tu evidens fiat in agnitione omnis operis boni, quod est in vobis in Christo Jesu.	οπως η κοινωνια της πιστεως σου ενεργης γενηται εν επιγνωσει παντος αγαθου του εν υμιν εις χριστον ιησουν 	That the communication of thy faith may become effectual by the acknowledging of every good thing which is in you in Christ Jesus.
Phlm	1	7			gaudium enim magnum habui et consolationem in caritate tua quia viscera sanctorum requieverunt per te frater	Gaudium enim magnum habui, et consolationem in caritate tua: quia viscera sanctorum requieverunt per te, frater.	χαριν  χαραν  γαρ εχομεν πολλην και παρακλησιν επι τη αγαπη σου οτι τα σπλαγχνα των αγιων αναπεπαυται δια σου αδελφε 	For we have great joy and consolation in thy love, because the bowels of the saints are refreshed by thee, brother.
Phlm	1	8			propter quod multam fiduciam habentes in Christo Iesu imperandi tibi quod ad rem pertinet	Propter quod multam fiduciam habens in Christo Jesu imperandi tibi quod ad rem pertinet:	διο πολλην εν χριστω παρρησιαν εχων επιτασσειν σοι το ανηκον 	Wherefore, though I might be much bold in Christ to enjoin thee that which is convenient,
Phlm	1	9			propter caritatem magis obsecro cum sis talis ut Paulus senex nunc autem et vinctus Iesu Christi	propter caritatem magis obsecro, cum sis talis, ut Paulus senex, nunc autem et vinctus Jesu Christi:	δια την αγαπην μαλλον παρακαλω τοιουτος ων ως παυλος πρεσβυτης νυνι δε και δεσμιος ιησου χριστου 	Yet for love's sake I rather beseech thee, being such an one as Paul the aged, and now also a prisoner of Jesus Christ.
Phlm	1	10			obsecro te de meo filio quem genui in vinculis Onesimo	obsecro te pro meo filio, quem genui in vinculis, Onesimo,	παρακαλω σε περι του εμου τεκνου ον εγεννησα εν τοις δεσμοις μου ονησιμον 	I beseech thee for my son Onesimus, whom I have begotten in my bonds:
