book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Prov	1	1	מִשְׁלֵי שְׁלֹמֹה בֶן־דָּוִד מֶלֶךְ יִשְׂרָאֵל ׃	ΠΑΡΟΙΜΙΑΙ Σαλωμῶντος υἱοῦ Δαυείδ ὃς ἐβασίλευσεν ἐν Ἰσραήλ,	parabolae Salomonis filii David regis Israhel	[Parabol Salomonis, filii David, regis Isral,		The proverbs of Solomon the son of David, king of Israel;
Prov	1	2	לָדַעַת חָכְמָה וּמוּסָר לְהָבִין אִמְרֵי בִינָה ׃	γνῶναι σοφίαν καὶ παιδείαν δέξασθαί τε λόγους φρονήσεως,	ad sciendam sapientiam et disciplinam	ad sciendam sapientiam et disciplinam;		To know wisdom and instruction; to perceive the words of understanding;
Prov	1	3	לָקַחַת מוּסַר הַשְׂכֵּל צֶדֶק וּמִשְׁפָּט וּמֵישָׁרִים ׃	δέξασθαί τε στροφὰς λόγων, νοῆσαί τε δικαιοσύνην ἀληθῆ καὶ κρίμα κατευθύνειν·	ad intellegenda verba prudentiae et suscipiendam eruditionem doctrinae iustitiam et iudicium et aequitatem	ad intelligenda verba prudenti, et suscipiendam eruditionem doctrin, justitiam, et judicium, et quitatem:		To receive the instruction of wisdom, justice, and judgment, and equity;
Prov	1	4	לָתֵת לִפְתָאיִם עָרְמָה לְנַעַר דַּעַת וּמְזִמָּה ׃	ἴνα δῷ ἀκάκοις πανουργίαν, παιδὶ δὲ νέῳ αἴσθησίν τε καὶ ἔννοιαν.	ut detur parvulis astutia adulescenti scientia et intellectus	ut detur parvulis astutia, adolescenti scientia et intellectus.		To give subtilty to the simple, to the young man knowledge and discretion.
Prov	1	5	יִשְׁמַע חָכָם וְיוֹסֶף לֶקַח וְנָבוֹן תַּחְבֻּלוֹת יִקְנֶה ׃	τῶνδε γὰρ ἀκούσας σοφὸς σοφώτερος ἔσται, ὁ δὲ νοήμων κυβέρνησιν κτήσεται,	audiens sapiens sapientior erit et intellegens gubernacula possidebit	Audiens sapiens, sapientior erit, et intelligens gubernacula possidebit.		A wise man will hear, and will increase learning; and a man of understanding shall attain unto wise counsels:
Prov	1	6	לְהָבִין מָשָׁל וּמְלִיצָה דִּבְרֵי חֲכָמִים וְחִידֹתָם ׃	νοήσει τε παραβολὴν καὶ σκοτεινὸν λόγον ῥήσεις τε σοφῶν καὶ αἰνίγματα.	animadvertet parabolam et interpretationem verba sapientium et enigmata eorum	Animadvertet parabolam et interpretationem, verba sapientum et nigmata eorum.		To understand a proverb, and the interpretation; the words of the wise, and their dark sayings.
Prov	1	7	יִרְאַת יְהוָה רֵאשִׁית דָּעַת חָכְמָה וּמוּסָר אֱוִילִים בָּזוּ ׃ פ	Ἀρχὴ σοφίας φόβος θεοῦ, σύνεσις δὲ ἀγαθὴ πᾶσι τοῖς ποιοῦσιν αὐτήν· εὐσεβέα δὲ εἰς θεὸν ἀρχὴ αἰσθήσεως, σοφίαν δὲ καὶ παιδείαν ἀσεβεῖς ἐξουθενήσουσιν.	timor Domini principium scientiae sapientiam atque doctrinam stulti despiciunt	Timor Domini principium sapienti; sapientiam atque doctrinam stulti despiciunt.]		The fear of the Lord is the beginning of knowledge: but fools despise wisdom and instruction.
Prov	1	8	שְׁמַע בְּנִי מוּסַר אָבִיךָ וְאַל־תִּטֹּשׁ תּוֹרַת אִמֶּךָ ׃	ἄκουε, υἱέ, παιδείαν πατρός σου, καὶ μὴ ἀπώσῃ θεσμοὺς μητρός σου·	audi fili mi disciplinam patris tui et ne dimittas legem matris tuae	[Audi, fili mi, disciplinam patris tui, et ne dimittas legem matris tu:		My son, hear the instruction of thy father, and forsake not the law of thy mother:
Prov	1	9	כִּי לִוְיַת חֵן הֵם לְרֹאשֶׁךָ וַעֲנָקִים לְגַרְגְּרֹתֶיךָ ׃	στέφανον γὰρ χαρίτων δέξῃ σῇ κορυφῇ, καὶ κλοιὸν χρύσεον περὶ σῷ τραχήλῳι	ut addatur gratia capiti tuo et torques collo tuo	ut addatur gratia capiti tuo, et torques collo tuo.		For they shall be an ornament of grace unto thy head, and chains about thy neck.
Prov	1	10	בְּנִי אִם־יְפַתּוּךָ חַטָּאִים אַל־תֹּבֵא ׃	υἱέ, μὴ σε πλανήσωσιν ἄνδρες ἀσεβεῖς, μηδέ βουληθῇς	fili mi si te lactaverint peccatores ne adquiescas	Fili mi, si te lactaverint peccatores, ne acquiescas eis.		My son, if sinners entice thee, consent thou not.
Prov	1	11	אִם־יֹאמְרוּ לְכָה אִתָּנוּ נֶאֶרְבָה לְדָם נִצְפְּנָה לְנָקִי חִנָּם ׃	ἐὰν παρακαλέσωσί σε λέγοντες Ἐλθὲ μεθʼ ἡμῶν, κοινώνησον αἵματος, κρύψωμεν δὲ εἰς γῆν ἄνδρα δίκαιον ἀδίκως.	si dixerint veni nobiscum insidiemur sanguini abscondamus tendiculas contra insontem frustra	Si dixerint: Veni nobiscum, insidiemur sanguini; abscondamus tendiculas contra insontem frustra;		If they say, Come with us, let us lay wait for blood, let us lurk privily for the innocent without cause:
Prov	1	12	נִבְלָעֵם כִּשְׁאוֹל חַיִּים וּתְמִימִים כְּיוֹרְדֵי בוֹר ׃	καταπίωμεν δέ αὐτὸν ὥσπερ ᾄδης ζῶντα, καὶ ἄρωμεν αὐτοῦ τὴν μνήμην ἐκ γῆς·	degluttiamus eum sicut infernus viventem et integrum quasi descendentem in lacum	deglutiamus eum sicut infernus viventem, et integrum quasi descendentem in lacum;		Let us swallow them up alive as the grave; and whole, as those that go down into the pit:
Prov	1	13	כָּל־הוֹן יָקָר נִמְצָא נְמַלֵּא בָתֵּינוּ שָׁלָל ׃	τὴν κτῆσιν αὐτοῦ τὴν πολυτελῆ καταλαβώμεθα, πλήσωμεν δὲ οἴκους ἡμετέρους σκύλων·	omnem pretiosam substantiam repperiemus implebimus domos nostras spoliis	omnem pretiosam substantiam reperiemus; implebimus domos nostras spoliis:		We shall find all precious substance, we shall fill our houses with spoil:
Prov	1	14	גּוֹרָלְךָ תַּפִּיל בְּתוֹכֵנוּ כִּיס אֶחָד יִהְיֶה לְכֻלָּנוּ ׃	τὸν δὲ σὸν κλῆρον βάλε ἐν ἡμῖν, κοινὸν δὲ βαλλάντιον κτησώμεθα πάντες καὶ μαρσίππιον ἐν γενηθήτω ἡμῖν.	sortem mitte nobiscum marsuppium unum sit omnium nostrum	sortem mitte nobiscum, marsupium unum sit omnium nostrum:		Cast in thy lot among us; let us all have one purse:
Prov	1	15	בְּנִי אַל־תֵּלֵךְ בְּדֶרֶךְ אִתָּם מְנַע רַגְלְךָ מִנְּתִיבָתָם ׃	μὴ πορευθῇς ἐν ὁδῷ μετʼ αὐτῶν, ἔκκλινον δὲ τὸν πόδα σου ἐκ τῶν τρίβων αὐτῶν·	fili mi ne ambules cum eis prohibe pedem tuum a semitis eorum	fili mi, ne ambules cum eis; prohibe pedem tuum a semitis eorum:		My son, walk not thou in the way with them; refrain thy foot from their path:
Prov	1	16	כִּי רַגְלֵיהֶם לָרַע יָרוּצוּ וִימַהֲרוּ לִשְׁפָּךְ־דָּם ׃		pedes enim illorum ad malum currunt et festinant ut effundant sanguinem	pedes enim illorum ad malum currunt, et festinant ut effundant sanguinem.		For their feet run to evil, and make haste to shed blood.
Prov	1	17	כִּי־חִנָּם מְזֹרָה הָרָשֶׁת בְּעֵינֵי כָל־בַּעַל כָּנָף ׃	οὐ γὰρ ἀδίκως ἐκτείνεται δίκτυα πτερωτοῖς.	frustra autem iacitur rete ante oculos pinnatorum	Frustra autem jacitur rete ante oculos pennatorum.		Surely in vain the net is spread in the sight of any bird.
Prov	1	18	וְהֵם לְדָמָם יֶאֱרֹבוּ יִצְפְּנוּ לְנַפְשֹׁתָם ׃	αὐτοὶ γὰρ οἱ φόνου μετέχοντες θησαυρίζουσιν ἑαυτοῖς κακά, ἡ δέ καταστροφὴ ἀνδρῶν παρανόμωνν κακή.	ipsique contra sanguinem suum insidiantur et moliuntur fraudes contra animas suas	Ipsi quoque contra sanguinem suum insidiantur, et moliuntur fraudes contra animas suas.		And they lay wait for their own blood; they lurk privily for their own lives.
Prov	1	19	כֵּן אָרְחוֹת כָּל־בֹּצֵעַ בָּצַע אֶת־נֶפֶשׁ בְּעָלָיו יִקָּח ׃ פ	ηὗται αἱ ὁδοί εἰσιν πάνταον τῶν συντελούτωνν τὰ ἄνομα· τῇ γὰρ ἀσεβείᾳ τὴν ἑαυτῶν ψυχὴν ἀφαιροῦνται.	sic semitae omnis avari animas possidentium rapiunt	Sic semit omnis avari: animas possidentium rapiunt.]		So are the ways of every one that is greedy of gain; which taketh away the life of the owners thereof.
Prov	1	20	חָכְמוֹת בַּחוּץ תָּרֹנָּה בָּרְחֹבוֹת תִּתֵּן קוֹלָהּ ׃	Σοφία ἐν ἐξόδοις ὑμνεῖται, ἐν δὲ πλατείαις παρρησίαν ἄγει·	sapientia foris praedicat in plateis dat vocem suam	[Sapientia foris prdicat; in plateis dat vocem suam:		Wisdom crieth without; she uttereth her voice in the streets:
Prov	1	21	בְּרֹאשׁ הֹמִיּוֹת תִּקְרָא בְּפִתְחֵי שְׁעָרִים בָּעִיר אֲמָרֶיהָ תֹאמֵר ׃	ἐη᾿ ἄκρων δὲ τειχέων κηρύσσεται, ἐπὶ δὲ πύλαις δυναστῶν παρεδρεύει, ἐπὶ δὲ πύλαις πόλεως θαρροῦσα λέγει	in capite turbarum clamitat in foribus portarum urbis profert verba sua dicens	in capite turbarum clamitat; in foribus portarum urbis profert verba sua, dicens:		She crieth in the chief place of concourse, in the openings of the gates: in the city she uttereth her words, saying,
Prov	1	22	עַד־מָתַי פְּתָיִם תְּאֵהֲבוּ פֶתִי וְלֵצִים לָצוֹן חָמְדוּ לָהֶם וּכְסִילִים יִשְׂנְאוּ־דָעַת ׃	Ὅσον ἂν χρόνον ἄκακοι ἔχωνται τῆς δικαιοσύνης, οὐκ αἰσχυνθήοἱ δὲ ἄφρονες, τῆς ὕβρεως ὄντες ἐπιθυμηταί, ἀσεβεῖς γενόμενοι ἐμίσησαν αἴσθησιν,	usquequo parvuli diligitis infantiam et stulti ea quae sibi sunt noxia cupiunt et inprudentes odibunt scientiam	Usquequo, parvuli, diligitis infantiam, et stulti ea qu sibi sunt noxia cupient, et imprudentes odibunt scientiam?		How long, ye simple ones, will ye love simplicity? and the scorners delight in their scorning, and fools hate knowledge?
Prov	1	23	תָּשׁוּבוּ לְתוֹכַחְתִּי הִנֵּה אַבִּיעָה לָכֶם רוּחִי אוֹדִיעָה דְבָרַי אֶתְכֶם ׃	καὶ ὑπεύθυνοι ἐγένοντο ἐλέγχοις. ἰδοὺ προήσομαι ὑμῖν ἐμῆς πνοῆς ῥῆσιν, διδάξω δὲ ὑμᾶς τὸν ἐμὸν λόγον.	convertimini ad correptionem meam en proferam vobis spiritum meum et ostendam verba mea	convertimini ad correptionem meam. En proferam vobis spiritum meum, et ostendam vobis verba mea.		Turn you at my reproof: behold, I will pour out my spirit unto you, I will make known my words unto you.
Prov	1	24	יַעַן קָרָאתִי וַתְּמָאֵנוּ נָטִיתִי יָדִי וְאֵין מַקְשִׁיב ׃	ἐπειδὴ ἐκάλουν καὶ οὐχ ὑπηκούσατε, καὶ ἐξέτεινον λόγους καὶ οὐ προσείχετε,	quia vocavi et rennuistis extendi manum meam et non fuit qui aspiceret	Quia vocavi, et renuistis; extendi manum meam, et non fuit qui aspiceret:		Because I have called, and ye refused; I have stretched out my hand, and no man regarded;
Prov	1	25	וַתִּפְרְעוּ כָל־עֲצָתִי וְתוֹכַחְתִּי לֹא אֲבִיתֶם ׃	ἀλλὰ ἀκύρους ἐποιεῖτε ἐμὰς βουλάς, τοῖς δὲ ἐμοῖς ἐλέγχοις ἠπειθήσατε·	despexistis omne consilium meum et increpationes meas neglexistis	despexistis omne consilium meum, et increpationes meas neglexistis.		But ye have set at nought all my counsel, and would none of my reproof:
Prov	1	26	גַּם־אֲנִי בְּאֵידְכֶם אֶשְׂחָק אֶלְעַג בְּבֹא פַחְדְּכֶם ׃	τοιγαροῦν κἀγὼ τῇ ὑμετέρᾳ ἀπωλείᾳ ἐπιγελάσομαι, καταχαροῦμαι δὲ ἡνίκα ἂν ἔρχηται ὑμῖν ὄλεθρος.	ego quoque in interitu vestro ridebo et subsannabo cum vobis quod timebatis advenerit	Ego quoque in interitu vestro ridebo, et subsannabo cum vobis id quod timebatis advenerit.		I also will laugh at your calamity; I will mock when your fear cometh;
