book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Ps	1	1	אַשְׁרֵי־הָאִישׁ אֲשֶׁר לֹא הָלַךְ בַּעֲצַת רְשָׁעִים וּבְדֶרֶךְ חַטָּאִים לֹא עָמָד וּבְמוֹשַׁב לֵצִים לֹא יָשָׁב ׃	ΜΑΚAPΙΟΣ ἀνὴρ ὃς οὐκ ἐπορεύθη ἐν βουλῇ ἀσεβῶν, καὶ ἐν ὁδῷ ἁμαρτωλῶν οὐκ ἔστη, καὶ ἐπὶ καθέδραν λοιμῶν οὐκ ἐκάθισεν·	beatus vir qui non abiit in consilio impiorum et in via peccatorum non stetit et in cathedra pestilentiae non sedit	[Beatus vir qui non abiit in consilio impiorum, et in via peccatorum non stetit, et in cathedra pestilenti non sedit;		Blessed is the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful.
Ps	1	2	כִּי אִם בְּתוֹרַת יְהוָה חֶפְצוֹ וּבְתוֹרָתוֹ יֶהְגֶּה יוֹמָם וָלָיְלָה ׃	ἀλλ᾿ ἢ ἐν τῷ νόμῳ Κυρίου τὸ θέλημα αὐτοῦ, καὶ ἐν τῷ νόμῳ αὐτοῦ μελετήσει ἡμέρας καὶ νυκτός.	sed in lege Domini voluntas eius et in lege eius meditabitur die ac nocte	sed in lege Domini voluntas ejus, et in lege ejus meditabitur die ac nocte.		But his delight is in the law of the Lord; and in his law doth he meditate day and night.
Ps	1	3	וְהָיָה כְּעֵץ שָׁתוּל עַל־פַּלְגֵי מָיִם אֲשֶׁר פִּרְיוֹ יִתֵּן בְּעִתּוֹ וְעָלֵהוּ לֹא־יִבּוֹל וְכֹל אֲשֶׁר־יַעֲשֶׂה יַצְלִיחַ ׃	καὶ ἔσται ὡς τὸ ξύλον τὸ πεφυτευμένον παρά τἀς διεξόδους τῶν ὑδάτων, ὃ τὸν καρπὸν αὐτοῦ δώσει ἐν καιρῷ αὐτοῦ, καὶ τὸ φύλλον αὐτοῦ οὐκ ἀπορρυήσεται· καὶ πάντα ὅσα ἂν ποιῇ κατευοδωθήσεται.	et erit tamquam lignum quod plantatum est secus decursus aquarum quod fructum suum dabit in tempore suo et folium eius non defluet et omnia quaecumque faciet prosperabuntur	Et erit tamquam lignum quod plantatum est secus decursus aquarum, quod fructum suum dabit in tempore suo: et folium ejus non defluet; et omnia qucumque faciet prosperabuntur.		And he shall be like a tree planted by the rivers of water, that bringeth forth his fruit in his season; his leaf also shall not wither; and whatsoever he doeth shall prosper.
Ps	1	4	לֹא־כֵן הָרְשָׁעִים כִּי אִם־כַּמֹּץ אֲשֶׁר־תִּדְּפֶנּוּ רוּחַ ׃	οὐχ οὕτως οἱ ἀσεβεῖς, οὐχ οὕτως, ἀλλʼ ἢ ὡς ὁ χνοῦς ὃν ἐκριπτεῖ ὁ ἄνεμος ἀπὸ προσώπου τῆς γῆς.	non sic impii non sic; sed tamquam pulvis quem proicit ventus a facie terrae;	Non sic impii, non sic; sed tamquam pulvis quem projicit ventus a facie terr.		The ungodly are not so: but are like the chaff which the wind driveth away.
Ps	1	5	עַל־כֵּן לֹא־יָקֻמוּ רְשָׁעִים בַּמִּשְׁפָּט וְחַטָּאִים בַּעֲדַת צַדִּיקִים ׃	διὰ τοῦτο οὐκ ἀναστήσονται οἱ ἀσεβεῖς ἐν κρίσει, οὐδέ ἁμαρτωλοὶ ἐν βουλῇ δικαίων·	ideo non resurgent impii in iudicio neque peccatores in consilio iustorum	Ideo non resurgent impii in judicio, neque peccatores in concilio justorum:		Therefore the ungodly shall not stand in the judgment, nor sinners in the congregation of the righteous.
Ps	1	6	כִּי־יוֹדֵעַ יְהוָה דֶּרֶךְ צַדִּיקִים וְדֶרֶךְ רְשָׁעִים תֹּאבֵד ׃	ὅτι γινώσκει Κύριος ὁδὸν δικαίων, καὶ ὁδὸς ἀσεβῶν ἀπολεῖται.	quoniam novit Dominus viam iustorum et iter impiorum peribit	quoniam novit Dominus viam justorum, et iter impiorum peribit.]		For the Lord knoweth the way of the righteous: but the way of the ungodly shall perish.
Ps	2	1	לָמָּה רָגְשׁוּ גוֹיִם וּלְאֻמִּים יֶהְגּוּ־רִיק ׃	Ἵνα τί ἐφρύαξαν ἔθνη, καὶ λαοὶ ἐμελέτησαν κενά ;	psalmus David quare fremuerunt gentes et populi meditati sunt inania	[Quare fremuerunt gentes, et populi meditati sunt inania?		Why do the heathen rage, and the people imagine a vain thing?
Ps	2	2	יִתְיַצְּבוּ מַלְכֵי־אֶרֶץ וְרוֹזְנִים נוֹסְדוּ־יָחַד עַל־יְהוָה וְעַל־מְשִׁיחוֹ ׃	παρέστησαν οἱ βασιλεῖς τῆς γῆς καὶ οἱ ἄρχοντες συνήχθησαν ἐπὶ τὸ αὐτὸ κατὰ τοῦ κυρίου καὶ κατὰ τοῦ χριστοῦ αὐτοῦ. διάψαλμα.	adstiterunt reges terrae et principes convenerunt in unum adversus Dominum et adversus christum eius diapsalma	Astiterunt reges terr, et principes convenerunt in unum adversus Dominum, et adversus christum ejus.		The kings of the earth set themselves, and the rulers take counsel together, against the Lord, and against his anointed, saying,
Ps	2	3	נְנַתְּקָה אֶת־מוֹסְרוֹתֵימוֹ וְנַשְׁלִיכָה מִמֶּנּוּ עֲבֹתֵימוֹ ׃	διαρρήξωμεν τοὺς δεσμοὺς αὐτῶν, καὶ ἀπορρίψωμεν ἀφʼ ἡμῶν τὸν ζυγὸν αὐτῶν.	disrumpamus vincula eorum et proiciamus a nobis iugum ipsorum	Dirumpamus vincula eorum, et projiciamus a nobis jugum ipsorum.		Let us break their bands asunder, and cast away their cords from us.
Ps	2	4	יוֹשֵׁב בַּשָּׁמַיִם יִשְׂחָק אֲדֹנָי יִלְעַג־לָמוֹ ׃	ὁ κατοικῶν ἐν οὐρανοῖς ἐκγελάσεται αὐτούς, καὶ ὁ κύριος ἐκμυκτηριεῖ αὐτοὺς.	qui habitat in caelis inridebit eos et Dominus subsannabit eos	Qui habitat in clis irridebit eos, et Dominus subsannabit eos.		He that sitteth in the heavens shall laugh: the Lord shall have them in derision.
