book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Rev	1	1			apocalypsis Iesu Christi quam dedit illi Deus palam facere servis suis quae oportet fieri cito et significavit mittens per angelum suum servo suo Iohanni	Apocalypsis Jesu Christi, quam dedit illi Deus palam facere servis suis, qu oportet fieri cito: et significavit, mittens per angelum suum servo suo Joanni,	αποκαλυψις ιησου χριστου ην εδωκεν αυτω ο θεος δειξαι τοις δουλοις αυτου α δει γενεσθαι εν ταχει και εσημανεν αποστειλας δια του αγγελου αυτου τω δουλω αυτου ιωαννη 	The Revelation of Jesus Christ, which God gave unto him, to shew unto his servants things which must shortly come to pass; and he sent and signified it by his angel unto his servant John:
Rev	1	2			qui testimonium perhibuit verbo Dei et testimonium Iesu Christi quaecumque vidit	qui testimonium perhibuit verbo Dei, et testimonium Jesu Christi, qucumque vidit.	ος εμαρτυρησεν τον λογον του θεου και την μαρτυριαν ιησου χριστου οσα τε ειδεν 	Who bare record of the word of God, and of the testimony of Jesus Christ, and of all things that he saw.
Rev	1	3			beatus qui legit et qui audiunt verba prophetiae et servant ea quae in ea scripta sunt tempus enim prope est	Beatus qui legit, et audit verba propheti hujus, et servat ea, qu in ea scripta sunt: tempus enim prope est.	μακαριος ο αναγινωσκων και οι ακουοντες τους λογους της προφητειας και τηρουντες τα εν αυτη γεγραμμενα ο γαρ καιρος εγγυς 	Blessed is he that readeth, and they that hear the words of this prophecy, and keep those things which are written therein: for the time is at hand.
Rev	1	4			Iohannes septem ecclesiis quae sunt in Asia gratia vobis et pax ab eo qui est et qui erat et qui venturus est et a septem spiritibus qui in conspectu throni eius sunt	Joannes septem ecclesiis, qu sunt in Asia. Gratia vobis, et pax ab eo, qui est, et qui erat, et qui venturus est: et a septem spiritibus qui in conspectu throni ejus sunt:	ιωαννης ταις επτα εκκλησιαις ταις εν τη ασια χαρις υμιν και ειρηνη απο του ο ων και ο ην και ο ερχομενος και απο των επτα πνευματων α εστιν ενωπιον του θρονου αυτου 	John to the seven churches which are in Asia: Grace be unto you, and peace, from him which is, and which was, and which is to come; and from the seven Spirits which are before his throne;
Rev	1	5			et ab Iesu Christo qui est testis fidelis primogenitus mortuorum et princeps regum terrae qui dilexit nos et lavit nos a peccatis nostris in sanguine suo	et a Jesu Christo, qui est testis fidelis, primogenitus mortuorum, et princeps regum terr, qui dilexit nos, et lavit nos a peccatis nostris in sanguine suo,	και απο ιησου χριστου ο μαρτυς ο πιστος ο πρωτοτοκος εκ των νεκρων και ο αρχων των βασιλεων της γης τω αγαπησαντι ημας και λουσαντι ημας απο των αμαρτιων ημων εν τω αιματι αυτου 	And from Jesus Christ, who is the faithful witness, and the first begotten of the dead, and the prince of the kings of the earth. Unto him that loved us, and washed us from our sins in his own blood,
Rev	1	6			et fecit nostrum regnum sacerdotes Deo et Patri suo ipsi gloria et imperium in saecula saeculorum amen	et fecit nos regnum, et sacerdotes Deo et Patri suo: ipsi gloria et imperium in scula sculorum. Amen.	και εποιησεν ημας βασιλεις και ιερεις τω θεω και πατρι αυτου αυτω η δοξα και το κρατος εις τους αιωνας των αιωνων αμην 	And hath made us kings and priests unto God and his Father; to him be glory and dominion for ever and ever. Amen.
Rev	1	7			ecce venit cum nubibus et videbit eum omnis oculus et qui eum pupugerunt et plangent se super eum omnes tribus terrae etiam amen	Ecce venit cum nubibus, et videbit eum omnis oculus, et qui eum pupugerunt. Et plangent se super eum omnes tribus terr. Etiam: amen.	ιδου ερχεται μετα των νεφελων και οψεται αυτον πας οφθαλμος και οιτινες αυτον εξεκεντησαν και κοψονται επ αυτον πασαι αι φυλαι της γης ναι αμην 	Behold, he cometh with clouds; and every eye shall see him, and they also which pierced him: and all kindreds of the earth shall wail because of him. Even so, Amen.
Rev	1	8			ego sum Alpha et Omega principium et finis dicit Dominus Deus qui est et qui erat et qui venturus est Omnipotens	Ego sum alpha et omega, principium et finis, dicit Dominus Deus: qui est, et qui erat, et qui venturus est, omnipotens.	εγω ειμι το α και το ω αρχη και τελος λεγει ο κυριος ο ων και ο ην και ο ερχομενος ο παντοκρατωρ 	I am Alpha and Omega, the beginning and the ending, saith the Lord, which is, and which was, and which is to come, the Almighty.
Rev	1	9			ego Iohannes frater vester et particeps in tribulatione et regno et patientia in Iesu fui in insula quae appellatur Patmos propter verbum Dei et testimonium Iesu	Ego Joannes frater vester, et particeps in tribulatione, et regno, et patientia in Christo Jesu: fui in insula, qu appellatur Patmos, propter verbum Dei, et testimonium Jesu:	εγω ιωαννης ο και αδελφος υμων και συγκοινωνος εν τη θλιψει και εν τη βασιλεια και υπομονη ιησου χριστου εγενομην εν τη νησω τη καλουμενη πατμω δια τον λογον του θεου και δια την μαρτυριαν ιησου χριστου 	I John, who also am your brother, and companion in tribulation, and in the kingdom and patience of Jesus Christ, was in the isle that is called Patmos, for the word of God, and for the testimony of Jesus Christ.
Rev	1	10			fui in spiritu in dominica die et audivi post me vocem magnam tamquam tubae	fui in spiritu in dominica die, et audivi post me vocem magnam tamquam tub,	εγενομην εν πνευματι εν τη κυριακη ημερα και ηκουσα οπισω μου φωνην μεγαλην ως σαλπιγγος 	I was in the Spirit on the Lord's day, and heard behind me a great voice, as of a trumpet,
Rev	1	11			dicentis quod vides scribe in libro et mitte septem ecclesiis Ephesum et Zmyrnam et Pergamum et Thyatiram et Sardis et Philadelphiam et Laodiciam	dicentis: Quod vides, scribe in libro: et mitte septem ecclesiis, qu sunt in Asia, Epheso, et Smyrn, et Pergamo, et Thyatir, et Sardis, et Philadelphi, et Laodici.	λεγουσης εγω ειμι το α και το ω ο πρωτος και ο εσχατος και ο βλεπεις γραψον εις βιβλιον και πεμψον ταις  επτα  εκκλησιαις ταις εν ασια εις εφεσον και εις σμυρναν και εις περγαμον και εις θυατειρα και εις σαρδεις και εις φιλαδελφειαν και εις λαοδικειαν 	Saying, I am Alpha and Omega, the first and the last: and, What thou seest, write in a book, and send it unto the seven churches which are in Asia; unto Ephesus, and unto Smyrna, and unto Pergamos, and unto Thyatira, and unto Sardis, and unto Philadelphia, and unto Laodicea.
Rev	1	12			et conversus sum ut viderem vocem quae loquebatur mecum et conversus vidi septem candelabra aurea	Et conversus sum ut viderem vocem, qu loquebatur mecum: et conversus vidi septem candelabra aurea:	και επεστρεψα βλεπειν την φωνην ητις ελαλησεν μετ εμου και επιστρεψας ειδον επτα λυχνιας χρυσας 	And I turned to see the voice that spake with me. And being turned, I saw seven golden candlesticks;
Rev	1	13			et in medio septem candelabrorum similem Filio hominis vestitum podere et praecinctum ad mamillas zonam auream	et in medio septem candelabrorum aureorum, similem Filio hominis vestitum podere, et prcinctum ad mamillas zona aurea:	και εν μεσω των επτα λυχνιων ομοιον υιω ανθρωπου ενδεδυμενον ποδηρη και περιεζωσμενον προς τοις μαστοις ζωνην χρυσην 	And in the midst of the seven candlesticks one like unto the Son of man, clothed with a garment down to the foot, and girt about the paps with a golden girdle.
Rev	1	14			caput autem eius et capilli erant candidi tamquam lana alba tamquam nix et oculi eius velut flamma ignis	caput autem ejus, et capilli erant candidi tamquam lana alba, et tamquam nix, et oculi ejus tamquam flamma ignis:	η δε κεφαλη αυτου και αι τριχες λευκαι ωσει εριον λευκον ως χιων και οι οφθαλμοι αυτου ως φλοξ πυρος 	His head and his hairs were white like wool, as white as snow; and his eyes were as a flame of fire;
Rev	1	15			et pedes eius similes orichalco sicut in camino ardenti et vox illius tamquam vox aquarum multarum	et pedes ejus similes auricalco, sicut in camino ardenti, et vox illius tamquam vox aquarum multarum:	και οι ποδες αυτου ομοιοι χαλκολιβανω ως εν καμινω πεπυρωμενοι και η φωνη αυτου ως φωνη υδατων πολλων 	And his feet like unto fine brass, as if they burned in a furnace; and his voice as the sound of many waters.
Rev	1	16			et habebat in dextera sua stellas septem et de ore eius gladius utraque parte acutus exiebat et facies eius sicut sol lucet in virtute sua	et habebat in dextera sua stellas septem: et de ore ejus gladius utraque parte acutus exibat: et facies ejus sicut sol lucet in virtute sua.	και εχων εν τη δεξια αυτου χειρι αστερας επτα και εκ του στοματος αυτου ρομφαια διστομος οξεια εκπορευομενη και η οψις αυτου ως ο ηλιος φαινει εν τη δυναμει αυτου 	And he had in his right hand seven stars: and out of his mouth went a sharp twoedged sword: and his countenance was as the sun shineth in his strength.
Rev	1	17			et cum vidissem eum cecidi ad pedes eius tamquam mortuus et posuit dexteram suam super me dicens noli timere ego sum primus et novissimus	Et cum vidissem eum, cecidi ad pedes ejus tamquam mortuus. Et posuit dexteram suam super me, dicens: Noli timere: ego sum primus, et novissimus,	και οτε ειδον αυτον επεσα προς τους ποδας αυτου ως νεκρος και επεθηκεν την δεξιαν αυτου χειρα επ εμε λεγων μοι μη φοβου εγω ειμι ο πρωτος και ο εσχατος 	And when I saw him, I fell at his feet as dead. And he laid his right hand upon me, saying unto me, Fear not; I am the first and the last:
Rev	1	18			et vivus et fui mortuus et ecce sum vivens in saecula saeculorum et habeo claves mortis et inferni	et vivus, et fui mortuus, et ecce sum vivens in scula sculorum: et habeo claves mortis, et inferni.	και ο ζων και εγενομην νεκρος και ιδου ζων ειμι εις τους αιωνας των αιωνων αμην και εχω τας κλεις του αδου και του θανατου 	I am he that liveth, and was dead; and, behold, I am alive for evermore, Amen; and have the keys of hell and of death.
Rev	1	19			scribe ergo quae vidisti et quae sunt et quae oportet fieri post haec	Scribe ergo qu vidisti, et qu sunt, et qu oportet fieri post hc.	γραψον α ειδες και α εισιν και α μελλει γινεσθαι μετα ταυτα 	Write the things which thou hast seen, and the things which are, and the things which shall be hereafter;
Rev	1	20			sacramentum septem stellarum quas vidisti in dextera mea et septem candelabra aurea septem stellae angeli sunt septem ecclesiarum et candelabra septem septem ecclesiae sunt	Sacramentum septem stellarum, quas vidisti in dextera mea, et septem candelabra aurea: septem stell, angeli sunt septem ecclesiarum: et candelabra septem, septem ecclesi sunt.	το μυστηριον των επτα αστερων ων ειδες επι της δεξιας μου και τας επτα λυχνιας τας χρυσας οι επτα αστερες αγγελοι των επτα εκκλησιων εισιν και αι επτα λυχνιαι ας ειδες επτα εκκλησιαι εισιν   	The mystery of the seven stars which thou sawest in my right hand, and the seven golden candlesticks. The seven stars are the angels of the seven churches: and the seven candlesticks which thou sawest are the seven churches.
Rev	2	1			angelo Ephesi ecclesiae scribe haec dicit qui tenet septem stellas in dextera sua qui ambulat in medio septem candelabrorum aureorum	Angelo Ephesi ecclesi scribe: Hc dicit, qui tenet septem stellas in dextera sua, qui ambulat in medio septem candelabrorum aureorum:	τω αγγελω της εφεσινης εκκλησιας γραψον ταδε λεγει ο κρατων τους επτα αστερας εν τη δεξια αυτου ο περιπατων εν μεσω των επτα λυχνιων των χρυσων 	Unto the angel of the church of Ephesus write; These things saith he that holdeth the seven stars in his right hand, who walketh in the midst of the seven golden candlesticks;
Rev	2	2			scio opera tua et laborem et patientiam tuam et quia non potes sustinere malos et temptasti eos qui se dicunt apostolos et non sunt et invenisti eos mendaces	Scio opera tua, et laborem, et patientiam tuam, et quia non potes sustinere malos: et tentasti eos, qui se dicunt apostolos esse, et non sunt: et invenisti eos mendaces:	οιδα τα εργα σου και τον κοπον σου και την υπομονην σου και οτι ου δυνη βαστασαι κακους και επειρασω τους φασκοντας ειναι αποστολους και ουκ εισιν και ευρες αυτους ψευδεις 	I know thy works, and thy labour, and thy patience, and how thou canst not bear them which are evil: and thou hast tried them which say they are apostles, and are not, and hast found them liars:
Rev	2	3			et patientiam habes et sustinuisti propter nomen meum et non defecisti	et patientiam habes, et sustinuisti propter nomen meum, et non defecisti.	και εβαστασας και υπομονην εχεις και δια το ονομα μου κεκοπιακας και ου κεκμηκας 	And hast borne, and hast patience, and for my name's sake hast laboured, and hast not fainted.
Rev	2	4			sed habeo adversus te quod caritatem tuam primam reliquisti	Sed habeo adversum te, quod caritatem tuam primam reliquisti.	αλλ εχω κατα σου οτι την αγαπην σου την πρωτην αφηκας 	Nevertheless I have somewhat against thee, because thou hast left thy first love.
Rev	2	5			memor esto itaque unde excideris et age paenitentiam et prima opera fac sin autem venio tibi et movebo candelabrum tuum de loco suo nisi paenitentiam egeris	Memor esto itaque unde excideris: et age pnitentiam, et prima opera fac: sin autem, venio tibi, et movebo candelabrum tuum de loco suo, nisi pnitentiam egeris.	μνημονευε ουν ποθεν εκπεπτωκας και μετανοησον και τα πρωτα εργα ποιησον ει δε μη ερχομαι σοι ταχει  ταχυ  και κινησω την λυχνιαν σου εκ του τοπου αυτης εαν μη μετανοησης 	Remember therefore from whence thou art fallen, and repent, and do the first works; or else I will come unto thee quickly, and will remove thy candlestick out of his place, except thou repent.
