book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Ruth	1	1	וַיְהִי בִּימֵי שְׁפֹט הַשֹּׁפְטִים וַיְהִי רָעָב בָּאָרֶץ וַיֵּלֶךְ אִישׁ מִבֵּית לֶחֶם יְהוּדָה לָגוּר בִּשְׂדֵי מוֹאָב הוּא וְאִשְׁתּוֹ וּשְׁנֵי בָנָיו ׃	ΚΑΙ ἐγένετο ἐν τῷ κρίνειν τοὺς κριτὰς καὶ ἐγένετο λιμὸς ἐν τῆ γῆ· καὶ ἐπορεύθη ἀνὴρ ἀπὸ Βαιθλέεμ τῆς ᾿Ιούδα τοῦ παροικῆσαι ἐν ἀγρῷ Μωάβ, αὐτὸς καὶ ἡ γυνὴ αὐτοῦ καὶ οἱ υἱοὶ αὐτοῦ.	in diebus unius iudicis quando iudices praeerant facta est fames in terra abiitque homo de Bethleem Iuda ut peregrinaretur in regione moabitide cum uxore sua ac duobus liberis	In diebus unius judicis, quando judices prerant, facta est fames in terra. Abiitque homo de Bethlehem Juda, ut peregrinaretur in regione Moabitide cum uxore sua ac duobus liberis.		Now it came to pass in the days when the judges ruled, that there was a famine in the land. And a certain man of Bethlehemjudah went to sojourn in the country of Moab, he, and his wife, and his two sons.
Ruth	1	2	וְשֵׁם הָאִישׁ אֱלִימֶלֶךְ וְשֵׁם אִשְׁתּוֹ נָעֳמִי וְשֵׁם שְׁנֵי־בָנָיו מַחְלוֹן וְכִלְיוֹן אֶפְרָתִים מִבֵּית לֶחֶם יְהוּדָה וַיָּבֹאוּ שְׂדֵי־מוֹאָב וַיִּהְיוּ־שָׁם ׃	καὶ ὄνομα τῷ ἀνδρὶ ᾿Αβειμέλεχ, καὶ ὄνομα τοῖς δυσὶν υἱοῖς αὐτοῦ Μααλὼν καὶ ών, ᾿Εφραθαῖοι ἐκ Βαιθλέεμ τῆς Ἰούδα· καὶ ἥλθοσαν εἰς ἀγρὸν καὶ ἦσαν ἐκεῖ.	ipse vocabatur Helimelech uxor eius Noemi e duobus filiis alter Maalon et alter Chellion Ephrathei de Bethleem Iuda ingressique regionem moabitidem morabantur ibi	Ipse vocabatur Elimelech, et uxor ejus Nomi: et duo filii, alter Mahalon, et alter Chelion, Ephrathi de Bethlehem Juda. Ingressique regionem Moabitidem, morabantur ibi.		And the name of the man was Elimelech, and the name of his wife Naomi, and the name of his two sons Mahlon and Chilion, Ephrathites of Bethlehemjudah. And they came into the country of Moab, and continued there.
Ruth	1	3	וַיָּמָת אֱלִימֶלֶךְ אִישׁ נָעֳמִי וַתִּשָּׁאֵר הִיא וּשְׁנֵי בָנֶיהָ ׃	καὶ ἀπέθανεν ᾿Αβειμέλεχ ὁ ἀνὴρ τῆς Νωεμείν, καὶ κατελείφθη αὕτη καὶ οἱ δύο υἱοὶ αὐτῆς.	et mortuus est Helimelech maritus Noemi remansitque ipsa cum filiis	Et mortuus est Elimelech maritus Nomi: remansitque ipsa cum filiis.		And Elimelech Naomi's husband died; and she was left, and her two sons.
Ruth	1	4	וַיִּשְׂאוּ לָהֶם נָשִׁים מֹאֲבִיּוֹת שֵׁם הָאַחַת עָרְפָּה וְשֵׁם הַשֵּׁנִית רוּת וַיֵּשְׁבוּ שָׁם כְּעֶשֶׂר שָׁנִים ׃	καὶ ἐλάβοσαν ἑαυτοῖς γυναῖκας Μωαβείτιδας· ὄνομα τῇ μιᾷ ᾿Ορφά, καὶ ὄνομα τῇ δευτέρᾳ ῾Ρούθ· καὶ κατῴκησαν ἐκεῖ ὡς δέκα ἔτη.	qui acceperunt uxores moabitidas quarum una vocabatur Orpha altera Ruth manseruntque ibi decem annis	Qui acceperunt uxores Moabitidas, quarum una vocabatur Orpha, altera vero Ruth. Manseruntque ibi decem annis,		And they took them wives of the women of Moab; the name of the one was Orpah, and the name of the other Ruth: and they dwelled there about ten years.
Ruth	1	5	וַיָּמוּתוּ גַם־שְׁנֵיהֶם מַחְלוֹן וְכִלְיוֹן וַתִּשָּׁאֵר הָאִשָּׁה מִשְּׁנֵי יְלָדֶיהָ וּמֵאִישָׁהּ ׃	καὶ ἀπέθανον καί γε ἀμφότεροι, Μααλὼν καὶ Χελαιών· καὶ κατελείφθη ἡ γυνὴ ἀπὸ τοῦ ἀνδρὸς αὐτῆς καὶ ἀπὸ τῶν δύο υἱῶν αὐτῆς.	et ambo mortui sunt Maalon videlicet et Chellion remansitque mulier orbata duobus liberis ac marito	et ambo mortui sunt, Mahalon videlicet et Chelion: remansitque mulier orbata duobus liberis ac marito.		And Mahlon and Chilion died also both of them; and the woman was left of her two sons and her husband.
Ruth	1	6	וַתָּקָם הִיא וְכַלֹּתֶיהָ וַתָּשָׁב מִשְּׂדֵי מוֹאָב כִּי שָׁמְעָה בִּשְׂדֵה מוֹאָב כִּי־פָקַד יְהוָה אֶת־עַמּוֹ לָתֵת לָהֶם לָחֶם ׃	Καὶ ἀνέστη αὕτη καὶ αἱ δύο νύμφαι αὐτῆς καὶ ἀπέστρεψαν ἐξ ἀγροῦ Μωάβ, ὅτι ἤκουσαν ἐν ἀγρῷ Μωὰβ ὅτι ᾿Επέσκεπται Κύριος τὸν λαὸν αὐτοῦ, δοῦναι αὐτοῖς ἄρτους.	et surrexit ut in patriam pergeret cum utraque nuru sua de regione moabitide audierat enim quod respexisset Dominus populum suum et dedisset eis escas	Et surrexit ut in patriam pergeret cum utraque nuru sua de regione Moabitide: audierat enim quod respexisset Dominus populum suum, et dedisset eis escas.		Then she arose with her daughters in law, that she might return from the country of Moab: for she had heard in the country of Moab how that the Lord had visited his people in giving them bread.
Ruth	1	7	וַתֵּצֵא מִן־הַמָּקוֹם אֲשֶׁר הָיְתָה־שָׁמָּה וּשְׁתֵּי כַלֹּתֶיהָ עִמָּהּ וַתֵּלַכְנָה בַדֶּרֶךְ לָשׁוּב אֶל־אֶרֶץ יְהוּדָה ׃	καὶ ἐξῆλθεν ἐκ τοῦ τόπου οὗ ἦν ἐκεῖ, καὶ αἱ δύο νύμφαι αὐτῆς μετ᾿ αὐτῆς· καὶ ἐπορεύοντο ἐν τῇ ὁδῷ τοῦ ἐπιστρέψαι εἰς τὴν γῆν Ἰούδα.	egressa est itaque de loco peregrinationis suae cum utraque nuru et iam in via posita revertendi in terram Iuda	Egressa est itaque de loco peregrinationis su, cum utraque nuru: et jam in via revertendi posita in terram Juda,		Wherefore she went forth out of the place where she was, and her two daughters in law with her; and they went on the way to return unto the land of Judah.
Ruth	1	8	וַתֹּאמֶר נָעֳמִי לִשְׁתֵּי כַלֹּתֶיהָ לֵכְנָה שֹּׁבְנָה אִשָּׁה לְבֵית אִמָּהּ יַעֲשֶׂה יְהוָה עִמָּכֶם חֶסֶד כַּאֲשֶׁר עֲשִׂיתֶם עִם־הַמֵּתִים וְעִמָּדִי ׃	καὶ εἶπεν Νωεμεὶν ταῖς νύμφαις αὐτῆς Πορεύεσθε δή, ἀποστράφητε ἑκάστη εἰς οἶκον μητρὸς αὐτῆς· ποιήσαι κύριος μεθ’ ὑμῶν ἔλεος, καθὼς ἐποιήσατε μετὰ τῶν τεθνηκότων καὶ μετ’ ἐμοῦ·	dixit ad eas ite in domum matris vestrae faciat Dominus vobiscum misericordiam sicut fecistis cum mortuis et mecum	dixit ad eas: Ite in domum matris vestr: faciat vobiscum Dominus misericordiam, sicut fecistis cum mortuis, et mecum.		And Naomi said unto her two daughters in law, Go, return each to her mother's house: the Lord deal kindly with you, as ye have dealt with the dead, and with me.
Ruth	1	9	יִתֵּן יְהוָה לָכֶם וּמְצֶאןָ מְנוּחָה אִשָּׁה בֵּית אִישָׁהּ וַתִּשַּׁק לָהֶן וַתִּשֶּׂאנָה קוֹלָן וַתִּבְכֶּינָה ׃	δῴη κύριος ὑμῖν καὶ εὕροιτε ἀνάπαυσιν, ἑκάστη ἐν οἴκῳ ἀνδρὸς αὐτῆς. καὶ κατεφίλησεν αὐτάς· καὶ ἐπῆραν τὴν φωνὴν αὐτῶν καὶ ἔκλαυσαν.	det vobis invenire requiem in domibus virorum quos sortiturae estis et osculata est eas quae elevata voce flere coeperunt	Det vobis invenire requiem in domibus virorum quos sortitur estis. Et osculata est eas. Qu elevata voce flere cperunt,		The Lord grant you that ye may find rest, each of you in the house of her husband. Then she kissed them; and they lifted up their voice, and wept.
Ruth	1	10	וַתֹּאמַרְנָה־לָּהּ כִּי־אִתָּךְ נָשׁוּב לְעַמֵּךְ ׃	καὶ εἶπαν αὐτῇ Μετὰ σοῦ ἐπιστρέφομεν εἰς τὸν λαόν σου.	et dicere tecum pergemus ad populum tuum	et dicere: Tecum pergemus ad populum tuum.		And they said unto her, Surely we will return with thee unto thy people.
