book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Sir	0	0		προλοΓοϲ ΠΟΛΛΩΝ καὶ μεγάλων ἡμῖν διὰ τοῦ νόμου καὶ τῶν προφητῶν καὶ τῶν ἄλλων τῶν κατʼ αὐτούς ἠκολουθηκότων δεδομένων, ὑπὲρ ὧν δέον ἐστὶν ἐπαινεῖν τὸν Ἰσραὴλ παιδείας καὶ σοφίας· καὶ ὡς οὐ μόνον αὐτοὺς τοὺς ἀναγινώσκοντας δέον ἐστὶν ἐπιστήμονας γίνεσθαι, ἀλλὰ καὶ τοῖς ἐκτὸς δύνασθαι τοὺς φιλομαθοῦντας χρησίμους εἴψαι καὶ λέγοντας καὶ γράφοντας· ὁ πάππος μου Ἰησοῦς ἐπὶ πλεῖὸν ἑαυτὸν δοὺς εἴς τε τὴν τοῦ νόμου καὶ τῶν προφητῶν καὶ τῶν ἄλλων πατρίων βιβλίων ἀνάγνωσιν, καὶ ἐν τούτοις ἱκανὴν ἔξιν περιποιησάμενος, προήχθη καὶ αὐτὸς συγγράψαι τι τῶν εἰς παιδείαν καὶ σοφίαν ἀνηκόντων, ὅπως οἱ φιλομαθεῖς καὶ τούτων ἔνοχοι γενόμενοι πολλῷ μᾶλλον ἐπιπροσθῶσιν διὰ τῆς ἐννόμου βιώσεως. παρακέκλησθε οὖν μετʼ εὐνοίας καΣ προσοχῆς τὴν ἀνάγνωσιν ποιεῖσθαι, καὶ συγγνώμην ἔχειν ἐφʼ οἰς ἂν δοκῶμεν τῶν κατὰ τὴν ἐρμηνείαν πεφιλοπονημένων τισὶν τῶν λέξεων ἀδυ. ναμεῖν· οὐ γὰρ ἰσοδυναμεῖ αὐτὰ ἐν ἑαυτοῖς Ἐβραιστὶ λεγόμενα καὶ ὅταν μεταχθῇ εἰς ἑτέραν γλῶσσαν· οὐ μόνον δὲ ταῦτα, ἀλλὰ καὶ αὐτὸς ὁ νόμος καὶ αἱ προφητεῖαι καὶ τὰ λοιπὰ τῶν βιβλίων οὐ μικρὰν ἔχει τὴν διαφορὰν ἐν ἑαυτοῖς λεγόμενα. ἐν γὰρ τῷ ὁγδόῳ καὶ τριακοστῷ ἔτει ἐπὶ τοῦ Εὐεργέτου βασιλέως παραγενηθεὶς εἰς Αἴγυπτον καὶ συνχρονίσας, εὑρον οὐ μικρᾶς παιδείας ἀφόμοιον. ἀναγκαιότατον ἐθέμην αὐτὸς προσενέγκασθαί τινα σπουδὴν καὶ φιλοπονίαν τοῦ μεθερμηνεῦσαι τήνδε τὴν βίβλον· πολλὴν γὰρ ἀγρυπνίαν καὶ ἐπιστήμην προσενεγκάμενος ἐν τῷ διαστῆματι τοῦ χρόνου πρὸς τὸ ἐπὶ πέρας ἄγοντα τὸ βιβλίον ἐκδοσθαι καὶ τοῖς ἐν τῇ παροικίᾳ βουλομένοις φιλομαθεῖν, προκατασκευαζομένους τὰ ἤθη ἐν νόμῳ βιωτεύειν.				
Sir	1	1		ΠΑΣA σοφία παρὰ Κυρίου, καὶ μετʼ αὐτοῦ ἐστιν εἰς τὸν αἰῶνα.				
Sir	1	2		ἄμμον θαλασσῶν καὶ σταγόνας ὑετοῦ καὶ ἡμέρας αἰῶνος τίς ἐξαριθμήσει ;				
Sir	1	3		ὕψος οὐρανοῦ καὶ πλάτος γῆς καὶ ἄβυσσον καὶ σοφίαυ τίς ἐξιχνιάσει ;				
Sir	1	4		προτέρα πάντων ἔκτισται σοφία, καὶ σύνεσις φρονήσεως ἐξ αἰῶνυς.				
Sir	1	6		ῥίζα σοφίας τίνι ἀπεκαλύφθη; καὶ τὰ πανουργεύματα αὐτῆς τίς ἔγνω;				
Sir	1	7		εἷς ἐστὶν σοφός, φοβερὸς σφόδρα, καθήμενος ἐπὶ τοῦ θρόνου αὐτοῦ.				
Sir	1	9		Κύριος ⁹αὐτὸς ἔκτισεν αὐτήν, καὶ ἴδεν καὶ ἐξηρίθμησεν αὐτήν, (10)καὶ ἐξέχεεν αὐτὴν ἐπὶ πάντα τὰ ἔργα αὐτοῦ,				
Sir	1	10		μετὰ πάσης σαρκὸς κατὰ τὴν δόσιν αὐτοῦ, καὶ ἐχορήγησεν αὐτὴν τοῖς ἀγαπῶσιν αὐτόν.				
Sir	1	11		φόβος Κυρίου δόξα καὶ καύχημα καὶ εὐφροσύνη καὶ στέφανος ἀγαλλιάματος.				
