book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Song	1	1	אֲנִי חֲבַצֶּלֶת הַשָּׁרוֹן שׁוֹשַׁנַּת הָעֲמָקִים ׃	ΑΣΜΑ ἀσμάτων, ὅ ἐστιν τῷ Σαλωμών.	osculetur me osculo oris sui quia meliora sunt ubera tua vino	[ Sponsa Osculetur me osculo oris sui; quia meliora sunt ubera tua vino,		The song of songs, which is Solomon's.
Song	1	2	כְּשׁוֹשַׁנָּה בֵּין הַחוֹחִים כֵּן רַעְיָתִי בֵּין הַבָּנוֹת ׃	Φιλησάτω με ἀπὸ φιλημάτων στόματος αὐτοῦ· ὅτι ἀγαθοὶ μαστοί σου ὑπὲρ οἶνον,	fraglantia unguentis optimis oleum effusum nomen tuum ideo adulescentulae dilexerunt te	fragrantia unguentis optimis. Oleum effusum nomen tuum; ideo adolescentul dilexerunt te.		Let him kiss me with the kisses of his mouth: for thy love is better than wine.
Song	1	3	כְּתַפּוּחַ בַּעֲצֵי הַיַּעַר כֵּן דּוֹדִי בֵּין הַבָּנִים בְּצִלּוֹ חִמַּדְתִּי וְיָשַׁבְתִּי וּפִרְיוֹ מָתוֹק לְחִכִּי ׃	³καὶ ὀσμὴ μύρων σου ὑπέρ πάντα τὰ 3 ἀρώματα· μύρον ἐκκενωθὲν ὄνομά σου. διὰ τοῦτο νεάνιδες ἠγάπησάν σε,	trahe me post te curremus introduxit me rex in cellaria sua exultabimus et laetabimur in te memores uberum tuorum super vinum recti diligunt te	Chorus Adolescentularum Trahe me, post te curremus in odorem unguentorum tuorum. Introduxit me rex in cellaria sua; exsultabimus et ltabimur in te, memores uberum tuorum super vinum. Recti diligunt te.		Because of the savour of thy good ointments thy name is as ointment poured forth, therefore do the virgins love thee.
Song	1	4	הֱבִיאַנִי אֶל־בֵּית הַיָּיִן וְדִגְלוֹ עָלַי אַהֲבָה ׃	εἴλκυσάν σε· ὀπίσω σου εἰς ὀσμὴν μύρσων σου δραμομεν. εἰσήνεγκέν με ὁ βασιλεὺς εἰς τὸ ταμεῖον αὐτοῦ. ἀγαλλιασώμεθα καὶ εὐφρανθῶμεν ἐν σοί· ἀγαπήσομεν μαστούς σου ὑπὲρ οἶνον· εὐθύτης ἠγάπησέν σε.	nigra sum sed formonsa filiae Hierusalem sicut tabernacula Cedar sicut pelles Salomonis	Sponsa Nigra sum, sed formosa, fili Jerusalem, sicut tabernacula Cedar, sicut pelles Salomonis.		Draw me, we will run after thee: the king hath brought me into his chambers: we will be glad and rejoice in thee, we will remember thy love more than wine: the upright love thee.
Song	1	5	סַמְּכוּנִי בָּאֲשִׁישׁוֹת רַפְּדוּנִי בַּתַּפּוּחִים כִּי־חוֹלַת אַהֲבָה אָנִי ׃	Μέλαινά εἰμι καὶ καλή, θυγατέρες Ἰσραήλ, ὡς σκηνώματα Κηδάρ, ὡς δέρρις Σαλωμών.	nolite me considerare quod fusca sim quia decoloravit me sol filii matris meae pugnaverunt contra me posuerunt me custodem in vineis vineam meam non custodivi	Nolite me considerare quod fusca sim, quia decoloravit me sol. Filii matris me pugnaverunt contra me; posuerunt me custodem in vineis: vineam meam non custodivi.		I am black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.
Song	1	6	שְׂמֹאלוֹ תַּחַת לְרֹאשִׁי וִימִינוֹ תְּחַבְּקֵנִי ׃	μὴ βλέψητέ με, ὅτι ἐγώ εἰμι μεμελανωμένη, ὅτι παρέβλεψέν με ὁ ἥλιος· υἱοὶ μητρός μου ἐμαχέσαντο ἐν ἐμοί, ἔθεντό με φυλάκισσαν ἐν ἀμπελῶσιν· ἀμπελῶνα ἐμὸν οὐκ ἐφύλαξα.	indica mihi quem diligit anima mea ubi pascas ubi cubes in meridie ne vagari incipiam per greges sodalium tuorum	Indica mihi, quem diligit anima mea, ubi pascas, ubi cubes in meridie, ne vagari incipiam post greges sodalium tuorum.		Look not upon me, because I am black, because the sun hath looked upon me: my mother's children were angry with me; they made me the keeper of the vineyards; but mine own vineyard have I not kept.
Song	1	7	הִשְׁבַּעְתִּי אֶתְכֶם בְּנוֹת יְרוּשָׁלַםִ בִּצְבָאוֹת אוֹ בְּאַיְלוֹת הַשָּׂדֶה אִם־תָּעִירוּ וְאִם־תְּעוֹרְרוּ אֶת־הָאַהֲבָה עַד שֶׁתֶּחְפָּץ ׃ ס	ἀπάγγειλόν μοι, ὃν ἠγάπησεν ἡ ψυχή μου. ποῦ ποιμαίνεις, ποῦ κοιτάζεις ἐν μεσημβρίᾳ, μή ποτε γένωμαι ὡς περιβαλλομένη ἐπʼ ἀγέλας ἑταίρων σου.	si ignoras te o pulchra inter mulieres egredere et abi post vestigia gregum et pasce hedos tuos iuxta tabernacula pastorum	Sponsus Si ignoras te, o pulcherrima inter mulieres, egredere, et abi post vestigia gregum, et pasce hdos tuos juxta tabernacula pastorum.		Tell me, O thou whom my soul loveth, where thou feedest, where thou makest thy flock to rest at noon: for why should I be as one that turneth aside by the flocks of thy companions?
Song	1	8	קוֹל דּוֹדִי הִנֵּה־זֶה בָּא מְדַלֵּג עַל־הֶהָרִים מְקַפֵּץ עַל־הַגְּבָעוֹת ׃	Ἐὰν μὴ γνῷς σεαυτήν, ἡ καλὴ ἐν γυναιξίν, ἔξελθε οὺ ἐν πτέρναις τῶν ποιμνίων, καὶ ποίμαινε τὰς ἐρίφους σου ἐπὶ σκηνώμασιν τῶν ποιμένων.	equitatui meo in curribus Pharaonis adsimilavi te amica mea	Equitatui meo in curribus Pharaonis assimilavi te, amica mea.		If thou know not, O thou fairest among women, go thy way forth by the footsteps of the flock, and feed thy kids beside the shepherds' tents.
Song	1	9	דּוֹמֶה דוֹדִי לִצְבִי אוֹ לְעֹפֶר הָאַיָּלִים הִנֵּה־זֶה עוֹמֵד אַחַר כָּתְלֵנוּ מַשְׁגִּיחַ מִן־הַחֲלֹּנוֹת מֵצִיץ מִן־הַחֲרַכִּים ׃	Τῇ ἵππῳ μου ἐν ἅρμασιν Φαραὼ ὡμοἰωσά σε, ἡ πλησίον μου.	pulchrae sunt genae tuae sicut turturis collum tuum sicut monilia	Pulchr sunt gen tu sicut turturis; collum tuum sicut monilia.		I have compared thee, O my love, to a company of horses in Pharaoh's chariots.
Song	1	10	עָנָה דוֹדִי וְאָמַר לִי קוּמִי לָךְ רַעְיָתִי יָפָתִי וּלְכִי־לָךְ ׃	τί ὡραιώθησαν σιαγόνες σου ὡς τρυγόνες, τράχηλός σου ὡς ὁρμίσκοις	murenulas aureas faciemus tibi vermiculatas argento	Murenulas aureas faciemus tibi, vermiculatas argento.		Thy cheeks are comely with rows of jewels, thy neck with chains of gold.
