book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Zech	1	1	בַּחֹדֶשׁ הַשְּׁמִינִי בִּשְׁנַת שְׁתַּיִם לְדָרְיָוֶשׁ הָיָה דְבַר־יְהוָה אֶל־זְכַרְיָה בֶּן־בֶּרֶכְיָה בֶּן־עִדּוֹ הַנָּבִיא לֵאמֹר ׃	ΕΝ τῷ ὀγδόῳ μηνὶ ἔτους δευτέρου ἐπὶ Δαρείου ἐγένετο λόγος Κυρίου πρὸς Ζαχαρίαν τὸν τοῦ Βαραχίου υἱὸν Ἀδδὼ τὸν προφήτην λέγων	in mense octavo in anno secundo Darii factum est verbum Domini ad Zacchariam filium Barachiae filium Addo prophetam dicens	In mense octavo, in anno secundo Darii regis, factum est verbum Domini ad Zachariam filium Barachi filii Addo prophetam, dicens:		In the eighth month, in the second year of Darius, came the word of the Lord unto Zechariah, the son of Berechiah, the son of Iddo the prophet, saying,
Zech	1	2	קָצַף יְהוָה עַל־אֲבוֹתֵיכֶם קָצֶף ׃	Ὠργίσθη Κύριος ἐπὶ τοὺς πατέρας ὑμῶν ὀργὴν μεγάλην.	iratus est Dominus super patres vestros iracundia	Iratus est Dominus super patres vestros iracundia.		The Lord hath been sore displeased with your fathers.
Zech	1	3	וְאָמַרְתָּ אֲלֵהֶם כֹּה אָמַר יְהוָה צְבָאוֹת שׁוּבוּ אֵלַי נְאֻם יְהוָה צְבָאוֹת וְאָשׁוּב אֲלֵיכֶם אָמַר יְהוָה צְבָאוֹת ׃	καὶ ἐρεῖς πρὸς αὐτούς Τάδε λέγει Κύριος Παντοκράτωρ Ἐπιστρέψατε πρὸς μέ, λέγει Κύριος τῶν δυυάμεων, καὶ ἐπιστραφήσομαι πρὸς ὑμᾶς, λέγει Κύριος τῶν δυνάμεων.	et dices ad eos haec dicit Dominus exercituum convertimini ad me ait Dominus exercituum et convertar ad vos dicit Dominus exercituum	Et dices ad eos: [Hc dicit Dominus exercituum: Convertimini ad me, ait Dominus exercituum, et convertar ad vos, dicit Dominus exercituum.		Therefore say thou unto them, Thus saith the Lord of hosts; Turn ye unto me, saith the Lord of hosts, and I will turn unto you, saith the Lord of hosts.
Zech	1	4	אַל־תִּהְיוּ כַאֲבֹתֵיכֶם אֲשֶׁר קָרְאוּ־אֲלֵיהֶם הַנְּבִיאִים הָרִאשֹׁנִים לֵאמֹר כֹּה אָמַר יְהוָה צְבָאוֹת שׁוּבוּ נָא מִדַּרְכֵיכֶם הָרָעִים וּמַעֲלִילֵיכֶם הָרָעִים וְלֹא שָׁמְעוּ וְלֹא־הִקְשִׁיבוּ אֵלַי נְאֻם־יְהוָה ׃	καὶ μὴ γίνεσθε καθὼς οἱ πατέρες ὑμῶν, οἷς ἐνεκάλεσαν αὐτοῖς οἱ προφῆται ἔμπροσθεν λέγοντες Τάδε λέγει Κύριος Παντοκράτωρ Ἀποστρέψατε ἀπὸ τῶν ὁδῶν ὑμῶν τῶν πονηρῶν καὶ ἀπὸ τῶυ ἐπιτηδευμάτων ὑμῶν τῶν πονηρῶν· καὶ οὐκ εἰσήκουσαν, καὶ οὐ προσέσχον τοῦ εἰσακοῦσαί μου, λέγει Κύριος.	ne sitis sicut patres vestri ad quos clamabant prophetae priores dicentes haec dicit Dominus exercituum convertimini de viis vestris malis et cogitationibus vestris pessimis et non audierunt neque adtenderunt ad me dicit Dominus	Ne sitis sicut patres vestri, ad quos clamabant prophet priores, dicentes: Hc dicit Dominus exercituum: Convertimini de viis vestris malis, et de cogitationibus vestris pessimis: et non audierunt, neque attenderunt ad me, dicit Dominus.		Be ye not as your fathers, unto whom the former prophets have cried, saying, Thus saith the Lord of hosts; Turn ye now from your evil ways, and from your evil doings: but they did not hear, nor hearken unto me, saith the Lord.
Zech	1	5	אֲבוֹתֵיכֶם אַיֵּה־הֵם וְהַנְּבִאִים הַלְעוֹלָם יִחְיוּ ׃	οἱ πατέρες ὑμῶν, ποῦ εἰσιν; καὶ οἱ προφῆται, μὴ τὸν αἰῶνα ζήσονται;	patres vestri ubi sunt et prophetae numquid in sempiternum vivent	Patres vestri, ubi sunt? et prophet numquid in sempiternum vivent?		Your fathers, where are they? and the prophets, do they live for ever?
Zech	1	6	אַךְ דְּבָרַי וְחֻקַּי אֲשֶׁר צִוִּיתִי אֶת־עֲבָדַי הַנְּבִיאִים הֲלוֹא הִשִּׂיגוּ אֲבֹתֵיכֶם וַיָּשׁוּבוּ וַיֹּאמְרוּ כַּאֲשֶׁר זָמַם יְהוָה צְבָאוֹת לַעֲשׂוֹת לָנוּ כִּדְרָכֵינוּ וּכְמַעֲלָלֵינוּ כֵּן עָשָׂה אִתָּנוּ ׃ ס	πλὴν τοὺς λόγους μου καὶ τὰ νόμιμά μου δέχεσθε, ὅσα ἐγὼ ἐντέλλομαι ἐν πνεύματί μου τοῖς δούλοις μου τοῖς προφήταις, οἳ κατελάβοσαν τοὺς πατέρας ὑμῶν. καὶ ἀπεκρίθησαν καὶ εἶπαν Καθὼς παρατέτακται Κύριος Παντοκράτωρ τοῦ ποινῆσαι ἡμῖν κατὰ τὰς ὁδοὺς ἡμῶν καὶ κατὰ τὰ ἐπιτηδεύματα ἡμῶν, οὕτως ἐποίησεν ἡμῖν.	verumtamen verba mea et legitima mea quae mandavi servis meis prophetis numquid non conprehenderunt patres vestros et conversi sunt et dixerunt sicut cogitavit Dominus exercituum facere nobis secundum vias nostras et secundum adinventiones nostras fecit nobis	Verumtamen verba mea, et legitima mea, qu mandavi servis meis prophetis, numquid non comprehenderunt patres vestros, et conversi sunt, et dixerunt: Sicut cogitavit Dominus exercituum facere nobis secundum vias nostras, et secundum adinventiones nostras, fecit nobis?]		But my words and my statutes, which I commanded my servants the prophets, did they not take hold of your fathers? and they returned and said, Like as the Lord of hosts thought to do unto us, according to our ways, and according to our doings, so hath he dealt with us.
Zech	1	7	בְּיוֹם עֶשְׂרִים וְאַרְבָּעָה לְעַשְׁתֵּי־עָשָׂר חֹדֶשׁ הוּא־חֹדֶשׁ שְׁבָט בִּשְׁנַת שְׁתַּיִם לְדָרְיָוֶשׁ הָיָה דְבַר־יְהוָה אֶל־זְכַרְיָה בֶּן־בֶּרֶכְיָהוּ בֶּן־עִדּוֹא הַנָּבִיא לֵאמֹר ׃	Τῇ τετράδι καὶ εἰκάδι τῷ ἑνδεκάτῳ μηνί, οὗτός ἐστιν ὁ μὴν Σαβάτ, ἐν τῷ δευτέρῳ ἔτει ἐπὶ Δαρείου ἐγένετο λόγος Κυρίου πρὸς Ζαχαρίαν τὸν τοῦ Βαραχίου υἱὸν Ἀδδὼ τὸν προφήτην λέγων	in die vicesima et quarta undecimo mense sabath in anno secundo Darii factum est verbum Domini ad Zacchariam filium Barachiae filium Addo prophetam dicens	In die vigesima et quarta undecimi mensis Sabath, in anno secundo Darii, factum est verbum Domini ad Zachariam filium Barachi filii Addo prophetam, dicens:		Upon the four and twentieth day of the eleventh month, which is the month Sebat, in the second year of Darius, came the word of the Lord unto Zechariah, the son of Berechiah, the son of Iddo the prophet, saying,
Zech	1	8	רָאִיתִי הַלַּיְלָה וְהִנֵּה־אִישׁ רֹכֵב עַל־סוּס אָדֹם וְהוּא עֹמֵד בֵּין הַהֲדַסִּים אֲשֶׁר בַּמְּצֻלָה וְאַחֲרָיו סוּסִים אֲדֻמִּים שְׂרֻקִּים וּלְבָנִים ׃	Ἑόρακα τὴν νύκτα, καὶ ἰδοὺ ἀνήρ ἐπιβεβηκὼς ἐπὶ ἵππον πυρρόν, καὶ οὗτος ἱστήκει ἀνὰ μέσον τῶν ὀρέων τῶν κατασκίων, καὶ ὀπίσω αὐτοῦ ἵπποι πυρροὶ καὶ ψαροὶ καὶ ποικίλοι καὶ λευκοί.	vidi per noctem et ecce vir ascendens super equum rufum et ipse stabat inter myrteta quae erant in profundo et post eum equi rufi varii et albi	Vidi per noctem, et ecce vir ascendens super equum rufum, et ipse stabat inter myrteta, qu erant in profundo, et post eum equi rufi, varii, et albi.		I saw by night, and behold a man riding upon a red horse, and he stood among the myrtle trees that were in the bottom; and behind him were there red horses, speckled, and white.
Zech	1	9	וָאֹמַר מָה־אֵלֶּה אֲדֹנִי וַיֹּאמֶר אֵלַי הַמַּלְאָךְ הַדֹּבֵר בִּי אֲנִי אַרְאֶךָּ מָה־הֵמָּה אֵלֶּה ׃	καὶ εἶπα Τί οὗτοι, κύριε ; καὶ εἶπεν πρὸς μέ ὁ ἄγγελος ὁ λαλῶν ἐν ἐμοί Ἐγὼ δείξω σοι τί ἐστιν ταῦτα.	et dixi quid sunt isti domine mi et dixit ad me angelus qui loquebatur in me ego ostendam tibi quid sint haec	Et dixi: Quid sunt isti, domine mi? Et dixit ad me angelus qui loquebatur in me: Ego ostendam tibi quid sint hc.		Then said I, O my lord, what are these? And the angel that talked with me said unto me, I will shew thee what these be.
Zech	1	10	וַיַּעַן הָאִישׁ הָעֹמֵד בֵּין־הַהֲדַסִּים וַיֹּאמַר אֵלֶּה אֲשֶׁר שָׁלַח יְהוָה לְהִתְהַלֵּךְ בָּאָרֶץ ׃	καὶ ἀπεκρίθη ὁ ἀνὴρ ὁ ἐφεστηκὼς ἀνὰ μέσον τῶν ὀρέων καὶ εἶπεν πρὸς μέ Οὗτοί εἰσιν οὓς ἐξαπέστειλεν Κύριος περιοδεῦσαι τὴν γῆν.	et respondit vir qui stabat inter myrteta et dixit isti sunt quos misit Dominus ut perambularent terram	Et respondit vir qui stabat inter myrteta, et dixit: Isti sunt quos misit Dominus ut perambulent terram.		And the man that stood among the myrtle trees answered and said, These are they whom the Lord hath sent to walk to and fro through the earth.
