book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Zeph	1	1	דְּבַר־יְהוָה אֲשֶׁר הָיָה אֶל־צְפַנְיָה בֶּן־כּוּשִׁי בֶן־גְּדַלְיָה בֶּן־אֲמַרְיָה בֶּן־חִזְקִיָּה בִּימֵי יֹאשִׁיָּהוּ בֶן־אָמוֹן מֶלֶךְ יְהוּדָה ׃	ΑΟΓΟΣ Κυρίου ὃς ἐγενήθη πρὸς Σοφονίαν τὸν τοῦ Χουσεὶ υἱὸν Γοδολίου τοῦ Ἀμορίου τοῦ Ἑζεκίου ἐν ἡμέραις Ἰωσείου υἱοῦ Ἀμὼν βασιλέως Ἰούδα.	verbum Domini quod factum est ad Sofoniam filium Chusi filium Godoliae filii Amariae filii Ezechiae in diebus Iosiae filii Amon regis Iuda	Verbum Domini quod factum est ad Sophoniam, filium Chusi, filii Godoli, filii Amari, filii Ezeci, in diebus Josi, filii Amon, regis Jud.		The word of the Lord which came unto Zephaniah the son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hizkiah, in the days of Josiah the son of Amon, king of Judah.
Zeph	1	2	אָסֹף אָסֵף כֹּל מֵעַל פְּנֵי הָאֲדָמָה נְאֻם־יְהוָה ׃	Ἐκλείψει ἐκλιπέτω ἀπὸ προσώπου τῆς γῆς, λέγει Κύριος·	congregans congregabo omnia a facie terrae dicit Dominus	[Congregans congregabo omnia a facie terr, dicit Dominus:		I will utterly consume all things from off the land, saith the Lord.
Zeph	1	3	אָסֵף אָדָם וּבְהֵמָה אָסֵף עוֹף־הַשָּׁמַיִם וּדְגֵי הַיָּם וְהַמַּכְשֵׁלוֹת אֶת־הָרְשָׁעִים וְהִכְרַתִּי אֶת־הָאָדָם מֵעַל פְּנֵי הָאֲדָמָה נְאֻם־יְהוָה ׃	ἐκλιπέτω ἄνθρωπος καὶ κτήνη, ἐκλιπέτω τὰ πετεινὰ τοῦ οὐρανοῦ καὶ οἱ ἰχθύες τῆς θαλάσσης· καὶ ἀσθενήσουσιν οἱ ἀσεβεῖς, καὶ ἐξαρῶ τοὺς ἀνόμους ἀπὸ προσώπου τῆς γῆς, λέγει Κύριος.	congregans hominem et pecus congregans volatile caeli et pisces maris et ruinae impiorum erunt et disperdam homines a facie terrae dicit Dominus	congregans hominem et pecus, congregans volatilia cli et pisces maris: et ruin impiorum erunt, et disperdam homines a facie terr, dicit Dominus.		I will consume man and beast; I will consume the fowls of the heaven, and the fishes of the sea, and the stumbling blocks with the wicked: and I will cut off man from off the land, saith the Lord.
Zeph	1	4	וְנָטִיתִי יָדִי עַל־יְהוּדָה וְעַל כָּל־יוֹשְׁבֵי יְרוּשָׁלִָם וְהִכְרַתִּי מִן־הַמָּקוֹם הַזֶּה אֶת־שְׁאָר הַבַּעַל אֶת־שֵׁם הַכְּמָרִים עִם־הַכֹּהֲנִים ׃	καὶ ἐκτενῶ τὴν χεῖρά μου ἐπὶ Ἰούδαν καὶ ἐπὶ πάντας τοὺς κατοικοῦντας Ἰερουσαλήμ· καὶ ἐξαρῶ ἐκ τοῦ τόπου τούτου τὰ ὀνόματα τῆς Βάαλ καὶ τὰ ὀνόματα τῶν ἱερέων,	et extendam manum meam super Iudam et super omnes habitantes Hierusalem et disperdam de loco hoc reliquias Baal et nomina aedituorum cum sacerdotibus	Et extendam manum meam super Judam et super omnes habitantes Jerusalem: et disperdam de loco hoc reliquias Baal, et nomina dituorum cum sacerdotibus;		I will also stretch out mine hand upon Judah, and upon all the inhabitants of Jerusalem; and I will cut off the remnant of Baal from this place, and the name of the Chemarims with the priests;
Zeph	1	5	וְאֶת־הַמִּשְׁתַּחֲוִים עַל־הַגַּגּוֹת לִצְבָא הַשָּׁמָיִם וְאֶת־הַמִּשְׁתַּחֲוִים הַנִּשְׁבָּעִים לַיהוָה וְהַנִּשְׁבָּעִים בְּמַלְכָּם ׃	καὶ τοὺς προσκυνοῦντας ἐπὶ τὰ δώματα τῇ στρατιᾷ τοῦ οὐρανοῦ, καὶ τοὺς προσκυνοῦντας καὶ τοὺς ὀμνύοντας κατὰ τοῦ κυρίου, καὶ τοὺς ὀμνύοντας κατὰ τοῦ βασιλέως αὐτῶν,	et eos qui adorant super tecta militiam caeli et adorant et iurant in Domino et iurant in Melchom	et eos qui adorant super tecta militiam cli, et adorant et jurant in Domino, et jurant in Melchom;		And them that worship the host of heaven upon the housetops; and them that worship and that swear by the Lord, and that swear by Malcham;
Zeph	1	6	וְאֶת־הַנְּסוֹגִים מֵאַחֲרֵי יְהוָה וַאֲשֶׁר לֹא־בִקְשׁוּ אֶת־יְהוָה וְלֹא דְרָשֻׁהוּ ׃	καὶ τοὺς ἐκκλίνοντας ἀπὸ τοῦ κυρίου, καὶ τοὺς μὴ ζητοῦντας τὸν κύριον, καὶ τοὺς μὴ ἀντεχομένους τοῦ κυρίου.	et qui avertuntur de post tergum Domini et qui non quaesierunt Dominum nec investigaverunt eum	et qui avertuntur de post tergum Domini, et qui non qusierunt Dominum, nec investigaverunt eum.		And them that are turned back from the Lord; and those that have not sought the Lord, nor enquired for him.
Zeph	1	7	הַס מִפְּנֵי אֲדֹנָי יְהוִה כִּי קָרוֹב יוֹם יְהוָה כִּי־הֵכִין יְהוָה זֶבַח הִקְדִּישׁ קְרֻאָיו ׃	Εὐλαβεῖσθε ἀπὸ προσώπου Κυρίου τοῦ θεοῦ, διότι ἐγγὺς ἡμέρα τοῦ κυρίου, ὅτι ἡτοίμακεν Κύριος τὴν θυσίαν αὐτοῦ, ἡγίακεν τοὺς κλητοὺς αὐτοῦ.	silete a facie Domini Dei quia iuxta est dies Domini quia praeparavit Dominus hostiam sanctificavit vocatos suos	Silete a facie Domini Dei, quia juxta est dies Domini: quia prparavit Dominus hostiam; sanctificavit vocatos suos.		Hold thy peace at the presence of the Lord God: for the day of the Lord is at hand: for the Lord hath prepared a sacrifice, he hath bid his guests.
Zeph	1	8	וְהָיָה בְּיוֹם זֶבַח יְהוָה וּפָקַדְתִּי עַל־הַשָּׂרִים וְעַל־בְּנֵי הַמֶּלֶךְ וְעַל כָּל־הַלֹּבְשִׁים מַלְבּוּשׁ נָכְרִי ׃	καὶ ἔσται ἐν ἡμέρᾳ θυσίας Κυρίου καὶ ἐκδικήσω ἐπὶ τοὺς ἄρχοντας καὶ ἐπὶ τὸν οἶκον τοῦ βασιλέως καὶ ἐπὶ πάντας τοὺς ἐνδεδυμένους ἐνδύματα ἀλλότρια·	et erit in die hostiae Domini visitabo super principes et super filios regis et super omnes qui induti sunt veste peregrina	Et erit: in die hosti Domini, visitabo super principes, et super filios regis, et super omnes qui induti sunt veste peregrina;		And it shall come to pass in the day of the Lord's sacrifice, that I will punish the princes, and the king's children, and all such as are clothed with strange apparel.
Zeph	1	9	וּפָקַדְתִּי עַל כָּל־הַדּוֹלֵג עַל־הַמִּפְתָּן בַּיּוֹם הַהוּא הַמְמַלְאִים בֵּית אֲדֹנֵיהֶם חָמָס וּמִרְמָה ׃ ס	καὶ ἐκδικήσω ἐμφανῶς ἐπὶ τὰ πρόπυλα ἐν ἐκείνῃ τῇ ἡμέρᾳ, τοὺς πληροῦντας τὸν οἶκον Κυρίου θεοῦ αὐτῶν ἀσεβείας καὶ δόλου.	et visitabo omnem qui arroganter ingreditur super limen in die illa qui conplent domum Domini Dei sui iniquitate et dolo	et visitabo super omnem qui arroganter ingreditur super limen in die illa, qui complent domum Domini Dei sui iniquitate et dolo.		In the same day also will I punish all those that leap on the threshold, which fill their masters' houses with violence and deceit.
Zeph	1	10	וְהָיָה בַיּוֹם הַהוּא נְאֻם־יְהוָה קוֹל צְעָקָה מִשַּׁעַר הַדָּגִים וִילָלָה מִן־הַמִּשְׁנֶה וְשֶׁבֶר גָּדוֹל מֵהַגְּבָעוֹת ׃	καὶ ἔσται ἐν τῇ ἡμέρᾳ ἐκείνῃ, λέγει Κύριος, φωνὴ κραυγῆς ἀπὸ πύλης ἀποκεντούντων, καὶ ὀλολυγμὸς ἀπὸ τῆς δευτέρας, καὶ συντριμμὸς μέγας ἀπὸ τῶν βουνῶν.	et erit in die illa dicit Dominus vox clamoris a porta Piscium et ululatus a secunda et contritio magna a collibus	Et erit in die illa, dicit Dominus, vox clamoris a porta piscium, et ululatus a Secunda, et contritio magna a collibus.		And it shall come to pass in that day, saith the Lord, that there shall be the noise of a cry from the fish gate, and an howling from the second, and a great crashing from the hills.
Zeph	1	11	הֵילִילוּ יֹשְׁבֵי הַמַּכְתֵּשׁ כִּי נִדְמָה כָּל־עַם כְּנַעַן נִכְרְתוּ כָּל־נְטִילֵי כָסֶף ׃	θρηνήσατε, οἱ κατοικοῦντες τὴν κατακεκομμένην, ὅτι ὡμοιώθη πᾶς ὁ λαὸς Χανάαν, ἐξωλεθρεύθησαν πάντες οἱ ἐπηρμένοι ἀργυρίῳ.	ululate habitatores pilae conticuit omnis populus Chanaan disperierunt omnes involuti argento	Ululate, habitatores Pil: conticuit omnis populus Chanaan, disperierunt omnes involuti argento.		Howl, ye inhabitants of Maktesh, for all the merchant people are cut down; all they that bear silver are cut off.
