book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Sir	0	0		προλοΓοϲ ΠΟΛΛΩΝ καὶ μεγάλων ἡμῖν διὰ τοῦ νόμου καὶ τῶν προφητῶν καὶ τῶν ἄλλων τῶν κατʼ αὐτούς ἠκολουθηκότων δεδομένων, ὑπὲρ ὧν δέον ἐστὶν ἐπαινεῖν τὸν Ἰσραὴλ παιδείας καὶ σοφίας· καὶ ὡς οὐ μόνον αὐτοὺς τοὺς ἀναγινώσκοντας δέον ἐστὶν ἐπιστήμονας γίνεσθαι, ἀλλὰ καὶ τοῖς ἐκτὸς δύνασθαι τοὺς φιλομαθοῦντας χρησίμους εἴψαι καὶ λέγοντας καὶ γράφοντας· ὁ πάππος μου Ἰησοῦς ἐπὶ πλεῖὸν ἑαυτὸν δοὺς εἴς τε τὴν τοῦ νόμου καὶ τῶν προφητῶν καὶ τῶν ἄλλων πατρίων βιβλίων ἀνάγνωσιν, καὶ ἐν τούτοις ἱκανὴν ἔξιν περιποιησάμενος, προήχθη καὶ αὐτὸς συγγράψαι τι τῶν εἰς παιδείαν καὶ σοφίαν ἀνηκόντων, ὅπως οἱ φιλομαθεῖς καὶ τούτων ἔνοχοι γενόμενοι πολλῷ μᾶλλον ἐπιπροσθῶσιν διὰ τῆς ἐννόμου βιώσεως. παρακέκλησθε οὖν μετʼ εὐνοίας καΣ προσοχῆς τὴν ἀνάγνωσιν ποιεῖσθαι, καὶ συγγνώμην ἔχειν ἐφʼ οἰς ἂν δοκῶμεν τῶν κατὰ τὴν ἐρμηνείαν πεφιλοπονημένων τισὶν τῶν λέξεων ἀδυ. ναμεῖν· οὐ γὰρ ἰσοδυναμεῖ αὐτὰ ἐν ἑαυτοῖς Ἐβραιστὶ λεγόμενα καὶ ὅταν μεταχθῇ εἰς ἑτέραν γλῶσσαν· οὐ μόνον δὲ ταῦτα, ἀλλὰ καὶ αὐτὸς ὁ νόμος καὶ αἱ προφητεῖαι καὶ τὰ λοιπὰ τῶν βιβλίων οὐ μικρὰν ἔχει τὴν διαφορὰν ἐν ἑαυτοῖς λεγόμενα. ἐν γὰρ τῷ ὁγδόῳ καὶ τριακοστῷ ἔτει ἐπὶ τοῦ Εὐεργέτου βασιλέως παραγενηθεὶς εἰς Αἴγυπτον καὶ συνχρονίσας, εὑρον οὐ μικρᾶς παιδείας ἀφόμοιον. ἀναγκαιότατον ἐθέμην αὐτὸς προσενέγκασθαί τινα σπουδὴν καὶ φιλοπονίαν τοῦ μεθερμηνεῦσαι τήνδε τὴν βίβλον· πολλὴν γὰρ ἀγρυπνίαν καὶ ἐπιστήμην προσενεγκάμενος ἐν τῷ διαστῆματι τοῦ χρόνου πρὸς τὸ ἐπὶ πέρας ἄγοντα τὸ βιβλίον ἐκδοσθαι καὶ τοῖς ἐν τῇ παροικίᾳ βουλομένοις φιλομαθεῖν, προκατασκευαζομένους τὰ ἤθη ἐν νόμῳ βιωτεύειν.				
EpJer	0	0		ANΤΙΓΡΑΦΟΝ ἐπιστολῆς ἧς ἀπέστειλεν Ἱερεμίας πρὸς τοὺς ἁχόησομένους αἰχμαλώτους εἰς Βαβυλῶνα ὑπὸ τοῦ βασιλέως τῶν Βαβυλωνίων, ἀναγγεῖλαι αὐτοῖς καθότι ἐπετάγη αὐτῷ ὑπὸ τοῦ θεοῦ.				
EpJer	0	1		Διὰ τὰς ἁμαρτίας ὑμῶν ἄς ἡμαρτήκατε ἐναντίον τοῦ θεοῦ ἀχθήσεσθε εἰς Βαβυλῶνα αἰχμάλωτοι ὑπὸ Ναβουχοδονοσὸρ βασιλέως τῶν Βαβυλωνίων.				
EpJer	0	2		εἰσελθόντες οὗν εἰς Βαβυλῶνα ἔσεσθε ἐκεῖ ἔτη πλείονα καὶ χρόνον μακρὸν ἕως γενεῶν ἑπτά· μετὰ τοῦτο δὲ ἐξάξω ὑμᾶς ἐκεῖθεν μετʼ εἰρήνης.				
EpJer	0	3		νυνὶ δὲ ὄψεσθε ἐν Βαβυλῶνι θεοὺς ἀργυροῦς καὶ χρυσοῦς καὶ ξυλίνους ἐπʼ ὠμοις αἰρομένους, δεικνύντας φόβον τοῖς ἔθνεσιν.				
EpJer	0	4		εὐλαβήθητε οὗν μὴ καὶ ὑμεῖς ἀφομοιωθέντες τοῖς ἀλλοφύλοις ἀφομοιωθῆτε, καὶ φόβος ὑμᾶς λάβῃ ἐπʼ αὐτοῖς,				
EpJer	0	5		ἰδόντας ὄχλον ἔμπροσθεν καὶ ὄπισθεν αὐτῶν προσκυνοῦντας αὐτά· εἶπατε δὲ τῇ διανοίᾳ Σοὶ δεῖ προσκυνεῖν, Δἐσποτα.				
EpJer	0	6		ό γὰρ ἄγγελός μου μεθʼ ὑμῶν ἐστίν, αὐτός τε ἐκζητῶν τὰς ψυχὰς ὑμῶν.				
EpJer	0	7		Γλῶσσα γὰρ αὐτῶν ἐστὶν κατεξυσμένη ὑπὸ τέκτονος, αὐτά τε περίχρυσα καὶ περιάργυρα, ψευδῆ δʼ ἐστὶν καὶ οὐ δύνανται λαλεῖν.				
EpJer	0	8		καὶ ὥσπερ παρθένῳ φιλοκόσμῳ λαμβάνοντες χρυσίον				
